ward,precinct,total,Jeff Arseneau (Romney),Jeff Arseneau (Romney) Percent,Shaun Murphy (Romney),Shaun Murphy (Romney) Percent,Patrick E. Rea (Romney),Patrick E. Rea (Romney) Percent,Jerome Kohn (Paul),Jerome Kohn (Paul) Percent,Greg Stetch (Paul),Greg Stetch (Paul) Percent,Matthew Murphy (Paul),Matthew Murphy (Paul) Percent,Larry Beaumont (Gingrich),Larry Beaumont (Gingrich) Percent,Chuck Augustyniak (Gingrich),Chuck Augustyniak (Gingrich) Percent,Michael R. Naughton (Gingrich),Michael R. Naughton (Gingrich) Percent,Eric M. Wallace (Santorum),Eric M. Wallace (Santorum) Percent,Jennifer L. Wallace (Santorum),Jennifer L. Wallace (Santorum) Percent,Gina M. Danaher (Santorum),Gina M. Danaher (Santorum) Percent,precinct_id
4,18,15,1,6.67,1,6.67,1,6.67,0,0.0,1,6.67,0,0.0,0,0.0,1,6.67,0,0.0,3,20.0,4,26.67,3,20.0,04018
4,19,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,04019
4,20,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04020
4,21,30,4,13.33,4,13.33,4,13.33,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,4,13.33,4,13.33,4,13.33,04021
4,22,24,3,12.5,3,12.5,3,12.5,3,12.5,3,12.5,3,12.5,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33,2,8.33,04022
4,23,29,6,20.69,5,17.24,6,20.69,2,6.9,2,6.9,2,6.9,1,3.45,1,3.45,1,3.45,1,3.45,1,3.45,1,3.45,04023
4,24,39,11,28.21,11,28.21,11,28.21,2,5.13,2,5.13,2,5.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04024
4,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04026
4,28,33,4,12.12,4,12.12,4,12.12,2,6.06,2,6.06,2,6.06,0,0.0,0,0.0,0,0.0,5,15.15,5,15.15,5,15.15,04028
4,29,53,12,22.64,11,20.75,11,20.75,2,3.77,2,3.77,3,5.66,1,1.89,1,1.89,0,0.0,4,7.55,4,7.55,2,3.77,04029
4,31,37,9,24.32,8,21.62,8,21.62,0,0.0,1,2.7,1,2.7,0,0.0,0,0.0,0,0.0,4,10.81,3,8.11,3,8.11,04031
4,32,60,11,18.33,11,18.33,11,18.33,2,3.33,2,3.33,2,3.33,0,0.0,0,0.0,0,0.0,7,11.67,7,11.67,7,11.67,04032
4,33,21,0,0.0,2,9.52,1,4.76,1,4.76,1,4.76,1,4.76,3,14.29,1,4.76,1,4.76,3,14.29,4,19.05,3,14.29,04033
4,34,45,13,28.89,13,28.89,13,28.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.44,2,4.44,2,4.44,04034
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,16,2,12.5,2,12.5,3,18.75,3,18.75,3,18.75,3,18.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04038
4,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04039
4,40,24,3,12.5,3,12.5,3,12.5,2,8.33,1,4.17,2,8.33,1,4.17,1,4.17,0,0.0,1,4.17,4,16.67,3,12.5,04040
4,41,18,3,16.67,3,16.67,3,16.67,2,11.11,2,11.11,2,11.11,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,04041
4,43,21,1,4.76,1,4.76,1,4.76,5,23.81,5,23.81,5,23.81,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,04043
4,44,18,2,11.11,3,16.67,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,2,11.11,3,16.67,2,11.11,04044
4,45,30,5,16.67,3,10.0,4,13.33,1,3.33,0,0.0,1,3.33,0,0.0,0,0.0,0,0.0,6,20.0,5,16.67,5,16.67,04045
4,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04046
4,47,23,6,26.09,6,26.09,6,26.09,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,0,0.0,04047
4,48,58,17,29.31,16,27.59,15,25.86,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.17,3,5.17,3,5.17,04048
4,49,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,04049
4,50,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,04050
4,51,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,2,33.33,2,33.33,04051
4,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04052
5,2,12,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,2,16.67,05002
5,3,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05003
5,5,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,2,33.33,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,05005
5,8,53,10,18.87,11,20.75,11,20.75,3,5.66,2,3.77,3,5.66,0,0.0,0,0.0,0,0.0,4,7.55,4,7.55,5,9.43,05008
5,9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,05009
5,10,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05010
5,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05012
5,13,10,1,10.0,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,2,20.0,2,20.0,1,10.0,05013
5,15,15,2,13.33,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,2,13.33,2,13.33,2,13.33,05015
5,16,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,05016
5,17,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05017
5,18,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,2,20.0,3,30.0,2,20.0,05018
5,19,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,05019
5,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05020
5,22,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,2,33.33,05022
5,23,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,05023
5,25,9,0,0.0,0,0.0,0,0.0,2,22.22,0,0.0,1,11.11,2,22.22,0,0.0,1,11.11,0,0.0,1,11.11,2,22.22,05025
5,27,70,16,22.86,16,22.86,15,21.43,2,2.86,1,1.43,2,2.86,0,0.0,0,0.0,0,0.0,6,8.57,6,8.57,6,8.57,05027
5,30,71,13,18.31,13,18.31,13,18.31,7,9.86,7,9.86,6,8.45,0,0.0,0,0.0,0,0.0,4,5.63,4,5.63,4,5.63,05030
5,33,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,05033
5,35,76,15,19.74,16,21.05,15,19.74,5,6.58,6,7.89,5,6.58,2,2.63,1,1.32,0,0.0,4,5.26,4,5.26,3,3.95,05035
5,38,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,05038
5,39,41,5,12.2,6,14.63,4,9.76,4,9.76,4,9.76,5,12.2,1,2.44,0,0.0,0,0.0,4,9.76,4,9.76,4,9.76,05039
5,41,65,14,21.54,16,24.62,14,21.54,4,6.15,3,4.62,3,4.62,0,0.0,1,1.54,1,1.54,3,4.62,3,4.62,3,4.62,05041
5,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05042
5,45,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05045
5,48,25,3,12.0,3,12.0,4,16.0,3,12.0,3,12.0,3,12.0,0,0.0,0,0.0,0,0.0,2,8.0,2,8.0,2,8.0,05048
6,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06001
6,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06002
6,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06003
6,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06004
6,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06005
6,6,13,1,7.69,1,7.69,1,7.69,1,7.69,1,7.69,1,7.69,1,7.69,2,15.38,1,7.69,1,7.69,1,7.69,1,7.69,06006
6,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06007
6,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06008
6,9,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,06009
6,10,5,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,06010
6,11,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,06011
6,12,5,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,06012
6,13,5,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06013
6,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06014
6,15,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,06015
6,16,7,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,06016
6,17,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06017
6,18,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,2,33.33,1,16.67,2,33.33,06018
6,19,4,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,06019
6,20,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06020
6,21,9,0,0.0,1,11.11,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,2,22.22,1,11.11,2,22.22,06021
6,22,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,06022
6,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06023
6,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06024
6,25,7,0,0.0,0,0.0,0,0.0,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,06025
6,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06026
6,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06027
6,28,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,06028
6,29,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,06029
6,30,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,06030
6,31,6,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06031
6,32,7,2,28.57,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,06032
6,33,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,06033
6,34,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,1,11.11,1,11.11,1,11.11,06034
6,35,4,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,06035
6,36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,06036
6,37,9,0,0.0,0,0.0,0,0.0,2,22.22,1,11.11,1,11.11,0,0.0,1,11.11,0,0.0,2,22.22,1,11.11,1,11.11,06037
6,38,4,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06038
6,39,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,06039
6,40,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,06040
6,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06041
6,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06042
6,43,6,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06043
6,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06044
6,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06045
6,46,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,06046
6,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06047
6,48,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06048
6,49,7,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,28.57,2,28.57,2,28.57,06049
6,50,9,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,06050
6,51,20,4,20.0,4,20.0,4,20.0,3,15.0,2,10.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,06051
6,52,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,06052
6,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06053
6,54,13,1,7.69,2,15.38,1,7.69,3,23.08,2,15.38,3,23.08,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69,0,0.0,06054
6,55,11,0,0.0,1,9.09,0,0.0,2,18.18,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,2,18.18,1,9.09,1,9.09,06055
6,56,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06056
6,57,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06057
6,58,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06058
6,59,4,0,0.0,0,0.0,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06059
8,1,8,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,2,25.0,1,12.5,08001
8,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08002
8,3,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.33,3,33.33,3,33.33,08003
8,5,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,08005
8,6,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,0,0.0,08006
8,8,4,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,08008
8,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,08009
8,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08010
8,11,4,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,08011
8,12,9,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,08012
8,13,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,08013
8,14,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,08014
8,16,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,08016
8,17,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,2,50.0,1,25.0,08017
8,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08018
8,19,15,2,13.33,2,13.33,1,6.67,0,0.0,0,0.0,0,0.0,3,20.0,3,20.0,3,20.0,1,6.67,0,0.0,0,0.0,08019
8,20,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08020
8,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08022
8,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08023
8,24,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08024
8,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08026
8,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08029
8,30,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,0,0.0,1,16.67,0,0.0,08030
8,31,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08031
8,33,7,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,08033
