ward,precinct,total,"Adriano S. Olivar, Jr. (Bush)","Adriano S. Olivar, Jr. (Bush) Percent","Patrice J. """"Pat"""" Barr (Bush)","Patrice J. """"Pat"""" Barr (Bush) Percent",precinct_id
5,1,2,1,50.0,1,50.0,05001
5,4,2,1,50.0,1,50.0,05004
5,6,5,2,40.0,3,60.0,05006
5,7,4,2,50.0,2,50.0,05007
5,11,11,5,45.45,6,54.55,05011
5,14,15,7,46.67,8,53.33,05014
5,21,0,0,0.0,0,0.0,05021
5,24,8,4,50.0,4,50.0,05024
5,26,2,1,50.0,1,50.0,05026
5,28,4,2,50.0,2,50.0,05028
5,29,4,2,50.0,2,50.0,05029
5,31,0,0,0.0,0,0.0,05031
5,32,6,3,50.0,3,50.0,05032
5,34,0,0,0.0,0,0.0,05034
5,36,0,0,0.0,0,0.0,05036
5,37,0,0,0.0,0,0.0,05037
5,38,11,6,54.55,5,45.45,05038
5,40,0,0,0.0,0,0.0,05040
5,42,2,1,50.0,1,50.0,05042
5,43,3,1,33.33,2,66.67,05043
5,44,2,1,50.0,1,50.0,05044
5,46,22,10,45.45,12,54.55,05046
5,47,1,0,0.0,1,100.0,05047
5,49,0,0,0.0,0,0.0,05049
5,54,3,1,33.33,2,66.67,05054
6,21,0,0,0.0,0,0.0,06021
6,22,2,1,50.0,1,50.0,06022
6,64,2,1,50.0,1,50.0,06064
7,1,2,1,50.0,1,50.0,07001
7,2,2,1,50.0,1,50.0,07002
7,3,0,0,0.0,0,0.0,07003
7,4,4,2,50.0,2,50.0,07004
7,5,1,1,100.0,0,0.0,07005
7,6,3,1,33.33,2,66.67,07006
7,7,2,1,50.0,1,50.0,07007
7,8,4,2,50.0,2,50.0,07008
7,9,0,0,0.0,0,0.0,07009
7,10,0,0,0.0,0,0.0,07010
7,11,4,2,50.0,2,50.0,07011
7,12,0,0,0.0,0,0.0,07012
7,13,2,1,50.0,1,50.0,07013
7,14,3,1,33.33,2,66.67,07014
7,15,1,1,100.0,0,0.0,07015
7,16,0,0,0.0,0,0.0,07016
7,17,0,0,0.0,0,0.0,07017
7,18,6,3,50.0,3,50.0,07018
7,19,1,1,100.0,0,0.0,07019
7,20,0,0,0.0,0,0.0,07020
7,21,2,1,50.0,1,50.0,07021
7,22,0,0,0.0,0,0.0,07022
7,23,0,0,0.0,0,0.0,07023
7,24,1,0,0.0,1,100.0,07024
7,25,6,4,66.67,2,33.33,07025
7,26,4,2,50.0,2,50.0,07026
7,27,4,2,50.0,2,50.0,07027
7,28,6,3,50.0,3,50.0,07028
7,29,6,3,50.0,3,50.0,07029
7,30,0,0,0.0,0,0.0,07030
7,31,0,0,0.0,0,0.0,07031
7,32,2,0,0.0,2,100.0,07032
7,33,3,2,66.67,1,33.33,07033
7,34,5,2,40.0,3,60.0,07034
7,35,3,2,66.67,1,33.33,07035
7,36,4,2,50.0,2,50.0,07036
7,37,3,1,33.33,2,66.67,07037
7,38,0,0,0.0,0,0.0,07038
