ward,precinct,total,Jim Oberweis,Jim Oberweis Percent,Andy McKenna,Andy McKenna Percent,John Borling,John Borling Percent,Steven J. Rauschenberger,Steven J. Rauschenberger Percent,Jack Ryan,Jack Ryan Percent,Chirinjeev Kathuria,Chirinjeev Kathuria Percent,Jonathan C. Wright,Jonathan C. Wright Percent,Norm Hill,Norm Hill Percent,precinct_id
1,1,8,2,25.0,0,0.0,0,0.0,0,0.0,5,62.5,1,12.5,0,0.0,0,0.0,01001
1,2,5,1,20.0,1,20.0,0,0.0,1,20.0,2,40.0,0,0.0,0,0.0,0,0.0,01002
1,3,8,3,37.5,1,12.5,0,0.0,1,12.5,3,37.5,0,0.0,0,0.0,0,0.0,01003
1,4,4,1,25.0,0,0.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,01004
1,5,5,0,0.0,2,40.0,0,0.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,01005
1,6,8,0,0.0,0,0.0,0,0.0,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0,01006
1,7,20,5,25.0,1,5.0,0,0.0,4,20.0,10,50.0,0,0.0,0,0.0,0,0.0,01007
1,8,9,3,33.33,1,11.11,0,0.0,1,11.11,3,33.33,1,11.11,0,0.0,0,0.0,01008
1,9,8,1,12.5,1,12.5,0,0.0,5,62.5,1,12.5,0,0.0,0,0.0,0,0.0,01009
1,10,11,0,0.0,1,9.09,0,0.0,4,36.36,5,45.45,1,9.09,0,0.0,0,0.0,01010
1,11,3,1,33.33,0,0.0,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,01011
1,12,12,1,8.33,0,0.0,0,0.0,2,16.67,7,58.33,1,8.33,1,8.33,0,0.0,01012
1,13,10,3,30.0,0,0.0,0,0.0,2,20.0,5,50.0,0,0.0,0,0.0,0,0.0,01013
1,14,10,1,10.0,0,0.0,0,0.0,2,20.0,6,60.0,1,10.0,0,0.0,0,0.0,01014
1,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,16,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01016
1,17,8,1,12.5,0,0.0,0,0.0,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0,01017
1,18,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0,01018
1,19,10,2,20.0,2,20.0,0,0.0,2,20.0,4,40.0,0,0.0,0,0.0,0,0.0,01019
1,20,15,5,33.33,3,20.0,1,6.67,1,6.67,5,33.33,0,0.0,0,0.0,0,0.0,01020
1,21,11,2,18.18,1,9.09,0,0.0,4,36.36,4,36.36,0,0.0,0,0.0,0,0.0,01021
1,22,10,2,20.0,2,20.0,0,0.0,3,30.0,3,30.0,0,0.0,0,0.0,0,0.0,01022
1,23,14,4,28.57,0,0.0,0,0.0,2,14.29,7,50.0,0,0.0,1,7.14,0,0.0,01023
1,24,8,2,25.0,0,0.0,0,0.0,1,12.5,3,37.5,0,0.0,2,25.0,0,0.0,01024
1,25,5,1,20.0,0,0.0,0,0.0,1,20.0,3,60.0,0,0.0,0,0.0,0,0.0,01025
1,26,10,1,10.0,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,0,0.0,0,0.0,01026
1,27,13,1,7.69,0,0.0,0,0.0,3,23.08,9,69.23,0,0.0,0,0.0,0,0.0,01027
1,28,8,0,0.0,4,50.0,0,0.0,0,0.0,4,50.0,0,0.0,0,0.0,0,0.0,01028
1,29,12,2,16.67,0,0.0,1,8.33,2,16.67,7,58.33,0,0.0,0,0.0,0,0.0,01029
1,30,13,5,38.46,0,0.0,0,0.0,0,0.0,7,53.85,1,7.69,0,0.0,0,0.0,01030
1,31,15,2,13.33,1,6.67,2,13.33,1,6.67,9,60.0,0,0.0,0,0.0,0,0.0,01031
1,32,7,1,14.29,2,28.57,0,0.0,1,14.29,3,42.86,0,0.0,0,0.0,0,0.0,01032
