ward,precinct,total,Margaree Jackson,Margaree Jackson Percent,precinct_id
28,1,1,1,100.0,28001
28,2,1,1,100.0,28002
28,3,2,2,100.0,28003
28,4,1,1,100.0,28004
28,5,1,1,100.0,28005
28,6,0,0,0.0,28006
28,7,0,0,0.0,28007
28,8,0,0,0.0,28008
28,9,0,0,0.0,28009
28,10,2,2,100.0,28010
28,11,0,0,0.0,28011
28,12,0,0,0.0,28012
28,13,3,3,100.0,28013
28,14,0,0,0.0,28014
28,15,0,0,0.0,28015
28,16,0,0,0.0,28016
28,17,1,1,100.0,28017
28,18,2,2,100.0,28018
28,19,0,0,0.0,28019
28,20,1,1,100.0,28020
28,21,0,0,0.0,28021
28,22,0,0,0.0,28022
28,23,0,0,0.0,28023
28,24,0,0,0.0,28024
28,25,1,1,100.0,28025
28,26,0,0,0.0,28026
28,27,1,1,100.0,28027
28,28,1,1,100.0,28028
28,29,0,0,0.0,28029
28,30,1,1,100.0,28030
28,31,0,0,0.0,28031
28,32,2,2,100.0,28032
28,33,0,0,0.0,28033
28,34,1,1,100.0,28034
28,35,1,1,100.0,28035
28,36,0,0,0.0,28036
28,37,1,1,100.0,28037
28,38,2,2,100.0,28038
28,39,2,2,100.0,28039
28,40,0,0,0.0,28040
28,41,0,0,0.0,28041
28,42,0,0,0.0,28042
28,43,1,1,100.0,28043
28,44,2,2,100.0,28044
28,45,0,0,0.0,28045
28,46,0,0,0.0,28046
28,47,0,0,0.0,28047
28,48,0,0,0.0,28048
28,49,0,0,0.0,28049
28,50,0,0,0.0,28050
28,51,1,1,100.0,28051
28,52,0,0,0.0,28052
28,53,0,0,0.0,28053
28,54,6,6,100.0,28054
28,55,0,0,0.0,28055
28,56,1,1,100.0,28056
28,57,0,0,0.0,28057
28,58,1,1,100.0,28058
28,59,0,0,0.0,28059
28,60,1,1,100.0,28060
28,61,0,0,0.0,28061
28,62,0,0,0.0,28062
28,63,0,0,0.0,28063
28,64,0,0,0.0,28064
28,65,0,0,0.0,28065
28,66,0,0,0.0,28066
28,67,0,0,0.0,28067
28,68,0,0,0.0,28068
28,69,0,0,0.0,28069
28,70,1,1,100.0,28070
28,71,3,3,100.0,28071
28,72,2,2,100.0,28072
28,73,1,1,100.0,28073
