ward,precinct,total,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
27,53,3,3,100.0,27053
27,54,17,17,100.0,27054
27,55,2,2,100.0,27055
27,57,11,11,100.0,27057
27,58,18,18,100.0,27058
27,60,0,0,0.0,27060
27,61,1,1,100.0,27061
27,62,4,4,100.0,27062
27,63,0,0,0.0,27063
27,64,1,1,100.0,27064
27,65,0,0,0.0,27065
27,66,1,1,100.0,27066
28,1,1,1,100.0,28001
28,2,1,1,100.0,28002
28,3,2,2,100.0,28003
28,4,1,1,100.0,28004
28,5,1,1,100.0,28005
28,6,0,0,0.0,28006
28,7,0,0,0.0,28007
28,8,0,0,0.0,28008
28,9,0,0,0.0,28009
28,10,0,0,0.0,28010
28,11,0,0,0.0,28011
28,12,0,0,0.0,28012
28,13,3,3,100.0,28013
28,14,0,0,0.0,28014
28,15,0,0,0.0,28015
28,16,0,0,0.0,28016
28,17,1,1,100.0,28017
28,18,1,1,100.0,28018
28,19,0,0,0.0,28019
28,20,1,1,100.0,28020
28,21,0,0,0.0,28021
28,22,1,1,100.0,28022
28,23,0,0,0.0,28023
28,24,0,0,0.0,28024
28,25,2,2,100.0,28025
28,26,0,0,0.0,28026
28,27,1,1,100.0,28027
28,28,1,1,100.0,28028
28,30,1,1,100.0,28030
28,31,1,1,100.0,28031
28,32,1,1,100.0,28032
28,33,0,0,0.0,28033
28,35,0,0,0.0,28035
28,36,0,0,0.0,28036
28,37,1,1,100.0,28037
28,39,2,2,100.0,28039
28,40,1,1,100.0,28040
28,41,0,0,0.0,28041
28,42,0,0,0.0,28042
28,43,1,1,100.0,28043
28,44,1,1,100.0,28044
28,45,0,0,0.0,28045
28,46,0,0,0.0,28046
28,47,0,0,0.0,28047
28,48,0,0,0.0,28048
28,49,0,0,0.0,28049
28,50,1,1,100.0,28050
28,51,0,0,0.0,28051
28,52,0,0,0.0,28052
28,53,0,0,0.0,28053
28,54,1,1,100.0,28054
28,55,0,0,0.0,28055
28,56,1,1,100.0,28056
28,57,1,1,100.0,28057
28,58,1,1,100.0,28058
28,59,0,0,0.0,28059
28,60,1,1,100.0,28060
28,61,0,0,0.0,28061
28,62,0,0,0.0,28062
28,63,0,0,0.0,28063
28,64,0,0,0.0,28064
28,65,0,0,0.0,28065
28,66,0,0,0.0,28066
28,67,0,0,0.0,28067
28,68,0,0,0.0,28068
28,69,0,0,0.0,28069
28,70,0,0,0.0,28070
28,71,6,6,100.0,28071
28,72,2,2,100.0,28072
28,73,2,2,100.0,28073
29,1,2,2,100.0,29001
29,3,0,0,0.0,29003
29,4,0,0,0.0,29004
29,5,0,0,0.0,29005
29,8,1,1,100.0,29008
29,10,0,0,0.0,29010
29,11,1,1,100.0,29011
29,12,3,3,100.0,29012
29,13,3,3,100.0,29013
29,14,1,1,100.0,29014
29,15,0,0,0.0,29015
29,16,1,1,100.0,29016
29,17,0,0,0.0,29017
29,18,0,0,0.0,29018
29,19,1,1,100.0,29019
29,20,0,0,0.0,29020
29,21,1,1,100.0,29021
29,22,17,17,100.0,29022
29,23,1,1,100.0,29023
29,25,0,0,0.0,29025
29,26,3,3,100.0,29026
29,27,0,0,0.0,29027
29,28,3,3,100.0,29028
29,29,4,4,100.0,29029
29,31,0,0,0.0,29031
29,33,1,1,100.0,29033
29,34,8,8,100.0,29034
29,35,0,0,0.0,29035
29,36,1,1,100.0,29036
29,37,1,1,100.0,29037
29,38,0,0,0.0,29038
29,40,0,0,0.0,29040
29,41,0,0,0.0,29041
29,42,0,0,0.0,29042
29,43,0,0,0.0,29043
29,44,8,8,100.0,29044
29,45,3,3,100.0,29045
29,46,0,0,0.0,29046
29,47,4,4,100.0,29047
29,48,0,0,0.0,29048
29,49,0,0,0.0,29049
29,50,0,0,0.0,29050
29,51,3,3,100.0,29051
32,1,9,9,100.0,32001
32,6,10,10,100.0,32006
32,12,0,0,0.0,32012
32,17,7,7,100.0,32017
32,26,7,7,100.0,32026
32,46,0,0,0.0,32046
32,50,30,30,100.0,32050
32,51,20,20,100.0,32051
36,23,2,2,100.0,36023
36,24,6,6,100.0,36024
36,44,5,5,100.0,36044
36,54,6,6,100.0,36054
37,2,4,4,100.0,37002
37,3,2,2,100.0,37003
37,4,1,1,100.0,37004
37,5,1,1,100.0,37005
37,6,0,0,0.0,37006
37,7,0,0,0.0,37007
37,8,1,1,100.0,37008
37,9,1,1,100.0,37009
37,10,1,1,100.0,37010
37,12,2,2,100.0,37012
37,13,0,0,0.0,37013
37,14,1,1,100.0,37014
37,15,2,2,100.0,37015
37,16,1,1,100.0,37016
37,17,0,0,0.0,37017
37,18,0,0,0.0,37018
37,19,1,1,100.0,37019
37,20,1,1,100.0,37020
37,21,0,0,0.0,37021
37,22,0,0,0.0,37022
37,23,0,0,0.0,37023
37,24,1,1,100.0,37024
37,25,7,7,100.0,37025
37,26,4,4,100.0,37026
37,27,1,1,100.0,37027
37,28,0,0,0.0,37028
37,29,1,1,100.0,37029
37,30,4,4,100.0,37030
37,31,4,4,100.0,37031
37,32,0,0,0.0,37032
37,33,1,1,100.0,37033
37,34,0,0,0.0,37034
37,35,4,4,100.0,37035
37,36,1,1,100.0,37036
37,37,1,1,100.0,37037
37,38,1,1,100.0,37038
37,40,0,0,0.0,37040
37,41,1,1,100.0,37041
37,42,0,0,0.0,37042
37,43,2,2,100.0,37043
37,44,7,7,100.0,37044
37,45,0,0,0.0,37045
37,46,3,3,100.0,37046
37,48,0,0,0.0,37048
37,49,1,1,100.0,37049
37,51,1,1,100.0,37051
37,53,1,1,100.0,37053
37,54,1,1,100.0,37054
37,55,1,1,100.0,37055
37,56,1,1,100.0,37056
37,57,0,0,0.0,37057
37,58,3,3,100.0,37058
42,1,31,31,100.0,42001
42,2,21,21,100.0,42002
42,3,23,23,100.0,42003
42,4,34,34,100.0,42004
42,5,35,35,100.0,42005
42,6,45,45,100.0,42006
42,7,24,24,100.0,42007
42,8,30,30,100.0,42008
42,9,33,33,100.0,42009
42,10,19,19,100.0,42010
42,11,35,35,100.0,42011
42,12,20,20,100.0,42012
42,13,55,55,100.0,42013
42,14,31,31,100.0,42014
42,15,29,29,100.0,42015
42,16,21,21,100.0,42016
42,17,19,19,100.0,42017
42,18,22,22,100.0,42018
42,19,5,5,100.0,42019
42,20,18,18,100.0,42020
42,21,16,16,100.0,42021
42,22,24,24,100.0,42022
42,23,38,38,100.0,42023
42,24,28,28,100.0,42024
42,25,32,32,100.0,42025
42,26,7,7,100.0,42026
42,27,38,38,100.0,42027
42,28,33,33,100.0,42028
42,29,44,44,100.0,42029
42,30,20,20,100.0,42030
42,31,18,18,100.0,42031
42,32,33,33,100.0,42032
42,33,32,32,100.0,42033
42,34,28,28,100.0,42034
42,35,13,13,100.0,42035
42,36,27,27,100.0,42036
42,37,27,27,100.0,42037
42,38,36,36,100.0,42038
42,39,15,15,100.0,42039
42,40,18,18,100.0,42040
42,41,46,46,100.0,42041
42,42,16,16,100.0,42042
42,43,59,59,100.0,42043
42,44,36,36,100.0,42044
42,45,14,14,100.0,42045
42,46,6,6,100.0,42046
42,47,21,21,100.0,42047
42,48,29,29,100.0,42048
42,49,16,16,100.0,42049
42,50,32,32,100.0,42050
42,51,29,29,100.0,42051
42,52,12,12,100.0,42052
42,53,38,38,100.0,42053
42,54,19,19,100.0,42054
42,55,46,46,100.0,42055
42,56,19,19,100.0,42056
42,57,13,13,100.0,42057
42,58,5,5,100.0,42058
42,59,6,6,100.0,42059
42,60,7,7,100.0,42060
42,61,25,25,100.0,42061
42,62,22,22,100.0,42062
42,63,38,38,100.0,42063
42,64,14,14,100.0,42064
42,65,30,30,100.0,42065
42,66,15,15,100.0,42066
42,67,16,16,100.0,42067
42,68,33,33,100.0,42068
42,69,31,31,100.0,42069
43,1,10,10,100.0,43001
43,3,18,18,100.0,43003
43,4,29,29,100.0,43004
43,5,17,17,100.0,43005
43,9,12,12,100.0,43009
43,10,10,10,100.0,43010
43,11,11,11,100.0,43011
43,13,12,12,100.0,43013
43,15,25,25,100.0,43015
43,16,27,27,100.0,43016
43,18,39,39,100.0,43018
43,21,2,2,100.0,43021
43,23,7,7,100.0,43023
43,24,29,29,100.0,43024
43,25,14,14,100.0,43025
43,26,33,33,100.0,43026
43,28,15,15,100.0,43028
43,30,14,14,100.0,43030
43,36,33,33,100.0,43036
43,37,23,23,100.0,43037
43,40,13,13,100.0,43040
43,41,3,3,100.0,43041
43,42,21,21,100.0,43042
43,46,28,28,100.0,43046
43,47,24,24,100.0,43047
43,49,20,20,100.0,43049
43,51,23,23,100.0,43051
43,52,38,38,100.0,43052
43,54,18,18,100.0,43054
43,55,13,13,100.0,43055
43,60,11,11,100.0,43060
43,61,8,8,100.0,43061
43,62,27,27,100.0,43062
43,63,11,11,100.0,43063
43,64,21,21,100.0,43064
43,65,15,15,100.0,43065
43,66,7,7,100.0,43066
43,67,30,30,100.0,43067
