ward,precinct,total,LEWIS NIXON,LEWIS NIXON Percent,precinct_id
1,1,180,180,100.0,01001
1,2,236,236,100.0,01002
1,3,165,165,100.0,01003
1,4,168,168,100.0,01004
1,5,195,195,100.0,01005
1,6,158,158,100.0,01006
1,7,208,208,100.0,01007
1,8,155,155,100.0,01008
1,9,180,180,100.0,01009
1,10,147,147,100.0,01010
1,11,185,185,100.0,01011
1,12,158,158,100.0,01012
1,13,158,158,100.0,01013
1,14,219,219,100.0,01014
1,15,99,99,100.0,01015
1,16,105,105,100.0,01016
1,17,189,189,100.0,01017
1,18,137,137,100.0,01018
1,19,196,196,100.0,01019
1,20,136,136,100.0,01020
1,21,260,260,100.0,01021
1,22,151,151,100.0,01022
1,23,196,196,100.0,01023
1,24,227,227,100.0,01024
1,25,137,137,100.0,01025
1,26,201,201,100.0,01026
1,27,157,157,100.0,01027
1,28,166,166,100.0,01028
1,29,144,144,100.0,01029
1,30,203,203,100.0,01030
1,31,163,163,100.0,01031
1,32,119,119,100.0,01032
1,33,197,197,100.0,01033
1,34,102,102,100.0,01034
1,35,119,119,100.0,01035
1,36,247,247,100.0,01036
1,37,198,198,100.0,01037
1,38,79,79,100.0,01038
1,39,187,187,100.0,01039
2,1,258,258,100.0,02001
2,2,11,11,100.0,02002
2,3,127,127,100.0,02003
2,4,116,116,100.0,02004
2,5,89,89,100.0,02005
2,6,129,129,100.0,02006
2,7,210,210,100.0,02007
2,8,213,213,100.0,02008
2,9,118,118,100.0,02009
2,10,83,83,100.0,02010
2,11,105,105,100.0,02011
2,12,163,163,100.0,02012
2,13,122,122,100.0,02013
2,14,310,310,100.0,02014
2,15,67,67,100.0,02015
2,16,143,143,100.0,02016
2,17,154,154,100.0,02017
2,18,349,349,100.0,02018
2,19,122,122,100.0,02019
2,20,176,176,100.0,02020
2,21,237,237,100.0,02021
2,22,322,322,100.0,02022
2,23,101,101,100.0,02023
2,24,91,91,100.0,02024
2,25,132,132,100.0,02025
2,26,188,188,100.0,02026
2,27,105,105,100.0,02027
2,28,105,105,100.0,02028
2,29,75,75,100.0,02029
2,30,103,103,100.0,02030
2,31,231,231,100.0,02031
2,32,82,82,100.0,02032
2,33,133,133,100.0,02033
2,34,188,188,100.0,02034
2,35,64,64,100.0,02035
2,36,81,81,100.0,02036
2,37,205,205,100.0,02037
2,38,182,182,100.0,02038
2,39,143,143,100.0,02039
2,40,229,229,100.0,02040
2,41,126,126,100.0,02041
2,42,71,71,100.0,02042
2,43,299,299,100.0,02043
2,44,117,117,100.0,02044
2,45,133,133,100.0,02045
2,46,283,283,100.0,02046
2,47,146,146,100.0,02047
2,48,120,120,100.0,02048
2,49,168,168,100.0,02049
2,50,128,128,100.0,02050
2,51,137,137,100.0,02051
2,52,171,171,100.0,02052
2,53,87,87,100.0,02053
2,54,273,273,100.0,02054
2,55,57,57,100.0,02055
2,56,155,155,100.0,02056
2,57,87,87,100.0,02057
2,58,84,84,100.0,02058
2,59,206,206,100.0,02059
3,1,139,139,100.0,03001
3,2,276,276,100.0,03002
3,3,155,155,100.0,03003
3,4,85,85,100.0,03004
3,5,89,89,100.0,03005
3,6,129,129,100.0,03006
3,7,168,168,100.0,03007
3,8,52,52,100.0,03008
3,9,68,68,100.0,03009
3,10,88,88,100.0,03010
3,11,95,95,100.0,03011
3,12,168,168,100.0,03012
3,13,112,112,100.0,03013
3,14,76,76,100.0,03014
3,15,191,191,100.0,03015
3,16,313,313,100.0,03016
3,17,91,91,100.0,03017
3,18,110,110,100.0,03018
3,19,52,52,100.0,03019
3,20,32,32,100.0,03020
3,21,100,100,100.0,03021
3,22,110,110,100.0,03022
