ward,precinct,total,JOSEPH BERRIOS,JOSEPH BERRIOS Percent,precinct_id
1,1,241,241,100.0,01001
1,2,277,277,100.0,01002
1,3,204,204,100.0,01003
1,4,200,200,100.0,01004
1,5,223,223,100.0,01005
1,6,190,190,100.0,01006
1,7,258,258,100.0,01007
1,8,202,202,100.0,01008
1,9,231,231,100.0,01009
1,10,176,176,100.0,01010
1,11,254,254,100.0,01011
1,12,191,191,100.0,01012
1,13,211,211,100.0,01013
1,14,273,273,100.0,01014
1,15,142,142,100.0,01015
1,16,148,148,100.0,01016
1,17,231,231,100.0,01017
1,18,193,193,100.0,01018
1,19,258,258,100.0,01019
1,20,187,187,100.0,01020
1,21,307,307,100.0,01021
1,22,228,228,100.0,01022
1,23,237,237,100.0,01023
1,24,292,292,100.0,01024
1,25,167,167,100.0,01025
1,26,237,237,100.0,01026
1,27,220,220,100.0,01027
1,28,218,218,100.0,01028
1,29,180,180,100.0,01029
1,30,261,261,100.0,01030
1,31,189,189,100.0,01031
1,32,164,164,100.0,01032
1,33,249,249,100.0,01033
1,34,142,142,100.0,01034
1,35,133,133,100.0,01035
1,36,309,309,100.0,01036
1,37,243,243,100.0,01037
1,38,109,109,100.0,01038
1,39,278,278,100.0,01039
2,1,296,296,100.0,02001
2,2,11,11,100.0,02002
2,8,257,257,100.0,02008
2,11,122,122,100.0,02011
2,18,14,14,100.0,02018
2,22,371,371,100.0,02022
2,28,116,116,100.0,02028
2,32,108,108,100.0,02032
2,35,78,78,100.0,02035
2,37,231,231,100.0,02037
2,40,248,248,100.0,02040
2,43,361,361,100.0,02043
2,49,195,195,100.0,02049
2,50,158,158,100.0,02050
2,54,298,298,100.0,02054
2,55,67,67,100.0,02055
2,58,111,111,100.0,02058
2,59,252,252,100.0,02059
3,3,197,197,100.0,03003
3,13,146,146,100.0,03013
3,29,259,259,100.0,03029
3,43,86,86,100.0,03043
3,51,12,12,100.0,03051
3,54,184,184,100.0,03054
3,63,133,133,100.0,03063
11,1,250,250,100.0,11001
11,2,211,211,100.0,11002
11,3,195,195,100.0,11003
11,4,308,308,100.0,11004
11,5,174,174,100.0,11005
11,6,344,344,100.0,11006
11,7,204,204,100.0,11007
11,8,256,256,100.0,11008
11,9,248,248,100.0,11009
11,10,149,149,100.0,11010
11,11,278,278,100.0,11011
11,12,284,284,100.0,11012
11,13,283,283,100.0,11013
11,14,211,211,100.0,11014
11,15,205,205,100.0,11015
11,16,264,264,100.0,11016
11,17,318,318,100.0,11017
11,18,191,191,100.0,11018
11,19,222,222,100.0,11019
11,20,206,206,100.0,11020
11,21,341,341,100.0,11021
11,22,228,228,100.0,11022
11,23,213,213,100.0,11023
11,24,381,381,100.0,11024
