ward,precinct,total,CASANDRA LEWIS,CASANDRA LEWIS Percent,precinct_id
7,9,176,176,100.0,07009
7,11,191,191,100.0,07011
7,35,105,105,100.0,07035
7,40,162,162,100.0,07040
7,44,210,210,100.0,07044
7,45,286,286,100.0,07045
7,50,133,133,100.0,07050
7,64,160,160,100.0,07064
8,57,188,188,100.0,08057
8,69,37,37,100.0,08069
8,70,225,225,100.0,08070
11,12,140,140,100.0,11012
11,13,131,131,100.0,11013
11,15,117,117,100.0,11015
11,27,107,107,100.0,11027
11,28,151,151,100.0,11028
11,31,113,113,100.0,11031
11,32,100,100,100.0,11032
11,34,64,64,100.0,11034
11,39,196,196,100.0,11039
11,42,86,86,100.0,11042
11,43,185,185,100.0,11043
11,45,86,86,100.0,11045
11,46,68,68,100.0,11046
11,47,138,138,100.0,11047
11,48,74,74,100.0,11048
11,49,64,64,100.0,11049
15,2,130,130,100.0,15002
15,3,146,146,100.0,15003
15,4,135,135,100.0,15004
15,5,136,136,100.0,15005
15,7,108,108,100.0,15007
15,12,84,84,100.0,15012
15,17,145,145,100.0,15017
15,18,93,93,100.0,15018
15,19,123,123,100.0,15019
15,20,112,112,100.0,15020
15,21,131,131,100.0,15021
15,23,113,113,100.0,15023
15,26,102,102,100.0,15026
15,31,107,107,100.0,15031
15,33,104,104,100.0,15033
15,34,0,0,0.0,15034
15,35,130,130,100.0,15035
15,36,113,113,100.0,15036
15,37,109,109,100.0,15037
15,39,129,129,100.0,15039
15,40,131,131,100.0,15040
15,42,87,87,100.0,15042
15,43,136,136,100.0,15043
15,46,68,68,100.0,15046
15,47,138,138,100.0,15047
15,51,69,69,100.0,15051
15,52,74,74,100.0,15052
16,3,150,150,100.0,16003
16,5,145,145,100.0,16005
16,6,58,58,100.0,16006
16,8,103,103,100.0,16008
16,9,189,189,100.0,16009
16,10,101,101,100.0,16010
16,12,100,100,100.0,16012
16,14,135,135,100.0,16014
16,15,156,156,100.0,16015
16,16,129,129,100.0,16016
16,18,131,131,100.0,16018
16,19,100,100,100.0,16019
16,20,135,135,100.0,16020
16,22,110,110,100.0,16022
16,24,83,83,100.0,16024
16,25,117,117,100.0,16025
16,26,132,132,100.0,16026
16,27,138,138,100.0,16027
16,28,174,174,100.0,16028
16,29,78,78,100.0,16029
16,30,102,102,100.0,16030
16,31,153,153,100.0,16031
16,33,134,134,100.0,16033
16,34,98,98,100.0,16034
16,36,140,140,100.0,16036
16,37,112,112,100.0,16037
16,38,116,116,100.0,16038
16,40,160,160,100.0,16040
16,41,53,53,100.0,16041
16,43,149,149,100.0,16043
16,44,2,2,100.0,16044
16,45,83,83,100.0,16045
16,46,50,50,100.0,16046
16,47,29,29,100.0,16047
17,1,96,96,100.0,17001
17,6,118,118,100.0,17006
17,8,102,102,100.0,17008
17,13,109,109,100.0,17013
17,14,145,145,100.0,17014
17,16,154,154,100.0,17016
17,17,112,112,100.0,17017
17,19,70,70,100.0,17019
17,34,137,137,100.0,17034
17,36,99,99,100.0,17036
17,39,104,104,100.0,17039
17,41,134,134,100.0,17041
17,42,117,117,100.0,17042
17,43,154,154,100.0,17043
17,45,106,106,100.0,17045
17,46,171,171,100.0,17046
17,49,122,122,100.0,17049
17,58,133,133,100.0,17058
20,1,172,172,100.0,20001
20,2,126,126,100.0,20002
20,3,203,203,100.0,20003
20,5,120,120,100.0,20005
20,6,164,164,100.0,20006
20,7,101,101,100.0,20007
20,9,152,152,100.0,20009
20,10,153,153,100.0,20010
20,11,103,103,100.0,20011
20,12,63,63,100.0,20012
20,13,36,36,100.0,20013
20,14,222,222,100.0,20014
20,16,69,69,100.0,20016
20,17,129,129,100.0,20017
20,18,191,191,100.0,20018
20,19,68,68,100.0,20019
20,20,89,89,100.0,20020
20,22,157,157,100.0,20022
20,23,178,178,100.0,20023
20,24,212,212,100.0,20024
20,25,65,65,100.0,20025
20,26,148,148,100.0,20026
20,27,109,109,100.0,20027
20,28,176,176,100.0,20028
20,29,158,158,100.0,20029
20,30,144,144,100.0,20030
20,31,143,143,100.0,20031
20,32,284,284,100.0,20032
20,33,199,199,100.0,20033
20,34,193,193,100.0,20034
20,35,77,77,100.0,20035
20,36,130,130,100.0,20036
20,37,109,109,100.0,20037
20,38,21,21,100.0,20038
20,39,134,134,100.0,20039
20,40,110,110,100.0,20040
20,42,119,119,100.0,20042
20,44,154,154,100.0,20044
20,45,30,30,100.0,20045
20,46,114,114,100.0,20046
20,47,89,89,100.0,20047
20,48,63,63,100.0,20048
20,49,114,114,100.0,20049
20,50,124,124,100.0,20050
20,51,0,0,0.0,20051
20,52,69,69,100.0,20052
20,53,27,27,100.0,20053
20,54,99,99,100.0,20054
20,55,71,71,100.0,20055
