ward,precinct,total,WILLIAM DELGADO,WILLIAM DELGADO Percent,precinct_id
26,4,117,117,100.0,26004
26,6,117,117,100.0,26006
26,13,159,159,100.0,26013
26,16,122,122,100.0,26016
26,26,88,88,100.0,26026
26,30,150,150,100.0,26030
26,42,116,116,100.0,26042
26,54,103,103,100.0,26054
26,60,97,97,100.0,26060
26,62,155,155,100.0,26062
29,2,96,96,100.0,29002
29,6,96,96,100.0,29006
29,7,108,108,100.0,29007
29,9,92,92,100.0,29009
29,24,68,68,100.0,29024
29,30,45,45,100.0,29030
29,32,172,172,100.0,29032
29,39,183,183,100.0,29039
29,52,185,185,100.0,29052
29,53,193,193,100.0,29053
29,54,165,165,100.0,29054
30,2,136,136,100.0,30002
30,4,155,155,100.0,30004
30,5,124,124,100.0,30005
30,6,115,115,100.0,30006
30,9,44,44,100.0,30009
30,10,203,203,100.0,30010
30,11,155,155,100.0,30011
30,12,148,148,100.0,30012
30,17,246,246,100.0,30017
30,18,37,37,100.0,30018
30,21,128,128,100.0,30021
30,22,196,196,100.0,30022
30,24,150,150,100.0,30024
30,27,171,171,100.0,30027
30,28,141,141,100.0,30028
30,34,167,167,100.0,30034
30,35,162,162,100.0,30035
30,37,148,148,100.0,30037
30,40,166,166,100.0,30040
30,41,168,168,100.0,30041
31,3,142,142,100.0,31003
31,10,87,87,100.0,31010
31,12,156,156,100.0,31012
31,15,94,94,100.0,31015
31,17,132,132,100.0,31017
31,20,128,128,100.0,31020
31,21,164,164,100.0,31021
31,23,98,98,100.0,31023
31,24,130,130,100.0,31024
31,25,138,138,100.0,31025
31,27,125,125,100.0,31027
31,29,121,121,100.0,31029
31,34,121,121,100.0,31034
31,35,118,118,100.0,31035
31,36,199,199,100.0,31036
31,37,171,171,100.0,31037
31,39,136,136,100.0,31039
31,40,123,123,100.0,31040
31,42,147,147,100.0,31042
31,43,169,169,100.0,31043
31,44,133,133,100.0,31044
31,45,123,123,100.0,31045
31,51,94,94,100.0,31051
35,2,213,213,100.0,35002
35,23,174,174,100.0,35023
35,35,223,223,100.0,35035
36,1,204,204,100.0,36001
36,3,220,220,100.0,36003
36,4,160,160,100.0,36004
36,6,42,42,100.0,36006
36,36,203,203,100.0,36036
36,41,126,126,100.0,36041
36,51,269,269,100.0,36051
36,53,76,76,100.0,36053
37,1,123,123,100.0,37001
37,2,161,161,100.0,37002
37,11,132,132,100.0,37011
37,39,99,99,100.0,37039
37,42,37,37,100.0,37042
37,47,37,37,100.0,37047
37,50,203,203,100.0,37050
37,52,131,131,100.0,37052
38,16,255,255,100.0,38016
38,53,15,15,100.0,38053
