ward,precinct,total,MIGUEL DEL VALLE,MIGUEL DEL VALLE Percent,precinct_id
1,1,241,241,100.0,01001
1,2,280,280,100.0,01002
1,3,218,218,100.0,01003
1,4,213,213,100.0,01004
1,5,220,220,100.0,01005
1,8,33,33,100.0,01008
1,10,180,180,100.0,01010
1,11,273,273,100.0,01011
1,14,256,256,100.0,01014
1,15,145,145,100.0,01015
1,17,236,236,100.0,01017
1,18,197,197,100.0,01018
1,21,261,261,100.0,01021
1,22,242,242,100.0,01022
1,23,257,257,100.0,01023
1,25,166,166,100.0,01025
1,26,242,242,100.0,01026
1,27,234,234,100.0,01027
1,32,120,120,100.0,01032
1,33,265,265,100.0,01033
1,35,0,0,0.0,01035
1,36,317,317,100.0,01036
1,37,246,246,100.0,01037
26,1,114,114,100.0,26001
26,2,129,129,100.0,26002
26,3,113,113,100.0,26003
26,4,124,124,100.0,26004
26,5,219,219,100.0,26005
26,6,109,109,100.0,26006
26,7,82,82,100.0,26007
26,9,113,113,100.0,26009
26,10,107,107,100.0,26010
26,11,129,129,100.0,26011
26,12,97,97,100.0,26012
26,13,156,156,100.0,26013
26,14,136,136,100.0,26014
26,15,129,129,100.0,26015
26,16,122,122,100.0,26016
26,18,97,97,100.0,26018
26,20,157,157,100.0,26020
26,21,155,155,100.0,26021
26,22,93,93,100.0,26022
26,23,125,125,100.0,26023
26,24,121,121,100.0,26024
26,25,76,76,100.0,26025
26,26,96,96,100.0,26026
26,27,129,129,100.0,26027
26,28,118,118,100.0,26028
26,29,108,108,100.0,26029
26,30,158,158,100.0,26030
26,31,151,151,100.0,26031
26,32,51,51,100.0,26032
26,35,131,131,100.0,26035
26,36,134,134,100.0,26036
26,37,92,92,100.0,26037
26,38,107,107,100.0,26038
26,39,116,116,100.0,26039
26,40,58,58,100.0,26040
26,41,112,112,100.0,26041
26,42,120,120,100.0,26042
26,43,110,110,100.0,26043
26,44,107,107,100.0,26044
26,45,129,129,100.0,26045
26,47,81,81,100.0,26047
26,48,162,162,100.0,26048
26,49,107,107,100.0,26049
26,50,78,78,100.0,26050
26,52,78,78,100.0,26052
26,53,95,95,100.0,26053
26,54,107,107,100.0,26054
26,55,117,117,100.0,26055
26,56,126,126,100.0,26056
26,57,103,103,100.0,26057
26,58,115,115,100.0,26058
26,59,138,138,100.0,26059
26,60,97,97,100.0,26060
26,61,102,102,100.0,26061
26,62,159,159,100.0,26062
26,63,51,51,100.0,26063
27,4,149,149,100.0,27004
27,10,100,100,100.0,27010
27,27,5,5,100.0,27027
27,32,122,122,100.0,27032
27,35,357,357,100.0,27035
27,38,180,180,100.0,27038
27,41,157,157,100.0,27041
27,56,113,113,100.0,27056
27,59,208,208,100.0,27059
29,2,100,100,100.0,29002
29,6,98,98,100.0,29006
29,7,118,118,100.0,29007
29,9,89,89,100.0,29009
29,24,71,71,100.0,29024
29,30,45,45,100.0,29030
29,32,177,177,100.0,29032
29,39,191,191,100.0,29039
29,52,184,184,100.0,29052
29,53,194,194,100.0,29053
29,54,167,167,100.0,29054
30,2,142,142,100.0,30002
30,4,157,157,100.0,30004
30,5,135,135,100.0,30005
30,6,124,124,100.0,30006
30,9,45,45,100.0,30009
30,10,209,209,100.0,30010
30,11,163,163,100.0,30011
30,12,157,157,100.0,30012
30,17,263,263,100.0,30017
30,18,42,42,100.0,30018
30,20,171,171,100.0,30020
30,21,130,130,100.0,30021
30,22,202,202,100.0,30022
30,23,152,152,100.0,30023
30,24,144,144,100.0,30024
30,26,129,129,100.0,30026
30,27,171,171,100.0,30027
30,28,146,146,100.0,30028
30,29,89,89,100.0,30029
30,31,138,138,100.0,30031
30,32,94,94,100.0,30032
30,33,156,156,100.0,30033
30,34,174,174,100.0,30034
30,35,168,168,100.0,30035
30,37,157,157,100.0,30037
30,40,162,162,100.0,30040
30,41,169,169,100.0,30041
31,3,144,144,100.0,31003
31,10,92,92,100.0,31010
31,12,164,164,100.0,31012
31,15,97,97,100.0,31015
31,17,138,138,100.0,31017
31,20,135,135,100.0,31020
31,21,172,172,100.0,31021
31,23,101,101,100.0,31023
31,24,135,135,100.0,31024
31,25,152,152,100.0,31025
31,27,128,128,100.0,31027
31,29,128,128,100.0,31029
31,34,131,131,100.0,31034
31,35,123,123,100.0,31035
31,36,195,195,100.0,31036
31,37,179,179,100.0,31037
31,39,137,137,100.0,31039
31,40,131,131,100.0,31040
31,42,152,152,100.0,31042
31,43,183,183,100.0,31043
31,44,145,145,100.0,31044
31,45,125,125,100.0,31045
31,51,101,101,100.0,31051
32,1,268,268,100.0,32001
32,3,182,182,100.0,32003
32,11,150,150,100.0,32011
32,12,141,141,100.0,32012
32,17,207,207,100.0,32017
32,46,16,16,100.0,32046
35,2,226,226,100.0,35002
35,14,28,28,100.0,35014
35,23,189,189,100.0,35023
35,32,166,166,100.0,35032
35,35,233,233,100.0,35035
36,1,205,205,100.0,36001
36,3,219,219,100.0,36003
36,4,156,156,100.0,36004
36,6,36,36,100.0,36006
36,36,210,210,100.0,36036
36,41,124,124,100.0,36041
36,51,272,272,100.0,36051
36,53,79,79,100.0,36053
37,1,131,131,100.0,37001
37,2,163,163,100.0,37002
37,11,138,138,100.0,37011
37,39,101,101,100.0,37039
37,42,51,51,100.0,37042
37,47,38,38,100.0,37047
37,50,223,223,100.0,37050
37,52,138,138,100.0,37052
38,16,259,259,100.0,38016
38,53,14,14,100.0,38053
