ward,precinct,total,MARK TUNNEY,MARK TUNNEY Percent,DANNY K. DAVIS,DANNY K. DAVIS Percent,MARTIN PANKAU,MARTIN PANKAU Percent,precinct_id
32,6,269,71,26.39,177,65.8,21,7.81,32006
32,12,57,8,14.04,49,85.96,0,0.0,32012
32,17,69,20,28.99,46,66.67,3,4.35,32017
32,26,233,53,22.75,165,70.82,15,6.44,32026
32,46,78,23,29.49,55,70.51,0,0.0,32046
32,50,339,133,39.23,199,58.7,7,2.06,32050
32,51,362,154,42.54,201,55.52,7,1.93,32051
36,23,163,19,11.66,141,86.5,3,1.84,36023
36,24,256,23,8.98,230,89.84,3,1.17,36024
36,44,213,40,18.78,167,78.4,6,2.82,36044
36,54,285,43,15.09,237,83.16,5,1.75,36054
37,2,196,17,8.67,174,88.78,5,2.55,37002
37,3,162,4,2.47,154,95.06,4,2.47,37003
37,4,121,4,3.31,114,94.21,3,2.48,37004
37,5,257,2,0.78,253,98.44,2,0.78,37005
37,6,273,1,0.37,272,99.63,0,0.0,37006
37,7,206,1,0.49,202,98.06,3,1.46,37007
37,8,198,9,4.55,188,94.95,1,0.51,37008
37,9,267,5,1.87,261,97.75,1,0.37,37009
37,10,268,10,3.73,258,96.27,0,0.0,37010
37,12,185,10,5.41,172,92.97,3,1.62,37012
37,13,204,4,1.96,199,97.55,1,0.49,37013
37,14,243,3,1.23,239,98.35,1,0.41,37014
37,15,220,3,1.36,214,97.27,3,1.36,37015
37,16,292,9,3.08,281,96.23,2,0.68,37016
37,17,272,5,1.84,262,96.32,5,1.84,37017
37,18,237,2,0.84,232,97.89,3,1.27,37018
37,19,109,3,2.75,106,97.25,0,0.0,37019
37,20,168,1,0.6,165,98.21,2,1.19,37020
37,21,222,6,2.7,215,96.85,1,0.45,37021
37,22,280,8,2.86,269,96.07,3,1.07,37022
37,23,213,4,1.88,206,96.71,3,1.41,37023
37,24,223,1,0.45,221,99.1,1,0.45,37024
37,25,278,4,1.44,273,98.2,1,0.36,37025
37,26,134,2,1.49,132,98.51,0,0.0,37026
37,27,172,1,0.58,170,98.84,1,0.58,37027
37,28,179,5,2.79,172,96.09,2,1.12,37028
37,29,246,2,0.81,241,97.97,3,1.22,37029
37,30,214,6,2.8,206,96.26,2,0.93,37030
37,31,255,4,1.57,248,97.25,3,1.18,37031
37,32,262,4,1.53,257,98.09,1,0.38,37032
37,33,191,1,0.52,187,97.91,3,1.57,37033
37,34,222,3,1.35,217,97.75,2,0.9,37034
37,35,123,6,4.88,117,95.12,0,0.0,37035
37,36,223,2,0.9,218,97.76,3,1.35,37036
37,37,219,2,0.91,215,98.17,2,0.91,37037
37,38,263,3,1.14,259,98.48,1,0.38,37038
37,40,291,5,1.72,285,97.94,1,0.34,37040
37,41,236,2,0.85,233,98.73,1,0.42,37041
37,42,52,2,3.85,45,86.54,5,9.62,37042
37,43,161,0,0.0,161,100.0,0,0.0,37043
37,44,232,6,2.59,225,96.98,1,0.43,37044
37,45,148,1,0.68,147,99.32,0,0.0,37045
37,46,246,3,1.22,241,97.97,2,0.81,37046
37,48,227,221,97.36,6,2.64,0,0.0,37048
37,49,228,1,0.44,226,99.12,1,0.44,37049
37,51,183,1,0.55,180,98.36,2,1.09,37051
37,53,210,2,0.95,208,99.05,0,0.0,37053
37,54,251,6,2.39,243,96.81,2,0.8,37054
37,55,233,3,1.29,228,97.85,2,0.86,37055
37,56,174,2,1.15,172,98.85,0,0.0,37056
37,57,136,3,2.21,133,97.79,0,0.0,37057
37,58,204,0,0.0,204,100.0,0,0.0,37058
42,1,387,145,37.47,239,61.76,3,0.78,42001
