ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent,precinct_id
2,3,153,153,100.0,02003
2,4,160,160,100.0,02004
2,5,120,120,100.0,02005
2,6,148,148,100.0,02006
2,7,258,258,100.0,02007
2,9,146,146,100.0,02009
2,10,109,109,100.0,02010
2,12,193,193,100.0,02012
2,13,145,145,100.0,02013
2,14,316,316,100.0,02014
2,15,94,94,100.0,02015
2,16,180,180,100.0,02016
2,17,184,184,100.0,02017
2,18,354,354,100.0,02018
2,19,163,163,100.0,02019
2,20,197,197,100.0,02020
2,21,257,257,100.0,02021
2,23,131,131,100.0,02023
2,24,114,114,100.0,02024
2,25,165,165,100.0,02025
2,26,207,207,100.0,02026
2,27,133,133,100.0,02027
2,29,83,83,100.0,02029
2,30,141,141,100.0,02030
2,31,244,244,100.0,02031
2,33,164,164,100.0,02033
2,34,188,188,100.0,02034
2,36,104,104,100.0,02036
2,38,224,224,100.0,02038
2,39,192,192,100.0,02039
2,40,21,21,100.0,02040
2,41,146,146,100.0,02041
2,42,76,76,100.0,02042
2,44,132,132,100.0,02044
2,45,174,174,100.0,02045
2,46,297,297,100.0,02046
2,47,184,184,100.0,02047
2,48,151,151,100.0,02048
2,51,184,184,100.0,02051
2,52,209,209,100.0,02052
2,53,104,104,100.0,02053
2,56,177,177,100.0,02056
2,57,113,113,100.0,02057
3,1,174,174,100.0,03001
3,2,319,319,100.0,03002
3,4,115,115,100.0,03004
3,5,106,106,100.0,03005
3,6,181,181,100.0,03006
3,7,183,183,100.0,03007
3,8,73,73,100.0,03008
3,9,104,104,100.0,03009
3,10,110,110,100.0,03010
3,11,116,116,100.0,03011
3,12,213,213,100.0,03012
3,14,101,101,100.0,03014
3,15,214,214,100.0,03015
3,16,367,367,100.0,03016
3,17,129,129,100.0,03017
3,18,124,124,100.0,03018
3,19,79,79,100.0,03019
3,20,49,49,100.0,03020
3,21,131,131,100.0,03021
3,22,129,129,100.0,03022
3,23,56,56,100.0,03023
3,24,153,153,100.0,03024
3,25,57,57,100.0,03025
3,26,134,134,100.0,03026
3,27,24,24,100.0,03027
3,28,142,142,100.0,03028
3,30,132,132,100.0,03030
3,31,271,271,100.0,03031
3,32,156,156,100.0,03032
3,33,220,220,100.0,03033
3,34,124,124,100.0,03034
3,35,183,183,100.0,03035
3,36,115,115,100.0,03036
3,37,107,107,100.0,03037
3,38,43,43,100.0,03038
3,39,223,223,100.0,03039
3,40,193,193,100.0,03040
3,41,187,187,100.0,03041
3,42,165,165,100.0,03042
3,44,100,100,100.0,03044
3,45,134,134,100.0,03045
3,46,172,172,100.0,03046
3,47,132,132,100.0,03047
3,48,176,176,100.0,03048
3,49,64,64,100.0,03049
3,50,104,104,100.0,03050
3,51,17,17,100.0,03051
3,52,104,104,100.0,03052
3,53,164,164,100.0,03053
3,55,149,149,100.0,03055
3,56,161,161,100.0,03056
3,57,227,227,100.0,03057
3,58,68,68,100.0,03058
3,59,124,124,100.0,03059
3,60,193,193,100.0,03060
3,61,160,160,100.0,03061
3,62,172,172,100.0,03062
4,1,224,224,100.0,04001
4,2,257,257,100.0,04002
4,3,359,359,100.0,04003
4,4,350,350,100.0,04004
4,5,262,262,100.0,04005
4,6,94,94,100.0,04006
4,7,176,176,100.0,04007
4,8,252,252,100.0,04008
4,9,439,439,100.0,04009
4,10,318,318,100.0,04010
4,11,293,293,100.0,04011
4,12,135,135,100.0,04012
4,13,202,202,100.0,04013
4,14,168,168,100.0,04014
4,15,133,133,100.0,04015
4,16,309,309,100.0,04016
4,17,260,260,100.0,04017
4,18,250,250,100.0,04018
4,19,271,271,100.0,04019
4,20,114,114,100.0,04020
4,21,316,316,100.0,04021
4,22,309,309,100.0,04022
4,23,204,204,100.0,04023
4,24,296,296,100.0,04024
4,25,245,245,100.0,04025
4,26,268,268,100.0,04026
4,27,253,253,100.0,04027
4,28,192,192,100.0,04028
4,29,165,165,100.0,04029
4,30,153,153,100.0,04030
4,31,91,91,100.0,04031
4,32,292,292,100.0,04032
4,33,104,104,100.0,04033
4,34,179,179,100.0,04034
4,35,169,169,100.0,04035
4,36,115,115,100.0,04036
4,37,158,158,100.0,04037
4,38,343,343,100.0,04038
4,39,118,118,100.0,04039
4,40,235,235,100.0,04040
4,41,121,121,100.0,04041
4,42,276,276,100.0,04042
4,43,190,190,100.0,04043
4,44,191,191,100.0,04044
4,45,374,374,100.0,04045
4,46,218,218,100.0,04046
4,47,355,355,100.0,04047
4,48,365,365,100.0,04048
4,49,88,88,100.0,04049
4,50,205,205,100.0,04050
4,51,301,301,100.0,04051
4,52,71,71,100.0,04052
4,53,11,11,100.0,04053
4,54,146,146,100.0,04054
4,55,182,182,100.0,04055
4,56,291,291,100.0,04056
4,57,131,131,100.0,04057
4,58,258,258,100.0,04058
5,1,282,282,100.0,05001
5,2,191,191,100.0,05002
5,3,134,134,100.0,05003
5,4,194,194,100.0,05004
5,5,207,207,100.0,05005
5,6,311,311,100.0,05006
5,7,273,273,100.0,05007
5,8,302,302,100.0,05008
5,9,247,247,100.0,05009
5,10,256,256,100.0,05010
5,11,248,248,100.0,05011
5,12,187,187,100.0,05012
5,13,225,225,100.0,05013
5,14,321,321,100.0,05014
5,15,222,222,100.0,05015
5,16,217,217,100.0,05016
5,17,252,252,100.0,05017
5,18,247,247,100.0,05018
5,19,135,135,100.0,05019
5,20,139,139,100.0,05020
5,21,270,270,100.0,05021
5,22,248,248,100.0,05022
5,23,178,178,100.0,05023
5,24,195,195,100.0,05024
5,25,247,247,100.0,05025
5,26,244,244,100.0,05026
5,27,252,252,100.0,05027
5,28,208,208,100.0,05028
5,29,256,256,100.0,05029
5,30,209,209,100.0,05030
5,31,226,226,100.0,05031
5,32,308,308,100.0,05032
5,33,234,234,100.0,05033
5,34,240,240,100.0,05034
5,35,161,161,100.0,05035
5,36,148,148,100.0,05036
5,37,175,175,100.0,05037
5,38,269,269,100.0,05038
5,39,230,230,100.0,05039
5,40,309,309,100.0,05040
5,41,207,207,100.0,05041
5,42,265,265,100.0,05042
5,43,250,250,100.0,05043
5,44,250,250,100.0,05044
5,45,149,149,100.0,05045
5,46,240,240,100.0,05046
5,47,221,221,100.0,05047
5,48,175,175,100.0,05048
5,49,49,49,100.0,05049
5,50,204,204,100.0,05050
5,51,214,214,100.0,05051
5,52,75,75,100.0,05052
5,53,318,318,100.0,05053
5,54,334,334,100.0,05054
6,1,280,280,100.0,06001
6,2,292,292,100.0,06002
6,3,277,277,100.0,06003
6,4,219,219,100.0,06004
6,5,163,163,100.0,06005
6,6,213,213,100.0,06006
6,7,299,299,100.0,06007
6,8,245,245,100.0,06008
6,9,205,205,100.0,06009
6,10,313,313,100.0,06010
6,11,244,244,100.0,06011
6,12,256,256,100.0,06012
6,13,248,248,100.0,06013
6,14,282,282,100.0,06014
6,15,253,253,100.0,06015
6,16,274,274,100.0,06016
6,17,315,315,100.0,06017
6,18,77,77,100.0,06018
6,19,328,328,100.0,06019
6,20,264,264,100.0,06020
6,21,221,221,100.0,06021
6,22,240,240,100.0,06022
6,23,217,217,100.0,06023
6,24,246,246,100.0,06024
6,25,160,160,100.0,06025
6,26,256,256,100.0,06026
6,27,328,328,100.0,06027
6,28,395,395,100.0,06028
6,29,305,305,100.0,06029
6,30,232,232,100.0,06030
6,31,295,295,100.0,06031
6,32,312,312,100.0,06032
6,33,310,310,100.0,06033
6,34,220,220,100.0,06034
6,35,305,305,100.0,06035
6,36,150,150,100.0,06036
6,37,284,284,100.0,06037
6,38,273,273,100.0,06038
6,39,240,240,100.0,06039
6,40,162,162,100.0,06040
6,41,262,262,100.0,06041
6,42,157,157,100.0,06042
6,43,308,308,100.0,06043
6,44,255,255,100.0,06044
6,45,158,158,100.0,06045
6,46,234,234,100.0,06046
6,47,264,264,100.0,06047
6,48,290,290,100.0,06048
6,49,267,267,100.0,06049
6,50,234,234,100.0,06050
6,51,200,200,100.0,06051
6,52,214,214,100.0,06052
6,53,244,244,100.0,06053
6,54,233,233,100.0,06054
6,55,225,225,100.0,06055
6,56,192,192,100.0,06056
6,57,136,136,100.0,06057
6,58,259,259,100.0,06058
6,59,217,217,100.0,06059
6,60,180,180,100.0,06060
6,61,177,177,100.0,06061
6,62,95,95,100.0,06062
6,63,211,211,100.0,06063
6,64,294,294,100.0,06064
6,65,83,83,100.0,06065
6,66,266,266,100.0,06066
7,1,267,267,100.0,07001
7,2,303,303,100.0,07002
7,3,166,166,100.0,07003
7,4,214,214,100.0,07004
7,5,201,201,100.0,07005
7,6,196,196,100.0,07006
7,7,171,171,100.0,07007
7,8,94,94,100.0,07008
7,9,207,207,100.0,07009
7,10,171,171,100.0,07010
7,11,211,211,100.0,07011
7,12,192,192,100.0,07012
7,13,184,184,100.0,07013
7,14,276,276,100.0,07014
7,15,164,164,100.0,07015
7,16,183,183,100.0,07016
7,17,169,169,100.0,07017
7,18,155,155,100.0,07018
7,19,348,348,100.0,07019
7,20,116,116,100.0,07020
7,21,230,230,100.0,07021
7,22,179,179,100.0,07022
7,23,156,156,100.0,07023
7,24,175,175,100.0,07024
7,25,248,248,100.0,07025
7,26,299,299,100.0,07026
7,27,284,284,100.0,07027
7,28,265,265,100.0,07028
7,29,121,121,100.0,07029
7,30,234,234,100.0,07030
7,31,208,208,100.0,07031
7,32,189,189,100.0,07032
7,33,167,167,100.0,07033
7,34,208,208,100.0,07034
7,35,135,135,100.0,07035
7,36,258,258,100.0,07036
7,37,94,94,100.0,07037
7,38,164,164,100.0,07038
7,39,241,241,100.0,07039
7,40,199,199,100.0,07040
7,41,160,160,100.0,07041
7,42,347,347,100.0,07042
7,43,231,231,100.0,07043
7,44,342,342,100.0,07044
7,45,304,304,100.0,07045
7,46,59,59,100.0,07046
7,47,198,198,100.0,07047
7,48,104,104,100.0,07048
7,49,130,130,100.0,07049
7,50,147,147,100.0,07050
7,51,182,182,100.0,07051
7,52,184,184,100.0,07052
7,53,177,177,100.0,07053
7,54,121,121,100.0,07054
7,55,195,195,100.0,07055
7,56,200,200,100.0,07056
7,57,212,212,100.0,07057
7,58,257,257,100.0,07058
7,59,126,126,100.0,07059
7,60,151,151,100.0,07060
7,61,203,203,100.0,07061
7,62,235,235,100.0,07062
7,63,174,174,100.0,07063
7,64,183,183,100.0,07064
7,65,186,186,100.0,07065
8,1,284,284,100.0,08001
8,2,147,147,100.0,08002
8,3,335,335,100.0,08003
8,4,242,242,100.0,08004
8,5,308,308,100.0,08005
8,6,288,288,100.0,08006
8,7,199,199,100.0,08007
8,8,297,297,100.0,08008
8,9,311,311,100.0,08009
8,10,319,319,100.0,08010
8,11,242,242,100.0,08011
8,12,238,238,100.0,08012
8,13,214,214,100.0,08013
8,14,252,252,100.0,08014
8,15,236,236,100.0,08015
8,16,262,262,100.0,08016
8,17,210,210,100.0,08017
8,18,184,184,100.0,08018
8,19,302,302,100.0,08019
8,20,191,191,100.0,08020
8,21,216,216,100.0,08021
8,22,233,233,100.0,08022
8,23,249,249,100.0,08023
8,24,266,266,100.0,08024
8,25,265,265,100.0,08025
8,26,189,189,100.0,08026
8,27,264,264,100.0,08027
8,28,196,196,100.0,08028
8,29,258,258,100.0,08029
8,30,200,200,100.0,08030
8,31,179,179,100.0,08031
8,32,397,397,100.0,08032
8,33,214,214,100.0,08033
8,34,301,301,100.0,08034
8,35,312,312,100.0,08035
8,36,238,238,100.0,08036
8,37,307,307,100.0,08037
8,38,238,238,100.0,08038
8,39,268,268,100.0,08039
8,40,259,259,100.0,08040
8,41,231,231,100.0,08041
8,42,235,235,100.0,08042
8,43,255,255,100.0,08043
8,44,184,184,100.0,08044
8,45,198,198,100.0,08045
8,46,198,198,100.0,08046
8,47,272,272,100.0,08047
8,48,199,199,100.0,08048
8,49,265,265,100.0,08049
8,50,251,251,100.0,08050
8,51,308,308,100.0,08051
8,52,269,269,100.0,08052
8,53,280,280,100.0,08053
8,54,257,257,100.0,08054
8,55,270,270,100.0,08055
8,56,334,334,100.0,08056
8,57,213,213,100.0,08057
8,58,264,264,100.0,08058
