ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,148,116,78.38,32,21.62,01001
1,2,177,140,79.1,37,20.9,01002
1,3,117,93,79.49,24,20.51,01003
1,4,139,110,79.14,29,20.86,01004
1,5,141,115,81.56,26,18.44,01005
1,6,133,102,76.69,31,23.31,01006
1,7,174,143,82.18,31,17.82,01007
1,8,121,94,77.69,27,22.31,01008
1,9,144,98,68.06,46,31.94,01009
1,10,122,90,73.77,32,26.23,01010
1,11,165,123,74.55,42,25.45,01011
1,12,131,104,79.39,27,20.61,01012
1,13,130,96,73.85,34,26.15,01013
1,14,175,144,82.29,31,17.71,01014
1,15,78,53,67.95,25,32.05,01015
1,16,55,35,63.64,20,36.36,01016
1,17,143,108,75.52,35,24.48,01017
1,18,110,81,73.64,29,26.36,01018
1,19,187,145,77.54,42,22.46,01019
1,20,96,76,79.17,20,20.83,01020
1,21,210,165,78.57,45,21.43,01021
1,22,129,99,76.74,30,23.26,01022
1,23,153,122,79.74,31,20.26,01023
1,24,183,129,70.49,54,29.51,01024
1,25,114,83,72.81,31,27.19,01025
1,26,146,115,78.77,31,21.23,01026
1,27,131,94,71.76,37,28.24,01027
1,28,146,104,71.23,42,28.77,01028
1,29,100,78,78.0,22,22.0,01029
1,30,174,137,78.74,37,21.26,01030
1,31,115,85,73.91,30,26.09,01031
1,32,91,71,78.02,20,21.98,01032
1,33,153,119,77.78,34,22.22,01033
1,34,77,54,70.13,23,29.87,01034
1,35,88,68,77.27,20,22.73,01035
1,36,207,155,74.88,52,25.12,01036
1,37,156,116,74.36,40,25.64,01037
1,38,66,46,69.7,20,30.3,01038
1,39,186,131,70.43,55,29.57,01039
2,1,212,157,74.06,55,25.94,02001
2,2,7,4,57.14,3,42.86,02002
2,3,107,84,78.5,23,21.5,02003
2,4,80,64,80.0,16,20.0,02004
2,5,77,64,83.12,13,16.88,02005
2,6,109,88,80.73,21,19.27,02006
2,7,178,131,73.6,47,26.4,02007
2,8,193,158,81.87,35,18.13,02008
2,9,109,78,71.56,31,28.44,02009
2,10,73,50,68.49,23,31.51,02010
2,11,88,73,82.95,15,17.05,02011
2,12,146,111,76.03,35,23.97,02012
2,13,115,96,83.48,19,16.52,02013
2,14,229,171,74.67,58,25.33,02014
2,15,49,33,67.35,16,32.65,02015
2,16,124,97,78.23,27,21.77,02016
2,17,112,85,75.89,27,24.11,02017
2,18,303,239,78.88,64,21.12,02018
2,19,75,50,66.67,25,33.33,02019
2,20,121,89,73.55,32,26.45,02020
2,21,141,118,83.69,23,16.31,02021
2,22,275,221,80.36,54,19.64,02022
2,23,84,61,72.62,23,27.38,02023
2,24,73,53,72.6,20,27.4,02024
2,25,107,73,68.22,34,31.78,02025
2,26,144,119,82.64,25,17.36,02026
2,27,69,56,81.16,13,18.84,02027
2,28,87,77,88.51,10,11.49,02028
2,29,50,41,82.0,9,18.0,02029
2,30,82,63,76.83,19,23.17,02030
2,31,170,133,78.24,37,21.76,02031
2,32,63,43,68.25,20,31.75,02032
2,33,112,86,76.79,26,23.21,02033
2,34,88,72,81.82,16,18.18,02034
2,35,60,47,78.33,13,21.67,02035
2,36,54,42,77.78,12,22.22,02036
2,37,173,134,77.46,39,22.54,02037
2,38,130,94,72.31,36,27.69,02038
2,39,117,81,69.23,36,30.77,02039
2,40,163,142,87.12,21,12.88,02040
2,41,97,57,58.76,40,41.24,02041
2,42,50,44,88.0,6,12.0,02042
2,43,232,178,76.72,54,23.28,02043
2,44,77,57,74.03,20,25.97,02044
2,45,114,76,66.67,38,33.33,02045
2,46,200,153,76.5,47,23.5,02046
2,47,116,86,74.14,30,25.86,02047
2,48,104,81,77.88,23,22.12,02048
2,49,141,110,78.01,31,21.99,02049
