ward,precinct,total,Michael Benjamin Younan,Michael Benjamin Younan Percent,precinct_id
40,3,19,19,100.0,40003
40,4,14,14,100.0,40004
40,7,4,4,100.0,40007
40,8,8,8,100.0,40008
40,9,7,7,100.0,40009
40,11,12,12,100.0,40011
40,12,11,11,100.0,40012
40,13,12,12,100.0,40013
40,16,11,11,100.0,40016
40,18,7,7,100.0,40018
40,22,5,5,100.0,40022
40,26,11,11,100.0,40026
40,27,9,9,100.0,40027
40,28,11,11,100.0,40028
40,33,11,11,100.0,40033
40,35,12,12,100.0,40035
40,37,10,10,100.0,40037
40,39,17,17,100.0,40039
40,41,16,16,100.0,40041
40,42,18,18,100.0,40042
40,43,11,11,100.0,40043
40,46,14,14,100.0,40046
40,47,12,12,100.0,40047
41,1,46,46,100.0,41001
41,2,31,31,100.0,41002
41,4,40,40,100.0,41004
41,5,45,45,100.0,41005
41,7,48,48,100.0,41007
41,8,52,52,100.0,41008
41,11,50,50,100.0,41011
41,13,10,10,100.0,41013
41,15,48,48,100.0,41015
41,17,43,43,100.0,41017
41,18,43,43,100.0,41018
41,20,69,69,100.0,41020
41,25,18,18,100.0,41025
41,26,16,16,100.0,41026
41,27,8,8,100.0,41027
41,28,59,59,100.0,41028
41,29,19,19,100.0,41029
41,31,39,39,100.0,41031
41,32,34,34,100.0,41032
41,33,37,37,100.0,41033
41,34,55,55,100.0,41034
41,36,47,47,100.0,41036
41,37,63,63,100.0,41037
41,40,46,46,100.0,41040
41,41,37,37,100.0,41041
41,42,35,35,100.0,41042
41,43,39,39,100.0,41043
41,45,36,36,100.0,41045
41,48,19,19,100.0,41048
41,49,50,50,100.0,41049
41,52,64,64,100.0,41052
41,55,47,47,100.0,41055
41,56,49,49,100.0,41056
44,3,29,29,100.0,44003
44,4,26,26,100.0,44004
44,7,34,34,100.0,44007
44,18,4,4,100.0,44018
44,35,23,23,100.0,44035
44,48,20,20,100.0,44048
44,49,35,35,100.0,44049
46,1,36,36,100.0,46001
46,2,15,15,100.0,46002
46,4,14,14,100.0,46004
46,6,13,13,100.0,46006
46,7,7,7,100.0,46007
46,8,11,11,100.0,46008
46,9,21,21,100.0,46009
46,10,20,20,100.0,46010
46,11,24,24,100.0,46011
46,12,12,12,100.0,46012
46,14,8,8,100.0,46014
46,15,31,31,100.0,46015
46,16,15,15,100.0,46016
46,19,11,11,100.0,46019
46,20,10,10,100.0,46020
46,21,9,9,100.0,46021
46,22,23,23,100.0,46022
46,23,6,6,100.0,46023
46,25,30,30,100.0,46025
46,26,14,14,100.0,46026
46,27,38,38,100.0,46027
46,28,41,41,100.0,46028
46,30,28,28,100.0,46030
46,32,19,19,100.0,46032
46,33,27,27,100.0,46033
46,34,14,14,100.0,46034
46,35,24,24,100.0,46035
46,38,4,4,100.0,46038
46,39,34,34,100.0,46039
46,40,12,12,100.0,46040
46,41,11,11,100.0,46041
46,42,15,15,100.0,46042
46,45,18,18,100.0,46045
46,46,13,13,100.0,46046
46,47,7,7,100.0,46047
48,1,23,23,100.0,48001
48,2,18,18,100.0,48002
48,3,14,14,100.0,48003
48,4,34,34,100.0,48004
48,5,27,27,100.0,48005
48,6,21,21,100.0,48006
48,7,11,11,100.0,48007
48,8,18,18,100.0,48008
48,9,27,27,100.0,48009
48,10,11,11,100.0,48010
48,11,14,14,100.0,48011
48,12,11,11,100.0,48012
48,13,15,15,100.0,48013
48,14,31,31,100.0,48014
48,15,15,15,100.0,48015
48,16,16,16,100.0,48016
48,17,22,22,100.0,48017
48,18,12,12,100.0,48018
48,19,17,17,100.0,48019
48,20,16,16,100.0,48020
48,21,13,13,100.0,48021
48,22,25,25,100.0,48022
48,23,11,11,100.0,48023
48,24,5,5,100.0,48024
48,25,14,14,100.0,48025
48,26,24,24,100.0,48026
48,27,17,17,100.0,48027
48,28,16,16,100.0,48028
48,29,25,25,100.0,48029
48,30,11,11,100.0,48030
48,31,8,8,100.0,48031
48,32,10,10,100.0,48032
48,33,17,17,100.0,48033
48,34,15,15,100.0,48034
48,35,12,12,100.0,48035
48,36,15,15,100.0,48036
48,37,14,14,100.0,48037
48,38,15,15,100.0,48038
48,39,20,20,100.0,48039
48,40,10,10,100.0,48040
48,41,9,9,100.0,48041
48,42,9,9,100.0,48042
48,43,13,13,100.0,48043
48,44,14,14,100.0,48044
48,45,9,9,100.0,48045
48,46,14,14,100.0,48046
48,47,12,12,100.0,48047
48,48,21,21,100.0,48048
48,49,3,3,100.0,48049
48,50,19,19,100.0,48050
48,51,19,19,100.0,48051
48,52,10,10,100.0,48052
48,53,8,8,100.0,48053
48,54,11,11,100.0,48054
49,1,5,5,100.0,49001
49,2,26,26,100.0,49002
49,3,5,5,100.0,49003
49,4,4,4,100.0,49004
49,5,8,8,100.0,49005
49,6,15,15,100.0,49006
49,7,11,11,100.0,49007
49,8,9,9,100.0,49008
49,9,10,10,100.0,49009
49,10,10,10,100.0,49010
49,11,11,11,100.0,49011
49,12,7,7,100.0,49012
49,13,21,21,100.0,49013
49,14,20,20,100.0,49014
49,15,5,5,100.0,49015
49,16,19,19,100.0,49016
49,17,1,1,100.0,49017
49,18,11,11,100.0,49018
49,19,5,5,100.0,49019
49,20,19,19,100.0,49020
49,21,11,11,100.0,49021
49,22,12,12,100.0,49022
49,23,9,9,100.0,49023
49,24,13,13,100.0,49024
49,25,18,18,100.0,49025
49,26,23,23,100.0,49026
49,27,10,10,100.0,49027
49,28,12,12,100.0,49028
49,29,19,19,100.0,49029
49,30,9,9,100.0,49030
49,31,12,12,100.0,49031
49,32,9,9,100.0,49032
49,33,11,11,100.0,49033
49,34,9,9,100.0,49034
49,35,12,12,100.0,49035
49,36,18,18,100.0,49036
49,37,11,11,100.0,49037
49,38,9,9,100.0,49038
49,39,12,12,100.0,49039
49,40,14,14,100.0,49040
49,41,17,17,100.0,49041
49,42,10,10,100.0,49042
50,1,18,18,100.0,50001
50,2,16,16,100.0,50002
50,3,14,14,100.0,50003
50,4,15,15,100.0,50004
50,5,27,27,100.0,50005
50,6,6,6,100.0,50006
50,7,16,16,100.0,50007
50,8,13,13,100.0,50008
50,9,7,7,100.0,50009
50,10,8,8,100.0,50010
50,11,26,26,100.0,50011
50,12,8,8,100.0,50012
50,13,6,6,100.0,50013
50,14,8,8,100.0,50014
50,15,18,18,100.0,50015
50,16,14,14,100.0,50016
50,17,16,16,100.0,50017
50,18,22,22,100.0,50018
50,19,13,13,100.0,50019
50,20,23,23,100.0,50020
50,21,20,20,100.0,50021
50,22,12,12,100.0,50022
50,23,13,13,100.0,50023
50,24,13,13,100.0,50024
50,25,19,19,100.0,50025
50,26,13,13,100.0,50026
50,27,6,6,100.0,50027
50,28,11,11,100.0,50028
50,29,17,17,100.0,50029
50,30,16,16,100.0,50030
50,31,6,6,100.0,50031
50,32,10,10,100.0,50032
50,33,22,22,100.0,50033
50,34,5,5,100.0,50034
50,35,20,20,100.0,50035
50,36,25,25,100.0,50036
50,37,24,24,100.0,50037
50,38,13,13,100.0,50038
50,39,19,19,100.0,50039
50,40,24,24,100.0,50040
50,41,16,16,100.0,50041
50,42,16,16,100.0,50042
50,43,16,16,100.0,50043
