ward,precinct,total,Charles A. Wilson (Romney),Charles A. Wilson (Romney) Percent,Mark P. Gibboney (Romney),Mark P. Gibboney (Romney) Percent,Thomas Hayes (McCain),Thomas Hayes (McCain) Percent,Vincent P. Churak (McCain),Vincent P. Churak (McCain) Percent,Matthew T. Murphy (Paul),Matthew T. Murphy (Paul) Percent,Douglas R. Hoffman (Paul),Douglas R. Hoffman (Paul) Percent,Byron Rivers (Thompson),Byron Rivers (Thompson) Percent,Kelly A. Murphy (Thompson),Kelly A. Murphy (Thompson) Percent,John Z. Toscas (Giuliani),John Z. Toscas (Giuliani) Percent,Benjamin M. Shapiro (Giuliani),Benjamin M. Shapiro (Giuliani) Percent,Eric L. Curtis (Huckabee),Eric L. Curtis (Huckabee) Percent,William Beckman (Huckabee),William Beckman (Huckabee) Percent,precinct_id
2,14,9,3,33.33,2,22.22,1,11.11,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,20,5,1,20.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,02020
2,31,12,2,16.67,3,25.0,2,16.67,2,16.67,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,02031
2,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02044
2,46,5,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,02046
3,5,8,3,37.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0,1,12.5,03005
3,7,5,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,2,40.0,03007
3,20,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,23,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,03023
3,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,34,6,0,0.0,0,0.0,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,03034
3,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,38,6,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,03038
3,41,18,1,5.56,1,5.56,3,16.67,2,11.11,4,22.22,3,16.67,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,2,11.11,03041
3,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03044
3,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03049
4,1,36,5,13.89,5,13.89,11,30.56,10,27.78,0,0.0,0,0.0,1,2.78,0,0.0,0,0.0,0,0.0,2,5.56,2,5.56,04001
4,2,10,0,0.0,0,0.0,3,30.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0,04002
4,3,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04003
4,8,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04008
4,9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,04009
4,12,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,04012
4,13,10,1,10.0,1,10.0,4,40.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04013
4,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04016
4,17,46,13,28.26,13,28.26,9,19.57,8,17.39,1,2.17,0,0.0,0,0.0,1,2.17,1,2.17,0,0.0,0,0.0,0,0.0,04017
4,18,11,1,9.09,1,9.09,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,2,18.18,2,18.18,04018
4,19,4,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,04019
4,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04020
4,21,12,3,25.0,3,25.0,2,16.67,4,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04021
4,22,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,4,66.67,04022
4,23,18,4,22.22,4,22.22,3,16.67,2,11.11,3,16.67,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04023
4,24,14,2,14.29,2,14.29,1,7.14,1,7.14,2,14.29,2,14.29,1,7.14,2,14.29,1,7.14,0,0.0,0,0.0,0,0.0,04024
4,26,6,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,04026
4,28,16,2,12.5,2,12.5,6,37.5,5,31.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,04028
4,29,25,3,12.0,3,12.0,6,24.0,5,20.0,2,8.0,2,8.0,0,0.0,0,0.0,1,4.0,0,0.0,1,4.0,2,8.0,04029
4,31,25,6,24.0,6,24.0,5,20.0,3,12.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0,2,8.0,04031
4,32,24,1,4.17,1,4.17,6,25.0,6,25.0,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,3,12.5,3,12.5,04032
4,33,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,2,50.0,04033
4,34,28,8,28.57,8,28.57,6,21.43,6,21.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04034
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,4,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0,04038
4,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04039
4,40,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04040
4,41,18,3,16.67,3,16.67,3,16.67,3,16.67,2,11.11,2,11.11,0,0.0,1,5.56,0,0.0,0,0.0,1,5.56,0,0.0,04041
4,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04042
4,43,24,4,16.67,4,16.67,4,16.67,4,16.67,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33,04043
4,44,10,1,10.0,1,10.0,2,20.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04044
4,45,12,2,16.67,2,16.67,3,25.0,2,16.67,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,1,8.33,1,8.33,04045
4,46,4,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,04046
4,47,23,4,17.39,3,13.04,5,21.74,5,21.74,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,2,8.7,04047
4,48,29,7,24.14,7,24.14,5,17.24,4,13.79,1,3.45,1,3.45,0,0.0,0,0.0,1,3.45,1,3.45,1,3.45,1,3.45,04048
4,49,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,04049
4,50,4,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,04050
4,51,9,2,22.22,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,04051
4,52,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04052
5,2,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05002
5,3,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05003
5,5,5,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,1,20.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,05005
5,8,35,4,11.43,4,11.43,12,34.29,11,31.43,2,5.71,2,5.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05008
5,9,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05009
5,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05010
5,12,9,1,11.11,0,0.0,2,22.22,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.33,2,22.22,05012
5,13,8,0,0.0,0,0.0,3,37.5,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,05013
5,15,6,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,05015
5,16,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05016
5,17,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05017
5,18,7,0,0.0,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,05018
5,19,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,05019
5,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05020
5,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05022
5,23,6,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,05023
5,25,4,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,05025
5,27,67,6,8.96,6,8.96,24,35.82,24,35.82,1,1.49,2,2.99,0,0.0,0,0.0,1,1.49,1,1.49,1,1.49,1,1.49,05027
5,30,31,0,0.0,0,0.0,9,29.03,9,29.03,2,6.45,2,6.45,0,0.0,0,0.0,2,6.45,3,9.68,2,6.45,2,6.45,05030
5,33,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,05033
5,35,28,6,21.43,6,21.43,6,21.43,7,25.0,2,7.14,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05035
5,39,27,2,7.41,2,7.41,10,37.04,9,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,1,3.7,1,3.7,05039
5,41,43,5,11.63,4,9.3,10,23.26,12,27.91,2,4.65,2,4.65,1,2.33,1,2.33,1,2.33,1,2.33,2,4.65,2,4.65,05041
5,45,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,05045
5,48,16,5,31.25,5,31.25,1,6.25,1,6.25,2,12.5,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05048
5,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05050
5,51,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,05051
5,52,6,0,0.0,0,0.0,0,0.0,0,0.0,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05052
5,53,13,4,30.77,3,23.08,1,7.69,1,7.69,1,7.69,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69,1,7.69,05053
5,55,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05055
6,1,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,06001
6,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06002
6,3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,06003
6,4,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06004
6,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06005
6,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,06006
6,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06007
6,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06008
6,9,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06009
6,10,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06010
6,11,4,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,06011
6,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06012
6,13,5,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06013
6,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06014
6,15,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06015
6,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06016
6,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06017
