ward,precinct,total,Joe Swiatek,Joe Swiatek Percent,Tom Swiss,Tom Swiss Percent,Robert P. Hoban,Robert P. Hoban Percent,precinct_id
27,1,31,9,29.03,12,38.71,10,32.26,27001
27,2,1,0,0.0,0,0.0,1,100.0,27002
27,3,0,0,0.0,0,0.0,0,0.0,27003
27,4,2,0,0.0,2,100.0,0,0.0,27004
27,5,11,1,9.09,3,27.27,7,63.64,27005
27,6,2,0,0.0,1,50.0,1,50.0,27006
27,7,31,12,38.71,9,29.03,10,32.26,27007
27,8,1,0,0.0,1,100.0,0,0.0,27008
27,9,11,2,18.18,4,36.36,5,45.45,27009
27,10,5,2,40.0,3,60.0,0,0.0,27010
27,11,18,7,38.89,6,33.33,5,27.78,27011
27,12,27,7,25.93,13,48.15,7,25.93,27012
27,13,5,2,40.0,2,40.0,1,20.0,27013
27,14,1,1,100.0,0,0.0,0,0.0,27014
27,15,1,0,0.0,0,0.0,1,100.0,27015
27,16,14,8,57.14,6,42.86,0,0.0,27016
27,17,33,7,21.21,7,21.21,19,57.58,27017
27,18,32,19,59.38,10,31.25,3,9.38,27018
27,19,1,1,100.0,0,0.0,0,0.0,27019
27,20,0,0,0.0,0,0.0,0,0.0,27020
27,21,0,0,0.0,0,0.0,0,0.0,27021
27,22,1,0,0.0,1,100.0,0,0.0,27022
27,23,0,0,0.0,0,0.0,0,0.0,27023
27,24,0,0,0.0,0,0.0,0,0.0,27024
27,25,0,0,0.0,0,0.0,0,0.0,27025
27,26,2,1,50.0,1,50.0,0,0.0,27026
27,27,2,0,0.0,1,50.0,1,50.0,27027
27,28,22,7,31.82,8,36.36,7,31.82,27028
27,29,1,0,0.0,1,100.0,0,0.0,27029
27,30,3,2,66.67,0,0.0,1,33.33,27030
27,31,0,0,0.0,0,0.0,0,0.0,27031
27,32,4,1,25.0,0,0.0,3,75.0,27032
27,33,6,1,16.67,3,50.0,2,33.33,27033
27,34,1,1,100.0,0,0.0,0,0.0,27034
27,35,15,7,46.67,8,53.33,0,0.0,27035
27,36,3,0,0.0,3,100.0,0,0.0,27036
27,37,7,4,57.14,2,28.57,1,14.29,27037
27,38,5,3,60.0,2,40.0,0,0.0,27038
27,39,1,1,100.0,0,0.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,0,0.0,27040
27,41,25,17,68.0,7,28.0,1,4.0,27041
27,42,36,8,22.22,18,50.0,10,27.78,27042
27,43,1,0,0.0,1,100.0,0,0.0,27043
27,44,0,0,0.0,0,0.0,0,0.0,27044
27,45,0,0,0.0,0,0.0,0,0.0,27045
27,46,0,0,0.0,0,0.0,0,0.0,27046
27,47,1,0,0.0,1,100.0,0,0.0,27047
27,48,0,0,0.0,0,0.0,0,0.0,27048
27,49,0,0,0.0,0,0.0,0,0.0,27049
27,50,40,11,27.5,21,52.5,8,20.0,27050
27,51,0,0,0.0,0,0.0,0,0.0,27051
27,52,0,0,0.0,0,0.0,0,0.0,27052
27,53,16,7,43.75,6,37.5,3,18.75,27053
27,54,25,10,40.0,8,32.0,7,28.0,27054
27,55,1,0,0.0,1,100.0,0,0.0,27055
27,56,7,5,71.43,0,0.0,2,28.57,27056
27,57,20,5,25.0,9,45.0,6,30.0,27057
27,58,12,2,16.67,5,41.67,5,41.67,27058
27,59,8,1,12.5,4,50.0,3,37.5,27059
