ward,precinct,total,Robert Russell Kijak (Christie),Robert Russell Kijak (Christie) Percent,Jean Wayner (Christie),Jean Wayner (Christie) Percent,Antonio Alonso (Trump),Antonio Alonso (Trump) Percent,Michael Burke (Trump),Michael Burke (Trump) Percent,Christopher Hilliard (Trump),Christopher Hilliard (Trump) Percent,Kirstie Ann Brenson (Bush),Kirstie Ann Brenson (Bush) Percent,Jeffrey S. Arseneau (Bush),Jeffrey S. Arseneau (Bush) Percent,Patrick E. Rea (Bush),Patrick E. Rea (Bush) Percent,Karen Ann Hayes (Cruz),Karen Ann Hayes (Cruz) Percent,Audrey A. Tancos (Cruz),Audrey A. Tancos (Cruz) Percent,Gina M. Danaher (Cruz),Gina M. Danaher (Cruz) Percent,Joann Kelly (Fiorina),Joann Kelly (Fiorina) Percent,Norman Stanley (Fiorina),Norman Stanley (Fiorina) Percent,Mary P. Geringer (Fiorina),Mary P. Geringer (Fiorina) Percent,Shaun Colin Murphy (Kasich),Shaun Colin Murphy (Kasich) Percent,Matthew T. Murphy (Kasich),Matthew T. Murphy (Kasich) Percent,Kevin Suggs (Kasich),Kevin Suggs (Kasich) Percent,Darnell B. Macklin (Carson),Darnell B. Macklin (Carson) Percent,Michael J. Uremovich (Carson),Michael J. Uremovich (Carson) Percent,Symeon Brown (Paul),Symeon Brown (Paul) Percent,Margo McDermed (Rubio),Margo McDermed (Rubio) Percent,Corey Brooks (Rubio),Corey Brooks (Rubio) Percent,Raymond Tuminello (Rubio),Raymond Tuminello (Rubio) Percent,precinct_id
3,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03002
3,4,3,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,7,23,0,0.0,0,0.0,3,13.04,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,2,8.7,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,2,8.7,3,13.04,2,8.7,03007
3,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,18,9,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,03018
3,23,3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,03023
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03035
