ward,precinct,total,James T. Marter,James T. Marter Percent,Mark Steven Kirk,Mark Steven Kirk Percent,precinct_id
1,1,32,9,28.13,23,71.88,01001
1,2,27,10,37.04,17,62.96,01002
1,3,44,9,20.45,35,79.55,01003
1,4,63,18,28.57,45,71.43,01004
1,5,40,16,40.0,24,60.0,01005
1,6,55,16,29.09,39,70.91,01006
1,7,17,6,35.29,11,64.71,01007
1,8,30,5,16.67,25,83.33,01008
1,9,25,5,20.0,20,80.0,01009
1,10,49,9,18.37,40,81.63,01010
1,11,60,21,35.0,39,65.0,01011
1,12,58,14,24.14,44,75.86,01012
1,13,21,8,38.1,13,61.9,01013
1,14,46,6,13.04,40,86.96,01014
1,15,33,11,33.33,22,66.67,01015
1,16,19,3,15.79,16,84.21,01016
1,17,14,3,21.43,11,78.57,01017
1,18,23,12,52.17,11,47.83,01018
1,19,29,9,31.03,20,68.97,01019
1,20,17,6,35.29,11,64.71,01020
1,21,61,20,32.79,41,67.21,01021
1,22,23,6,26.09,17,73.91,01022
1,23,42,18,42.86,24,57.14,01023
1,24,24,7,29.17,17,70.83,01024
1,25,31,8,25.81,23,74.19,01025
1,26,13,3,23.08,10,76.92,01026
1,27,53,13,24.53,40,75.47,01027
1,28,2,0,0.0,2,100.0,01028
1,29,52,17,32.69,35,67.31,01029
1,30,26,10,38.46,16,61.54,01030
1,31,37,8,21.62,29,78.38,01031
1,32,39,11,28.21,28,71.79,01032
1,33,54,16,29.63,38,70.37,01033
1,34,26,8,30.77,18,69.23,01034
1,35,63,13,20.63,50,79.37,01035
1,36,66,21,31.82,45,68.18,01036
1,37,55,10,18.18,45,81.82,01037
1,38,35,10,28.57,25,71.43,01038
1,39,35,13,37.14,22,62.86,01039
1,40,31,9,29.03,22,70.97,01040
1,41,17,6,35.29,11,64.71,01041
1,42,16,7,43.75,9,56.25,01042
1,43,32,8,25.0,24,75.0,01043
1,44,20,8,40.0,12,60.0,01044
2,1,51,18,35.29,33,64.71,02001
2,2,81,17,20.99,64,79.01,02002
2,3,58,16,27.59,42,72.41,02003
2,4,38,15,39.47,23,60.53,02004
2,5,75,19,25.33,56,74.67,02005
2,6,51,12,23.53,39,76.47,02006
2,7,47,8,17.02,39,82.98,02007
2,8,75,23,30.67,52,69.33,02008
2,9,105,19,18.1,86,81.9,02009
2,10,120,13,10.83,107,89.17,02010
2,11,121,26,21.49,95,78.51,02011
2,12,72,18,25.0,54,75.0,02012
2,13,127,31,24.41,96,75.59,02013
2,14,50,10,20.0,40,80.0,02014
2,15,53,24,45.28,29,54.72,02015
2,16,42,9,21.43,33,78.57,02016
2,17,64,17,26.56,47,73.44,02017
2,18,96,21,21.88,75,78.13,02018
2,19,91,13,14.29,78,85.71,02019
2,20,98,21,21.43,77,78.57,02020
2,21,44,10,22.73,34,77.27,02021
2,22,129,20,15.5,109,84.5,02022
2,23,91,12,13.19,79,86.81,02023
2,24,87,12,13.79,75,86.21,02024
2,25,54,13,24.07,41,75.93,02025
2,26,82,13,15.85,69,84.15,02026
2,27,109,24,22.02,85,77.98,02027
2,28,123,22,17.89,101,82.11,02028
2,29,124,21,16.94,103,83.06,02029
2,30,106,21,19.81,85,80.19,02030
2,31,139,27,19.42,112,80.58,02031
2,32,90,18,20.0,72,80.0,02032
2,33,148,26,17.57,122,82.43,02033
2,34,108,16,14.81,92,85.19,02034
2,35,127,36,28.35,91,71.65,02035
2,36,82,19,23.17,63,76.83,02036
2,37,105,35,33.33,70,66.67,02037
2,38,111,26,23.42,85,76.58,02038
2,39,87,28,32.18,59,67.82,02039
2,40,108,24,22.22,84,77.78,02040
2,41,106,25,23.58,81,76.42,02041
2,42,87,18,20.69,69,79.31,02042
2,43,152,28,18.42,124,81.58,02043
2,44,78,18,23.08,60,76.92,02044
2,45,77,31,40.26,46,59.74,02045
2,46,65,13,20.0,52,80.0,02046
3,1,2,0,0.0,2,100.0,03001
3,2,4,1,25.0,3,75.0,03002
3,3,14,3,21.43,11,78.57,03003
3,4,4,2,50.0,2,50.0,03004
3,5,1,1,100.0,0,0.0,03005
3,6,91,25,27.47,66,72.53,03006
3,7,7,1,14.29,6,85.71,03007
3,8,2,1,50.0,1,50.0,03008
3,9,7,1,14.29,6,85.71,03009
3,10,3,1,33.33,2,66.67,03010
3,11,2,0,0.0,2,100.0,03011
3,12,1,0,0.0,1,100.0,03012
3,13,75,26,34.67,49,65.33,03013
3,14,48,13,27.08,35,72.92,03014
3,15,7,1,14.29,6,85.71,03015
3,16,6,2,33.33,4,66.67,03016
3,17,36,13,36.11,23,63.89,03017
3,18,8,3,37.5,5,62.5,03018
3,19,98,26,26.53,72,73.47,03019
3,20,3,1,33.33,2,66.67,03020
3,21,68,17,25.0,51,75.0,03021
3,22,73,18,24.66,55,75.34,03022
3,23,6,2,33.33,4,66.67,03023
3,24,3,0,0.0,3,100.0,03024
3,25,128,25,19.53,103,80.47,03025
3,26,68,11,16.18,57,83.82,03026
3,27,93,27,29.03,66,70.97,03027
3,28,5,1,20.0,4,80.0,03028
3,29,8,2,25.0,6,75.0,03029
3,30,4,0,0.0,4,100.0,03030
3,31,5,0,0.0,5,100.0,03031
3,32,61,15,24.59,46,75.41,03032
3,33,76,25,32.89,51,67.11,03033
3,34,64,23,35.94,41,64.06,03034
3,35,3,1,33.33,2,66.67,03035
3,36,1,1,100.0,0,0.0,03036
3,37,2,0,0.0,2,100.0,03037
3,38,1,0,0.0,1,100.0,03038
3,39,87,27,31.03,60,68.97,03039
3,40,29,11,37.93,18,62.07,03040
3,41,25,8,32.0,17,68.0,03041
4,1,32,11,34.38,21,65.63,04001
4,2,83,19,22.89,64,77.11,04002
4,3,4,3,75.0,1,25.0,04003
4,4,10,5,50.0,5,50.0,04004
4,5,12,4,33.33,8,66.67,04005
4,6,18,4,22.22,14,77.78,04006
4,7,8,1,12.5,7,87.5,04007
4,8,2,1,50.0,1,50.0,04008
4,9,4,1,25.0,3,75.0,04009
4,10,12,6,50.0,6,50.0,04010
4,11,7,1,14.29,6,85.71,04011
4,12,2,2,100.0,0,0.0,04012
4,13,35,8,22.86,27,77.14,04013
4,14,5,3,60.0,2,40.0,04014
4,15,12,1,8.33,11,91.67,04015
4,16,62,21,33.87,41,66.13,04016
4,17,66,16,24.24,50,75.76,04017
4,18,7,4,57.14,3,42.86,04018
4,19,1,0,0.0,1,100.0,04019
4,20,55,10,18.18,45,81.82,04020
4,21,73,15,20.55,58,79.45,04021
4,22,24,7,29.17,17,70.83,04022
4,23,31,14,45.16,17,54.84,04023
4,24,22,4,18.18,18,81.82,04024
4,25,81,15,18.52,66,81.48,04025
4,26,8,3,37.5,5,62.5,04026
4,27,25,10,40.0,15,60.0,04027
4,28,13,5,38.46,8,61.54,04028
4,29,6,5,83.33,1,16.67,04029
4,30,3,1,33.33,2,66.67,04030
4,31,11,6,54.55,5,45.45,04031
4,32,4,0,0.0,4,100.0,04032
4,33,14,6,42.86,8,57.14,04033
4,34,12,2,16.67,10,83.33,04034
4,35,8,4,50.0,4,50.0,04035
4,36,5,2,40.0,3,60.0,04036
4,37,75,22,29.33,53,70.67,04037
4,38,2,1,50.0,1,50.0,04038
5,1,4,4,100.0,0,0.0,05001
5,2,4,1,25.0,3,75.0,05002
5,3,18,3,16.67,15,83.33,05003
5,4,15,6,40.0,9,60.0,05004
5,5,2,0,0.0,2,100.0,05005
5,6,1,0,0.0,1,100.0,05006
5,7,25,8,32.0,17,68.0,05007
5,8,34,7,20.59,27,79.41,05008
5,9,19,3,15.79,16,84.21,05009
5,10,2,0,0.0,2,100.0,05010
5,11,38,13,34.21,25,65.79,05011
5,12,3,2,66.67,1,33.33,05012
5,13,6,3,50.0,3,50.0,05013
5,14,2,1,50.0,1,50.0,05014
5,15,15,4,26.67,11,73.33,05015
5,16,2,1,50.0,1,50.0,05016
5,17,7,2,28.57,5,71.43,05017
5,18,20,5,25.0,15,75.0,05018
5,19,24,6,25.0,18,75.0,05019
5,20,15,5,33.33,10,66.67,05020
