ward,precinct,total,Thomas J. Dart,Thomas J. Dart Percent,Sylvester E. Baker Jr.,Sylvester E. Baker Jr. Percent,precinct_id
1,1,89,68,76.4,21,23.6,01001
1,2,71,60,84.51,11,15.49,01002
1,3,58,49,84.48,9,15.52,01003
1,4,89,73,82.02,16,17.98,01004
1,5,72,62,86.11,10,13.89,01005
1,6,89,72,80.9,17,19.1,01006
1,7,75,65,86.67,10,13.33,01007
1,8,81,63,77.78,18,22.22,01008
1,9,103,72,69.9,31,30.1,01009
1,10,90,77,85.56,13,14.44,01010
1,11,61,46,75.41,15,24.59,01011
1,12,105,93,88.57,12,11.43,01012
1,13,127,100,78.74,27,21.26,01013
1,14,77,68,88.31,9,11.69,01014
1,15,72,54,75.0,18,25.0,01015
1,16,51,32,62.75,19,37.25,01016
1,17,61,55,90.16,6,9.84,01017
1,18,76,63,82.89,13,17.11,01018
1,19,67,51,76.12,16,23.88,01019
1,20,108,85,78.7,23,21.3,01020
1,21,65,55,84.62,10,15.38,01021
1,22,70,54,77.14,16,22.86,01022
1,23,70,58,82.86,12,17.14,01023
1,24,160,126,78.75,34,21.25,01024
1,25,58,40,68.97,18,31.03,01025
1,26,56,45,80.36,11,19.64,01026
1,27,61,48,78.69,13,21.31,01027
1,28,56,41,73.21,15,26.79,01028
1,29,96,80,83.33,16,16.67,01029
1,30,142,104,73.24,38,26.76,01030
1,31,68,62,91.18,6,8.82,01031
1,32,92,67,72.83,25,27.17,01032
1,33,100,83,83.0,17,17.0,01033
1,34,56,45,80.36,11,19.64,01034
1,35,51,47,92.16,4,7.84,01035
1,36,84,73,86.9,11,13.1,01036
1,37,76,60,78.95,16,21.05,01037
1,38,46,37,80.43,9,19.57,01038
1,39,82,63,76.83,19,23.17,01039
1,40,29,23,79.31,6,20.69,01040
1,41,71,55,77.46,16,22.54,01041
1,42,62,50,80.65,12,19.35,01042
1,43,90,64,71.11,26,28.89,01043
1,44,60,51,85.0,9,15.0,01044
1,45,89,81,91.01,8,8.99,01045
1,46,85,72,84.71,13,15.29,01046
1,47,74,60,81.08,14,18.92,01047
1,48,52,42,80.77,10,19.23,01048
1,49,38,35,92.11,3,7.89,01049
1,50,57,44,77.19,13,22.81,01050
2,1,186,152,81.72,34,18.28,02001
2,2,30,20,66.67,10,33.33,02002
2,3,151,113,74.83,38,25.17,02003
2,4,92,60,65.22,32,34.78,02004
2,5,129,73,56.59,56,43.41,02005
2,6,129,110,85.27,19,14.73,02006
2,7,189,117,61.9,72,38.1,02007
2,8,205,167,81.46,38,18.54,02008
2,9,108,71,65.74,37,34.26,02009
2,10,93,64,68.82,29,31.18,02010
2,11,267,240,89.89,27,10.11,02011
2,12,133,121,90.98,12,9.02,02012
2,13,142,105,73.94,37,26.06,02013
