ward,precinct,total,"John Patrick Callahan, Jr.","John Patrick Callahan, Jr. Percent",Joanne F. Fehn,Joanne F. Fehn Percent,precinct_id
1,1,73,44,60.27,29,39.73,01001
1,2,64,45,70.31,19,29.69,01002
1,3,49,32,65.31,17,34.69,01003
1,4,76,58,76.32,18,23.68,01004
1,5,59,46,77.97,13,22.03,01005
1,6,80,53,66.25,27,33.75,01006
1,7,71,53,74.65,18,25.35,01007
1,8,73,50,68.49,23,31.51,01008
1,9,86,49,56.98,37,43.02,01009
1,10,76,47,61.84,29,38.16,01010
1,11,51,35,68.63,16,31.37,01011
1,12,90,64,71.11,26,28.89,01012
1,13,114,76,66.67,38,33.33,01013
1,14,72,48,66.67,24,33.33,01014
1,15,66,32,48.48,34,51.52,01015
1,16,46,31,67.39,15,32.61,01016
1,17,40,30,75.0,10,25.0,01017
1,18,65,38,58.46,27,41.54,01018
1,19,57,43,75.44,14,24.56,01019
1,20,91,60,65.93,31,34.07,01020
1,21,56,42,75.0,14,25.0,01021
1,22,56,30,53.57,26,46.43,01022
1,23,58,37,63.79,21,36.21,01023
1,24,142,83,58.45,59,41.55,01024
1,25,51,31,60.78,20,39.22,01025
1,26,42,29,69.05,13,30.95,01026
1,27,51,34,66.67,17,33.33,01027
1,28,52,37,71.15,15,28.85,01028
1,29,80,53,66.25,27,33.75,01029
1,30,129,79,61.24,50,38.76,01030
1,31,57,33,57.89,24,42.11,01031
1,32,68,47,69.12,21,30.88,01032
1,33,81,53,65.43,28,34.57,01033
1,34,53,33,62.26,20,37.74,01034
1,35,42,36,85.71,6,14.29,01035
1,36,71,53,74.65,18,25.35,01036
1,37,64,41,64.06,23,35.94,01037
1,38,34,28,82.35,6,17.65,01038
1,39,74,40,54.05,34,45.95,01039
1,40,24,13,54.17,11,45.83,01040
1,41,62,42,67.74,20,32.26,01041
1,42,51,36,70.59,15,29.41,01042
1,43,72,51,70.83,21,29.17,01043
1,44,49,35,71.43,14,28.57,01044
1,45,82,49,59.76,33,40.24,01045
1,46,79,52,65.82,27,34.18,01046
1,47,62,49,79.03,13,20.97,01047
1,48,52,32,61.54,20,38.46,01048
1,49,38,26,68.42,12,31.58,01049
1,50,52,35,67.31,17,32.69,01050
2,1,165,114,69.09,51,30.91,02001
2,2,25,17,68.0,8,32.0,02002
2,3,133,93,69.92,40,30.08,02003
2,4,72,47,65.28,25,34.72,02004
2,5,104,51,49.04,53,50.96,02005
2,6,107,73,68.22,34,31.78,02006
2,7,159,100,62.89,59,37.11,02007
2,8,162,114,70.37,48,29.63,02008
2,9,101,71,70.3,30,29.7,02009
2,10,76,53,69.74,23,30.26,02010
2,11,239,168,70.29,71,29.71,02011
2,12,114,82,71.93,32,28.07,02012
2,13,117,82,70.09,35,29.91,02013
2,14,191,106,55.5,85,44.5,02014
2,15,56,31,55.36,25,44.64,02015
2,16,122,93,76.23,29,23.77,02016
2,17,72,37,51.39,35,48.61,02017
2,18,139,110,79.14,29,20.86,02018
2,19,145,100,68.97,45,31.03,02019
2,20,197,114,57.87,83,42.13,02020
2,21,140,88,62.86,52,37.14,02021
2,22,202,137,67.82,65,32.18,02022
2,23,84,42,50.0,42,50.0,02023
2,24,61,41,67.21,20,32.79,02024
2,25,141,89,63.12,52,36.88,02025
2,26,95,55,57.89,40,42.11,02026
2,27,97,59,60.82,38,39.18,02027
2,28,84,57,67.86,27,32.14,02028
2,29,63,38,60.32,25,39.68,02029
2,30,111,72,64.86,39,35.14,02030
2,31,125,68,54.4,57,45.6,02031
2,32,50,29,58.0,21,42.0,02032
2,33,60,33,55.0,27,45.0,02033
2,34,101,63,62.38,38,37.62,02034
2,35,26,18,69.23,8,30.77,02035
2,36,192,133,69.27,59,30.73,02036
2,37,107,78,72.9,29,27.1,02037
2,38,165,110,66.67,55,33.33,02038
2,39,89,60,67.42,29,32.58,02039
2,40,191,126,65.97,65,34.03,02040
2,41,58,37,63.79,21,36.21,02041
2,42,75,52,69.33,23,30.67,02042
2,43,199,141,70.85,58,29.15,02043
2,44,94,62,65.96,32,34.04,02044
2,45,98,46,46.94,52,53.06,02045
2,46,198,114,57.58,84,42.42,02046
2,47,79,48,60.76,31,39.24,02047
2,48,68,42,61.76,26,38.24,02048
2,49,90,62,68.89,28,31.11,02049
2,50,82,56,68.29,26,31.71,02050
2,51,80,46,57.5,34,42.5,02051
2,52,138,74,53.62,64,46.38,02052
2,53,96,56,58.33,40,41.67,02053
2,54,153,107,69.93,46,30.07,02054
2,55,54,34,62.96,20,37.04,02055
2,56,104,61,58.65,43,41.35,02056
3,1,92,46,50.0,46,50.0,03001
3,2,179,86,48.04,93,51.96,03002
3,3,124,73,58.87,51,41.13,03003
3,4,83,37,44.58,46,55.42,03004
3,5,108,60,55.56,48,44.44,03005
3,6,31,13,41.94,18,58.06,03006
3,7,114,62,54.39,52,45.61,03007
3,8,96,48,50.0,48,50.0,03008
3,9,110,62,56.36,48,43.64,03009
3,10,40,23,57.5,17,42.5,03010
3,11,109,46,42.2,63,57.8,03011
3,12,84,50,59.52,34,40.48,03012
3,13,69,42,60.87,27,39.13,03013
3,14,101,71,70.3,30,29.7,03014
3,15,126,78,61.9,48,38.1,03015
3,16,94,43,45.74,51,54.26,03016
3,17,57,42,73.68,15,26.32,03017
3,18,57,34,59.65,23,40.35,03018
3,19,32,19,59.38,13,40.63,03019
3,20,87,47,54.02,40,45.98,03020
3,21,44,23,52.27,21,47.73,03021
3,22,66,39,59.09,27,40.91,03022
3,23,89,53,59.55,36,40.45,03023
3,24,136,72,52.94,64,47.06,03024
3,25,67,46,68.66,21,31.34,03025
3,26,32,15,46.88,17,53.13,03026
3,27,116,70,60.34,46,39.66,03027
3,28,185,123,66.49,62,33.51,03028
3,29,110,51,46.36,59,53.64,03029
3,30,92,40,43.48,52,56.52,03030
3,31,173,81,46.82,92,53.18,03031
3,32,84,34,40.48,50,59.52,03032
3,33,136,75,55.15,61,44.85,03033
3,34,114,67,58.77,47,41.23,03034
3,35,120,52,43.33,68,56.67,03035
3,36,31,17,54.84,14,45.16,03036
3,37,50,26,52.0,24,48.0,03037
3,38,178,107,60.11,71,39.89,03038
3,39,188,122,64.89,66,35.11,03039
3,40,113,50,44.25,63,55.75,03040
3,41,115,65,56.52,50,43.48,03041
3,42,65,37,56.92,28,43.08,03042
3,43,13,9,69.23,4,30.77,03043
3,44,25,17,68.0,8,32.0,03044
3,45,146,92,63.01,54,36.99,03045
3,46,12,7,58.33,5,41.67,03046
3,47,72,39,54.17,33,45.83,03047
3,48,72,32,44.44,40,55.56,03048
3,49,29,17,58.62,12,41.38,03049
3,50,59,37,62.71,22,37.29,03050
4,1,171,105,61.4,66,38.6,04001
4,2,204,127,62.25,77,37.75,04002
4,3,177,103,58.19,74,41.81,04003
4,4,123,79,64.23,44,35.77,04004
4,5,206,122,59.22,84,40.78,04005
4,6,63,40,63.49,23,36.51,04006
4,7,166,102,61.45,64,38.55,04007
4,8,169,112,66.27,57,33.73,04008
4,9,323,187,57.89,136,42.11,04009
4,10,160,91,56.88,69,43.13,04010
4,11,107,73,68.22,34,31.78,04011
4,12,83,52,62.65,31,37.35,04012
4,13,111,70,63.06,41,36.94,04013
4,14,89,58,65.17,31,34.83,04014
4,15,112,64,57.14,48,42.86,04015
4,16,161,95,59.01,66,40.99,04016
4,17,164,96,58.54,68,41.46,04017
4,18,139,85,61.15,54,38.85,04018
4,19,141,86,60.99,55,39.01,04019
4,20,79,44,55.7,35,44.3,04020
4,21,197,132,67.01,65,32.99,04021
4,22,198,117,59.09,81,40.91,04022
4,23,116,72,62.07,44,37.93,04023
4,24,140,96,68.57,44,31.43,04024
4,25,169,97,57.4,72,42.6,04025
4,26,148,88,59.46,60,40.54,04026
4,27,130,86,66.15,44,33.85,04027
4,28,105,72,68.57,33,31.43,04028
4,29,134,89,66.42,45,33.58,04029
4,30,122,73,59.84,49,40.16,04030
4,31,86,60,69.77,26,30.23,04031
4,32,157,104,66.24,53,33.76,04032
4,33,113,65,57.52,48,42.48,04033
4,34,118,77,65.25,41,34.75,04034
4,35,77,37,48.05,40,51.95,04035
4,36,106,60,56.6,46,43.4,04036
4,37,0,0,0.0,0,0.0,04037
4,38,248,149,60.08,99,39.92,04038
4,39,94,66,70.21,28,29.79,04039
4,40,112,78,69.64,34,30.36,04040
4,41,62,43,69.35,19,30.65,04041
4,42,173,104,60.12,69,39.88,04042
4,43,106,74,69.81,32,30.19,04043
4,44,91,51,56.04,40,43.96,04044
4,45,266,170,63.91,96,36.09,04045
4,46,109,68,62.39,41,37.61,04046
4,47,163,119,73.01,44,26.99,04047
4,48,195,132,67.69,63,32.31,04048
4,49,103,66,64.08,37,35.92,04049
4,50,132,85,64.39,47,35.61,04050
4,51,133,89,66.92,44,33.08,04051
4,52,164,107,65.24,57,34.76,04052
5,1,141,91,64.54,50,35.46,05001
5,2,120,62,51.67,58,48.33,05002
5,3,65,39,60.0,26,40.0,05003
5,4,95,59,62.11,36,37.89,05004
5,5,103,62,60.19,41,39.81,05005
5,6,151,78,51.66,73,48.34,05006
5,7,143,87,60.84,56,39.16,05007
5,8,175,132,75.43,43,24.57,05008
5,9,123,68,55.28,55,44.72,05009
5,10,99,60,60.61,39,39.39,05010
5,11,115,78,67.83,37,32.17,05011
5,12,67,49,73.13,18,26.87,05012
5,13,128,71,55.47,57,44.53,05013
5,14,184,111,60.33,73,39.67,05014
5,15,99,61,61.62,38,38.38,05015
5,16,95,64,67.37,31,32.63,05016
5,17,119,71,59.66,48,40.34,05017
5,18,110,48,43.64,62,56.36,05018
5,19,58,37,63.79,21,36.21,05019
5,20,54,36,66.67,18,33.33,05020
5,21,113,67,59.29,46,40.71,05021
5,22,130,83,63.85,47,36.15,05022
5,23,84,55,65.48,29,34.52,05023
5,24,140,94,67.14,46,32.86,05024
5,25,94,55,58.51,39,41.49,05025
5,26,129,72,55.81,57,44.19,05026
5,27,135,108,80.0,27,20.0,05027
5,28,157,90,57.32,67,42.68,05028
5,29,129,65,50.39,64,49.61,05029
5,30,110,79,71.82,31,28.18,05030
5,31,107,55,51.4,52,48.6,05031
5,32,246,142,57.72,104,42.28,05032
5,33,93,50,53.76,43,46.24,05033
5,34,135,73,54.07,62,45.93,05034
5,35,99,57,57.58,42,42.42,05035
5,36,56,32,57.14,24,42.86,05036
5,37,103,61,59.22,42,40.78,05037
5,38,167,125,74.85,42,25.15,05038
5,39,165,121,73.33,44,26.67,05039
5,40,107,60,56.07,47,43.93,05040
5,41,101,81,80.2,20,19.8,05041
5,42,132,86,65.15,46,34.85,05042
