ward,precinct,total,Edwin Reyes,Edwin Reyes Percent,precinct_id
29,39,147,147,100.0,29039
30,3,179,179,100.0,30003
30,4,144,144,100.0,30004
30,5,81,81,100.0,30005
30,6,118,118,100.0,30006
30,8,165,165,100.0,30008
30,10,12,12,100.0,30010
30,12,106,106,100.0,30012
30,15,177,177,100.0,30015
30,16,156,156,100.0,30016
30,17,93,93,100.0,30017
30,18,101,101,100.0,30018
30,19,108,108,100.0,30019
30,20,126,126,100.0,30020
30,21,138,138,100.0,30021
30,22,148,148,100.0,30022
30,23,130,130,100.0,30023
30,24,129,129,100.0,30024
30,25,88,88,100.0,30025
30,26,97,97,100.0,30026
30,27,230,230,100.0,30027
30,29,94,94,100.0,30029
30,31,96,96,100.0,30031
30,32,62,62,100.0,30032
30,33,126,126,100.0,30033
30,36,158,158,100.0,30036
30,41,152,152,100.0,30041
31,1,71,71,100.0,31001
31,2,95,95,100.0,31002
31,4,115,115,100.0,31004
31,5,152,152,100.0,31005
31,6,116,116,100.0,31006
31,7,124,124,100.0,31007
31,10,61,61,100.0,31010
31,11,126,126,100.0,31011
31,12,131,131,100.0,31012
31,13,120,120,100.0,31013
31,14,101,101,100.0,31014
31,16,119,119,100.0,31016
31,17,91,91,100.0,31017
31,18,69,69,100.0,31018
31,20,87,87,100.0,31020
31,21,124,124,100.0,31021
31,22,85,85,100.0,31022
31,23,78,78,100.0,31023
31,24,114,114,100.0,31024
31,25,127,127,100.0,31025
31,26,2,2,100.0,31026
31,27,92,92,100.0,31027
31,30,155,155,100.0,31030
31,31,178,178,100.0,31031
31,33,150,150,100.0,31033
31,34,90,90,100.0,31034
31,36,150,150,100.0,31036
31,37,101,101,100.0,31037
31,39,71,71,100.0,31039
31,40,87,87,100.0,31040
31,42,145,145,100.0,31042
31,44,116,116,100.0,31044
32,19,231,231,100.0,32019
33,1,294,294,100.0,33001
33,2,300,300,100.0,33002
33,3,279,279,100.0,33003
33,4,293,293,100.0,33004
33,5,197,197,100.0,33005
33,6,261,261,100.0,33006
33,7,349,349,100.0,33007
33,8,276,276,100.0,33008
33,9,280,280,100.0,33009
33,10,309,309,100.0,33010
33,11,295,295,100.0,33011
33,12,283,283,100.0,33012
33,13,281,281,100.0,33013
33,15,279,279,100.0,33015
33,16,240,240,100.0,33016
33,17,308,308,100.0,33017
33,19,290,290,100.0,33019
33,20,289,289,100.0,33020
33,21,334,334,100.0,33021
33,22,343,343,100.0,33022
33,23,305,305,100.0,33023
33,24,333,333,100.0,33024
33,25,342,342,100.0,33025
33,26,321,321,100.0,33026
33,27,277,277,100.0,33027
35,1,256,256,100.0,35001
35,2,202,202,100.0,35002
35,3,180,180,100.0,35003
35,4,241,241,100.0,35004
35,5,229,229,100.0,35005
35,6,207,207,100.0,35006
35,7,267,267,100.0,35007
35,8,196,196,100.0,35008
35,9,230,230,100.0,35009
35,10,225,225,100.0,35010
35,11,202,202,100.0,35011
35,12,286,286,100.0,35012
35,13,60,60,100.0,35013
35,14,268,268,100.0,35014
35,15,211,211,100.0,35015
35,16,256,256,100.0,35016
35,17,249,249,100.0,35017
35,18,286,286,100.0,35018
35,19,254,254,100.0,35019
35,20,212,212,100.0,35020
35,21,213,213,100.0,35021
35,22,86,86,100.0,35022
35,23,136,136,100.0,35023
35,24,130,130,100.0,35024
35,25,265,265,100.0,35025
35,26,269,269,100.0,35026
35,27,290,290,100.0,35027
35,28,275,275,100.0,35028
35,29,302,302,100.0,35029
35,30,319,319,100.0,35030
35,31,132,132,100.0,35031
35,32,130,130,100.0,35032
35,33,214,214,100.0,35033
35,34,261,261,100.0,35034
35,35,215,215,100.0,35035
35,36,152,152,100.0,35036
37,1,145,145,100.0,37001
37,2,59,59,100.0,37002
37,11,82,82,100.0,37011
37,16,4,4,100.0,37016
37,19,131,131,100.0,37019
37,39,167,167,100.0,37039
37,42,157,157,100.0,37042
39,13,116,116,100.0,39013
39,23,115,115,100.0,39023
39,24,208,208,100.0,39024
