ward,precinct,total,Frederick Collins,Frederick Collins Percent,Thomas J. Dart,Thomas J. Dart Percent,Marshall P. Lewis,Marshall P. Lewis Percent,precinct_id
1,1,271,33,12.18,222,81.92,16,5.9,01001
1,2,311,46,14.79,245,78.78,20,6.43,01002
1,3,216,24,11.11,176,81.48,16,7.41,01003
1,4,269,46,17.1,210,78.07,13,4.83,01004
1,5,270,44,16.3,212,78.52,14,5.19,01005
1,6,277,54,19.49,197,71.12,26,9.39,01006
1,7,283,51,18.02,220,77.74,12,4.24,01007
1,8,285,39,13.68,233,81.75,13,4.56,01008
1,9,212,15,7.08,168,79.25,29,13.68,01009
1,10,303,52,17.16,226,74.59,25,8.25,01010
1,11,230,32,13.91,181,78.7,17,7.39,01011
1,12,330,72,21.82,241,73.03,17,5.15,01012
1,13,337,41,12.17,265,78.64,31,9.2,01013
1,14,274,39,14.23,212,77.37,23,8.39,01014
1,15,180,11,6.11,154,85.56,15,8.33,01015
1,16,109,8,7.34,99,90.83,2,1.83,01016
1,17,171,16,9.36,145,84.8,10,5.85,01017
1,18,241,31,12.86,183,75.93,27,11.2,01018
1,19,175,16,9.14,145,82.86,14,8.0,01019
1,20,278,43,15.47,214,76.98,21,7.55,01020
1,21,217,49,22.58,161,74.19,7,3.23,01021
1,22,209,23,11.0,170,81.34,16,7.66,01022
1,23,216,39,18.06,156,72.22,21,9.72,01023
1,24,377,37,9.81,290,76.92,50,13.26,01024
1,25,198,42,21.21,145,73.23,11,5.56,01025
1,26,257,55,21.4,181,70.43,21,8.17,01026
1,27,179,41,22.91,124,69.27,14,7.82,01027
1,28,150,18,12.0,124,82.67,8,5.33,01028
1,29,284,43,15.14,216,76.06,25,8.8,01029
1,30,356,39,10.96,281,78.93,36,10.11,01030
1,31,355,91,25.63,250,70.42,14,3.94,01031
1,32,235,33,14.04,185,78.72,17,7.23,01032
1,33,281,37,13.17,220,78.29,24,8.54,01033
1,34,192,29,15.1,143,74.48,20,10.42,01034
1,35,255,62,24.31,179,70.2,14,5.49,01035
1,36,282,53,18.79,207,73.4,22,7.8,01036
1,37,200,34,17.0,142,71.0,24,12.0,01037
1,38,160,17,10.63,130,81.25,13,8.13,01038
1,39,236,30,12.71,187,79.24,19,8.05,01039
1,40,141,21,14.89,105,74.47,15,10.64,01040
1,41,203,32,15.76,156,76.85,15,7.39,01041
1,42,223,39,17.49,167,74.89,17,7.62,01042
1,43,225,25,11.11,188,83.56,12,5.33,01043
1,44,211,28,13.27,157,74.41,26,12.32,01044
1,45,238,29,12.18,189,79.41,20,8.4,01045
1,46,307,43,14.01,241,78.5,23,7.49,01046
1,47,255,45,17.65,196,76.86,14,5.49,01047
1,48,174,25,14.37,135,77.59,14,8.05,01048
1,49,154,18,11.69,119,77.27,17,11.04,01049
1,50,179,25,13.97,129,72.07,25,13.97,01050
2,1,727,147,20.22,541,74.42,39,5.36,02001
2,2,84,4,4.76,79,94.05,1,1.19,02002
2,3,382,58,15.18,300,78.53,24,6.28,02003
2,4,250,5,2.0,242,96.8,3,1.2,02004
2,5,281,12,4.27,262,93.24,7,2.49,02005
2,6,533,153,28.71,366,68.67,14,2.63,02006
2,7,345,9,2.61,330,95.65,6,1.74,02007
2,8,451,72,15.96,366,81.15,13,2.88,02008
2,9,293,14,4.78,271,92.49,8,2.73,02009
2,10,165,6,3.64,154,93.33,5,3.03,02010
2,11,496,55,11.09,419,84.48,22,4.44,02011
2,12,567,134,23.63,413,72.84,20,3.53,02012
2,13,323,22,6.81,287,88.85,14,4.33,02013
2,14,359,17,4.74,331,92.2,11,3.06,02014
2,15,178,8,4.49,166,93.26,4,2.25,02015
2,16,505,139,27.52,346,68.51,20,3.96,02016
2,17,247,7,2.83,232,93.93,8,3.24,02017
2,18,389,69,17.74,312,80.21,8,2.06,02018
2,19,566,129,22.79,411,72.61,26,4.59,02019
2,20,446,22,4.93,417,93.5,7,1.57,02020
2,21,329,27,8.21,287,87.23,15,4.56,02021
2,22,507,71,14.0,418,82.45,18,3.55,02022
2,23,204,18,8.82,179,87.75,7,3.43,02023
2,24,227,37,16.3,181,79.74,9,3.96,02024
2,25,443,42,9.48,383,86.46,18,4.06,02025
2,26,347,53,15.27,277,79.83,17,4.9,02026
2,27,240,7,2.92,224,93.33,9,3.75,02027
2,28,259,56,21.62,193,74.52,10,3.86,02028
2,29,173,16,9.25,150,86.71,7,4.05,02029
2,30,434,95,21.89,325,74.88,14,3.23,02030
2,31,295,8,2.71,282,95.59,5,1.69,02031
2,32,174,14,8.05,153,87.93,7,4.02,02032
2,33,201,5,2.49,193,96.02,3,1.49,02033
2,34,210,14,6.67,190,90.48,6,2.86,02034
2,35,88,13,14.77,67,76.14,8,9.09,02035
2,36,542,81,14.94,447,82.47,14,2.58,02036
2,37,297,51,17.17,237,79.8,9,3.03,02037
2,38,593,126,21.25,450,75.89,17,2.87,02038
2,39,327,33,10.09,287,87.77,7,2.14,02039
2,40,726,128,17.63,565,77.82,33,4.55,02040
2,41,166,4,2.41,158,95.18,4,2.41,02041
2,42,164,5,3.05,158,96.34,1,0.61,02042
2,43,409,39,9.54,355,86.8,15,3.67,02043
2,44,221,14,6.33,199,90.05,8,3.62,02044
2,45,297,23,7.74,263,88.55,11,3.7,02045
2,46,393,10,2.54,369,93.89,14,3.56,02046
2,47,205,4,1.95,195,95.12,6,2.93,02047
2,48,171,4,2.34,161,94.15,6,3.51,02048
2,49,327,55,16.82,244,74.62,28,8.56,02049
2,50,207,25,12.08,168,81.16,14,6.76,02050
2,51,217,8,3.69,201,92.63,8,3.69,02051
2,52,348,17,4.89,318,91.38,13,3.74,02052
2,53,332,67,20.18,252,75.9,13,3.92,02053
2,54,437,47,10.76,355,81.24,35,8.01,02054
2,55,193,42,21.76,140,72.54,11,5.7,02055
2,56,258,16,6.2,235,91.09,7,2.71,02056
3,1,245,6,2.45,235,95.92,4,1.63,03001
3,2,338,11,3.25,320,94.67,7,2.07,03002
3,3,335,29,8.66,298,88.96,8,2.39,03003
3,4,208,5,2.4,194,93.27,9,4.33,03004
3,5,246,9,3.66,226,91.87,11,4.47,03005
3,6,69,1,1.45,68,98.55,0,0.0,03006
3,7,283,12,4.24,263,92.93,8,2.83,03007
3,8,265,4,1.51,257,96.98,4,1.51,03008
3,9,284,3,1.06,276,97.18,5,1.76,03009
3,10,103,2,1.94,98,95.15,3,2.91,03010
3,11,285,8,2.81,261,91.58,16,5.61,03011
3,12,249,8,3.21,232,93.17,9,3.61,03012
3,13,154,20,12.99,126,81.82,8,5.19,03013
3,14,163,2,1.23,158,96.93,3,1.84,03014
3,15,304,5,1.64,291,95.72,8,2.63,03015
3,16,224,9,4.02,203,90.63,12,5.36,03016
3,17,144,1,0.69,141,97.92,2,1.39,03017
3,18,139,2,1.44,132,94.96,5,3.6,03018
3,19,72,8,11.11,62,86.11,2,2.78,03019
3,20,203,5,2.46,192,94.58,6,2.96,03020
3,21,113,0,0.0,109,96.46,4,3.54,03021
3,22,141,1,0.71,138,97.87,2,1.42,03022
3,23,260,9,3.46,240,92.31,11,4.23,03023
3,24,366,8,2.19,353,96.45,5,1.37,03024
3,25,191,0,0.0,187,97.91,4,2.09,03025
3,26,86,0,0.0,86,100.0,0,0.0,03026
3,27,277,6,2.17,262,94.58,9,3.25,03027
3,28,578,100,17.3,458,79.24,20,3.46,03028
3,29,256,2,0.78,244,95.31,10,3.91,03029
3,30,175,4,2.29,165,94.29,6,3.43,03030
3,31,371,8,2.16,351,94.61,12,3.23,03031
3,32,231,5,2.16,221,95.67,5,2.16,03032
3,33,339,13,3.83,315,92.92,11,3.24,03033
3,34,215,6,2.79,200,93.02,9,4.19,03034
3,35,265,5,1.89,250,94.34,10,3.77,03035
3,36,91,3,3.3,86,94.51,2,2.2,03036
3,37,115,0,0.0,109,94.78,6,5.22,03037
3,38,349,3,0.86,334,95.7,12,3.44,03038
3,39,340,9,2.65,324,95.29,7,2.06,03039
3,40,254,4,1.57,244,96.06,6,2.36,03040
3,41,221,17,7.69,194,87.78,10,4.52,03041
3,42,204,11,5.39,183,89.71,10,4.9,03042
3,43,48,1,2.08,46,95.83,1,2.08,03043
3,44,98,3,3.06,92,93.88,3,3.06,03044
3,45,381,47,12.34,323,84.78,11,2.89,03045
3,46,63,0,0.0,63,100.0,0,0.0,03046
3,47,166,6,3.61,155,93.37,5,3.01,03047
3,48,202,4,1.98,194,96.04,4,1.98,03048
3,49,103,1,0.97,100,97.09,2,1.94,03049
3,50,159,4,2.52,154,96.86,1,0.63,03050
4,1,492,32,6.5,427,86.79,33,6.71,04001
4,2,410,7,1.71,389,94.88,14,3.41,04002
4,3,374,6,1.6,347,92.78,21,5.61,04003
4,4,371,7,1.89,357,96.23,7,1.89,04004
4,5,439,14,3.19,405,92.26,20,4.56,04005
4,6,111,2,1.8,103,92.79,6,5.41,04006
4,7,392,16,4.08,359,91.58,17,4.34,04007
4,8,392,6,1.53,371,94.64,15,3.83,04008
4,9,569,9,1.58,547,96.13,13,2.28,04009
4,10,368,13,3.53,345,93.75,10,2.72,04010
4,11,304,3,0.99,291,95.72,10,3.29,04011
4,12,204,7,3.43,185,90.69,12,5.88,04012
4,13,260,11,4.23,234,90.0,15,5.77,04013
4,14,263,4,1.52,249,94.68,10,3.8,04014
4,15,298,17,5.7,266,89.26,15,5.03,04015
4,16,382,8,2.09,362,94.76,12,3.14,04016
4,17,333,23,6.91,302,90.69,8,2.4,04017
4,18,315,11,3.49,296,93.97,8,2.54,04018
4,19,331,8,2.42,312,94.26,11,3.32,04019
4,20,270,5,1.85,257,95.19,8,2.96,04020
4,21,435,16,3.68,393,90.34,26,5.98,04021
4,22,391,8,2.05,368,94.12,15,3.84,04022
4,23,253,19,7.51,220,86.96,14,5.53,04023
4,24,346,17,4.91,308,89.02,21,6.07,04024
4,25,341,11,3.23,320,93.84,10,2.93,04025
4,26,363,9,2.48,343,94.49,11,3.03,04026
4,27,277,5,1.81,267,96.39,5,1.81,04027
4,28,199,17,8.54,174,87.44,8,4.02,04028
4,29,294,22,7.48,259,88.1,13,4.42,04029
4,30,259,7,2.7,246,94.98,6,2.32,04030
4,31,228,11,4.82,198,86.84,19,8.33,04031
4,32,383,28,7.31,323,84.33,32,8.36,04032
4,33,300,10,3.33,277,92.33,13,4.33,04033
4,34,250,17,6.8,218,87.2,15,6.0,04034
4,35,217,6,2.76,205,94.47,6,2.76,04035
4,36,242,7,2.89,228,94.21,7,2.89,04036
4,37,7,1,14.29,6,85.71,0,0.0,04037
4,38,479,15,3.13,443,92.48,21,4.38,04038
4,39,238,5,2.1,222,93.28,11,4.62,04039
4,40,352,16,4.55,320,90.91,16,4.55,04040
4,41,167,9,5.39,148,88.62,10,5.99,04041
4,42,356,12,3.37,334,93.82,10,2.81,04042
4,43,219,7,3.2,194,88.58,18,8.22,04043
4,44,192,9,4.69,173,90.1,10,5.21,04044
4,45,494,21,4.25,452,91.5,21,4.25,04045
4,46,263,5,1.9,241,91.63,17,6.46,04046
4,47,456,25,5.48,401,87.94,30,6.58,04047
4,48,420,23,5.48,380,90.48,17,4.05,04048
4,49,263,3,1.14,250,95.06,10,3.8,04049
4,50,296,4,1.35,284,95.95,8,2.7,04050
4,51,299,6,2.01,287,95.99,6,2.01,04051
4,52,352,8,2.27,334,94.89,10,2.84,04052
5,1,326,10,3.07,301,92.33,15,4.6,05001
5,2,263,9,3.42,249,94.68,5,1.9,05002
5,3,163,9,5.52,145,88.96,9,5.52,05003
5,4,220,3,1.36,212,96.36,5,2.27,05004
5,5,274,8,2.92,261,95.26,5,1.82,05005
5,6,355,6,1.69,342,96.34,7,1.97,05006
5,7,322,5,1.55,308,95.65,9,2.8,05007
5,8,384,24,6.25,340,88.54,20,5.21,05008
