ward,precinct,total,James R. Epstein,James R. Epstein Percent,precinct_id
1,1,222,222,100.0,01001
1,2,241,241,100.0,01002
1,3,168,168,100.0,01003
1,4,197,197,100.0,01004
1,5,206,206,100.0,01005
1,6,194,194,100.0,01006
1,7,200,200,100.0,01007
1,8,223,223,100.0,01008
1,9,176,176,100.0,01009
1,10,227,227,100.0,01010
1,11,185,185,100.0,01011
1,12,243,243,100.0,01012
1,13,267,267,100.0,01013
1,14,203,203,100.0,01014
1,15,161,161,100.0,01015
1,16,83,83,100.0,01016
1,17,135,135,100.0,01017
1,18,175,175,100.0,01018
1,19,125,125,100.0,01019
1,20,194,194,100.0,01020
1,21,163,163,100.0,01021
1,22,154,154,100.0,01022
1,23,164,164,100.0,01023
1,24,287,287,100.0,01024
1,25,142,142,100.0,01025
1,26,192,192,100.0,01026
1,27,133,133,100.0,01027
1,28,110,110,100.0,01028
1,29,207,207,100.0,01029
1,30,285,285,100.0,01030
1,31,265,265,100.0,01031
1,32,177,177,100.0,01032
1,33,221,221,100.0,01033
1,34,159,159,100.0,01034
1,35,188,188,100.0,01035
1,36,217,217,100.0,01036
1,37,156,156,100.0,01037
1,38,125,125,100.0,01038
1,39,173,173,100.0,01039
1,40,102,102,100.0,01040
1,41,159,159,100.0,01041
1,42,154,154,100.0,01042
1,43,185,185,100.0,01043
1,44,181,181,100.0,01044
1,45,196,196,100.0,01045
1,46,228,228,100.0,01046
1,47,200,200,100.0,01047
1,48,136,136,100.0,01048
1,49,122,122,100.0,01049
1,50,138,138,100.0,01050
2,1,550,550,100.0,02001
2,2,78,78,100.0,02002
2,3,303,303,100.0,02003
2,4,220,220,100.0,02004
2,5,238,238,100.0,02005
2,6,382,382,100.0,02006
2,7,308,308,100.0,02007
2,8,350,350,100.0,02008
2,9,240,240,100.0,02009
2,10,146,146,100.0,02010
2,11,372,372,100.0,02011
2,12,406,406,100.0,02012
2,13,253,253,100.0,02013
2,14,302,302,100.0,02014
2,15,155,155,100.0,02015
2,16,347,347,100.0,02016
2,17,219,219,100.0,02017
2,18,282,282,100.0,02018
2,19,404,404,100.0,02019
2,20,364,364,100.0,02020
2,21,253,253,100.0,02021
2,22,394,394,100.0,02022
2,23,166,166,100.0,02023
2,24,179,179,100.0,02024
2,25,367,367,100.0,02025
2,26,261,261,100.0,02026
2,27,210,210,100.0,02027
2,28,191,191,100.0,02028
2,29,148,148,100.0,02029
2,30,277,277,100.0,02030
2,31,264,264,100.0,02031
2,32,136,136,100.0,02032
2,33,183,183,100.0,02033
