ward,precinct,total,Terry MacCarthy,Terry MacCarthy Percent,precinct_id
1,1,216,216,100.0,01001
1,2,221,221,100.0,01002
1,3,164,164,100.0,01003
1,4,189,189,100.0,01004
1,5,199,199,100.0,01005
1,6,190,190,100.0,01006
1,7,191,191,100.0,01007
1,8,211,211,100.0,01008
1,9,167,167,100.0,01009
1,10,214,214,100.0,01010
1,11,171,171,100.0,01011
1,12,234,234,100.0,01012
1,13,257,257,100.0,01013
1,14,201,201,100.0,01014
1,15,154,154,100.0,01015
1,16,82,82,100.0,01016
1,17,122,122,100.0,01017
1,18,164,164,100.0,01018
1,19,114,114,100.0,01019
1,20,181,181,100.0,01020
1,21,148,148,100.0,01021
1,22,150,150,100.0,01022
1,23,163,163,100.0,01023
1,24,279,279,100.0,01024
1,25,133,133,100.0,01025
1,26,182,182,100.0,01026
1,27,128,128,100.0,01027
1,28,100,100,100.0,01028
1,29,193,193,100.0,01029
1,30,278,278,100.0,01030
1,31,251,251,100.0,01031
1,32,166,166,100.0,01032
1,33,213,213,100.0,01033
1,34,151,151,100.0,01034
1,35,175,175,100.0,01035
1,36,210,210,100.0,01036
1,37,157,157,100.0,01037
1,38,123,123,100.0,01038
1,39,168,168,100.0,01039
1,40,98,98,100.0,01040
1,41,153,153,100.0,01041
1,42,146,146,100.0,01042
1,43,168,168,100.0,01043
1,44,165,165,100.0,01044
1,45,187,187,100.0,01045
1,46,210,210,100.0,01046
1,47,189,189,100.0,01047
1,48,119,119,100.0,01048
1,49,114,114,100.0,01049
1,50,129,129,100.0,01050
2,1,524,524,100.0,02001
2,2,73,73,100.0,02002
2,3,291,291,100.0,02003
2,4,212,212,100.0,02004
2,5,216,216,100.0,02005
2,6,369,369,100.0,02006
2,7,281,281,100.0,02007
2,8,334,334,100.0,02008
2,9,228,228,100.0,02009
2,10,138,138,100.0,02010
2,11,349,349,100.0,02011
2,12,388,388,100.0,02012
2,13,224,224,100.0,02013
2,14,293,293,100.0,02014
2,15,145,145,100.0,02015
2,16,335,335,100.0,02016
2,17,202,202,100.0,02017
2,18,270,270,100.0,02018
2,19,386,386,100.0,02019
2,20,354,354,100.0,02020
2,21,246,246,100.0,02021
2,22,367,367,100.0,02022
2,23,161,161,100.0,02023
2,24,174,174,100.0,02024
2,25,338,338,100.0,02025
2,26,243,243,100.0,02026
2,27,200,200,100.0,02027
2,28,182,182,100.0,02028
2,29,141,141,100.0,02029
2,30,252,252,100.0,02030
2,31,251,251,100.0,02031
2,32,131,131,100.0,02032
2,33,170,170,100.0,02033
2,34,169,169,100.0,02034
2,35,70,70,100.0,02035
2,36,411,411,100.0,02036
2,37,227,227,100.0,02037
2,38,425,425,100.0,02038
2,39,251,251,100.0,02039
2,40,552,552,100.0,02040
2,41,138,138,100.0,02041
2,42,120,120,100.0,02042
2,43,303,303,100.0,02043
2,44,179,179,100.0,02044
2,45,216,216,100.0,02045
2,46,315,315,100.0,02046
2,47,169,169,100.0,02047
2,48,142,142,100.0,02048
2,49,238,238,100.0,02049
2,50,150,150,100.0,02050
2,51,183,183,100.0,02051
2,52,272,272,100.0,02052
2,53,263,263,100.0,02053
2,54,325,325,100.0,02054
2,55,156,156,100.0,02055
2,56,205,205,100.0,02056
3,1,190,190,100.0,03001
3,2,274,274,100.0,03002
3,3,240,240,100.0,03003
3,4,188,188,100.0,03004
3,5,199,199,100.0,03005
3,6,54,54,100.0,03006
3,7,232,232,100.0,03007
3,8,209,209,100.0,03008
3,9,222,222,100.0,03009
3,10,80,80,100.0,03010
3,11,245,245,100.0,03011
3,12,205,205,100.0,03012
3,13,119,119,100.0,03013
3,14,142,142,100.0,03014
3,15,240,240,100.0,03015
3,16,190,190,100.0,03016
3,17,110,110,100.0,03017
3,18,104,104,100.0,03018
3,19,54,54,100.0,03019
3,20,161,161,100.0,03020
3,21,88,88,100.0,03021
3,22,106,106,100.0,03022
3,23,195,195,100.0,03023
3,24,304,304,100.0,03024
3,25,162,162,100.0,03025
3,26,61,61,100.0,03026
3,27,230,230,100.0,03027
3,28,388,388,100.0,03028
3,29,220,220,100.0,03029
3,30,145,145,100.0,03030
3,31,304,304,100.0,03031
3,32,190,190,100.0,03032
3,33,264,264,100.0,03033
3,34,179,179,100.0,03034
3,35,217,217,100.0,03035
3,36,78,78,100.0,03036
3,37,92,92,100.0,03037
3,38,292,292,100.0,03038
3,39,289,289,100.0,03039
3,40,207,207,100.0,03040
3,41,180,180,100.0,03041
3,42,152,152,100.0,03042
3,43,31,31,100.0,03043
3,44,77,77,100.0,03044
3,45,285,285,100.0,03045
3,46,49,49,100.0,03046
3,47,122,122,100.0,03047
3,48,159,159,100.0,03048
3,49,85,85,100.0,03049
3,50,128,128,100.0,03050
4,1,403,403,100.0,04001
4,2,344,344,100.0,04002
4,3,308,308,100.0,04003
4,4,285,285,100.0,04004
4,5,368,368,100.0,04005
4,6,93,93,100.0,04006
4,7,326,326,100.0,04007
4,8,339,339,100.0,04008
4,9,483,483,100.0,04009
4,10,302,302,100.0,04010
4,11,249,249,100.0,04011
4,12,170,170,100.0,04012
4,13,202,202,100.0,04013
4,14,201,201,100.0,04014
4,15,239,239,100.0,04015
4,16,315,315,100.0,04016
4,17,271,271,100.0,04017
4,18,256,256,100.0,04018
4,19,266,266,100.0,04019
4,20,234,234,100.0,04020
4,21,366,366,100.0,04021
4,22,309,309,100.0,04022
4,23,211,211,100.0,04023
4,24,270,270,100.0,04024
4,25,274,274,100.0,04025
4,26,290,290,100.0,04026
4,27,240,240,100.0,04027
4,28,159,159,100.0,04028
4,29,226,226,100.0,04029
4,30,213,213,100.0,04030
4,31,180,180,100.0,04031
4,32,290,290,100.0,04032
4,33,254,254,100.0,04033
4,34,187,187,100.0,04034
4,35,169,169,100.0,04035
4,36,197,197,100.0,04036
4,37,6,6,100.0,04037
4,38,407,407,100.0,04038
4,39,193,193,100.0,04039
4,40,287,287,100.0,04040
4,41,136,136,100.0,04041
4,42,289,289,100.0,04042
4,43,171,171,100.0,04043
4,44,160,160,100.0,04044
4,45,391,391,100.0,04045
4,46,228,228,100.0,04046
4,47,373,373,100.0,04047
4,48,329,329,100.0,04048
