ward,precinct,total,Daniel Malone,Daniel Malone Percent,precinct_id
13,1,190,190,100.0,13001
13,2,127,127,100.0,13002
13,3,209,209,100.0,13003
13,4,263,263,100.0,13004
13,5,207,207,100.0,13005
13,6,165,165,100.0,13006
13,7,172,172,100.0,13007
13,8,187,187,100.0,13008
13,9,211,211,100.0,13009
13,10,150,150,100.0,13010
13,11,170,170,100.0,13011
13,12,161,161,100.0,13012
13,13,211,211,100.0,13013
13,14,169,169,100.0,13014
13,15,252,252,100.0,13015
13,16,212,212,100.0,13016
13,17,187,187,100.0,13017
13,18,145,145,100.0,13018
13,19,239,239,100.0,13019
13,20,178,178,100.0,13020
13,21,211,211,100.0,13021
13,22,151,151,100.0,13022
13,23,147,147,100.0,13023
13,24,189,189,100.0,13024
13,25,154,154,100.0,13025
13,26,178,178,100.0,13026
13,27,203,203,100.0,13027
13,28,158,158,100.0,13028
13,29,185,185,100.0,13029
13,30,228,228,100.0,13030
13,31,186,186,100.0,13031
13,32,197,197,100.0,13032
13,33,180,180,100.0,13033
13,34,225,225,100.0,13034
13,35,185,185,100.0,13035
13,36,107,107,100.0,13036
13,37,196,196,100.0,13037
13,38,204,204,100.0,13038
13,39,170,170,100.0,13039
13,40,190,190,100.0,13040
13,41,169,169,100.0,13041
13,42,167,167,100.0,13042
13,43,181,181,100.0,13043
13,44,190,190,100.0,13044
13,45,221,221,100.0,13045
13,46,194,194,100.0,13046
13,47,205,205,100.0,13047
14,1,72,72,100.0,14001
14,2,126,126,100.0,14002
14,3,146,146,100.0,14003
14,4,114,114,100.0,14004
14,6,130,130,100.0,14006
14,9,157,157,100.0,14009
14,13,139,139,100.0,14013
14,25,133,133,100.0,14025
14,27,191,191,100.0,14027
14,28,140,140,100.0,14028
15,1,104,104,100.0,15001
15,8,207,207,100.0,15008
15,10,98,98,100.0,15010
15,14,163,163,100.0,15014
15,16,82,82,100.0,15016
15,28,154,154,100.0,15028
15,34,10,10,100.0,15034
15,41,217,217,100.0,15041
15,46,57,57,100.0,15046
15,51,52,52,100.0,15051
16,17,107,107,100.0,16017
16,39,104,104,100.0,16039
17,11,177,177,100.0,17011
17,32,180,180,100.0,17032
17,40,142,142,100.0,17040
17,56,180,180,100.0,17056
17,57,191,191,100.0,17057
17,58,4,4,100.0,17058
17,59,100,100,100.0,17059
17,60,228,228,100.0,17060
17,61,164,164,100.0,17061
17,62,140,140,100.0,17062
17,63,119,119,100.0,17063
17,64,107,107,100.0,17064
18,1,116,116,100.0,18001
18,2,249,249,100.0,18002
18,3,154,154,100.0,18003
18,4,267,267,100.0,18004
18,5,200,200,100.0,18005
18,6,177,177,100.0,18006
18,7,205,205,100.0,18007
18,8,101,101,100.0,18008
18,9,266,266,100.0,18009
18,10,400,400,100.0,18010
18,11,237,237,100.0,18011
18,12,289,289,100.0,18012
18,13,279,279,100.0,18013
18,14,279,279,100.0,18014
18,15,111,111,100.0,18015
18,16,290,290,100.0,18016
18,17,224,224,100.0,18017
18,18,216,216,100.0,18018
18,19,263,263,100.0,18019
18,21,354,354,100.0,18021
18,22,333,333,100.0,18022
18,23,222,222,100.0,18023
18,26,188,188,100.0,18026
18,27,221,221,100.0,18027
18,28,179,179,100.0,18028
18,29,268,268,100.0,18029
18,31,232,232,100.0,18031
18,32,294,294,100.0,18032
18,33,207,207,100.0,18033
18,34,308,308,100.0,18034
18,35,296,296,100.0,18035
18,36,158,158,100.0,18036
18,37,207,207,100.0,18037
18,39,220,220,100.0,18039
18,40,294,294,100.0,18040
18,41,195,195,100.0,18041
18,42,183,183,100.0,18042
18,43,170,170,100.0,18043
18,44,164,164,100.0,18044
18,47,214,214,100.0,18047
18,48,120,120,100.0,18048
18,49,164,164,100.0,18049
18,50,209,209,100.0,18050
18,54,217,217,100.0,18054
18,55,181,181,100.0,18055
18,56,200,200,100.0,18056
18,57,172,172,100.0,18057
18,58,223,223,100.0,18058
18,59,214,214,100.0,18059
18,62,159,159,100.0,18062
19,1,237,237,100.0,19001
19,2,245,245,100.0,19002
19,3,186,186,100.0,19003
19,4,208,208,100.0,19004
19,5,314,314,100.0,19005
19,6,203,203,100.0,19006
19,7,225,225,100.0,19007
19,8,162,162,100.0,19008
19,9,165,165,100.0,19009
19,10,341,341,100.0,19010
19,11,231,231,100.0,19011
19,12,199,199,100.0,19012
19,13,204,204,100.0,19013
19,14,285,285,100.0,19014
19,15,179,179,100.0,19015
19,16,278,278,100.0,19016
19,17,238,238,100.0,19017
19,18,296,296,100.0,19018
19,19,267,267,100.0,19019
19,20,270,270,100.0,19020
19,21,177,177,100.0,19021
19,22,282,282,100.0,19022
19,23,277,277,100.0,19023
19,24,210,210,100.0,19024
19,25,282,282,100.0,19025
19,26,267,267,100.0,19026
19,27,183,183,100.0,19027
19,28,313,313,100.0,19028
19,29,195,195,100.0,19029
19,30,228,228,100.0,19030
19,31,203,203,100.0,19031
19,32,255,255,100.0,19032
19,33,260,260,100.0,19033
19,34,241,241,100.0,19034
19,35,256,256,100.0,19035
19,36,341,341,100.0,19036
19,37,294,294,100.0,19037
19,38,301,301,100.0,19038
19,39,146,146,100.0,19039
19,40,272,272,100.0,19040
19,41,158,158,100.0,19041
19,42,288,288,100.0,19042
19,43,347,347,100.0,19043
19,44,198,198,100.0,19044
19,45,242,242,100.0,19045
19,46,283,283,100.0,19046
19,47,415,415,100.0,19047
19,48,425,425,100.0,19048
19,49,342,342,100.0,19049
19,50,317,317,100.0,19050
19,51,171,171,100.0,19051
19,52,196,196,100.0,19052
19,53,261,261,100.0,19053
19,54,168,168,100.0,19054
19,55,189,189,100.0,19055
19,56,314,314,100.0,19056
19,57,295,295,100.0,19057
19,58,223,223,100.0,19058
19,59,245,245,100.0,19059
19,61,286,286,100.0,19061
19,62,230,230,100.0,19062
19,63,186,186,100.0,19063
21,20,10,10,100.0,21020
23,1,184,184,100.0,23001
23,2,241,241,100.0,23002
23,3,189,189,100.0,23003
23,4,189,189,100.0,23004
23,5,162,162,100.0,23005
23,6,183,183,100.0,23006
23,7,151,151,100.0,23007
23,8,152,152,100.0,23008
23,9,199,199,100.0,23009
23,10,218,218,100.0,23010
23,11,210,210,100.0,23011
23,12,210,210,100.0,23012
23,13,220,220,100.0,23013
23,14,152,152,100.0,23014
23,15,185,185,100.0,23015
23,16,200,200,100.0,23016
23,17,229,229,100.0,23017
23,18,142,142,100.0,23018
23,19,165,165,100.0,23019
23,20,153,153,100.0,23020
23,21,244,244,100.0,23021
23,22,191,191,100.0,23022
23,23,153,153,100.0,23023
23,24,137,137,100.0,23024
23,25,140,140,100.0,23025
23,26,162,162,100.0,23026
23,27,178,178,100.0,23027
23,28,177,177,100.0,23028
23,29,140,140,100.0,23029
23,30,181,181,100.0,23030
23,32,211,211,100.0,23032
23,33,186,186,100.0,23033
23,34,157,157,100.0,23034
23,35,147,147,100.0,23035
23,36,224,224,100.0,23036
23,37,133,133,100.0,23037
23,38,167,167,100.0,23038
23,39,143,143,100.0,23039
23,40,160,160,100.0,23040
23,41,171,171,100.0,23041
23,42,169,169,100.0,23042
23,43,203,203,100.0,23043
23,44,189,189,100.0,23044
23,45,225,225,100.0,23045
23,46,187,187,100.0,23046
23,47,206,206,100.0,23047
23,48,148,148,100.0,23048
23,49,214,214,100.0,23049
23,50,115,115,100.0,23050
23,51,159,159,100.0,23051
23,52,236,236,100.0,23052
23,53,123,123,100.0,23053
23,54,225,225,100.0,23054
34,19,47,47,100.0,34019
34,33,142,142,100.0,34033
