ward,precinct,total,Thaddeus L. Wilson,Thaddeus L. Wilson Percent,precinct_id
5,12,132,132,100.0,05012
5,50,49,49,100.0,05050
6,1,291,291,100.0,06001
6,2,272,272,100.0,06002
6,3,263,263,100.0,06003
6,4,185,185,100.0,06004
6,5,118,118,100.0,06005
6,6,221,221,100.0,06006
6,8,316,316,100.0,06008
6,9,242,242,100.0,06009
6,10,346,346,100.0,06010
6,11,226,226,100.0,06011
6,12,225,225,100.0,06012
6,13,218,218,100.0,06013
6,14,225,225,100.0,06014
6,16,276,276,100.0,06016
6,17,291,291,100.0,06017
6,19,289,289,100.0,06019
6,21,253,253,100.0,06021
6,22,241,241,100.0,06022
6,23,186,186,100.0,06023
6,24,238,238,100.0,06024
6,25,162,162,100.0,06025
6,26,247,247,100.0,06026
6,27,312,312,100.0,06027
6,28,416,416,100.0,06028
6,29,309,309,100.0,06029
6,31,289,289,100.0,06031
6,34,205,205,100.0,06034
6,35,216,216,100.0,06035
6,36,165,165,100.0,06036
6,37,283,283,100.0,06037
6,38,247,247,100.0,06038
6,39,138,138,100.0,06039
6,40,143,143,100.0,06040
6,41,262,262,100.0,06041
6,42,146,146,100.0,06042
6,43,250,250,100.0,06043
6,44,242,242,100.0,06044
6,45,178,178,100.0,06045
6,46,235,235,100.0,06046
6,47,236,236,100.0,06047
6,49,258,258,100.0,06049
6,50,261,261,100.0,06050
6,51,165,165,100.0,06051
6,52,159,159,100.0,06052
6,53,231,231,100.0,06053
6,54,254,254,100.0,06054
6,55,206,206,100.0,06055
6,56,170,170,100.0,06056
6,57,136,136,100.0,06057
6,58,266,266,100.0,06058
6,59,251,251,100.0,06059
6,60,153,153,100.0,06060
6,63,215,215,100.0,06063
6,64,275,275,100.0,06064
7,1,373,373,100.0,07001
7,2,247,247,100.0,07002
7,3,167,167,100.0,07003
7,4,171,171,100.0,07004
7,5,183,183,100.0,07005
7,6,167,167,100.0,07006
7,7,150,150,100.0,07007
7,8,69,69,100.0,07008
7,10,157,157,100.0,07010
7,12,163,163,100.0,07012
7,13,154,154,100.0,07013
7,14,246,246,100.0,07014
7,15,140,140,100.0,07015
7,16,157,157,100.0,07016
7,17,107,107,100.0,07017
7,18,139,139,100.0,07018
7,19,285,285,100.0,07019
7,20,107,107,100.0,07020
7,21,218,218,100.0,07021
7,22,152,152,100.0,07022
7,23,217,217,100.0,07023
7,24,198,198,100.0,07024
7,25,273,273,100.0,07025
7,26,251,251,100.0,07026
7,27,304,304,100.0,07027
7,28,240,240,100.0,07028
7,29,194,194,100.0,07029
7,30,239,239,100.0,07030
7,31,201,201,100.0,07031
7,32,158,158,100.0,07032
7,33,155,155,100.0,07033
7,34,212,212,100.0,07034
7,36,231,231,100.0,07036
7,37,113,113,100.0,07037
7,38,168,168,100.0,07038
7,39,189,189,100.0,07039
7,41,169,169,100.0,07041
7,42,313,313,100.0,07042
7,43,242,242,100.0,07043
7,46,103,103,100.0,07046
7,47,207,207,100.0,07047
7,48,183,183,100.0,07048
7,49,106,106,100.0,07049
7,51,348,348,100.0,07051
7,52,165,165,100.0,07052
7,53,181,181,100.0,07053
7,54,89,89,100.0,07054
