ward,precinct,total,Mark Steven Kirk,Mark Steven Kirk Percent,Alexander ''Alexi'' Giannoulias,Alexander ''Alexi'' Giannoulias Percent,LeAlan M. Jones,LeAlan M. Jones Percent,Mike Labno,Mike Labno Percent,precinct_id
1,1,286,64,22.38,205,71.68,13,4.55,4,1.4,01001
1,2,332,76,22.89,243,73.19,10,3.01,3,0.9,01002
1,3,230,48,20.87,175,76.09,4,1.74,3,1.3,01003
1,4,287,70,24.39,204,71.08,11,3.83,2,0.7,01004
1,5,287,71,24.74,205,71.43,10,3.48,1,0.35,01005
1,6,294,94,31.97,185,62.93,12,4.08,3,1.02,01006
1,7,293,80,27.3,194,66.21,9,3.07,10,3.41,01007
1,8,309,65,21.04,226,73.14,12,3.88,6,1.94,01008
1,9,227,33,14.54,168,74.01,20,8.81,6,2.64,01009
1,10,321,84,26.17,216,67.29,16,4.98,5,1.56,01010
1,11,251,60,23.9,178,70.92,8,3.19,5,1.99,01011
1,12,355,116,32.68,218,61.41,13,3.66,8,2.25,01012
1,13,352,67,19.03,257,73.01,22,6.25,6,1.7,01013
1,14,288,61,21.18,209,72.57,12,4.17,6,2.08,01014
1,15,189,17,8.99,159,84.13,11,5.82,2,1.06,01015
1,16,119,12,10.08,102,85.71,2,1.68,3,2.52,01016
1,17,199,42,21.11,151,75.88,4,2.01,2,1.01,01017
1,18,251,37,14.74,194,77.29,16,6.37,4,1.59,01018
1,19,185,40,21.62,131,70.81,13,7.03,1,0.54,01019
1,20,293,67,22.87,199,67.92,17,5.8,10,3.41,01020
1,21,226,71,31.42,149,65.93,6,2.65,0,0.0,01021
1,22,224,33,14.73,180,80.36,11,4.91,0,0.0,01022
1,23,224,60,26.79,153,68.3,8,3.57,3,1.34,01023
1,24,390,62,15.9,291,74.62,32,8.21,5,1.28,01024
1,25,212,60,28.3,139,65.57,9,4.25,4,1.89,01025
1,26,273,79,28.94,174,63.74,11,4.03,9,3.3,01026
1,27,191,61,31.94,116,60.73,6,3.14,8,4.19,01027
1,28,146,28,19.18,108,73.97,7,4.79,3,2.05,01028
1,29,305,73,23.93,210,68.85,15,4.92,7,2.3,01029
1,30,369,57,15.45,290,78.59,21,5.69,1,0.27,01030
1,31,381,128,33.6,236,61.94,7,1.84,10,2.62,01031
1,32,245,48,19.59,188,76.73,5,2.04,4,1.63,01032
1,33,297,70,23.57,208,70.03,12,4.04,7,2.36,01033
1,34,201,38,18.91,153,76.12,8,3.98,2,1.0,01034
1,35,275,95,34.55,172,62.55,2,0.73,6,2.18,01035
1,36,294,78,26.53,204,69.39,11,3.74,1,0.34,01036
1,37,215,44,20.47,154,71.63,13,6.05,4,1.86,01037
1,38,168,33,19.64,118,70.24,13,7.74,4,2.38,01038
1,39,244,41,16.8,185,75.82,13,5.33,5,2.05,01039
1,40,144,34,23.61,94,65.28,7,4.86,9,6.25,01040
1,41,208,51,24.52,145,69.71,9,4.33,3,1.44,01041
1,42,233,74,31.76,149,63.95,7,3.0,3,1.29,01042
1,43,230,38,16.52,181,78.7,5,2.17,6,2.61,01043
1,44,222,49,22.07,159,71.62,9,4.05,5,2.25,01044
1,45,247,38,15.38,195,78.95,6,2.43,8,3.24,01045
1,46,325,83,25.54,226,69.54,11,3.38,5,1.54,01046
1,47,280,78,27.86,196,70.0,3,1.07,3,1.07,01047
1,48,198,40,20.2,145,73.23,10,5.05,3,1.52,01048
1,49,177,34,19.21,138,77.97,3,1.69,2,1.13,01049
1,50,184,36,19.57,139,75.54,7,3.8,2,1.09,01050
2,1,756,217,28.7,508,67.2,18,2.38,13,1.72,02001
2,2,85,9,10.59,74,87.06,2,2.35,0,0.0,02002
2,3,397,92,23.17,286,72.04,9,2.27,10,2.52,02003
2,4,260,7,2.69,250,96.15,2,0.77,1,0.38,02004
2,5,294,17,5.78,269,91.5,6,2.04,2,0.68,02005
2,6,560,208,37.14,331,59.11,10,1.79,11,1.96,02006
2,7,351,8,2.28,337,96.01,3,0.85,3,0.85,02007
2,8,464,120,25.86,329,70.91,10,2.16,5,1.08,02008
2,9,296,24,8.11,265,89.53,5,1.69,2,0.68,02009
2,10,173,8,4.62,157,90.75,5,2.89,3,1.73,02010
2,11,500,120,24.0,360,72.0,15,3.0,5,1.0,02011
2,12,594,206,34.68,358,60.27,22,3.7,8,1.35,02012
2,13,334,37,11.08,290,86.83,4,1.2,3,0.9,02013
2,14,359,22,6.13,329,91.64,5,1.39,3,0.84,02014
2,15,176,7,3.98,167,94.89,2,1.14,0,0.0,02015
2,16,529,206,38.94,304,57.47,12,2.27,7,1.32,02016
2,17,252,7,2.78,238,94.44,5,1.98,2,0.79,02017
2,18,400,142,35.5,248,62.0,9,2.25,1,0.25,02018
2,19,597,216,36.18,357,59.8,15,2.51,9,1.51,02019
2,20,453,43,9.49,400,88.3,7,1.55,3,0.66,02020
2,21,345,46,13.33,283,82.03,12,3.48,4,1.16,02021
2,22,530,144,27.17,372,70.19,8,1.51,6,1.13,02022
2,23,213,21,9.86,184,86.38,4,1.88,4,1.88,02023
2,24,232,61,26.29,159,68.53,6,2.59,6,2.59,02024
2,25,459,67,14.6,373,81.26,13,2.83,6,1.31,02025
2,26,355,76,21.41,258,72.68,19,5.35,2,0.56,02026
2,27,239,5,2.09,228,95.4,5,2.09,1,0.42,02027
2,28,280,94,33.57,168,60.0,8,2.86,10,3.57,02028
2,29,191,22,11.52,163,85.34,4,2.09,2,1.05,02029
2,30,476,161,33.82,292,61.34,14,2.94,9,1.89,02030
2,31,299,13,4.35,280,93.65,5,1.67,1,0.33,02031
2,32,182,24,13.19,151,82.97,4,2.2,3,1.65,02032
2,33,199,5,2.51,192,96.48,1,0.5,1,0.5,02033
2,34,231,14,6.06,214,92.64,3,1.3,0,0.0,02034
2,35,93,16,17.2,69,74.19,8,8.6,0,0.0,02035
2,36,568,160,28.17,398,70.07,8,1.41,2,0.35,02036
2,37,313,107,34.19,199,63.58,6,1.92,1,0.32,02037
2,38,611,236,38.63,360,58.92,11,1.8,4,0.65,02038
2,39,338,39,11.54,292,86.39,4,1.18,3,0.89,02039
2,40,770,205,26.62,534,69.35,12,1.56,19,2.47,02040
2,41,172,3,1.74,167,97.09,2,1.16,0,0.0,02041
2,42,175,14,8.0,158,90.29,3,1.71,0,0.0,02042
2,43,418,91,21.77,314,75.12,10,2.39,3,0.72,02043
2,44,224,14,6.25,199,88.84,10,4.46,1,0.45,02044
2,45,307,22,7.17,278,90.55,3,0.98,4,1.3,02045
2,46,398,21,5.28,372,93.47,5,1.26,0,0.0,02046
2,47,210,5,2.38,199,94.76,5,2.38,1,0.48,02047
2,48,174,1,0.57,172,98.85,1,0.57,0,0.0,02048
2,49,346,82,23.7,242,69.94,16,4.62,6,1.73,02049
2,50,217,43,19.82,165,76.04,3,1.38,6,2.76,02050
2,51,223,11,4.93,207,92.83,5,2.24,0,0.0,02051
2,52,349,12,3.44,328,93.98,7,2.01,2,0.57,02052
2,53,346,99,28.61,236,68.21,6,1.73,5,1.45,02053
2,54,450,81,18.0,348,77.33,10,2.22,11,2.44,02054
2,55,211,61,28.91,140,66.35,7,3.32,3,1.42,02055
2,56,265,20,7.55,240,90.57,4,1.51,1,0.38,02056
3,1,253,4,1.58,240,94.86,6,2.37,3,1.19,03001
3,2,340,8,2.35,324,95.29,8,2.35,0,0.0,03002
3,3,349,52,14.9,287,82.23,6,1.72,4,1.15,03003
3,4,212,5,2.36,203,95.75,4,1.89,0,0.0,03004
3,5,255,15,5.88,233,91.37,5,1.96,2,0.78,03005
3,6,75,3,4.0,69,92.0,2,2.67,1,1.33,03006
3,7,310,18,5.81,287,92.58,4,1.29,1,0.32,03007
3,8,270,2,0.74,259,95.93,9,3.33,0,0.0,03008
3,9,292,7,2.4,276,94.52,8,2.74,1,0.34,03009
3,10,107,2,1.87,100,93.46,5,4.67,0,0.0,03010
3,11,282,6,2.13,270,95.74,6,2.13,0,0.0,03011
3,12,252,3,1.19,243,96.43,6,2.38,0,0.0,03012
3,13,159,30,18.87,125,78.62,1,0.63,3,1.89,03013
