ward,precinct,total,Mark Steven Kirk,Mark Steven Kirk Percent,Alexander ''Alexi'' Giannoulias,Alexander ''Alexi'' Giannoulias Percent,LeAlan M. Jones,LeAlan M. Jones Percent,Mike Labno,Mike Labno Percent,precinct_id
1,1,267,57,21.35,189,70.79,16,5.99,5,1.87,01001
1,2,313,67,21.41,227,72.52,13,4.15,6,1.92,01002
1,3,216,44,20.37,163,75.46,6,2.78,3,1.39,01003
1,4,272,66,24.26,197,72.43,8,2.94,1,0.37,01004
1,5,277,64,23.1,201,72.56,11,3.97,1,0.36,01005
1,6,280,88,31.43,172,61.43,16,5.71,4,1.43,01006
1,7,270,73,27.04,178,65.93,7,2.59,12,4.44,01007
1,8,294,58,19.73,215,73.13,14,4.76,7,2.38,01008
1,9,218,31,14.22,162,74.31,18,8.26,7,3.21,01009
1,10,302,74,24.5,206,68.21,15,4.97,7,2.32,01010
1,11,237,58,24.47,165,69.62,8,3.38,6,2.53,01011
1,12,333,108,32.43,202,60.66,10,3.0,13,3.9,01012
1,13,329,63,19.15,238,72.34,23,6.99,5,1.52,01013
1,14,269,51,18.96,199,73.98,13,4.83,6,2.23,01014
1,15,179,16,8.94,145,81.01,16,8.94,2,1.12,01015
1,16,109,7,6.42,95,87.16,4,3.67,3,2.75,01016
1,17,179,35,19.55,136,75.98,4,2.23,4,2.23,01017
1,18,232,35,15.09,172,74.14,19,8.19,6,2.59,01018
1,19,167,37,22.16,120,71.86,10,5.99,0,0.0,01019
1,20,278,67,24.1,188,67.63,17,6.12,6,2.16,01020
1,21,217,71,32.72,139,64.06,6,2.76,1,0.46,01021
1,22,198,25,12.63,163,82.32,9,4.55,1,0.51,01022
1,23,212,51,24.06,147,69.34,9,4.25,5,2.36,01023
1,24,360,53,14.72,269,74.72,34,9.44,4,1.11,01024
1,25,202,56,27.72,131,64.85,12,5.94,3,1.49,01025
1,26,262,76,29.01,167,63.74,10,3.82,9,3.44,01026
1,27,172,53,30.81,101,58.72,10,5.81,8,4.65,01027
1,28,139,23,16.55,106,76.26,7,5.04,3,2.16,01028
1,29,294,65,22.11,200,68.03,16,5.44,13,4.42,01029
1,30,351,48,13.68,274,78.06,24,6.84,5,1.42,01030
1,31,365,121,33.15,228,62.47,7,1.92,9,2.47,01031
1,32,234,41,17.52,182,77.78,6,2.56,5,2.14,01032
1,33,278,62,22.3,199,71.58,12,4.32,5,1.8,01033
1,34,187,35,18.72,140,74.87,8,4.28,4,2.14,01034
1,35,254,87,34.25,159,62.6,4,1.57,4,1.57,01035
1,36,283,75,26.5,190,67.14,17,6.01,1,0.35,01036
1,37,202,38,18.81,144,71.29,14,6.93,6,2.97,01037
1,38,160,32,20.0,113,70.63,11,6.88,4,2.5,01038
1,39,234,39,16.67,175,74.79,17,7.26,3,1.28,01039
1,40,140,30,21.43,95,67.86,7,5.0,8,5.71,01040
1,41,197,48,24.37,138,70.05,11,5.58,0,0.0,01041
1,42,218,68,31.19,139,63.76,8,3.67,3,1.38,01042
1,43,224,33,14.73,179,79.91,8,3.57,4,1.79,01043
1,44,204,45,22.06,146,71.57,7,3.43,6,2.94,01044
1,45,233,36,15.45,179,76.82,12,5.15,6,2.58,01045
1,46,302,74,24.5,205,67.88,17,5.63,6,1.99,01046
1,47,262,71,27.1,184,70.23,5,1.91,2,0.76,01047
1,48,174,36,20.69,125,71.84,9,5.17,4,2.3,01048
1,49,165,31,18.79,124,75.15,8,4.85,2,1.21,01049
1,50,172,36,20.93,127,73.84,7,4.07,2,1.16,01050
2,1,717,206,28.73,476,66.39,21,2.93,14,1.95,02001
2,2,84,6,7.14,75,89.29,3,3.57,0,0.0,02002
2,3,379,93,24.54,272,71.77,5,1.32,9,2.37,02003
2,4,257,6,2.33,248,96.5,1,0.39,2,0.78,02004
2,5,281,15,5.34,257,91.46,6,2.14,3,1.07,02005
2,6,531,195,36.72,314,59.13,11,2.07,11,2.07,02006
2,7,332,8,2.41,317,95.48,5,1.51,2,0.6,02007
2,8,444,111,25.0,316,71.17,8,1.8,9,2.03,02008
2,9,286,21,7.34,256,89.51,3,1.05,6,2.1,02009
2,10,167,5,2.99,154,92.22,7,4.19,1,0.6,02010
2,11,480,114,23.75,340,70.83,21,4.38,5,1.04,02011
2,12,565,188,33.27,344,60.88,22,3.89,11,1.95,02012
2,13,319,33,10.34,276,86.52,7,2.19,3,0.94,02013
2,14,346,19,5.49,318,91.91,6,1.73,3,0.87,02014
2,15,171,7,4.09,161,94.15,3,1.75,0,0.0,02015
2,16,494,192,38.87,279,56.48,15,3.04,8,1.62,02016
2,17,245,7,2.86,233,95.1,4,1.63,1,0.41,02017
2,18,382,136,35.6,232,60.73,13,3.4,1,0.26,02018
2,19,576,206,35.76,344,59.72,17,2.95,9,1.56,02019
2,20,440,37,8.41,390,88.64,9,2.05,4,0.91,02020
2,21,322,44,13.66,264,81.99,10,3.11,4,1.24,02021
2,22,507,140,27.61,348,68.64,15,2.96,4,0.79,02022
2,23,203,20,9.85,175,86.21,4,1.97,4,1.97,02023
2,24,228,59,25.88,157,68.86,9,3.95,3,1.32,02024
2,25,441,60,13.61,354,80.27,23,5.22,4,0.91,02025
2,26,341,70,20.53,250,73.31,18,5.28,3,0.88,02026
2,27,231,6,2.6,219,94.81,4,1.73,2,0.87,02027
2,28,262,80,30.53,162,61.83,10,3.82,10,3.82,02028
2,29,177,18,10.17,153,86.44,4,2.26,2,1.13,02029
