ward,precinct,total,Bill Brady & Jason Plummer,Bill Brady & Jason Plummer Percent,Pat Quinn & Sheila Simon,Pat Quinn & Sheila Simon Percent,Rich Whitney & Don W. Crawford,Rich Whitney & Don W. Crawford Percent,Lex Green & Ed Rutledge,Lex Green & Ed Rutledge Percent,Scott Lee Cohen & Baxter B. Swilley,Scott Lee Cohen & Baxter B. Swilley Percent,precinct_id
1,1,282,54,19.15,199,70.57,12,4.26,4,1.42,13,4.61,01001
1,2,332,74,22.29,240,72.29,12,3.61,2,0.6,4,1.2,01002
1,3,231,42,18.18,170,73.59,7,3.03,4,1.73,8,3.46,01003
1,4,285,58,20.35,204,71.58,9,3.16,2,0.7,12,4.21,01004
1,5,285,62,21.75,205,71.93,13,4.56,1,0.35,4,1.4,01005
1,6,293,86,29.35,175,59.73,21,7.17,3,1.02,8,2.73,01006
1,7,295,88,29.83,182,61.69,10,3.39,4,1.36,11,3.73,01007
1,8,307,56,18.24,229,74.59,12,3.91,6,1.95,4,1.3,01008
1,9,223,32,14.35,158,70.85,18,8.07,5,2.24,10,4.48,01009
1,10,317,81,25.55,211,66.56,16,5.05,2,0.63,7,2.21,01010
1,11,251,52,20.72,170,67.73,13,5.18,2,0.8,14,5.58,01011
1,12,356,114,32.02,209,58.71,19,5.34,9,2.53,5,1.4,01012
1,13,351,67,19.09,244,69.52,23,6.55,4,1.14,13,3.7,01013
1,14,284,52,18.31,213,75.0,10,3.52,3,1.06,6,2.11,01014
1,15,193,19,9.84,158,81.87,10,5.18,1,0.52,5,2.59,01015
1,16,119,9,7.56,103,86.55,2,1.68,2,1.68,3,2.52,01016
1,17,189,37,19.58,137,72.49,6,3.17,2,1.06,7,3.7,01017
1,18,254,37,14.57,190,74.8,17,6.69,4,1.57,6,2.36,01018
1,19,187,32,17.11,131,70.05,18,9.63,2,1.07,4,2.14,01019
1,20,301,64,21.26,206,68.44,18,5.98,5,1.66,8,2.66,01020
1,21,229,72,31.44,140,61.14,7,3.06,2,0.87,8,3.49,01021
1,22,222,28,12.61,175,78.83,13,5.86,0,0.0,6,2.7,01022
1,23,224,54,24.11,149,66.52,10,4.46,4,1.79,7,3.13,01023
1,24,390,66,16.92,271,69.49,34,8.72,2,0.51,17,4.36,01024
1,25,210,49,23.33,144,68.57,8,3.81,1,0.48,8,3.81,01025
1,26,270,79,29.26,171,63.33,10,3.7,5,1.85,5,1.85,01026
1,27,192,55,28.65,115,59.9,9,4.69,5,2.6,8,4.17,01027
1,28,153,28,18.3,112,73.2,3,1.96,2,1.31,8,5.23,01028
1,29,306,71,23.2,191,62.42,24,7.84,4,1.31,16,5.23,01029
1,30,372,53,14.25,275,73.92,27,7.26,0,0.0,17,4.57,01030
1,31,380,126,33.16,229,60.26,11,2.89,6,1.58,8,2.11,01031
1,32,255,50,19.61,188,73.73,9,3.53,2,0.78,6,2.35,01032
1,33,296,61,20.61,212,71.62,11,3.72,6,2.03,6,2.03,01033
1,34,199,39,19.6,142,71.36,10,5.03,4,2.01,4,2.01,01034
1,35,273,82,30.04,171,62.64,11,4.03,3,1.1,6,2.2,01035
1,36,294,75,25.51,194,65.99,12,4.08,1,0.34,12,4.08,01036
1,37,215,41,19.07,151,70.23,15,6.98,5,2.33,3,1.4,01037
1,38,171,35,20.47,116,67.84,10,5.85,1,0.58,9,5.26,01038
1,39,245,45,18.37,173,70.61,11,4.49,1,0.41,15,6.12,01039
1,40,150,32,21.33,97,64.67,9,6.0,3,2.0,9,6.0,01040
1,41,210,46,21.9,143,68.1,14,6.67,1,0.48,6,2.86,01041
1,42,234,65,27.78,150,64.1,12,5.13,2,0.85,5,2.14,01042
1,43,232,38,16.38,174,75.0,7,3.02,3,1.29,10,4.31,01043
1,44,218,42,19.27,153,70.18,12,5.5,7,3.21,4,1.83,01044
1,45,254,40,15.75,184,72.44,7,2.76,9,3.54,14,5.51,01045
1,46,322,76,23.6,216,67.08,19,5.9,5,1.55,6,1.86,01046
1,47,275,66,24.0,188,68.36,12,4.36,3,1.09,6,2.18,01047
1,48,195,42,21.54,140,71.79,8,4.1,1,0.51,4,2.05,01048
1,49,173,31,17.92,118,68.21,14,8.09,2,1.16,8,4.62,01049
1,50,183,33,18.03,128,69.95,15,8.2,2,1.09,5,2.73,01050
2,1,756,208,27.51,496,65.61,22,2.91,10,1.32,20,2.65,02001
2,2,85,6,7.06,74,87.06,2,2.35,1,1.18,2,2.35,02002
2,3,398,89,22.36,276,69.35,9,2.26,6,1.51,18,4.52,02003
2,4,262,2,0.76,244,93.13,4,1.53,1,0.38,11,4.2,02004
2,5,292,17,5.82,256,87.67,8,2.74,1,0.34,10,3.42,02005
2,6,552,196,35.51,313,56.7,15,2.72,8,1.45,20,3.62,02006
2,7,354,13,3.67,325,91.81,2,0.56,0,0.0,14,3.95,02007
2,8,461,115,24.95,312,67.68,17,3.69,3,0.65,14,3.04,02008
2,9,298,24,8.05,258,86.58,8,2.68,2,0.67,6,2.01,02009
2,10,175,5,2.86,160,91.43,1,0.57,0,0.0,9,5.14,02010
2,11,506,101,19.96,369,72.92,18,3.56,5,0.99,13,2.57,02011
2,12,597,193,32.33,349,58.46,24,4.02,8,1.34,23,3.85,02012
2,13,334,26,7.78,294,88.02,5,1.5,2,0.6,7,2.1,02013
2,14,361,22,6.09,320,88.64,9,2.49,1,0.28,9,2.49,02014
2,15,180,7,3.89,163,90.56,3,1.67,0,0.0,7,3.89,02015
2,16,533,200,37.52,292,54.78,19,3.56,5,0.94,17,3.19,02016
2,17,255,6,2.35,234,91.76,3,1.18,0,0.0,12,4.71,02017
2,18,399,122,30.58,254,63.66,8,2.01,5,1.25,10,2.51,02018
2,19,592,204,34.46,340,57.43,19,3.21,4,0.68,25,4.22,02019
2,20,459,31,6.75,410,89.32,5,1.09,2,0.44,11,2.4,02020
2,21,343,38,11.08,285,83.09,8,2.33,1,0.29,11,3.21,02021
2,22,530,135,25.47,365,68.87,17,3.21,2,0.38,11,2.08,02022
2,23,213,22,10.33,174,81.69,6,2.82,2,0.94,9,4.23,02023
2,24,234,55,23.5,163,69.66,5,2.14,4,1.71,7,2.99,02024
2,25,461,59,12.8,372,80.69,15,3.25,2,0.43,13,2.82,02025
2,26,353,71,20.11,262,74.22,7,1.98,1,0.28,12,3.4,02026
2,27,244,7,2.87,229,93.85,2,0.82,0,0.0,6,2.46,02027
2,28,281,99,35.23,160,56.94,8,2.85,4,1.42,10,3.56,02028
2,29,190,25,13.16,154,81.05,4,2.11,1,0.53,6,3.16,02029
2,30,469,159,33.9,280,59.7,13,2.77,0,0.0,17,3.62,02030
2,31,304,11,3.62,284,93.42,2,0.66,3,0.99,4,1.32,02031
2,32,184,21,11.41,149,80.98,5,2.72,0,0.0,9,4.89,02032
2,33,204,4,1.96,192,94.12,2,0.98,0,0.0,6,2.94,02033
2,34,228,12,5.26,207,90.79,1,0.44,0,0.0,8,3.51,02034
2,35,92,16,17.39,66,71.74,7,7.61,0,0.0,3,3.26,02035
2,36,565,142,25.13,397,70.27,9,1.59,4,0.71,13,2.3,02036
2,37,315,94,29.84,204,64.76,12,3.81,2,0.63,3,0.95,02037
2,38,614,220,35.83,364,59.28,13,2.12,5,0.81,12,1.95,02038
2,39,337,36,10.68,273,81.01,10,2.97,3,0.89,15,4.45,02039
2,40,762,180,23.62,516,67.72,29,3.81,11,1.44,26,3.41,02040
2,41,172,3,1.74,159,92.44,3,1.74,1,0.58,6,3.49,02041
2,42,170,14,8.24,146,85.88,5,2.94,1,0.59,4,2.35,02042
2,43,423,72,17.02,325,76.83,11,2.6,7,1.65,8,1.89,02043
2,44,226,11,4.87,199,88.05,6,2.65,2,0.88,8,3.54,02044
2,45,308,24,7.79,259,84.09,4,1.3,6,1.95,15,4.87,02045
2,46,403,16,3.97,369,91.56,3,0.74,0,0.0,15,3.72,02046
2,47,215,4,1.86,196,91.16,1,0.47,1,0.47,13,6.05,02047
2,48,173,5,2.89,162,93.64,3,1.73,0,0.0,3,1.73,02048
2,49,347,71,20.46,230,66.28,20,5.76,9,2.59,17,4.9,02049
2,50,218,47,21.56,151,69.27,2,0.92,5,2.29,13,5.96,02050
2,51,226,9,3.98,206,91.15,4,1.77,0,0.0,7,3.1,02051
2,52,352,13,3.69,313,88.92,9,2.56,3,0.85,14,3.98,02052
2,53,341,87,25.51,234,68.62,8,2.35,3,0.88,9,2.64,02053
2,54,450,66,14.67,352,78.22,16,3.56,10,2.22,6,1.33,02054
2,55,208,56,26.92,137,65.87,10,4.81,0,0.0,5,2.4,02055
2,56,268,13,4.85,236,88.06,5,1.87,2,0.75,12,4.48,02056
3,1,254,2,0.79,231,90.94,4,1.57,3,1.18,14,5.51,03001
3,2,343,8,2.33,322,93.88,3,0.87,1,0.29,9,2.62,03002
3,3,347,44,12.68,278,80.12,5,1.44,3,0.86,17,4.9,03003
3,4,207,4,1.93,192,92.75,3,1.45,1,0.48,7,3.38,03004
