ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,precinct_id
9,2,51,51,100.0,09002
9,10,265,265,100.0,09010
9,17,84,84,100.0,09017
9,20,329,329,100.0,09020
9,21,277,277,100.0,09021
9,27,291,291,100.0,09027
9,30,259,259,100.0,09030
19,14,416,416,100.0,19014
19,20,315,315,100.0,19020
19,31,294,294,100.0,19031
19,40,358,358,100.0,19040
19,42,306,306,100.0,19042
19,43,513,513,100.0,19043
19,47,527,527,100.0,19047
19,48,417,417,100.0,19048
19,49,453,453,100.0,19049
21,2,88,88,100.0,21002
21,5,364,364,100.0,21005
21,6,283,283,100.0,21006
21,10,299,299,100.0,21010
21,11,307,307,100.0,21011
21,12,305,305,100.0,21012
21,17,253,253,100.0,21017
21,19,352,352,100.0,21019
21,20,67,67,100.0,21020
21,21,274,274,100.0,21021
21,22,218,218,100.0,21022
21,23,291,291,100.0,21023
21,24,338,338,100.0,21024
21,25,283,283,100.0,21025
21,27,327,327,100.0,21027
21,33,279,279,100.0,21033
21,34,150,150,100.0,21034
21,35,388,388,100.0,21035
21,36,224,224,100.0,21036
21,37,251,251,100.0,21037
21,38,310,310,100.0,21038
21,39,279,279,100.0,21039
21,40,302,302,100.0,21040
21,41,339,339,100.0,21041
21,42,210,210,100.0,21042
21,43,7,7,100.0,21043
21,44,224,224,100.0,21044
21,45,304,304,100.0,21045
21,46,373,373,100.0,21046
21,48,191,191,100.0,21048
21,49,373,373,100.0,21049
21,50,259,259,100.0,21050
21,52,24,24,100.0,21052
34,1,360,360,100.0,34001
34,2,146,146,100.0,34002
34,5,290,290,100.0,34005
34,7,379,379,100.0,34007
34,8,269,269,100.0,34008
34,10,332,332,100.0,34010
34,12,356,356,100.0,34012
34,13,327,327,100.0,34013
34,15,262,262,100.0,34015
34,17,416,416,100.0,34017
34,19,353,353,100.0,34019
34,20,136,136,100.0,34020
34,21,402,402,100.0,34021
34,25,499,499,100.0,34025
34,29,257,257,100.0,34029
34,31,43,43,100.0,34031
34,32,326,326,100.0,34032
34,34,352,352,100.0,34034
34,35,379,379,100.0,34035
34,40,363,363,100.0,34040
34,43,313,313,100.0,34043
34,44,330,330,100.0,34044
34,45,345,345,100.0,34045
34,46,238,238,100.0,34046
34,47,322,322,100.0,34047
34,48,361,361,100.0,34048
34,49,271,271,100.0,34049
34,51,155,155,100.0,34051
34,52,265,265,100.0,34052
