ward,precinct,total,(JB Pritzker,(JB Pritzker Percent,(Bruce Rauner,(Bruce Rauner Percent,(Grayson Kash Jackson,(Grayson Kash Jackson Percent,(William ''Sam'' McCann,(William ''Sam'' McCann Percent,precinct_id
1,1,577,488,84.58,53,9.19,24,4.16,12,2.08,01001
1,2,470,421,89.57,32,6.81,14,2.98,3,0.64,01002
1,3,648,549,84.72,87,13.43,10,1.54,2,0.31,01003
1,4,628,503,80.1,98,15.61,22,3.5,5,0.8,01004
1,5,655,550,83.97,91,13.89,11,1.68,3,0.46,01005
1,6,558,442,79.21,101,18.1,12,2.15,3,0.54,01006
1,7,406,339,83.5,54,13.3,11,2.71,2,0.49,01007
1,8,505,411,81.39,83,16.44,7,1.39,4,0.79,01008
1,9,448,376,83.93,52,11.61,18,4.02,2,0.45,01009
1,10,741,589,79.49,138,18.62,11,1.48,3,0.4,01010
1,11,667,535,80.21,109,16.34,14,2.1,9,1.35,01011
1,12,669,539,80.57,112,16.74,13,1.94,5,0.75,01012
1,13,256,216,84.38,32,12.5,8,3.13,0,0.0,01013
1,14,537,443,82.5,77,14.34,16,2.98,1,0.19,01014
1,15,513,424,82.65,78,15.2,10,1.95,1,0.19,01015
1,16,665,581,87.37,68,10.23,14,2.11,2,0.3,01016
1,17,480,428,89.17,39,8.13,8,1.67,5,1.04,01017
1,18,527,476,90.32,38,7.21,12,2.28,1,0.19,01018
1,19,641,555,86.58,70,10.92,12,1.87,4,0.62,01019
1,20,446,392,87.89,37,8.3,15,3.36,2,0.45,01020
1,21,782,645,82.48,120,15.35,13,1.66,4,0.51,01021
1,22,369,321,86.99,36,9.76,11,2.98,1,0.27,01022
1,23,765,679,88.76,62,8.1,21,2.75,3,0.39,01023
1,24,488,442,90.57,33,6.76,10,2.05,3,0.61,01024
1,25,555,481,86.67,58,10.45,13,2.34,3,0.54,01025
1,26,343,304,88.63,26,7.58,9,2.62,4,1.17,01026
1,27,608,496,81.58,89,14.64,19,3.13,4,0.66,01027
1,28,160,147,91.88,9,5.63,1,0.63,3,1.88,01028
1,29,677,562,83.01,87,12.85,23,3.4,5,0.74,01029
1,30,597,527,88.27,51,8.54,14,2.35,5,0.84,01030
1,31,520,420,80.77,76,14.62,22,4.23,2,0.38,01031
1,32,546,426,78.02,100,18.32,14,2.56,6,1.1,01032
1,33,654,523,79.97,113,17.28,11,1.68,7,1.07,01033
1,34,445,383,86.07,47,10.56,14,3.15,1,0.22,01034
1,35,700,558,79.71,114,16.29,26,3.71,2,0.29,01035
1,36,594,462,77.78,117,19.7,11,1.85,4,0.67,01036
1,37,585,449,76.75,112,19.15,18,3.08,6,1.03,01037
1,38,529,434,82.04,66,12.48,22,4.16,7,1.32,01038
1,39,497,418,84.1,67,13.48,11,2.21,1,0.2,01039
1,40,561,436,77.72,107,19.07,15,2.67,3,0.53,01040
1,41,328,285,86.89,32,9.76,9,2.74,2,0.61,01041
1,42,181,151,83.43,23,12.71,4,2.21,3,1.66,01042
1,43,352,298,84.66,43,12.22,9,2.56,2,0.57,01043
1,44,506,435,85.97,59,11.66,9,1.78,3,0.59,01044
2,1,647,523,80.83,95,14.68,23,3.55,6,0.93,02001
2,2,465,313,67.31,138,29.68,5,1.08,9,1.94,02002
2,3,670,532,79.4,114,17.01,16,2.39,8,1.19,02003
2,4,520,431,82.88,78,15.0,8,1.54,3,0.58,02004
2,5,693,560,80.81,110,15.87,19,2.74,4,0.58,02005
2,6,555,443,79.82,85,15.32,19,3.42,8,1.44,02006
2,7,553,424,76.67,104,18.81,14,2.53,11,1.99,02007
2,8,690,540,78.26,111,16.09,32,4.64,7,1.01,02008
2,9,540,345,63.89,177,32.78,15,2.78,3,0.56,02009
2,10,509,301,59.14,197,38.7,3,0.59,8,1.57,02010
2,11,629,393,62.48,226,35.93,7,1.11,3,0.48,02011
2,12,542,423,78.04,106,19.56,10,1.85,3,0.55,02012
2,13,506,345,68.18,151,29.84,4,0.79,6,1.19,02013
2,14,613,477,77.81,118,19.25,14,2.28,4,0.65,02014
2,15,563,457,81.17,87,15.45,14,2.49,5,0.89,02015
2,16,522,439,84.1,65,12.45,14,2.68,4,0.77,02016
2,17,675,550,81.48,107,15.85,13,1.93,5,0.74,02017
2,18,571,397,69.53,161,28.2,9,1.58,4,0.7,02018
2,19,451,273,60.53,170,37.69,2,0.44,6,1.33,02019
2,20,667,463,69.42,189,28.34,13,1.95,2,0.3,02020
2,21,609,502,82.43,89,14.61,14,2.3,4,0.66,02021
2,22,633,420,66.35,204,32.23,6,0.95,3,0.47,02022
2,23,421,249,59.14,169,40.14,1,0.24,2,0.48,02023
2,24,544,378,69.49,149,27.39,11,2.02,6,1.1,02024
2,25,618,483,78.16,116,18.77,16,2.59,3,0.49,02025
2,26,533,376,70.54,149,27.95,4,0.75,4,0.75,02026
2,27,544,346,63.6,177,32.54,14,2.57,7,1.29,02027
2,28,659,454,68.89,184,27.92,15,2.28,6,0.91,02028
2,29,659,459,69.65,185,28.07,7,1.06,8,1.21,02029
2,30,491,300,61.1,173,35.23,9,1.83,9,1.83,02030
2,31,680,422,62.06,239,35.15,12,1.76,7,1.03,02031
2,32,458,307,67.03,138,30.13,12,2.62,1,0.22,02032
2,33,866,569,65.7,274,31.64,12,1.39,11,1.27,02033
2,34,475,298,62.74,166,34.95,8,1.68,3,0.63,02034
2,35,754,514,68.17,223,29.58,13,1.72,4,0.53,02035
2,36,653,455,69.68,178,27.26,14,2.14,6,0.92,02036
2,37,537,370,68.9,144,26.82,16,2.98,7,1.3,02037
2,38,548,331,60.4,207,37.77,7,1.28,3,0.55,02038
2,39,414,241,58.21,160,38.65,7,1.69,6,1.45,02039
2,40,803,581,72.35,203,25.28,11,1.37,8,1.0,02040
2,41,596,422,70.81,159,26.68,8,1.34,7,1.17,02041
2,42,652,462,70.86,169,25.92,13,1.99,8,1.23,02042
2,43,793,514,64.82,262,33.04,13,1.64,4,0.5,02043
2,44,364,235,64.56,121,33.24,4,1.1,4,1.1,02044
2,45,673,478,71.03,166,24.67,22,3.27,7,1.04,02045
2,46,329,209,63.53,105,31.91,11,3.34,4,1.22,02046
3,1,643,610,94.87,17,2.64,12,1.87,4,0.62,03001
3,2,577,551,95.49,15,2.6,9,1.56,2,0.35,03002
3,3,460,405,88.04,47,10.22,5,1.09,3,0.65,03003
3,4,545,515,94.5,17,3.12,9,1.65,4,0.73,03004
3,5,304,281,92.43,10,3.29,7,2.3,6,1.97,03005
3,6,742,523,70.49,199,26.82,14,1.89,6,0.81,03006
3,7,318,298,93.71,10,3.14,6,1.89,4,1.26,03007
3,8,416,391,93.99,12,2.88,10,2.4,3,0.72,03008
3,9,518,470,90.73,24,4.63,12,2.32,12,2.32,03009
3,10,233,224,96.14,7,3.0,0,0.0,2,0.86,03010
3,11,513,491,95.71,10,1.95,8,1.56,4,0.78,03011
3,12,505,463,91.68,26,5.15,8,1.58,8,1.58,03012
3,13,625,479,76.64,127,20.32,11,1.76,8,1.28,03013
3,14,605,511,84.46,81,13.39,10,1.65,3,0.5,03014
3,15,474,451,95.15,8,1.69,11,2.32,4,0.84,03015
3,16,424,388,91.51,19,4.48,13,3.07,4,0.94,03016
3,17,743,639,86.0,76,10.23,26,3.5,2,0.27,03017
3,18,746,689,92.36,29,3.89,22,2.95,6,0.8,03018
3,19,646,447,69.2,186,28.79,11,1.7,2,0.31,03019
3,20,520,488,93.85,14,2.69,12,2.31,6,1.15,03020
3,21,613,475,77.49,126,20.55,3,0.49,9,1.47,03021
3,22,746,584,78.28,139,18.63,15,2.01,8,1.07,03022
3,23,440,414,94.09,18,4.09,6,1.36,2,0.45,03023
3,24,423,402,95.04,6,1.42,10,2.36,5,1.18,03024
3,25,961,690,71.8,255,26.53,12,1.25,4,0.42,03025
3,26,632,473,74.84,150,23.73,5,0.79,4,0.63,03026
3,27,719,521,72.46,173,24.06,16,2.23,9,1.25,03027
3,28,322,300,93.17,9,2.8,6,1.86,7,2.17,03028
3,29,500,456,91.2,24,4.8,15,3.0,5,1.0,03029
3,30,436,417,95.64,13,2.98,6,1.38,0,0.0,03030
3,31,546,517,94.69,12,2.2,11,2.01,6,1.1,03031
3,32,672,545,81.1,110,16.37,9,1.34,8,1.19,03032
3,33,676,523,77.37,134,19.82,13,1.92,6,0.89,03033
3,34,703,574,81.65,104,14.79,15,2.13,10,1.42,03034
3,35,244,227,93.03,11,4.51,5,2.05,1,0.41,03035
3,36,277,258,93.14,12,4.33,4,1.44,3,1.08,03036
3,37,453,428,94.48,10,2.21,7,1.55,8,1.77,03037
3,38,406,397,97.78,5,1.23,3,0.74,1,0.25,03038
3,39,900,703,78.11,168,18.67,27,3.0,2,0.22,03039
3,40,561,493,87.88,43,7.66,13,2.32,12,2.14,03040
3,41,354,302,85.31,35,9.89,12,3.39,5,1.41,03041
4,1,800,731,91.38,49,6.13,16,2.0,4,0.5,04001
4,2,714,560,78.43,141,19.75,10,1.4,3,0.42,04002
4,3,421,399,94.77,12,2.85,4,0.95,6,1.43,04003
4,4,714,675,94.54,21,2.94,11,1.54,7,0.98,04004
4,5,518,474,91.51,30,5.79,10,1.93,4,0.77,04005
4,6,621,558,89.86,51,8.21,5,0.81,7,1.13,04006
4,7,617,588,95.3,18,2.92,8,1.3,3,0.49,04007
4,8,561,532,94.83,11,1.96,13,2.32,5,0.89,04008
4,9,596,570,95.64,16,2.68,8,1.34,2,0.34,04009
4,10,655,602,91.91,25,3.82,19,2.9,9,1.37,04010
4,11,543,520,95.76,12,2.21,3,0.55,8,1.47,04011
4,12,597,552,92.46,31,5.19,9,1.51,5,0.84,04012
4,13,674,560,83.09,93,13.8,17,2.52,4,0.59,04013
4,14,548,517,94.34,19,3.47,7,1.28,5,0.91,04014
4,15,649,619,95.38,15,2.31,13,2.0,2,0.31,04015
4,16,933,778,83.39,124,13.29,18,1.93,13,1.39,04016
4,17,713,589,82.61,100,14.03,19,2.66,5,0.7,04017
4,18,513,477,92.98,21,4.09,11,2.14,4,0.78,04018
4,19,406,387,95.32,12,2.96,3,0.74,4,0.99,04019
4,20,517,405,78.34,93,17.99,15,2.9,4,0.77,04020
4,21,770,642,83.38,103,13.38,14,1.82,11,1.43,04021
4,22,555,499,89.91,39,7.03,13,2.34,4,0.72,04022
4,23,728,681,93.54,39,5.36,7,0.96,1,0.14,04023
4,24,511,461,90.22,40,7.83,7,1.37,3,0.59,04024
4,25,639,493,77.15,127,19.87,8,1.25,11,1.72,04025
4,26,504,473,93.85,15,2.98,10,1.98,6,1.19,04026
4,27,701,654,93.3,30,4.28,12,1.71,5,0.71,04027
4,28,445,405,91.01,20,4.49,14,3.15,6,1.35,04028
4,29,448,420,93.75,9,2.01,14,3.13,5,1.12,04029
4,30,714,681,95.38,11,1.54,9,1.26,13,1.82,04030
4,31,553,513,92.77,22,3.98,11,1.99,7,1.27,04031
4,32,578,527,91.18,35,6.06,10,1.73,6,1.04,04032
4,33,540,495,91.67,24,4.44,18,3.33,3,0.56,04033
4,34,459,425,92.59,21,4.58,7,1.53,6,1.31,04034
4,35,611,578,94.6,21,3.44,9,1.47,3,0.49,04035
4,36,605,570,94.21,18,2.98,13,2.15,4,0.66,04036
4,37,1015,847,83.45,146,14.38,12,1.18,10,0.99,04037
4,38,569,530,93.15,26,4.57,10,1.76,3,0.53,04038
5,1,411,387,94.16,12,2.92,9,2.19,3,0.73,05001
5,2,335,327,97.61,5,1.49,0,0.0,3,0.9,05002
5,3,576,528,91.67,40,6.94,4,0.69,4,0.69,05003
5,4,692,651,94.08,23,3.32,12,1.73,6,0.87,05004
5,5,460,418,90.87,16,3.48,19,4.13,7,1.52,05005
5,6,387,369,95.35,8,2.07,7,1.81,3,0.78,05006
5,7,541,500,92.42,30,5.55,8,1.48,3,0.55,05007
5,8,547,500,91.41,43,7.86,3,0.55,1,0.18,05008
5,9,621,582,93.72,25,4.03,10,1.61,4,0.64,05009
5,10,387,366,94.57,9,2.33,10,2.58,2,0.52,05010
5,11,551,509,92.38,31,5.63,8,1.45,3,0.54,05011
5,12,330,311,94.24,13,3.94,2,0.61,4,1.21,05012
5,13,418,393,94.02,14,3.35,6,1.44,5,1.2,05013
5,14,395,375,94.94,11,2.78,6,1.52,3,0.76,05014
5,15,478,430,89.96,29,6.07,10,2.09,9,1.88,05015
5,16,465,444,95.48,9,1.94,6,1.29,6,1.29,05016
5,17,402,386,96.02,7,1.74,4,1.0,5,1.24,05017
5,18,493,467,94.73,16,3.25,9,1.83,1,0.2,05018
5,19,494,447,90.49,40,8.1,3,0.61,4,0.81,05019
5,20,591,545,92.22,32,5.41,11,1.86,3,0.51,05020
5,21,569,526,92.44,34,5.98,5,0.88,4,0.7,05021
5,22,587,528,89.95,51,8.69,4,0.68,4,0.68,05022
5,23,896,816,91.07,64,7.14,10,1.12,6,0.67,05023
5,24,577,533,92.37,31,5.37,13,2.25,0,0.0,05024
5,25,454,422,92.95,19,4.19,9,1.98,4,0.88,05025
5,26,489,468,95.71,14,2.86,4,0.82,3,0.61,05026
5,27,623,538,86.36,76,12.2,6,0.96,3,0.48,05027
5,28,526,488,92.78,22,4.18,9,1.71,7,1.33,05028
5,29,501,471,94.01,19,3.79,8,1.6,3,0.6,05029
5,30,334,310,92.81,14,4.19,9,2.69,1,0.3,05030
5,31,379,361,95.25,8,2.11,8,2.11,2,0.53,05031
5,32,593,544,91.74,25,4.22,17,2.87,7,1.18,05032
5,33,534,510,95.51,11,2.06,9,1.69,4,0.75,05033
5,34,614,553,90.07,50,8.14,10,1.63,1,0.16,05034
5,35,628,566,90.13,43,6.85,14,2.23,5,0.8,05035
5,36,286,270,94.41,6,2.1,7,2.45,3,1.05,05036
5,37,573,523,91.27,37,6.46,11,1.92,2,0.35,05037
5,38,436,414,94.95,12,2.75,8,1.83,2,0.46,05038
5,39,427,377,88.29,42,9.84,5,1.17,3,0.7,05039
5,40,347,327,94.24,7,2.02,10,2.88,3,0.86,05040
5,41,294,277,94.22,13,4.42,3,1.02,1,0.34,05041
6,1,445,433,97.3,5,1.12,7,1.57,0,0.0,06001
6,2,433,403,93.07,8,1.85,16,3.7,6,1.39,06002
6,3,449,428,95.32,13,2.9,5,1.11,3,0.67,06003
6,4,315,302,95.87,5,1.59,4,1.27,4,1.27,06004
6,5,270,262,97.04,3,1.11,4,1.48,1,0.37,06005
6,6,420,392,93.33,11,2.62,13,3.1,4,0.95,06006
6,7,364,350,96.15,5,1.37,5,1.37,4,1.1,06007
6,8,387,374,96.64,7,1.81,3,0.78,3,0.78,06008
6,9,355,335,94.37,13,3.66,3,0.85,4,1.13,06009
6,10,241,217,90.04,10,4.15,10,4.15,4,1.66,06010
6,11,355,339,95.49,7,1.97,8,2.25,1,0.28,06011
6,12,285,269,94.39,7,2.46,6,2.11,3,1.05,06012
6,13,311,294,94.53,5,1.61,9,2.89,3,0.96,06013
6,14,360,345,95.83,7,1.94,6,1.67,2,0.56,06014
6,15,345,327,94.78,10,2.9,5,1.45,3,0.87,06015
6,16,408,388,95.1,9,2.21,6,1.47,5,1.23,06016
6,17,263,245,93.16,10,3.8,5,1.9,3,1.14,06017
6,18,302,293,97.02,3,0.99,4,1.32,2,0.66,06018
6,19,364,347,95.33,4,1.1,8,2.2,5,1.37,06019
6,20,235,223,94.89,4,1.7,7,2.98,1,0.43,06020
6,21,221,212,95.93,1,0.45,4,1.81,4,1.81,06021
6,22,240,218,90.83,13,5.42,3,1.25,6,2.5,06022
6,23,216,207,95.83,8,3.7,1,0.46,0,0.0,06023
6,24,203,189,93.1,11,5.42,3,1.48,0,0.0,06024
6,25,212,202,95.28,4,1.89,3,1.42,3,1.42,06025
6,26,290,268,92.41,7,2.41,8,2.76,7,2.41,06026
6,27,228,216,94.74,4,1.75,3,1.32,5,2.19,06027
6,28,193,182,94.3,4,2.07,6,3.11,1,0.52,06028
6,29,427,411,96.25,7,1.64,6,1.41,3,0.7,06029
6,30,324,310,95.68,8,2.47,1,0.31,5,1.54,06030
