ward,precinct,total,Rosa Maria Silva,Rosa Maria Silva Percent,precinct_id
1,1,498,498,100.0,01001
1,2,406,406,100.0,01002
1,3,550,550,100.0,01003
1,4,515,515,100.0,01004
1,5,532,532,100.0,01005
1,6,455,455,100.0,01006
1,7,346,346,100.0,01007
1,8,403,403,100.0,01008
1,9,354,354,100.0,01009
1,10,595,595,100.0,01010
1,11,553,553,100.0,01011
1,12,527,527,100.0,01012
1,13,214,214,100.0,01013
1,14,422,422,100.0,01014
1,15,418,418,100.0,01015
1,16,569,569,100.0,01016
1,17,402,402,100.0,01017
1,18,449,449,100.0,01018
1,19,511,511,100.0,01019
1,20,375,375,100.0,01020
1,21,627,627,100.0,01021
1,22,302,302,100.0,01022
1,23,643,643,100.0,01023
1,24,409,409,100.0,01024
1,25,456,456,100.0,01025
1,26,289,289,100.0,01026
1,27,510,510,100.0,01027
1,28,105,105,100.0,01028
1,29,574,574,100.0,01029
1,30,494,494,100.0,01030
1,31,422,422,100.0,01031
1,32,445,445,100.0,01032
1,33,509,509,100.0,01033
1,34,369,369,100.0,01034
1,35,548,548,100.0,01035
1,36,478,478,100.0,01036
1,37,458,458,100.0,01037
1,38,423,423,100.0,01038
1,39,409,409,100.0,01039
1,40,433,433,100.0,01040
1,41,277,277,100.0,01041
1,42,156,156,100.0,01042
1,43,297,297,100.0,01043
1,44,409,409,100.0,01044
2,1,533,533,100.0,02001
2,2,321,321,100.0,02002
2,3,528,528,100.0,02003
2,4,414,414,100.0,02004
2,5,555,555,100.0,02005
2,6,471,471,100.0,02006
2,7,428,428,100.0,02007
2,8,548,548,100.0,02008
2,9,377,377,100.0,02009
2,10,312,312,100.0,02010
2,11,453,453,100.0,02011
2,12,416,416,100.0,02012
2,13,363,363,100.0,02013
2,14,490,490,100.0,02014
2,15,441,441,100.0,02015
2,16,422,422,100.0,02016
2,17,553,553,100.0,02017
2,18,413,413,100.0,02018
2,19,266,266,100.0,02019
2,20,499,499,100.0,02020
2,21,491,491,100.0,02021
2,22,442,442,100.0,02022
2,23,272,272,100.0,02023
2,24,394,394,100.0,02024
2,25,485,485,100.0,02025
2,26,364,364,100.0,02026
2,27,364,364,100.0,02027
2,28,481,481,100.0,02028
2,29,479,479,100.0,02029
2,30,360,360,100.0,02030
2,31,470,470,100.0,02031
2,32,347,347,100.0,02032
2,33,594,594,100.0,02033
2,34,321,321,100.0,02034
2,35,556,556,100.0,02035
2,36,478,478,100.0,02036
2,37,409,409,100.0,02037
2,38,365,365,100.0,02038
2,39,258,258,100.0,02039
2,40,622,622,100.0,02040
2,41,452,452,100.0,02041
2,42,496,496,100.0,02042
2,43,583,583,100.0,02043
2,44,260,260,100.0,02044
2,45,509,509,100.0,02045
2,46,212,212,100.0,02046
3,1,535,535,100.0,03001
3,2,517,517,100.0,03002
3,3,350,350,100.0,03003
3,4,469,469,100.0,03004
3,5,262,262,100.0,03005
3,6,558,558,100.0,03006
3,7,275,275,100.0,03007
3,8,340,340,100.0,03008
3,9,425,425,100.0,03009
3,10,196,196,100.0,03010
3,11,452,452,100.0,03011
3,12,426,426,100.0,03012
3,13,476,476,100.0,03013
3,14,495,495,100.0,03014
3,15,389,389,100.0,03015
3,16,366,366,100.0,03016
3,17,597,597,100.0,03017
3,18,613,613,100.0,03018
3,19,468,468,100.0,03019
3,20,442,442,100.0,03020
3,21,461,461,100.0,03021
3,22,585,585,100.0,03022
3,23,360,360,100.0,03023
3,24,357,357,100.0,03024
3,25,681,681,100.0,03025
3,26,458,458,100.0,03026
3,27,551,551,100.0,03027
3,28,286,286,100.0,03028
3,29,390,390,100.0,03029
3,30,360,360,100.0,03030
3,31,466,466,100.0,03031
3,32,521,521,100.0,03032
3,33,540,540,100.0,03033
3,34,548,548,100.0,03034
3,35,208,208,100.0,03035
3,36,229,229,100.0,03036
3,37,386,386,100.0,03037
3,38,352,352,100.0,03038
3,39,721,721,100.0,03039
3,40,457,457,100.0,03040
3,41,301,301,100.0,03041
4,1,683,683,100.0,04001
4,2,583,583,100.0,04002
4,3,352,352,100.0,04003
4,4,585,585,100.0,04004
4,5,442,442,100.0,04005
4,6,511,511,100.0,04006
4,7,530,530,100.0,04007
4,8,483,483,100.0,04008
4,9,516,516,100.0,04009
4,10,560,560,100.0,04010
4,11,443,443,100.0,04011
4,12,537,537,100.0,04012
4,13,575,575,100.0,04013
4,14,465,465,100.0,04014
4,15,562,562,100.0,04015
4,16,780,780,100.0,04016
4,17,592,592,100.0,04017
4,18,425,425,100.0,04018
4,19,326,326,100.0,04019
4,20,385,385,100.0,04020
4,21,655,655,100.0,04021
4,22,456,456,100.0,04022
4,23,627,627,100.0,04023
4,24,417,417,100.0,04024
4,25,494,494,100.0,04025
4,26,428,428,100.0,04026
4,27,600,600,100.0,04027
4,28,377,377,100.0,04028
4,29,376,376,100.0,04029
4,30,614,614,100.0,04030
4,31,468,468,100.0,04031
4,32,523,523,100.0,04032
4,33,455,455,100.0,04033
4,34,398,398,100.0,04034
4,35,538,538,100.0,04035
4,36,523,523,100.0,04036
4,37,830,830,100.0,04037
4,38,502,502,100.0,04038
5,1,349,349,100.0,05001
5,2,294,294,100.0,05002
5,3,463,463,100.0,05003
5,4,596,596,100.0,05004
5,5,371,371,100.0,05005
5,6,326,326,100.0,05006
5,7,466,466,100.0,05007
5,8,448,448,100.0,05008
5,9,535,535,100.0,05009
5,10,327,327,100.0,05010
5,11,458,458,100.0,05011
5,12,266,266,100.0,05012
5,13,363,363,100.0,05013
5,14,335,335,100.0,05014
5,15,392,392,100.0,05015
5,16,400,400,100.0,05016
5,17,342,342,100.0,05017
5,18,416,416,100.0,05018
5,19,419,419,100.0,05019
5,20,522,522,100.0,05020
5,21,482,482,100.0,05021
5,22,490,490,100.0,05022
5,23,746,746,100.0,05023
5,24,483,483,100.0,05024
5,25,391,391,100.0,05025
5,26,407,407,100.0,05026
5,27,493,493,100.0,05027
5,28,435,435,100.0,05028
5,29,425,425,100.0,05029
5,30,279,279,100.0,05030
5,31,320,320,100.0,05031
5,32,518,518,100.0,05032
5,33,444,444,100.0,05033
5,34,502,502,100.0,05034
5,35,521,521,100.0,05035
5,36,228,228,100.0,05036
5,37,470,470,100.0,05037
5,38,352,352,100.0,05038
5,39,350,350,100.0,05039
5,40,297,297,100.0,05040
5,41,241,241,100.0,05041
6,1,372,372,100.0,06001
6,2,373,373,100.0,06002
6,3,368,368,100.0,06003
6,4,278,278,100.0,06004
6,5,239,239,100.0,06005
6,6,366,366,100.0,06006
6,7,314,314,100.0,06007
6,8,337,337,100.0,06008
6,9,305,305,100.0,06009
6,10,212,212,100.0,06010
6,11,296,296,100.0,06011
6,12,256,256,100.0,06012
6,13,271,271,100.0,06013
6,14,323,323,100.0,06014
6,15,273,273,100.0,06015
6,16,349,349,100.0,06016
6,17,231,231,100.0,06017
6,18,239,239,100.0,06018
6,19,309,309,100.0,06019
6,20,194,194,100.0,06020
6,21,184,184,100.0,06021
6,22,194,194,100.0,06022
6,23,177,177,100.0,06023
6,24,173,173,100.0,06024
6,25,190,190,100.0,06025
6,26,249,249,100.0,06026
6,27,188,188,100.0,06027
6,28,166,166,100.0,06028
6,29,370,370,100.0,06029
6,30,265,265,100.0,06030
6,31,367,367,100.0,06031
6,32,307,307,100.0,06032
6,33,334,334,100.0,06033
6,34,353,353,100.0,06034
6,35,321,321,100.0,06035
6,36,406,406,100.0,06036
6,37,350,350,100.0,06037
6,38,360,360,100.0,06038
6,39,284,284,100.0,06039
6,40,310,310,100.0,06040
6,41,342,342,100.0,06041
6,42,347,347,100.0,06042
6,43,299,299,100.0,06043
6,44,323,323,100.0,06044
6,45,349,349,100.0,06045
6,46,231,231,100.0,06046
6,47,246,246,100.0,06047
6,48,362,362,100.0,06048
7,1,295,295,100.0,07001
7,2,308,308,100.0,07002
7,3,349,349,100.0,07003
7,4,333,333,100.0,07004
7,5,273,273,100.0,07005
7,6,422,422,100.0,07006
7,7,321,321,100.0,07007
7,8,278,278,100.0,07008
7,9,566,566,100.0,07009
7,10,367,367,100.0,07010
7,11,349,349,100.0,07011
7,12,292,292,100.0,07012
7,13,199,199,100.0,07013
7,14,347,347,100.0,07014
7,15,322,322,100.0,07015
7,16,255,255,100.0,07016
7,17,273,273,100.0,07017
7,18,284,284,100.0,07018
7,19,299,299,100.0,07019
7,20,243,243,100.0,07020
7,21,241,241,100.0,07021
7,22,280,280,100.0,07022
7,23,323,323,100.0,07023
7,24,258,258,100.0,07024
7,25,261,261,100.0,07025
7,26,268,268,100.0,07026
7,27,260,260,100.0,07027
7,28,240,240,100.0,07028
7,29,272,272,100.0,07029
7,30,228,228,100.0,07030
7,31,214,214,100.0,07031
7,32,427,427,100.0,07032
7,33,445,445,100.0,07033
7,34,386,386,100.0,07034
7,35,338,338,100.0,07035
7,36,405,405,100.0,07036
7,37,343,343,100.0,07037
7,38,276,276,100.0,07038
7,39,288,288,100.0,07039
7,40,282,282,100.0,07040
7,41,325,325,100.0,07041
7,42,273,273,100.0,07042
7,43,324,324,100.0,07043
7,44,270,270,100.0,07044
7,45,288,288,100.0,07045
7,46,132,132,100.0,07046
8,1,278,278,100.0,08001
8,2,313,313,100.0,08002
8,3,393,393,100.0,08003
8,4,398,398,100.0,08004
8,5,377,377,100.0,08005
8,6,366,366,100.0,08006
8,7,407,407,100.0,08007
8,8,338,338,100.0,08008
8,9,244,244,100.0,08009
8,10,443,443,100.0,08010
8,11,294,294,100.0,08011
