ward,precinct,total,Jack Hagerty,Jack Hagerty Percent,precinct_id
1,1,476,476,100.0,01001
1,2,374,374,100.0,01002
1,3,511,511,100.0,01003
1,4,491,491,100.0,01004
1,5,514,514,100.0,01005
1,6,425,425,100.0,01006
1,7,323,323,100.0,01007
1,8,356,356,100.0,01008
1,9,311,311,100.0,01009
1,10,574,574,100.0,01010
1,11,546,546,100.0,01011
1,12,499,499,100.0,01012
1,13,205,205,100.0,01013
1,14,402,402,100.0,01014
1,15,378,378,100.0,01015
1,16,540,540,100.0,01016
1,17,374,374,100.0,01017
1,18,404,404,100.0,01018
1,19,484,484,100.0,01019
1,20,357,357,100.0,01020
1,21,598,598,100.0,01021
1,22,287,287,100.0,01022
1,23,604,604,100.0,01023
1,24,354,354,100.0,01024
1,25,427,427,100.0,01025
1,26,272,272,100.0,01026
1,27,471,471,100.0,01027
1,28,84,84,100.0,01028
1,29,543,543,100.0,01029
1,30,447,447,100.0,01030
1,31,370,370,100.0,01031
1,32,406,406,100.0,01032
1,33,484,484,100.0,01033
1,34,349,349,100.0,01034
1,35,516,516,100.0,01035
1,36,447,447,100.0,01036
1,37,438,438,100.0,01037
1,38,389,389,100.0,01038
1,39,379,379,100.0,01039
1,40,393,393,100.0,01040
1,41,261,261,100.0,01041
1,42,147,147,100.0,01042
1,43,271,271,100.0,01043
1,44,396,396,100.0,01044
2,1,504,504,100.0,02001
2,2,312,312,100.0,02002
2,3,496,496,100.0,02003
2,4,394,394,100.0,02004
2,5,525,525,100.0,02005
2,6,442,442,100.0,02006
2,7,389,389,100.0,02007
2,8,511,511,100.0,02008
2,9,367,367,100.0,02009
2,10,304,304,100.0,02010
2,11,429,429,100.0,02011
2,12,392,392,100.0,02012
2,13,352,352,100.0,02013
2,14,471,471,100.0,02014
2,15,429,429,100.0,02015
2,16,402,402,100.0,02016
2,17,534,534,100.0,02017
2,18,397,397,100.0,02018
2,19,250,250,100.0,02019
2,20,485,485,100.0,02020
2,21,456,456,100.0,02021
2,22,422,422,100.0,02022
2,23,256,256,100.0,02023
2,24,373,373,100.0,02024
2,25,473,473,100.0,02025
2,26,352,352,100.0,02026
2,27,348,348,100.0,02027
2,28,454,454,100.0,02028
2,29,450,450,100.0,02029
2,30,354,354,100.0,02030
2,31,456,456,100.0,02031
2,32,337,337,100.0,02032
2,33,564,564,100.0,02033
2,34,304,304,100.0,02034
2,35,534,534,100.0,02035
2,36,447,447,100.0,02036
2,37,377,377,100.0,02037
2,38,342,342,100.0,02038
2,39,244,244,100.0,02039
2,40,590,590,100.0,02040
2,41,432,432,100.0,02041
2,42,471,471,100.0,02042
2,43,545,545,100.0,02043
2,44,249,249,100.0,02044
2,45,467,467,100.0,02045
2,46,207,207,100.0,02046
3,1,510,510,100.0,03001
3,2,471,471,100.0,03002
3,3,307,307,100.0,03003
3,4,443,443,100.0,03004
3,5,239,239,100.0,03005
3,6,528,528,100.0,03006
3,7,227,227,100.0,03007
3,8,325,325,100.0,03008
3,9,402,402,100.0,03009
3,10,180,180,100.0,03010
3,11,414,414,100.0,03011
3,12,381,381,100.0,03012
3,13,457,457,100.0,03013
3,14,464,464,100.0,03014
3,15,347,347,100.0,03015
3,16,351,351,100.0,03016
3,17,574,574,100.0,03017
3,18,579,579,100.0,03018
3,19,461,461,100.0,03019
3,20,410,410,100.0,03020
3,21,444,444,100.0,03021
3,22,554,554,100.0,03022
3,23,330,330,100.0,03023
3,24,338,338,100.0,03024
3,25,675,675,100.0,03025
3,26,439,439,100.0,03026
3,27,527,527,100.0,03027
3,28,249,249,100.0,03028
3,29,366,366,100.0,03029
3,30,343,343,100.0,03030
3,31,436,436,100.0,03031
3,32,489,489,100.0,03032
3,33,510,510,100.0,03033
3,34,529,529,100.0,03034
3,35,196,196,100.0,03035
3,36,212,212,100.0,03036
3,37,356,356,100.0,03037
3,38,318,318,100.0,03038
3,39,679,679,100.0,03039
3,40,420,420,100.0,03040
3,41,285,285,100.0,03041
4,1,655,655,100.0,04001
4,2,564,564,100.0,04002
4,3,332,332,100.0,04003
4,4,546,546,100.0,04004
4,5,410,410,100.0,04005
4,6,492,492,100.0,04006
4,7,499,499,100.0,04007
4,8,447,447,100.0,04008
4,9,474,474,100.0,04009
4,10,529,529,100.0,04010
4,11,422,422,100.0,04011
4,12,508,508,100.0,04012
4,13,545,545,100.0,04013
4,14,419,419,100.0,04014
4,15,525,525,100.0,04015
4,16,754,754,100.0,04016
4,17,570,570,100.0,04017
4,18,385,385,100.0,04018
4,19,294,294,100.0,04019
4,20,370,370,100.0,04020
4,21,609,609,100.0,04021
4,22,429,429,100.0,04022
4,23,606,606,100.0,04023
4,24,391,391,100.0,04024
4,25,473,473,100.0,04025
4,26,387,387,100.0,04026
4,27,559,559,100.0,04027
4,28,354,354,100.0,04028
4,29,347,347,100.0,04029
4,30,556,556,100.0,04030
4,31,432,432,100.0,04031
4,32,494,494,100.0,04032
4,33,427,427,100.0,04033
4,34,369,369,100.0,04034
4,35,511,511,100.0,04035
4,36,480,480,100.0,04036
4,37,806,806,100.0,04037
4,38,463,463,100.0,04038
5,1,326,326,100.0,05001
5,2,277,277,100.0,05002
5,3,452,452,100.0,05003
5,4,565,565,100.0,05004
5,5,338,338,100.0,05005
5,6,289,289,100.0,05006
5,7,424,424,100.0,05007
5,8,426,426,100.0,05008
5,9,511,511,100.0,05009
5,10,299,299,100.0,05010
5,11,432,432,100.0,05011
5,12,244,244,100.0,05012
5,13,323,323,100.0,05013
5,14,317,317,100.0,05014
5,15,368,368,100.0,05015
5,16,345,345,100.0,05016
5,17,300,300,100.0,05017
5,18,387,387,100.0,05018
5,19,404,404,100.0,05019
5,20,487,487,100.0,05020
5,21,460,460,100.0,05021
5,22,463,463,100.0,05022
5,23,702,702,100.0,05023
5,24,445,445,100.0,05024
5,25,358,358,100.0,05025
5,26,382,382,100.0,05026
5,27,481,481,100.0,05027
5,28,415,415,100.0,05028
5,29,410,410,100.0,05029
5,30,251,251,100.0,05030
5,31,285,285,100.0,05031
5,32,482,482,100.0,05032
5,33,415,415,100.0,05033
5,34,487,487,100.0,05034
5,35,507,507,100.0,05035
5,36,204,204,100.0,05036
5,37,439,439,100.0,05037
5,38,328,328,100.0,05038
5,39,338,338,100.0,05039
5,40,280,280,100.0,05040
5,41,222,222,100.0,05041
6,1,341,341,100.0,06001
6,2,339,339,100.0,06002
6,3,334,334,100.0,06003
6,4,243,243,100.0,06004
6,5,216,216,100.0,06005
6,6,341,341,100.0,06006
6,7,297,297,100.0,06007
6,8,326,326,100.0,06008
6,9,268,268,100.0,06009
6,10,191,191,100.0,06010
6,11,267,267,100.0,06011
6,12,229,229,100.0,06012
6,13,241,241,100.0,06013
6,14,292,292,100.0,06014
6,15,244,244,100.0,06015
6,16,310,310,100.0,06016
6,17,203,203,100.0,06017
6,18,189,189,100.0,06018
6,19,281,281,100.0,06019
6,20,176,176,100.0,06020
6,21,166,166,100.0,06021
6,22,181,181,100.0,06022
6,23,157,157,100.0,06023
6,24,152,152,100.0,06024
6,25,163,163,100.0,06025
6,26,231,231,100.0,06026
6,27,172,172,100.0,06027
6,28,144,144,100.0,06028
6,29,342,342,100.0,06029
6,30,240,240,100.0,06030
6,31,344,344,100.0,06031
6,32,289,289,100.0,06032
6,33,296,296,100.0,06033
6,34,321,321,100.0,06034
6,35,294,294,100.0,06035
6,36,383,383,100.0,06036
6,37,322,322,100.0,06037
6,38,324,324,100.0,06038
6,39,246,246,100.0,06039
6,40,285,285,100.0,06040
6,41,311,311,100.0,06041
6,42,309,309,100.0,06042
6,43,269,269,100.0,06043
6,44,297,297,100.0,06044
6,45,324,324,100.0,06045
6,46,206,206,100.0,06046
6,47,219,219,100.0,06047
6,48,325,325,100.0,06048
7,1,275,275,100.0,07001
7,2,298,298,100.0,07002
7,3,331,331,100.0,07003
7,4,308,308,100.0,07004
7,5,249,249,100.0,07005
7,6,397,397,100.0,07006
7,7,292,292,100.0,07007
7,8,257,257,100.0,07008
7,9,523,523,100.0,07009
7,10,345,345,100.0,07010
7,11,313,313,100.0,07011
7,12,258,258,100.0,07012
7,13,172,172,100.0,07013
7,14,303,303,100.0,07014
7,15,291,291,100.0,07015
7,16,238,238,100.0,07016
7,17,247,247,100.0,07017
7,18,239,239,100.0,07018
7,19,278,278,100.0,07019
7,20,227,227,100.0,07020
7,21,221,221,100.0,07021
7,22,233,233,100.0,07022
7,23,303,303,100.0,07023
7,24,223,223,100.0,07024
7,25,228,228,100.0,07025
7,26,260,260,100.0,07026
7,27,229,229,100.0,07027
7,28,218,218,100.0,07028
7,29,245,245,100.0,07029
7,30,207,207,100.0,07030
7,31,206,206,100.0,07031
7,32,398,398,100.0,07032
7,33,414,414,100.0,07033
7,34,360,360,100.0,07034
7,35,313,313,100.0,07035
7,36,374,374,100.0,07036
7,37,319,319,100.0,07037
7,38,261,261,100.0,07038
7,39,268,268,100.0,07039
7,40,255,255,100.0,07040
7,41,288,288,100.0,07041
7,42,249,249,100.0,07042
7,43,299,299,100.0,07043
7,44,255,255,100.0,07044
7,45,257,257,100.0,07045
7,46,129,129,100.0,07046
8,1,241,241,100.0,08001
8,2,297,297,100.0,08002
8,3,367,367,100.0,08003
8,4,369,369,100.0,08004
8,5,350,350,100.0,08005
8,6,342,342,100.0,08006
8,7,374,374,100.0,08007
8,8,306,306,100.0,08008
8,9,231,231,100.0,08009
8,10,423,423,100.0,08010
8,11,260,260,100.0,08011
8,12,267,267,100.0,08012
8,13,322,322,100.0,08013
8,14,225,225,100.0,08014
8,15,278,278,100.0,08015
8,16,86,86,100.0,08016
8,17,283,283,100.0,08017
8,18,282,282,100.0,08018
8,19,346,346,100.0,08019
8,20,351,351,100.0,08020
8,21,389,389,100.0,08021
8,22,282,282,100.0,08022
8,23,283,283,100.0,08023
8,24,187,187,100.0,08024
8,25,317,317,100.0,08025
8,26,273,273,100.0,08026
8,27,358,358,100.0,08027
8,28,318,318,100.0,08028
8,29,361,361,100.0,08029
8,30,318,318,100.0,08030
8,31,236,236,100.0,08031
8,32,261,261,100.0,08032
8,33,296,296,100.0,08033
8,34,302,302,100.0,08034
8,35,350,350,100.0,08035
8,36,328,328,100.0,08036
8,37,265,265,100.0,08037
8,38,198,198,100.0,08038
8,39,308,308,100.0,08039
8,40,251,251,100.0,08040
