ward,precinct,total,Omar Aquino,Omar Aquino Percent,precinct_id
1,1,523,523,100.0,01001
1,2,344,344,100.0,01002
1,3,596,596,100.0,01003
1,4,572,572,100.0,01004
1,5,596,596,100.0,01005
1,6,469,469,100.0,01006
1,8,61,61,100.0,01008
1,10,642,642,100.0,01010
1,11,531,531,100.0,01011
1,14,469,469,100.0,01014
1,15,431,431,100.0,01015
1,17,370,370,100.0,01017
1,18,482,482,100.0,01018
1,20,402,402,100.0,01020
1,21,619,619,100.0,01021
1,22,324,324,100.0,01022
1,24,425,425,100.0,01024
1,25,492,492,100.0,01025
1,26,308,308,100.0,01026
1,27,532,532,100.0,01027
1,29,598,598,100.0,01029
1,30,527,527,100.0,01030
1,31,437,437,100.0,01031
1,32,362,362,100.0,01032
1,33,517,517,100.0,01033
1,35,594,594,100.0,01035
1,36,513,513,100.0,01036
1,37,291,291,100.0,01037
1,38,449,449,100.0,01038
1,39,437,437,100.0,01039
1,40,472,472,100.0,01040
1,44,450,450,100.0,01044
2,1,215,215,100.0,02001
2,3,579,579,100.0,02003
2,4,455,455,100.0,02004
2,5,611,611,100.0,02005
2,14,526,526,100.0,02014
2,15,74,74,100.0,02015
2,16,464,464,100.0,02016
2,17,84,84,100.0,02017
2,21,529,529,100.0,02021
26,1,369,369,100.0,26001
26,2,273,273,100.0,26002
26,3,388,388,100.0,26003
26,4,154,154,100.0,26004
26,5,306,306,100.0,26005
26,6,293,293,100.0,26006
26,8,158,158,100.0,26008
26,9,225,225,100.0,26009
26,10,295,295,100.0,26010
26,11,298,298,100.0,26011
26,12,365,365,100.0,26012
26,13,167,167,100.0,26013
26,14,253,253,100.0,26014
26,15,187,187,100.0,26015
26,16,165,165,100.0,26016
26,18,225,225,100.0,26018
26,19,102,102,100.0,26019
26,20,286,286,100.0,26020
26,21,393,393,100.0,26021
26,22,153,153,100.0,26022
26,23,212,212,100.0,26023
26,24,255,255,100.0,26024
26,25,310,310,100.0,26025
26,26,235,235,100.0,26026
26,27,402,402,100.0,26027
26,28,102,102,100.0,26028
26,29,199,199,100.0,26029
26,30,267,267,100.0,26030
26,31,134,134,100.0,26031
26,32,388,388,100.0,26032
26,33,373,373,100.0,26033
26,34,27,27,100.0,26034
26,35,287,287,100.0,26035
26,36,335,335,100.0,26036
26,37,347,347,100.0,26037
26,38,133,133,100.0,26038
26,39,362,362,100.0,26039
26,40,228,228,100.0,26040
26,41,380,380,100.0,26041
26,42,277,277,100.0,26042
26,43,178,178,100.0,26043
26,44,184,184,100.0,26044
26,45,147,147,100.0,26045
26,47,210,210,100.0,26047
26,48,316,316,100.0,26048
26,49,184,184,100.0,26049
27,5,9,9,100.0,27005
27,7,547,547,100.0,27007
27,13,79,79,100.0,27013
27,24,24,24,100.0,27024
27,27,22,22,100.0,27027
27,40,65,65,100.0,27040
27,43,5,5,100.0,27043
29,15,2,2,100.0,29015
29,23,18,18,100.0,29023
29,24,55,55,100.0,29024
29,29,27,27,100.0,29029
29,30,266,266,100.0,29030
29,31,177,177,100.0,29031
29,36,257,257,100.0,29036
29,38,363,363,100.0,29038
29,39,318,318,100.0,29039
30,2,346,346,100.0,30002
30,5,249,249,100.0,30005
30,6,296,296,100.0,30006
30,9,112,112,100.0,30009
30,10,361,361,100.0,30010
30,11,330,330,100.0,30011
30,12,298,298,100.0,30012
30,13,338,338,100.0,30013
30,14,222,222,100.0,30014
30,16,163,163,100.0,30016
30,19,248,248,100.0,30019
30,21,259,259,100.0,30021
30,29,200,200,100.0,30029
30,30,164,164,100.0,30030
31,3,193,193,100.0,31003
31,4,353,353,100.0,31004
31,14,21,21,100.0,31014
31,15,204,204,100.0,31015
31,16,307,307,100.0,31016
31,19,224,224,100.0,31019
31,21,29,29,100.0,31021
31,22,210,210,100.0,31022
31,25,223,223,100.0,31025
31,31,194,194,100.0,31031
31,39,276,276,100.0,31039
35,2,425,425,100.0,35002
35,3,408,408,100.0,35003
35,7,450,450,100.0,35007
35,8,456,456,100.0,35008
35,12,275,275,100.0,35012
35,13,278,278,100.0,35013
35,14,284,284,100.0,35014
35,16,240,240,100.0,35016
35,18,271,271,100.0,35018
35,19,220,220,100.0,35019
35,21,377,377,100.0,35021
36,1,314,314,100.0,36001
36,2,301,301,100.0,36002
36,3,298,298,100.0,36003
36,4,312,312,100.0,36004
36,5,297,297,100.0,36005
36,6,262,262,100.0,36006
36,7,366,366,100.0,36007
36,8,246,246,100.0,36008
36,9,285,285,100.0,36009
36,10,372,372,100.0,36010
36,11,218,218,100.0,36011
36,12,205,205,100.0,36012
36,13,222,222,100.0,36013
36,15,334,334,100.0,36015
36,18,70,70,100.0,36018
36,19,370,370,100.0,36019
36,21,252,252,100.0,36021
36,22,245,245,100.0,36022
36,23,268,268,100.0,36023
36,24,318,318,100.0,36024
36,25,326,326,100.0,36025
36,26,288,288,100.0,36026
36,27,312,312,100.0,36027
36,28,263,263,100.0,36028
36,29,322,322,100.0,36029
36,30,314,314,100.0,36030
37,12,40,40,100.0,37012
37,22,70,70,100.0,37022
37,26,1,1,100.0,37026
38,4,283,283,100.0,38004
38,8,272,272,100.0,38008
38,10,254,254,100.0,38010
38,16,296,296,100.0,38016
38,21,166,166,100.0,38021
38,37,326,326,100.0,38037
38,39,249,249,100.0,38039
