ward,precinct,total,Debra A. Seaton,Debra A. Seaton Percent,precinct_id
9,1,298,298,100.0,09001
9,2,268,268,100.0,09002
9,3,204,204,100.0,09003
9,4,230,230,100.0,09004
9,5,282,282,100.0,09005
9,6,285,285,100.0,09006
9,7,235,235,100.0,09007
9,8,298,298,100.0,09008
9,9,304,304,100.0,09009
9,10,234,234,100.0,09010
9,11,198,198,100.0,09011
9,13,13,13,100.0,09013
9,14,60,60,100.0,09014
9,15,324,324,100.0,09015
9,16,279,279,100.0,09016
9,17,201,201,100.0,09017
9,18,218,218,100.0,09018
9,19,284,284,100.0,09019
9,20,281,281,100.0,09020
9,21,265,265,100.0,09021
9,22,285,285,100.0,09022
9,26,322,322,100.0,09026
9,27,249,249,100.0,09027
9,28,182,182,100.0,09028
9,29,247,247,100.0,09029
9,30,231,231,100.0,09030
9,31,227,227,100.0,09031
9,32,315,315,100.0,09032
9,33,223,223,100.0,09033
9,34,223,223,100.0,09034
9,35,206,206,100.0,09035
9,37,382,382,100.0,09037
9,38,317,317,100.0,09038
9,39,342,342,100.0,09039
9,40,321,321,100.0,09040
9,41,247,247,100.0,09041
9,43,250,250,100.0,09043
9,44,273,273,100.0,09044
9,45,241,241,100.0,09045
9,46,296,296,100.0,09046
19,28,252,252,100.0,19028
19,43,63,63,100.0,19043
21,1,346,346,100.0,21001
21,2,77,77,100.0,21002
21,3,331,331,100.0,21003
21,5,328,328,100.0,21005
21,6,251,251,100.0,21006
21,7,296,296,100.0,21007
21,8,315,315,100.0,21008
21,9,341,341,100.0,21009
21,10,294,294,100.0,21010
21,11,272,272,100.0,21011
21,12,287,287,100.0,21012
21,13,216,216,100.0,21013
21,14,320,320,100.0,21014
21,16,285,285,100.0,21016
21,17,150,150,100.0,21017
21,18,338,338,100.0,21018
21,19,343,343,100.0,21019
21,20,17,17,100.0,21020
21,21,256,256,100.0,21021
21,22,264,264,100.0,21022
21,23,267,267,100.0,21023
21,24,318,318,100.0,21024
21,25,260,260,100.0,21025
21,27,313,313,100.0,21027
21,29,342,342,100.0,21029
21,32,281,281,100.0,21032
21,33,126,126,100.0,21033
21,34,140,140,100.0,21034
21,35,358,358,100.0,21035
21,36,284,284,100.0,21036
21,37,224,224,100.0,21037
21,38,285,285,100.0,21038
21,39,256,256,100.0,21039
21,40,266,266,100.0,21040
21,41,310,310,100.0,21041
21,42,319,319,100.0,21042
21,44,207,207,100.0,21044
21,45,271,271,100.0,21045
21,46,333,333,100.0,21046
21,48,193,193,100.0,21048
21,49,340,340,100.0,21049
21,50,234,234,100.0,21050
21,52,23,23,100.0,21052
34,1,345,345,100.0,34001
34,2,249,249,100.0,34002
34,3,318,318,100.0,34003
34,4,241,241,100.0,34004
34,5,287,287,100.0,34005
34,6,358,358,100.0,34006
34,7,369,369,100.0,34007
34,8,258,258,100.0,34008
34,9,189,189,100.0,34009
34,10,297,297,100.0,34010
34,11,286,286,100.0,34011
34,12,347,347,100.0,34012
34,13,316,316,100.0,34013
34,14,231,231,100.0,34014
34,15,278,278,100.0,34015
34,16,261,261,100.0,34016
34,18,234,234,100.0,34018
34,19,243,243,100.0,34019
34,20,382,382,100.0,34020
34,21,384,384,100.0,34021
34,22,324,324,100.0,34022
34,23,255,255,100.0,34023
34,24,288,288,100.0,34024
34,25,471,471,100.0,34025
34,26,337,337,100.0,34026
34,27,263,263,100.0,34027
34,28,201,201,100.0,34028
34,29,233,233,100.0,34029
34,30,308,308,100.0,34030
34,31,251,251,100.0,34031
34,32,316,316,100.0,34032
34,33,254,254,100.0,34033
34,34,342,342,100.0,34034
34,35,352,352,100.0,34035
34,36,282,282,100.0,34036
34,37,185,185,100.0,34037
34,38,151,151,100.0,34038
34,39,224,224,100.0,34039
34,40,351,351,100.0,34040
34,41,190,190,100.0,34041
34,42,309,309,100.0,34042
34,43,293,293,100.0,34043
34,44,302,302,100.0,34044
34,45,309,309,100.0,34045
34,46,214,214,100.0,34046
34,47,310,310,100.0,34047
34,48,345,345,100.0,34048
34,49,105,105,100.0,34049
34,50,258,258,100.0,34050
34,51,337,337,100.0,34051
34,52,245,245,100.0,34052
34,53,197,197,100.0,34053
