ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Jorge Gerardo Zavala,Jorge Gerardo Zavala Percent,precinct_id
1,1,60,42,70.0,5,8.33,01001
1,2,79,70,88.61,4,5.06,01002
1,7,95,71,74.74,7,7.37,01007
1,9,129,97,75.19,16,12.4,01009
1,13,60,52,86.67,2,3.33,01013
1,15,42,29,69.05,8,19.05,01015
1,16,94,74,78.72,14,14.89,01016
1,17,65,48,73.85,8,12.31,01017
1,18,66,54,81.82,4,6.06,01018
1,19,177,131,74.01,16,9.04,01019
1,20,56,40,71.43,2,3.57,01020
1,22,37,30,81.08,5,13.51,01022
1,23,154,108,70.13,14,9.09,01023
1,24,55,49,89.09,2,3.64,01024
1,25,39,26,66.67,5,12.82,01025
1,26,66,53,80.3,8,12.12,01026
1,27,37,25,67.57,3,8.11,01027
1,29,40,28,70.0,2,5.0,01029
1,30,89,69,77.53,9,10.11,01030
1,31,82,53,64.63,16,19.51,01031
1,34,88,69,78.41,5,5.68,01034
1,38,61,45,73.77,9,14.75,01038
1,41,94,60,63.83,7,7.45,01041
1,42,35,22,62.86,4,11.43,01042
1,43,100,82,82.0,7,7.0,01043
1,44,16,8,50.0,2,12.5,01044
11,3,42,30,71.43,2,4.76,11003
11,37,0,0,0.0,0,0.0,11037
11,38,24,18,75.0,0,0.0,11038
12,2,39,31,79.49,4,10.26,12002
12,3,7,4,57.14,1,14.29,12003
12,5,35,21,60.0,2,5.71,12005
12,6,53,40,75.47,8,15.09,12006
12,7,48,37,77.08,6,12.5,12007
12,8,70,56,80.0,5,7.14,12008
12,10,41,38,92.68,1,2.44,12010
12,11,57,46,80.7,4,7.02,12011
12,12,44,36,81.82,3,6.82,12012
12,13,89,71,79.78,9,10.11,12013
12,14,32,26,81.25,3,9.38,12014
12,15,22,21,95.45,1,4.55,12015
12,16,36,28,77.78,6,16.67,12016
12,17,64,46,71.88,6,9.38,12017
12,18,30,23,76.67,3,10.0,12018
12,19,0,0,0.0,0,0.0,12019
12,20,70,50,71.43,10,14.29,12020
12,21,66,50,75.76,5,7.58,12021
12,22,37,32,86.49,1,2.7,12022
14,2,133,90,67.67,11,8.27,14002
14,3,59,53,89.83,3,5.08,14003
14,5,39,36,92.31,1,2.56,14005
14,6,45,38,84.44,4,8.89,14006
14,10,52,37,71.15,4,7.69,14010
14,11,71,63,88.73,7,9.86,14011
14,13,70,51,72.86,10,14.29,14013
14,14,73,63,86.3,4,5.48,14014
14,15,97,83,85.57,3,3.09,14015
14,16,64,53,82.81,4,6.25,14016
14,17,65,63,96.92,0,0.0,14017
14,19,45,33,73.33,4,8.89,14019
14,20,52,42,80.77,3,5.77,14020
14,25,63,49,77.78,5,7.94,14025
14,27,75,58,77.33,8,10.67,14027
14,28,47,33,70.21,3,6.38,14028
14,30,30,21,70.0,3,10.0,14030
14,31,34,28,82.35,3,8.82,14031
15,1,46,36,78.26,9,19.57,15001
15,4,35,26,74.29,3,8.57,15004
15,5,38,26,68.42,6,15.79,15005
15,6,58,45,77.59,9,15.52,15006
15,8,15,11,73.33,3,20.0,15008
15,9,62,48,77.42,4,6.45,15009
15,10,83,64,77.11,9,10.84,15010
15,11,57,46,80.7,4,7.02,15011
15,12,81,62,76.54,6,7.41,15012
15,15,9,9,100.0,0,0.0,15015
16,1,13,12,92.31,1,7.69,16001
22,3,63,51,80.95,7,11.11,22003
22,4,49,44,89.8,4,8.16,22004
22,5,52,48,92.31,2,3.85,22005
22,6,54,41,75.93,7,12.96,22006
22,7,37,36,97.3,1,2.7,22007
22,9,57,49,85.96,4,7.02,22009
22,10,70,57,81.43,8,11.43,22010
22,11,59,55,93.22,4,6.78,22011
22,13,47,39,82.98,6,12.77,22013
22,14,13,13,100.0,0,0.0,22014
22,15,42,35,83.33,2,4.76,22015
22,16,49,36,73.47,9,18.37,22016
22,17,49,45,91.84,3,6.12,22017
22,18,50,44,88.0,5,10.0,22018
