ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
3,2,39,39,100.0,03002
3,4,119,119,100.0,03004
3,7,89,89,100.0,03007
3,12,16,16,100.0,03012
3,18,55,55,100.0,03018
3,23,18,18,100.0,03023
3,30,100,100,100.0,03030
3,31,3,3,100.0,03031
3,35,44,44,100.0,03035
3,38,170,170,100.0,03038
3,41,98,98,100.0,03041
4,1,100,100,100.0,04001
4,3,102,102,100.0,04003
4,4,45,45,100.0,04004
4,8,138,138,100.0,04008
4,9,216,216,100.0,04009
4,11,37,37,100.0,04011
4,12,134,134,100.0,04012
4,14,111,111,100.0,04014
4,15,113,113,100.0,04015
4,18,122,122,100.0,04018
4,19,115,115,100.0,04019
4,22,98,98,100.0,04022
4,23,89,89,100.0,04023
4,24,114,114,100.0,04024
4,26,119,119,100.0,04026
4,27,88,88,100.0,04027
4,28,144,144,100.0,04028
4,29,69,69,100.0,04029
4,30,92,92,100.0,04030
4,31,193,193,100.0,04031
4,32,122,122,100.0,04032
4,33,143,143,100.0,04033
4,36,60,60,100.0,04036
4,38,175,175,100.0,04038
5,2,77,77,100.0,05002
5,3,73,73,100.0,05003
5,4,107,107,100.0,05004
5,5,115,115,100.0,05005
5,7,103,103,100.0,05007
5,8,71,71,100.0,05008
5,9,102,102,100.0,05009
5,10,27,27,100.0,05010
5,11,40,40,100.0,05011
5,12,56,56,100.0,05012
5,13,104,104,100.0,05013
5,15,119,119,100.0,05015
5,16,89,89,100.0,05016
5,17,93,93,100.0,05017
5,18,72,72,100.0,05018
5,19,85,85,100.0,05019
5,20,115,115,100.0,05020
5,21,93,93,100.0,05021
5,22,90,90,100.0,05022
5,24,86,86,100.0,05024
5,25,27,27,100.0,05025
5,27,43,43,100.0,05027
5,30,72,72,100.0,05030
5,33,115,115,100.0,05033
5,34,60,60,100.0,05034
5,35,57,57,100.0,05035
5,39,67,67,100.0,05039
6,1,138,138,100.0,06001
6,2,117,117,100.0,06002
6,3,124,124,100.0,06003
6,4,62,62,100.0,06004
6,5,71,71,100.0,06005
6,6,118,118,100.0,06006
6,7,90,90,100.0,06007
6,8,132,132,100.0,06008
6,9,71,71,100.0,06009
6,10,56,56,100.0,06010
6,11,78,78,100.0,06011
6,12,60,60,100.0,06012
6,13,83,83,100.0,06013
6,14,83,83,100.0,06014
6,15,68,68,100.0,06015
6,16,129,129,100.0,06016
6,17,71,71,100.0,06017
6,18,80,80,100.0,06018
6,19,92,92,100.0,06019
6,20,57,57,100.0,06020
6,21,4,4,100.0,06021
6,22,56,56,100.0,06022
6,23,57,57,100.0,06023
6,24,45,45,100.0,06024
6,25,49,49,100.0,06025
6,26,52,52,100.0,06026
6,27,55,55,100.0,06027
6,28,41,41,100.0,06028
6,29,150,150,100.0,06029
6,30,71,71,100.0,06030
6,31,125,125,100.0,06031
6,32,86,86,100.0,06032
6,33,104,104,100.0,06033
6,34,110,110,100.0,06034
6,35,96,96,100.0,06035
6,36,115,115,100.0,06036
6,37,149,149,100.0,06037
6,38,129,129,100.0,06038
6,39,79,79,100.0,06039
6,40,99,99,100.0,06040
6,41,114,114,100.0,06041
6,42,99,99,100.0,06042
6,43,94,94,100.0,06043
6,44,85,85,100.0,06044
6,45,114,114,100.0,06045
6,46,80,80,100.0,06046
6,47,73,73,100.0,06047
6,48,95,95,100.0,06048
7,1,66,66,100.0,07001
8,1,68,68,100.0,08001
8,2,76,76,100.0,08002
8,3,200,200,100.0,08003
8,4,45,45,100.0,08004
8,5,184,184,100.0,08005
8,6,123,123,100.0,08006
8,8,170,170,100.0,08008
8,10,196,196,100.0,08010
8,11,134,134,100.0,08011
8,12,113,113,100.0,08012
8,13,90,90,100.0,08013
8,14,57,57,100.0,08014
8,15,73,73,100.0,08015
8,16,22,22,100.0,08016
8,18,88,88,100.0,08018
8,19,168,168,100.0,08019
8,20,128,128,100.0,08020
8,21,128,128,100.0,08021
8,22,103,103,100.0,08022
8,23,88,88,100.0,08023
8,24,78,78,100.0,08024
8,25,109,109,100.0,08025
8,26,91,91,100.0,08026
8,27,119,119,100.0,08027
8,29,143,143,100.0,08029
8,30,110,110,100.0,08030
8,31,100,100,100.0,08031
8,33,109,109,100.0,08033
8,34,101,101,100.0,08034
8,35,128,128,100.0,08035
8,37,113,113,100.0,08037
8,38,61,61,100.0,08038
8,40,72,72,100.0,08040
8,41,97,97,100.0,08041
8,43,43,43,100.0,08043
8,44,67,67,100.0,08044
8,45,65,65,100.0,08045
