ward,precinct,total,Carolyn Joan Gallagher,Carolyn Joan Gallagher Percent,William B. Raines,William B. Raines Percent,Patricia S. Spratt,Patricia S. Spratt Percent,Mary Alice Melchor,Mary Alice Melchor Percent,precinct_id
1,1,49,16,32.65,12,24.49,16,32.65,5,10.2,01001
1,2,53,12,22.64,19,35.85,13,24.53,9,16.98,01002
1,3,35,9,25.71,9,25.71,7,20.0,10,28.57,01003
1,4,23,4,17.39,6,26.09,7,30.43,6,26.09,01004
1,5,15,4,26.67,1,6.67,6,40.0,4,26.67,01005
1,6,38,9,23.68,11,28.95,12,31.58,6,15.79,01006
1,7,79,18,22.78,22,27.85,22,27.85,17,21.52,01007
1,8,48,13,27.08,14,29.17,15,31.25,6,12.5,01008
1,9,94,17,18.09,35,37.23,16,17.02,26,27.66,01009
1,10,20,5,25.0,7,35.0,6,30.0,2,10.0,01010
1,11,43,6,13.95,13,30.23,15,34.88,9,20.93,01011
1,12,34,9,26.47,7,20.59,6,17.65,12,35.29,01012
1,13,43,14,32.56,15,34.88,6,13.95,8,18.6,01013
1,14,31,11,35.48,10,32.26,6,19.35,4,12.9,01014
1,15,38,15,39.47,4,10.53,17,44.74,2,5.26,01015
1,16,72,18,25.0,23,31.94,10,13.89,21,29.17,01016
1,17,56,14,25.0,16,28.57,16,28.57,10,17.86,01017
1,18,50,18,36.0,12,24.0,12,24.0,8,16.0,01018
1,19,120,39,32.5,29,24.17,34,28.33,18,15.0,01019
1,20,41,9,21.95,11,26.83,13,31.71,8,19.51,01020
1,21,18,4,22.22,5,27.78,7,38.89,2,11.11,01021
1,22,26,3,11.54,9,34.62,10,38.46,4,15.38,01022
1,23,118,36,30.51,28,23.73,34,28.81,20,16.95,01023
1,24,40,15,37.5,15,37.5,6,15.0,4,10.0,01024
1,25,27,10,37.04,2,7.41,10,37.04,5,18.52,01025
1,26,48,14,29.17,14,29.17,9,18.75,11,22.92,01026
1,27,30,11,36.67,8,26.67,10,33.33,1,3.33,01027
1,28,36,6,16.67,17,47.22,7,19.44,6,16.67,01028
1,29,38,9,23.68,13,34.21,10,26.32,6,15.79,01029
1,30,66,23,34.85,14,21.21,11,16.67,18,27.27,01030
1,31,63,18,28.57,17,26.98,20,31.75,8,12.7,01031
1,32,34,10,29.41,9,26.47,10,29.41,5,14.71,01032
1,33,23,4,17.39,12,52.17,5,21.74,2,8.7,01033
1,34,72,21,29.17,25,34.72,20,27.78,6,8.33,01034
1,35,28,7,25.0,8,28.57,7,25.0,6,21.43,01035
1,36,32,7,21.88,6,18.75,15,46.88,4,12.5,01036
1,37,24,4,16.67,9,37.5,6,25.0,5,20.83,01037
1,38,44,13,29.55,7,15.91,17,38.64,7,15.91,01038
1,39,15,6,40.0,2,13.33,5,33.33,2,13.33,01039
1,40,47,14,29.79,14,29.79,8,17.02,11,23.4,01040
1,41,68,16,23.53,23,33.82,19,27.94,10,14.71,01041
1,42,34,8,23.53,5,14.71,12,35.29,9,26.47,01042
1,43,66,17,25.76,30,45.45,12,18.18,7,10.61,01043
1,44,12,4,33.33,2,16.67,2,16.67,4,33.33,01044
2,1,30,10,33.33,6,20.0,12,40.0,2,6.67,02001
2,2,47,9,19.15,19,40.43,15,31.91,4,8.51,02002
2,3,31,10,32.26,4,12.9,13,41.94,4,12.9,02003
2,4,25,10,40.0,6,24.0,6,24.0,3,12.0,02004
2,5,24,7,29.17,4,16.67,6,25.0,7,29.17,02005
2,6,27,11,40.74,6,22.22,7,25.93,3,11.11,02006
2,7,22,8,36.36,3,13.64,7,31.82,4,18.18,02007
2,8,20,8,40.0,3,15.0,6,30.0,3,15.0,02008
2,9,21,3,14.29,4,19.05,10,47.62,4,19.05,02009
2,10,62,11,17.74,20,32.26,25,40.32,6,9.68,02010
2,11,50,15,30.0,13,26.0,15,30.0,7,14.0,02011
2,12,59,13,22.03,23,38.98,17,28.81,6,10.17,02012
2,13,77,15,19.48,18,23.38,34,44.16,10,12.99,02013
2,14,53,14,26.42,12,22.64,15,28.3,12,22.64,02014
2,15,59,14,23.73,13,22.03,26,44.07,6,10.17,02015
2,16,24,5,20.83,11,45.83,6,25.0,2,8.33,02016
2,17,47,16,34.04,10,21.28,12,25.53,9,19.15,02017
2,18,68,15,22.06,20,29.41,22,32.35,11,16.18,02018
2,19,68,13,19.12,17,25.0,34,50.0,4,5.88,02019
2,20,15,1,6.67,3,20.0,8,53.33,3,20.0,02020
2,21,32,6,18.75,10,31.25,8,25.0,8,25.0,02021
2,22,39,4,10.26,12,30.77,17,43.59,6,15.38,02022
2,23,46,9,19.57,9,19.57,23,50.0,5,10.87,02023
2,24,45,17,37.78,10,22.22,9,20.0,9,20.0,02024
2,25,39,16,41.03,5,12.82,12,30.77,6,15.38,02025
2,26,31,11,35.48,5,16.13,13,41.94,2,6.45,02026
2,27,50,12,24.0,21,42.0,8,16.0,9,18.0,02027
2,28,39,13,33.33,9,23.08,14,35.9,3,7.69,02028
2,29,40,14,35.0,8,20.0,10,25.0,8,20.0,02029
2,30,38,13,34.21,6,15.79,14,36.84,5,13.16,02030
2,31,70,22,31.43,12,17.14,27,38.57,9,12.86,02031
2,32,28,12,42.86,7,25.0,7,25.0,2,7.14,02032
2,33,95,21,22.11,29,30.53,34,35.79,11,11.58,02033
2,34,55,11,20.0,21,38.18,17,30.91,6,10.91,02034
2,35,31,9,29.03,6,19.35,13,41.94,3,9.68,02035
2,36,31,9,29.03,8,25.81,11,35.48,3,9.68,02036
2,37,47,10,21.28,14,29.79,13,27.66,10,21.28,02037
2,38,36,9,25.0,7,19.44,16,44.44,4,11.11,02038
2,39,43,17,39.53,8,18.6,6,13.95,12,27.91,02039
2,40,28,6,21.43,15,53.57,5,17.86,2,7.14,02040
2,41,19,2,10.53,7,36.84,7,36.84,3,15.79,02041
2,42,44,11,25.0,15,34.09,13,29.55,5,11.36,02042
2,43,35,4,11.43,10,28.57,17,48.57,4,11.43,02043
2,44,26,5,19.23,6,23.08,11,42.31,4,15.38,02044
2,45,74,23,31.08,22,29.73,20,27.03,9,12.16,02045
2,46,21,9,42.86,6,28.57,5,23.81,1,4.76,02046
3,1,98,20,20.41,42,42.86,25,25.51,11,11.22,03001
3,2,199,28,14.07,104,52.26,26,13.07,41,20.6,03002
3,3,90,26,28.89,42,46.67,16,17.78,6,6.67,03003
3,4,140,27,19.29,66,47.14,29,20.71,18,12.86,03004
3,5,66,14,21.21,35,53.03,12,18.18,5,7.58,03005
3,6,45,13,28.89,17,37.78,10,22.22,5,11.11,03006
3,7,80,17,21.25,48,60.0,9,11.25,6,7.5,03007
3,8,71,13,18.31,40,56.34,12,16.9,6,8.45,03008
3,9,92,26,28.26,38,41.3,14,15.22,14,15.22,03009
3,10,47,10,21.28,27,57.45,6,12.77,4,8.51,03010
3,11,81,16,19.75,36,44.44,14,17.28,15,18.52,03011
3,12,172,33,19.19,79,45.93,36,20.93,24,13.95,03012
3,13,66,17,25.76,26,39.39,18,27.27,5,7.58,03013
3,14,54,23,42.59,11,20.37,13,24.07,7,12.96,03014
3,15,71,18,25.35,41,57.75,6,8.45,6,8.45,03015
3,16,81,14,17.28,40,49.38,19,23.46,8,9.88,03016
3,17,35,10,28.57,15,42.86,5,14.29,5,14.29,03017
3,18,119,35,29.41,43,36.13,28,23.53,13,10.92,03018
3,19,66,18,27.27,25,37.88,16,24.24,7,10.61,03019
3,20,89,27,30.34,34,38.2,21,23.6,7,7.87,03020
3,21,106,26,24.53,49,46.23,20,18.87,11,10.38,03021
3,22,46,13,28.26,14,30.43,13,28.26,6,13.04,03022
3,23,94,21,22.34,43,45.74,21,22.34,9,9.57,03023
3,24,110,35,31.82,42,38.18,14,12.73,19,17.27,03024
3,25,67,15,22.39,24,35.82,17,25.37,11,16.42,03025
3,26,100,18,18.0,43,43.0,22,22.0,17,17.0,03026
3,27,34,7,20.59,6,17.65,15,44.12,6,17.65,03027
3,28,96,25,26.04,35,36.46,22,22.92,14,14.58,03028
3,29,75,20,26.67,33,44.0,17,22.67,5,6.67,03029
3,30,114,23,20.18,57,50.0,26,22.81,8,7.02,03030
3,31,128,24,18.75,51,39.84,37,28.91,16,12.5,03031
3,32,76,21,27.63,20,26.32,24,31.58,11,14.47,03032
3,33,49,9,18.37,19,38.78,15,30.61,6,12.24,03033
3,34,84,26,30.95,38,45.24,11,13.1,9,10.71,03034
3,35,47,11,23.4,23,48.94,10,21.28,3,6.38,03035
3,36,41,5,12.2,23,56.1,11,26.83,2,4.88,03036
3,37,77,16,20.78,35,45.45,19,24.68,7,9.09,03037
3,38,167,40,23.95,88,52.69,21,12.57,18,10.78,03038
3,39,31,9,29.03,10,32.26,8,25.81,4,12.9,03039
3,40,125,32,25.6,58,46.4,28,22.4,7,5.6,03040
3,41,77,19,24.68,36,46.75,14,18.18,8,10.39,03041
4,1,115,19,16.52,61,53.04,23,20.0,12,10.43,04001
4,2,73,19,26.03,25,34.25,21,28.77,8,10.96,04002
4,3,97,22,22.68,43,44.33,19,19.59,13,13.4,04003
4,4,133,26,19.55,61,45.86,36,27.07,10,7.52,04004
