ward,precinct,total,Cynthia Y. Cobbs,Cynthia Y. Cobbs Percent,Linda L. Mastandrea,Linda L. Mastandrea Percent,precinct_id
1,1,47,26,55.32,21,44.68,01001
1,2,53,28,52.83,25,47.17,01002
1,3,34,24,70.59,10,29.41,01003
1,4,23,12,52.17,11,47.83,01004
1,5,14,7,50.0,7,50.0,01005
1,6,38,21,55.26,17,44.74,01006
1,7,69,41,59.42,28,40.58,01007
1,8,48,31,64.58,17,35.42,01008
1,9,80,53,66.25,27,33.75,01009
1,10,19,9,47.37,10,52.63,01010
1,11,41,18,43.9,23,56.1,01011
1,12,36,13,36.11,23,63.89,01012
1,13,43,23,53.49,20,46.51,01013
1,14,32,15,46.88,17,53.13,01014
1,15,35,22,62.86,13,37.14,01015
1,16,68,36,52.94,32,47.06,01016
1,17,55,32,58.18,23,41.82,01017
1,18,52,33,63.46,19,36.54,01018
1,19,122,71,58.2,51,41.8,01019
1,20,42,27,64.29,15,35.71,01020
1,21,19,13,68.42,6,31.58,01021
1,22,27,18,66.67,9,33.33,01022
1,23,117,61,52.14,56,47.86,01023
1,24,41,26,63.41,15,36.59,01024
1,25,26,14,53.85,12,46.15,01025
1,26,48,30,62.5,18,37.5,01026
1,27,29,17,58.62,12,41.38,01027
1,28,30,20,66.67,10,33.33,01028
1,29,34,22,64.71,12,35.29,01029
1,30,66,38,57.58,28,42.42,01030
1,31,60,32,53.33,28,46.67,01031
1,32,33,15,45.45,18,54.55,01032
1,33,19,10,52.63,9,47.37,01033
1,34,64,40,62.5,24,37.5,01034
1,35,29,18,62.07,11,37.93,01035
1,36,33,23,69.7,10,30.3,01036
1,37,26,11,42.31,15,57.69,01037
1,38,43,29,67.44,14,32.56,01038
1,39,16,8,50.0,8,50.0,01039
1,40,52,36,69.23,16,30.77,01040
1,41,70,33,47.14,37,52.86,01041
1,42,32,13,40.63,19,59.38,01042
1,43,60,35,58.33,25,41.67,01043
1,44,10,6,60.0,4,40.0,01044
2,1,30,15,50.0,15,50.0,02001
2,2,47,25,53.19,22,46.81,02002
2,3,33,17,51.52,16,48.48,02003
2,4,24,19,79.17,5,20.83,02004
2,5,21,10,47.62,11,52.38,02005
2,6,28,21,75.0,7,25.0,02006
2,7,25,7,28.0,18,72.0,02007
2,8,21,14,66.67,7,33.33,02008
2,9,20,11,55.0,9,45.0,02009
2,10,62,34,54.84,28,45.16,02010
2,11,43,25,58.14,18,41.86,02011
2,12,61,40,65.57,21,34.43,02012
2,13,80,45,56.25,35,43.75,02013
2,14,54,35,64.81,19,35.19,02014
2,15,61,38,62.3,23,37.7,02015
2,16,22,16,72.73,6,27.27,02016
2,17,49,28,57.14,21,42.86,02017
2,18,68,48,70.59,20,29.41,02018
2,19,69,32,46.38,37,53.62,02019
2,20,15,13,86.67,2,13.33,02020
2,21,36,20,55.56,16,44.44,02021
2,22,37,24,64.86,13,35.14,02022
2,23,45,24,53.33,21,46.67,02023
2,24,42,26,61.9,16,38.1,02024
2,25,36,21,58.33,15,41.67,02025
2,26,29,15,51.72,14,48.28,02026
2,27,48,24,50.0,24,50.0,02027
2,28,37,28,75.68,9,24.32,02028
2,29,40,18,45.0,22,55.0,02029
2,30,34,17,50.0,17,50.0,02030
2,31,72,46,63.89,26,36.11,02031
2,32,25,17,68.0,8,32.0,02032
2,33,95,59,62.11,36,37.89,02033
2,34,58,38,65.52,20,34.48,02034
2,35,30,12,40.0,18,60.0,02035
2,36,27,14,51.85,13,48.15,02036
2,37,42,27,64.29,15,35.71,02037
2,38,37,14,37.84,23,62.16,02038
2,39,41,28,68.29,13,31.71,02039
2,40,28,18,64.29,10,35.71,02040
2,41,18,10,55.56,8,44.44,02041
2,42,42,29,69.05,13,30.95,02042
2,43,36,17,47.22,19,52.78,02043
2,44,26,16,61.54,10,38.46,02044
2,45,79,58,73.42,21,26.58,02045
2,46,21,11,52.38,10,47.62,02046
3,1,93,84,90.32,9,9.68,03001
3,2,200,182,91.0,18,9.0,03002
3,3,92,78,84.78,14,15.22,03003
3,4,138,126,91.3,12,8.7,03004
3,5,61,53,86.89,8,13.11,03005
3,6,47,33,70.21,14,29.79,03006
3,7,92,87,94.57,5,5.43,03007
3,8,73,62,84.93,11,15.07,03008
3,9,99,89,89.9,10,10.1,03009
3,10,50,45,90.0,5,10.0,03010
3,11,88,79,89.77,9,10.23,03011
3,12,170,147,86.47,23,13.53,03012
3,13,64,42,65.63,22,34.38,03013
3,14,57,49,85.96,8,14.04,03014
3,15,71,67,94.37,4,5.63,03015
3,16,85,72,84.71,13,15.29,03016
3,17,37,35,94.59,2,5.41,03017
3,18,126,109,86.51,17,13.49,03018
3,19,68,45,66.18,23,33.82,03019
3,20,90,83,92.22,7,7.78,03020
3,21,103,87,84.47,16,15.53,03021
3,22,42,25,59.52,17,40.48,03022
3,23,95,88,92.63,7,7.37,03023
3,24,105,90,85.71,15,14.29,03024
3,25,70,53,75.71,17,24.29,03025
3,26,100,77,77.0,23,23.0,03026
3,27,31,24,77.42,7,22.58,03027
3,28,100,84,84.0,16,16.0,03028
3,29,77,66,85.71,11,14.29,03029
3,30,116,95,81.9,21,18.1,03030
3,31,128,114,89.06,14,10.94,03031
3,32,78,59,75.64,19,24.36,03032
3,33,48,32,66.67,16,33.33,03033
3,34,86,72,83.72,14,16.28,03034
3,35,48,46,95.83,2,4.17,03035
3,36,41,38,92.68,3,7.32,03036
3,37,77,70,90.91,7,9.09,03037
3,38,171,155,90.64,16,9.36,03038
3,39,31,23,74.19,8,25.81,03039
3,40,122,100,81.97,22,18.03,03040
3,41,84,64,76.19,20,23.81,03041
4,1,118,98,83.05,20,16.95,04001
4,2,77,57,74.03,20,25.97,04002
4,3,97,82,84.54,15,15.46,04003
4,4,136,116,85.29,20,14.71,04004
4,5,74,69,93.24,5,6.76,04005
4,6,173,165,95.38,8,4.62,04006
4,7,177,164,92.66,13,7.34,04007
4,8,186,177,95.16,9,4.84,04008
4,9,236,226,95.76,10,4.24,04009
4,10,105,100,95.24,5,4.76,04010
4,11,116,105,90.52,11,9.48,04011
4,12,145,136,93.79,9,6.21,04012
4,13,27,17,62.96,10,37.04,04013
4,14,131,123,93.89,8,6.11,04014
4,15,149,134,89.93,15,10.07,04015
4,16,49,41,83.67,8,16.33,04016
4,17,56,38,67.86,18,32.14,04017
4,18,131,114,87.02,17,12.98,04018
4,19,138,117,84.78,21,15.22,04019
4,20,102,84,82.35,18,17.65,04020
4,21,55,43,78.18,12,21.82,04021
4,22,103,90,87.38,13,12.62,04022
4,23,115,104,90.43,11,9.57,04023
4,24,130,111,85.38,19,14.62,04024
4,25,76,52,68.42,24,31.58,04025
4,26,131,106,80.92,25,19.08,04026
4,27,90,77,85.56,13,14.44,04027
4,28,163,148,90.8,15,9.2,04028
4,29,90,84,93.33,6,6.67,04029
4,30,118,111,94.07,7,5.93,04030
4,31,229,209,91.27,20,8.73,04031
4,32,120,112,93.33,8,6.67,04032
4,33,152,129,84.87,23,15.13,04033
4,34,104,82,78.85,22,21.15,04034
4,35,208,186,89.42,22,10.58,04035
4,36,152,140,92.11,12,7.89,04036
4,37,83,53,63.86,30,36.14,04037
4,38,181,168,92.82,13,7.18,04038
5,1,63,49,77.78,14,22.22,05001
5,2,85,76,89.41,9,10.59,05002
5,3,83,66,79.52,17,20.48,05003
5,4,108,91,84.26,17,15.74,05004
5,5,132,118,89.39,14,10.61,05005
5,6,86,75,87.21,11,12.79,05006
5,7,106,84,79.25,22,20.75,05007
5,8,85,67,78.82,18,21.18,05008
5,9,103,90,87.38,13,12.62,05009
5,10,75,69,92.0,6,8.0,05010
5,11,113,91,80.53,22,19.47,05011
5,12,60,57,95.0,3,5.0,05012
5,13,100,85,85.0,15,15.0,05013
5,14,132,124,93.94,8,6.06,05014
5,15,130,109,83.85,21,16.15,05015
5,16,105,94,89.52,11,10.48,05016
5,17,103,84,81.55,19,18.45,05017
5,18,89,77,86.52,12,13.48,05018
5,19,86,73,84.88,13,15.12,05019
5,20,120,111,92.5,9,7.5,05020
5,21,87,75,86.21,12,13.79,05021
5,22,93,84,90.32,9,9.68,05022
5,23,126,101,80.16,25,19.84,05023
5,24,91,78,85.71,13,14.29,05024
5,25,118,109,92.37,9,7.63,05025
5,26,73,68,93.15,5,6.85,05026
5,27,49,39,79.59,10,20.41,05027
5,28,143,132,92.31,11,7.69,05028
5,29,109,100,91.74,9,8.26,05029
5,30,71,62,87.32,9,12.68,05030
5,31,64,60,93.75,4,6.25,05031
5,32,136,124,91.18,12,8.82,05032
5,33,124,113,91.13,11,8.87,05033
5,34,70,39,55.71,31,44.29,05034
5,35,94,73,77.66,21,22.34,05035
5,36,106,85,80.19,21,19.81,05036
5,37,128,95,74.22,33,25.78,05037
5,38,87,73,83.91,14,16.09,05038
5,39,74,57,77.03,17,22.97,05039
5,40,94,88,93.62,6,6.38,05040
5,41,96,80,83.33,16,16.67,05041
6,1,153,144,94.12,9,5.88,06001
6,2,117,106,90.6,11,9.4,06002
6,3,136,126,92.65,10,7.35,06003
6,4,71,65,91.55,6,8.45,06004
6,5,75,59,78.67,16,21.33,06005
