ward,precinct,total,Sharon Oden Johnson,Sharon Oden Johnson Percent,John B. Simon,John B. Simon Percent,precinct_id
1,1,49,22,44.9,27,55.1,01001
1,2,61,30,49.18,31,50.82,01002
1,3,38,8,21.05,30,78.95,01003
1,4,25,9,36.0,16,64.0,01004
1,5,16,8,50.0,8,50.0,01005
1,6,40,14,35.0,26,65.0,01006
1,7,85,31,36.47,54,63.53,01007
1,8,60,21,35.0,39,65.0,01008
1,9,102,45,44.12,57,55.88,01009
1,10,25,8,32.0,17,68.0,01010
1,11,43,15,34.88,28,65.12,01011
1,12,36,11,30.56,25,69.44,01012
1,13,43,13,30.23,30,69.77,01013
1,14,38,13,34.21,25,65.79,01014
1,15,36,11,30.56,25,69.44,01015
1,16,78,33,42.31,45,57.69,01016
1,17,62,34,54.84,28,45.16,01017
1,18,52,25,48.08,27,51.92,01018
1,19,134,52,38.81,82,61.19,01019
1,20,47,19,40.43,28,59.57,01020
1,21,21,8,38.1,13,61.9,01021
1,22,28,9,32.14,19,67.86,01022
1,23,125,54,43.2,71,56.8,01023
1,24,43,19,44.19,24,55.81,01024
1,25,28,15,53.57,13,46.43,01025
1,26,50,25,50.0,25,50.0,01026
1,27,32,12,37.5,20,62.5,01027
1,28,41,17,41.46,24,58.54,01028
1,29,38,11,28.95,27,71.05,01029
1,30,73,34,46.58,39,53.42,01030
1,31,64,32,50.0,32,50.0,01031
1,32,33,7,21.21,26,78.79,01032
1,33,27,7,25.93,20,74.07,01033
1,34,75,36,48.0,39,52.0,01034
1,35,29,12,41.38,17,58.62,01035
1,36,36,11,30.56,25,69.44,01036
1,37,27,9,33.33,18,66.67,01037
1,38,54,19,35.19,35,64.81,01038
1,39,17,6,35.29,11,64.71,01039
1,40,50,16,32.0,34,68.0,01040
1,41,73,33,45.21,40,54.79,01041
1,42,35,19,54.29,16,45.71,01042
1,43,77,31,40.26,46,59.74,01043
1,44,15,3,20.0,12,80.0,01044
2,1,35,11,31.43,24,68.57,02001
2,2,55,10,18.18,45,81.82,02002
2,3,36,15,41.67,21,58.33,02003
2,4,27,7,25.93,20,74.07,02004
2,5,27,8,29.63,19,70.37,02005
2,6,29,12,41.38,17,58.62,02006
