ward,precinct,total,Michael Weaver,Michael Weaver Percent,precinct_id
1,1,645,645,100.0,01001
1,2,670,670,100.0,01002
1,3,740,740,100.0,01003
1,4,675,675,100.0,01004
1,5,695,695,100.0,01005
1,6,585,585,100.0,01006
1,7,723,723,100.0,01007
1,8,641,641,100.0,01008
1,9,329,329,100.0,01009
1,10,851,851,100.0,01010
1,11,677,677,100.0,01011
1,12,291,291,100.0,01012
1,13,464,464,100.0,01013
1,14,413,413,100.0,01014
1,15,701,701,100.0,01015
1,16,675,675,100.0,01016
1,17,447,447,100.0,01017
1,18,649,649,100.0,01018
1,19,583,583,100.0,01019
1,20,591,591,100.0,01020
1,21,581,581,100.0,01021
1,22,783,783,100.0,01022
1,23,387,387,100.0,01023
1,24,811,811,100.0,01024
1,25,719,719,100.0,01025
1,26,616,616,100.0,01026
2,1,600,600,100.0,02001
2,2,745,745,100.0,02002
2,3,492,492,100.0,02003
2,4,516,516,100.0,02004
2,5,491,491,100.0,02005
2,6,691,691,100.0,02006
2,7,610,610,100.0,02007
2,8,458,458,100.0,02008
2,9,669,669,100.0,02009
2,10,321,321,100.0,02010
2,11,540,540,100.0,02011
2,12,482,482,100.0,02012
2,13,646,646,100.0,02013
2,14,412,412,100.0,02014
2,15,535,535,100.0,02015
2,16,606,606,100.0,02016
2,17,873,873,100.0,02017
2,18,553,553,100.0,02018
2,19,303,303,100.0,02019
2,20,347,347,100.0,02020
2,21,114,114,100.0,02021
2,22,450,450,100.0,02022
2,23,502,502,100.0,02023
2,24,381,381,100.0,02024
2,25,565,565,100.0,02025
3,1,571,571,100.0,03001
3,2,567,567,100.0,03002
3,3,384,384,100.0,03003
3,4,444,444,100.0,03004
3,5,109,109,100.0,03005
3,6,568,568,100.0,03006
3,7,287,287,100.0,03007
3,8,439,439,100.0,03008
3,9,363,363,100.0,03009
3,10,369,369,100.0,03010
3,11,612,612,100.0,03011
3,12,583,583,100.0,03012
3,13,675,675,100.0,03013
3,14,711,711,100.0,03014
3,15,479,479,100.0,03015
3,16,296,296,100.0,03016
3,17,160,160,100.0,03017
3,18,180,180,100.0,03018
3,19,732,732,100.0,03019
3,20,507,507,100.0,03020
3,21,513,513,100.0,03021
3,22,408,408,100.0,03022
3,23,251,251,100.0,03023
3,24,116,116,100.0,03024
3,25,711,711,100.0,03025
3,26,249,249,100.0,03026
3,27,628,628,100.0,03027
4,1,732,732,100.0,04001
4,2,276,276,100.0,04002
4,3,482,482,100.0,04003
4,4,591,591,100.0,04004
4,5,275,275,100.0,04005
4,6,410,410,100.0,04006
4,7,293,293,100.0,04007
4,8,416,416,100.0,04008
4,9,441,441,100.0,04009
4,10,417,417,100.0,04010
4,11,572,572,100.0,04011
4,12,369,369,100.0,04012
4,13,358,358,100.0,04013
4,14,349,349,100.0,04014
4,15,328,328,100.0,04015
4,16,447,447,100.0,04016
4,17,609,609,100.0,04017
4,18,179,179,100.0,04018
4,19,394,394,100.0,04019
4,20,577,577,100.0,04020
4,21,368,368,100.0,04021
4,22,186,186,100.0,04022
4,23,336,336,100.0,04023
4,24,645,645,100.0,04024
4,25,776,776,100.0,04025
4,26,649,649,100.0,04026
4,27,760,760,100.0,04027
4,28,776,776,100.0,04028
5,1,544,544,100.0,05001
5,2,637,637,100.0,05002
5,3,572,572,100.0,05003
5,4,451,451,100.0,05004
5,5,272,272,100.0,05005
5,6,249,249,100.0,05006
5,7,136,136,100.0,05007
5,8,173,173,100.0,05008
5,9,164,164,100.0,05009
5,10,279,279,100.0,05010
5,11,356,356,100.0,05011
5,12,610,610,100.0,05012
5,13,269,269,100.0,05013
5,14,303,303,100.0,05014
5,15,878,878,100.0,05015
5,16,543,543,100.0,05016
5,17,408,408,100.0,05017
5,18,794,794,100.0,05018
5,19,364,364,100.0,05019
5,20,608,608,100.0,05020
5,21,505,505,100.0,05021
5,22,579,579,100.0,05022
5,23,332,332,100.0,05023
5,24,376,376,100.0,05024
5,25,796,796,100.0,05025
6,1,170,170,100.0,06001
6,2,220,220,100.0,06002
6,3,63,63,100.0,06003
6,4,170,170,100.0,06004
6,5,283,283,100.0,06005
6,6,271,271,100.0,06006
6,7,326,326,100.0,06007
6,8,248,248,100.0,06008
6,9,520,520,100.0,06009
6,10,324,324,100.0,06010
6,11,159,159,100.0,06011
6,12,350,350,100.0,06012
6,13,460,460,100.0,06013
6,14,432,432,100.0,06014
6,15,453,453,100.0,06015
6,16,285,285,100.0,06016
6,17,518,518,100.0,06017
6,18,583,583,100.0,06018
6,19,379,379,100.0,06019
6,20,645,645,100.0,06020
6,21,474,474,100.0,06021
6,22,665,665,100.0,06022
6,23,616,616,100.0,06023
6,24,542,542,100.0,06024
6,25,413,413,100.0,06025
6,26,701,701,100.0,06026
6,27,663,663,100.0,06027
7,1,481,481,100.0,07001
7,2,618,618,100.0,07002
7,3,334,334,100.0,07003
7,4,448,448,100.0,07004
7,5,537,537,100.0,07005
7,6,148,148,100.0,07006
7,7,354,354,100.0,07007
7,8,215,215,100.0,07008
7,9,339,339,100.0,07009
7,10,503,503,100.0,07010
7,11,458,458,100.0,07011
7,12,515,515,100.0,07012
7,13,347,347,100.0,07013
7,14,325,325,100.0,07014
7,15,473,473,100.0,07015
7,16,167,167,100.0,07016
7,17,133,133,100.0,07017
7,18,70,70,100.0,07018
7,19,635,635,100.0,07019
7,20,336,336,100.0,07020
7,21,260,260,100.0,07021
7,22,305,305,100.0,07022
7,23,202,202,100.0,07023
7,24,62,62,100.0,07024
7,25,329,329,100.0,07025
7,26,485,485,100.0,07026
7,27,290,290,100.0,07027
7,28,180,180,100.0,07028
7,29,257,257,100.0,07029
7,30,244,244,100.0,07030
7,31,108,108,100.0,07031
8,1,502,502,100.0,08001
8,2,251,251,100.0,08002
8,3,202,202,100.0,08003
8,4,486,486,100.0,08004
8,5,334,334,100.0,08005
8,6,556,556,100.0,08006
8,7,341,341,100.0,08007
8,8,686,686,100.0,08008
8,9,446,446,100.0,08009
8,10,509,509,100.0,08010
8,11,403,403,100.0,08011
8,12,477,477,100.0,08012
8,13,456,456,100.0,08013
8,14,505,505,100.0,08014
8,15,391,391,100.0,08015
8,16,362,362,100.0,08016
8,17,606,606,100.0,08017
8,18,827,827,100.0,08018
8,19,640,640,100.0,08019
8,20,285,285,100.0,08020
8,21,329,329,100.0,08021
8,22,229,229,100.0,08022
8,23,695,695,100.0,08023
8,24,426,426,100.0,08024
8,25,178,178,100.0,08025
8,26,335,335,100.0,08026
8,27,455,455,100.0,08027
8,28,308,308,100.0,08028
8,29,448,448,100.0,08029
8,30,403,403,100.0,08030
9,1,498,498,100.0,09001
9,2,352,352,100.0,09002
9,3,174,174,100.0,09003
9,4,361,361,100.0,09004
9,5,362,362,100.0,09005
9,6,624,624,100.0,09006
9,7,484,484,100.0,09007
9,8,475,475,100.0,09008
9,9,281,281,100.0,09009
9,10,601,601,100.0,09010
9,11,205,205,100.0,09011
9,12,538,538,100.0,09012
9,13,508,508,100.0,09013
9,14,287,287,100.0,09014
9,15,390,390,100.0,09015
9,16,532,532,100.0,09016
9,17,149,149,100.0,09017
9,18,266,266,100.0,09018
9,19,228,228,100.0,09019
9,20,396,396,100.0,09020
9,21,484,484,100.0,09021
9,22,335,335,100.0,09022
9,23,256,256,100.0,09023
9,24,404,404,100.0,09024
9,25,317,317,100.0,09025
9,26,447,447,100.0,09026
9,27,250,250,100.0,09027
9,28,188,188,100.0,09028
9,29,581,581,100.0,09029
9,30,492,492,100.0,09030
10,1,129,129,100.0,10001
10,2,154,154,100.0,10002
10,3,243,243,100.0,10003
10,4,282,282,100.0,10004
10,5,101,101,100.0,10005
10,6,131,131,100.0,10006
10,7,233,233,100.0,10007
10,8,221,221,100.0,10008
10,9,268,268,100.0,10009
10,10,268,268,100.0,10010
10,11,102,102,100.0,10011
10,12,268,268,100.0,10012
10,13,300,300,100.0,10013
10,14,374,374,100.0,10014
10,15,308,308,100.0,10015
10,16,380,380,100.0,10016
10,17,323,323,100.0,10017
10,18,385,385,100.0,10018
10,19,254,254,100.0,10019
10,20,163,163,100.0,10020
10,21,196,196,100.0,10021
10,22,341,341,100.0,10022
10,23,281,281,100.0,10023
10,24,131,131,100.0,10024
10,25,214,214,100.0,10025
11,1,138,138,100.0,11001
11,2,70,70,100.0,11002
11,3,378,378,100.0,11003
11,4,269,269,100.0,11004
11,5,280,280,100.0,11005
11,6,368,368,100.0,11006
11,7,192,192,100.0,11007
11,8,296,296,100.0,11008
11,9,351,351,100.0,11009
11,10,54,54,100.0,11010
11,11,47,47,100.0,11011
11,12,106,106,100.0,11012
11,13,304,304,100.0,11013
11,14,590,590,100.0,11014
11,15,464,464,100.0,11015
11,16,546,546,100.0,11016
11,17,232,232,100.0,11017
11,18,346,346,100.0,11018
11,19,111,111,100.0,11019
11,20,324,324,100.0,11020
11,21,500,500,100.0,11021
11,22,327,327,100.0,11022
11,23,363,363,100.0,11023
12,1,211,211,100.0,12001
12,2,155,155,100.0,12002
12,3,294,294,100.0,12003
12,4,249,249,100.0,12004
12,5,235,235,100.0,12005
12,6,216,216,100.0,12006
12,7,230,230,100.0,12007
12,8,203,203,100.0,12008
12,9,105,105,100.0,12009
12,10,239,239,100.0,12010
12,11,183,183,100.0,12011
12,12,151,151,100.0,12012
12,13,171,171,100.0,12013
12,14,200,200,100.0,12014
12,15,222,222,100.0,12015
12,16,245,245,100.0,12016
12,17,207,207,100.0,12017
12,18,258,258,100.0,12018
12,19,127,127,100.0,12019
12,20,187,187,100.0,12020
12,21,183,183,100.0,12021
12,22,176,176,100.0,12022
13,1,206,206,100.0,13001
13,2,227,227,100.0,13002
13,3,260,260,100.0,13003
13,4,272,272,100.0,13004
13,5,197,197,100.0,13005
13,6,225,225,100.0,13006
13,7,197,197,100.0,13007
13,8,291,291,100.0,13008
13,9,291,291,100.0,13009
13,10,278,278,100.0,13010
13,11,158,158,100.0,13011
13,12,173,173,100.0,13012
13,13,204,204,100.0,13013
13,14,203,203,100.0,13014
13,15,203,203,100.0,13015
13,16,266,266,100.0,13016
13,17,307,307,100.0,13017
13,18,197,197,100.0,13018
13,19,167,167,100.0,13019
13,20,228,228,100.0,13020
13,21,202,202,100.0,13021
13,22,302,302,100.0,13022
13,23,231,231,100.0,13023
13,24,221,221,100.0,13024
13,25,229,229,100.0,13025
13,26,189,189,100.0,13026
13,27,158,158,100.0,13027
13,28,189,189,100.0,13028
13,29,187,187,100.0,13029
13,30,226,226,100.0,13030
13,31,167,167,100.0,13031
13,32,170,170,100.0,13032
13,33,218,218,100.0,13033
13,34,268,268,100.0,13034
13,35,337,337,100.0,13035
13,36,144,144,100.0,13036
13,37,237,237,100.0,13037
13,38,155,155,100.0,13038
13,39,258,258,100.0,13039
13,40,210,210,100.0,13040
14,1,353,353,100.0,14001
14,2,226,226,100.0,14002
14,3,150,150,100.0,14003
14,4,79,79,100.0,14004
14,5,282,282,100.0,14005
14,6,356,356,100.0,14006
14,7,336,336,100.0,14007
14,8,316,316,100.0,14008
14,9,335,335,100.0,14009
14,10,321,321,100.0,14010
14,11,361,361,100.0,14011
14,12,222,222,100.0,14012
14,13,382,382,100.0,14013
14,14,189,189,100.0,14014
14,15,199,199,100.0,14015
15,1,170,170,100.0,15001
15,2,243,243,100.0,15002
15,3,104,104,100.0,15003
15,4,158,158,100.0,15004
15,5,178,178,100.0,15005
15,6,218,218,100.0,15006
15,7,151,151,100.0,15007
15,8,186,186,100.0,15008
15,9,217,217,100.0,15009
15,10,189,189,100.0,15010
15,11,175,175,100.0,15011
15,12,228,228,100.0,15012
15,13,162,162,100.0,15013
15,14,179,179,100.0,15014
15,15,181,181,100.0,15015
15,16,280,280,100.0,15016
15,17,332,332,100.0,15017
15,18,247,247,100.0,15018
15,19,152,152,100.0,15019
15,20,195,195,100.0,15020
16,1,287,287,100.0,16001
16,2,181,181,100.0,16002
16,3,253,253,100.0,16003
16,4,147,147,100.0,16004
