ward,precinct,total,Tammy Duckworth,Tammy Duckworth Percent,Kathy Salvi,Kathy Salvi Percent,Bill Redpath,Bill Redpath Percent,precinct_id
1,1,878,799,91.0,63,7.18,16,1.82,01001
1,2,884,808,91.4,62,7.01,14,1.58,01002
1,3,957,859,89.76,85,8.88,13,1.36,01003
1,4,844,796,94.31,38,4.5,10,1.18,01004
1,5,903,832,92.14,56,6.2,15,1.66,01005
1,6,770,691,89.74,70,9.09,9,1.17,01006
1,7,918,852,92.81,54,5.88,12,1.31,01007
1,8,810,734,90.62,63,7.78,13,1.6,01008
1,9,457,393,86.0,53,11.6,11,2.41,01009
1,10,1094,983,89.85,88,8.04,23,2.1,01010
1,11,832,758,91.11,66,7.93,8,0.96,01011
1,12,402,350,87.06,41,10.2,11,2.74,01012
1,13,600,545,90.83,50,8.33,5,0.83,01013
1,14,564,496,87.94,48,8.51,20,3.55,01014
1,15,912,822,90.13,80,8.77,10,1.1,01015
1,16,930,830,89.25,88,9.46,12,1.29,01016
1,17,577,528,91.51,44,7.63,5,0.87,01017
1,18,820,752,91.71,58,7.07,10,1.22,01018
1,19,763,655,85.85,95,12.45,13,1.7,01019
1,20,745,669,89.8,59,7.92,17,2.28,01020
1,21,746,647,86.73,77,10.32,22,2.95,01021
1,22,1022,902,88.26,104,10.18,16,1.57,01022
1,23,501,442,88.22,50,9.98,9,1.8,01023
1,24,1063,942,88.62,109,10.25,12,1.13,01024
1,25,970,854,88.04,103,10.62,13,1.34,01025
1,26,924,783,84.74,129,13.96,12,1.3,01026
2,1,854,650,76.11,190,22.25,14,1.64,02001
2,2,1072,865,80.69,197,18.38,10,0.93,02002
2,3,657,532,80.97,118,17.96,7,1.07,02003
2,4,706,578,81.87,118,16.71,10,1.42,02004
2,5,723,552,76.35,157,21.72,14,1.94,02005
2,6,1026,806,78.56,211,20.57,9,0.88,02006
2,7,937,690,73.64,232,24.76,15,1.6,02007
2,8,734,558,76.02,163,22.21,13,1.77,02008
