ward,precinct,total,"Elizabeth """"Beth"""" Ryan","Elizabeth """"Beth"""" Ryan Percent",precinct_id
1,1,655,655,100.0,01001
1,2,675,675,100.0,01002
1,3,751,751,100.0,01003
1,4,683,683,100.0,01004
1,5,703,703,100.0,01005
1,6,585,585,100.0,01006
1,7,726,726,100.0,01007
1,8,644,644,100.0,01008
1,9,332,332,100.0,01009
1,10,855,855,100.0,01010
1,11,675,675,100.0,01011
1,12,293,293,100.0,01012
1,13,465,465,100.0,01013
1,14,409,409,100.0,01014
1,15,702,702,100.0,01015
1,16,678,678,100.0,01016
1,17,447,447,100.0,01017
1,18,652,652,100.0,01018
1,19,585,585,100.0,01019
1,20,591,591,100.0,01020
1,21,585,585,100.0,01021
1,22,784,784,100.0,01022
1,23,385,385,100.0,01023
1,24,815,815,100.0,01024
1,25,726,726,100.0,01025
1,26,620,620,100.0,01026
2,1,604,604,100.0,02001
2,2,748,748,100.0,02002
2,3,491,491,100.0,02003
2,4,520,520,100.0,02004
2,5,496,496,100.0,02005
2,6,690,690,100.0,02006
2,7,619,619,100.0,02007
2,8,462,462,100.0,02008
2,9,682,682,100.0,02009
2,10,327,327,100.0,02010
2,11,545,545,100.0,02011
2,12,480,480,100.0,02012
2,13,655,655,100.0,02013
2,14,418,418,100.0,02014
2,15,539,539,100.0,02015
2,16,608,608,100.0,02016
2,17,880,880,100.0,02017
2,18,556,556,100.0,02018
2,19,303,303,100.0,02019
2,20,351,351,100.0,02020
2,21,110,110,100.0,02021
2,22,459,459,100.0,02022
2,23,507,507,100.0,02023
2,24,383,383,100.0,02024
2,25,562,562,100.0,02025
3,1,564,564,100.0,03001
3,2,558,558,100.0,03002
3,3,393,393,100.0,03003
3,4,438,438,100.0,03004
3,5,108,108,100.0,03005
3,6,571,571,100.0,03006
3,7,288,288,100.0,03007
3,8,435,435,100.0,03008
3,9,363,363,100.0,03009
3,10,374,374,100.0,03010
3,11,608,608,100.0,03011
3,12,584,584,100.0,03012
3,13,676,676,100.0,03013
3,14,718,718,100.0,03014
3,15,480,480,100.0,03015
3,16,294,294,100.0,03016
3,17,160,160,100.0,03017
3,18,182,182,100.0,03018
3,19,734,734,100.0,03019
3,20,506,506,100.0,03020
3,21,516,516,100.0,03021
3,22,405,405,100.0,03022
3,23,256,256,100.0,03023
3,24,118,118,100.0,03024
3,25,713,713,100.0,03025
3,26,269,269,100.0,03026
3,27,630,630,100.0,03027
4,1,725,725,100.0,04001
4,2,275,275,100.0,04002
4,3,475,475,100.0,04003
4,4,594,594,100.0,04004
4,5,271,271,100.0,04005
4,6,412,412,100.0,04006
4,7,296,296,100.0,04007
4,8,420,420,100.0,04008
4,9,439,439,100.0,04009
4,10,418,418,100.0,04010
4,11,570,570,100.0,04011
4,12,364,364,100.0,04012
4,13,358,358,100.0,04013
4,14,354,354,100.0,04014
4,15,325,325,100.0,04015
4,16,448,448,100.0,04016
4,17,604,604,100.0,04017
4,18,174,174,100.0,04018
4,19,397,397,100.0,04019
4,20,570,570,100.0,04020
4,21,366,366,100.0,04021
4,22,191,191,100.0,04022
4,23,334,334,100.0,04023
4,24,655,655,100.0,04024
4,25,774,774,100.0,04025
4,26,658,658,100.0,04026
4,27,762,762,100.0,04027
4,28,780,780,100.0,04028
5,1,546,546,100.0,05001
5,2,640,640,100.0,05002
5,3,566,566,100.0,05003
5,4,452,452,100.0,05004
5,5,269,269,100.0,05005
5,6,245,245,100.0,05006
5,7,139,139,100.0,05007
5,8,172,172,100.0,05008
5,9,163,163,100.0,05009
5,10,278,278,100.0,05010
5,11,356,356,100.0,05011
5,12,615,615,100.0,05012
