ward,precinct,total,Iris Y. Chavira,Iris Y. Chavira Percent,precinct_id
3,5,5,5,100.0,03005
11,1,0,0,0.0,11001
11,3,192,192,100.0,11003
11,4,262,262,100.0,11004
11,5,265,265,100.0,11005
11,6,365,365,100.0,11006
11,14,565,565,100.0,11014
11,15,443,443,100.0,11015
11,16,518,518,100.0,11016
11,17,208,208,100.0,11017
11,18,343,343,100.0,11018
11,19,114,114,100.0,11019
11,20,303,303,100.0,11020
11,21,474,474,100.0,11021
11,22,213,213,100.0,11022
11,23,350,350,100.0,11023
12,1,208,208,100.0,12001
12,2,154,154,100.0,12002
12,3,285,285,100.0,12003
12,4,242,242,100.0,12004
12,5,229,229,100.0,12005
12,6,216,216,100.0,12006
12,7,228,228,100.0,12007
12,8,201,201,100.0,12008
12,9,103,103,100.0,12009
12,10,243,243,100.0,12010
12,11,182,182,100.0,12011
12,12,143,143,100.0,12012
12,13,174,174,100.0,12013
12,14,204,204,100.0,12014
12,15,224,224,100.0,12015
12,16,245,245,100.0,12016
12,17,207,207,100.0,12017
12,18,252,252,100.0,12018
12,19,129,129,100.0,12019
12,20,185,185,100.0,12020
12,21,180,180,100.0,12021
12,22,174,174,100.0,12022
14,1,69,69,100.0,14001
14,4,79,79,100.0,14004
14,5,280,280,100.0,14005
14,6,347,347,100.0,14006
14,10,318,318,100.0,14010
14,11,359,359,100.0,14011
14,14,195,195,100.0,14014
15,4,155,155,100.0,15004
15,5,178,178,100.0,15005
15,6,218,218,100.0,15006
15,7,157,157,100.0,15007
15,8,186,186,100.0,15008
15,9,217,217,100.0,15009
15,10,152,152,100.0,15010
15,11,184,184,100.0,15011
15,12,228,228,100.0,15012
15,13,165,165,100.0,15013
15,14,178,178,100.0,15014
15,15,178,178,100.0,15015
15,16,272,272,100.0,15016
15,20,200,200,100.0,15020
16,7,182,182,100.0,16007
16,17,368,368,100.0,16017
16,18,328,328,100.0,16018
16,19,248,248,100.0,16019
16,23,179,179,100.0,16023
20,1,191,191,100.0,20001
20,2,101,101,100.0,20002
20,3,103,103,100.0,20003
22,2,103,103,100.0,22002
22,3,216,216,100.0,22003
22,4,127,127,100.0,22004
22,5,334,334,100.0,22005
22,6,167,167,100.0,22006
22,7,194,194,100.0,22007
22,8,207,207,100.0,22008
22,9,212,212,100.0,22009
22,10,261,261,100.0,22010
22,11,305,305,100.0,22011
22,12,186,186,100.0,22012
22,13,247,247,100.0,22013
22,14,206,206,100.0,22014
22,15,124,124,100.0,22015
22,16,160,160,100.0,22016
24,18,369,369,100.0,24018
24,19,852,852,100.0,24019
25,1,285,285,100.0,25001
25,2,195,195,100.0,25002
25,3,248,248,100.0,25003
25,4,321,321,100.0,25004
25,5,448,448,100.0,25005
25,6,439,439,100.0,25006
25,7,417,417,100.0,25007
25,8,419,419,100.0,25008
25,9,433,433,100.0,25009
25,10,473,473,100.0,25010
25,11,436,436,100.0,25011
25,12,395,395,100.0,25012
25,13,117,117,100.0,25013
25,14,570,570,100.0,25014
25,15,411,411,100.0,25015
25,16,530,530,100.0,25016
25,17,237,237,100.0,25017
28,12,0,0,0.0,28012
28,15,51,51,100.0,28015
28,17,0,0,0.0,28017
34,4,323,323,100.0,34004
