ward,precinct,total,Tracie Porter,Tracie Porter Percent,precinct_id
1,1,650,650,100.0,01001
1,2,674,674,100.0,01002
1,3,747,747,100.0,01003
1,4,687,687,100.0,01004
1,5,705,705,100.0,01005
1,6,584,584,100.0,01006
1,7,726,726,100.0,01007
1,8,642,642,100.0,01008
1,9,332,332,100.0,01009
1,10,861,861,100.0,01010
1,11,677,677,100.0,01011
1,12,295,295,100.0,01012
1,13,469,469,100.0,01013
1,14,411,411,100.0,01014
1,15,707,707,100.0,01015
1,16,686,686,100.0,01016
1,17,451,451,100.0,01017
1,18,655,655,100.0,01018
1,19,592,592,100.0,01019
1,20,596,596,100.0,01020
1,21,589,589,100.0,01021
1,22,790,790,100.0,01022
1,23,386,386,100.0,01023
1,24,815,815,100.0,01024
1,25,723,723,100.0,01025
1,26,623,623,100.0,01026
2,1,615,615,100.0,02001
2,2,752,752,100.0,02002
2,3,495,495,100.0,02003
2,4,527,527,100.0,02004
2,5,493,493,100.0,02005
2,6,689,689,100.0,02006
2,7,614,614,100.0,02007
2,8,460,460,100.0,02008
2,9,677,677,100.0,02009
2,10,329,329,100.0,02010
2,11,545,545,100.0,02011
2,12,484,484,100.0,02012
2,13,647,647,100.0,02013
2,14,414,414,100.0,02014
2,15,536,536,100.0,02015
2,16,606,606,100.0,02016
2,17,882,882,100.0,02017
2,18,555,555,100.0,02018
2,19,302,302,100.0,02019
2,20,352,352,100.0,02020
2,21,111,111,100.0,02021
2,22,464,464,100.0,02022
2,23,507,507,100.0,02023
2,24,381,381,100.0,02024
2,25,568,568,100.0,02025
3,1,594,594,100.0,03001
3,2,578,578,100.0,03002
3,3,393,393,100.0,03003
3,4,456,456,100.0,03004
3,5,111,111,100.0,03005
3,6,576,576,100.0,03006
3,7,297,297,100.0,03007
3,8,446,446,100.0,03008
3,9,365,365,100.0,03009
3,10,373,373,100.0,03010
3,11,626,626,100.0,03011
3,12,595,595,100.0,03012
3,13,675,675,100.0,03013
3,14,722,722,100.0,03014
3,15,486,486,100.0,03015
3,16,298,298,100.0,03016
3,17,162,162,100.0,03017
3,18,190,190,100.0,03018
3,19,740,740,100.0,03019
3,20,523,523,100.0,03020
3,21,520,520,100.0,03021
3,22,411,411,100.0,03022
3,23,266,266,100.0,03023
3,24,118,118,100.0,03024
3,25,715,715,100.0,03025
3,26,276,276,100.0,03026
3,27,632,632,100.0,03027
4,1,739,739,100.0,04001
4,2,284,284,100.0,04002
4,3,480,480,100.0,04003
4,4,607,607,100.0,04004
4,5,276,276,100.0,04005
4,6,424,424,100.0,04006
4,7,306,306,100.0,04007
4,8,436,436,100.0,04008
4,9,444,444,100.0,04009
4,10,429,429,100.0,04010
4,11,580,580,100.0,04011
