ward,precinct,total,Lisa Michelle Taylor,Lisa Michelle Taylor Percent,precinct_id
1,1,657,657,100.0,01001
1,2,676,676,100.0,01002
1,3,752,752,100.0,01003
1,4,692,692,100.0,01004
1,5,708,708,100.0,01005
1,6,601,601,100.0,01006
1,7,734,734,100.0,01007
1,8,643,643,100.0,01008
1,9,342,342,100.0,01009
1,10,866,866,100.0,01010
1,11,682,682,100.0,01011
1,12,298,298,100.0,01012
1,13,468,468,100.0,01013
1,14,424,424,100.0,01014
1,15,710,710,100.0,01015
1,16,688,688,100.0,01016
1,17,454,454,100.0,01017
1,18,660,660,100.0,01018
1,19,595,595,100.0,01019
1,20,598,598,100.0,01020
1,21,592,592,100.0,01021
1,22,790,790,100.0,01022
1,23,388,388,100.0,01023
1,24,819,819,100.0,01024
1,25,728,728,100.0,01025
1,26,623,623,100.0,01026
2,1,628,628,100.0,02001
2,2,764,764,100.0,02002
2,3,500,500,100.0,02003
2,4,536,536,100.0,02004
2,5,495,495,100.0,02005
2,6,691,691,100.0,02006
2,7,614,614,100.0,02007
2,8,465,465,100.0,02008
2,9,684,684,100.0,02009
2,10,336,336,100.0,02010
2,11,549,549,100.0,02011
2,12,489,489,100.0,02012
2,13,654,654,100.0,02013
2,14,419,419,100.0,02014
2,15,545,545,100.0,02015
2,16,614,614,100.0,02016
2,17,885,885,100.0,02017
2,18,557,557,100.0,02018
2,19,303,303,100.0,02019
2,20,356,356,100.0,02020
2,21,112,112,100.0,02021
2,22,462,462,100.0,02022
2,23,509,509,100.0,02023
2,24,381,381,100.0,02024
2,25,569,569,100.0,02025
3,1,596,596,100.0,03001
3,2,589,589,100.0,03002
3,3,401,401,100.0,03003
3,4,459,459,100.0,03004
3,5,113,113,100.0,03005
3,6,586,586,100.0,03006
3,7,302,302,100.0,03007
3,8,463,463,100.0,03008
3,9,367,367,100.0,03009
3,10,375,375,100.0,03010
3,11,636,636,100.0,03011
3,12,614,614,100.0,03012
3,13,683,683,100.0,03013
3,14,731,731,100.0,03014
3,15,492,492,100.0,03015
3,16,309,309,100.0,03016
3,17,174,174,100.0,03017
3,18,195,195,100.0,03018
3,19,746,746,100.0,03019
3,20,538,538,100.0,03020
3,21,525,525,100.0,03021
3,22,417,417,100.0,03022
3,23,269,269,100.0,03023
3,24,119,119,100.0,03024
3,25,723,723,100.0,03025
3,26,277,277,100.0,03026
3,27,633,633,100.0,03027
4,1,750,750,100.0,04001
4,2,289,289,100.0,04002
4,3,480,480,100.0,04003
4,4,607,607,100.0,04004
4,5,291,291,100.0,04005
4,6,416,416,100.0,04006
4,7,306,306,100.0,04007
4,8,451,451,100.0,04008
4,9,462,462,100.0,04009
4,10,435,435,100.0,04010
4,11,588,588,100.0,04011
4,12,372,372,100.0,04012
4,13,374,374,100.0,04013
4,14,362,362,100.0,04014
4,15,335,335,100.0,04015
