ward,precinct,total,Diana Lopez,Diana Lopez Percent,precinct_id
1,1,657,657,100.0,01001
1,2,680,680,100.0,01002
1,3,757,757,100.0,01003
1,4,689,689,100.0,01004
1,5,703,703,100.0,01005
1,6,597,597,100.0,01006
1,7,738,738,100.0,01007
1,8,649,649,100.0,01008
1,9,336,336,100.0,01009
1,10,864,864,100.0,01010
1,11,680,680,100.0,01011
1,12,301,301,100.0,01012
1,13,472,472,100.0,01013
1,14,414,414,100.0,01014
1,15,710,710,100.0,01015
1,16,683,683,100.0,01016
1,17,451,451,100.0,01017
1,18,654,654,100.0,01018
1,19,591,591,100.0,01019
1,20,592,592,100.0,01020
1,21,590,590,100.0,01021
1,22,789,789,100.0,01022
1,23,389,389,100.0,01023
1,24,816,816,100.0,01024
1,25,726,726,100.0,01025
1,26,628,628,100.0,01026
2,1,611,611,100.0,02001
2,2,746,746,100.0,02002
2,3,494,494,100.0,02003
2,4,528,528,100.0,02004
2,5,495,495,100.0,02005
2,6,689,689,100.0,02006
2,7,616,616,100.0,02007
2,8,464,464,100.0,02008
2,9,677,677,100.0,02009
2,10,327,327,100.0,02010
2,11,548,548,100.0,02011
2,12,486,486,100.0,02012
2,13,660,660,100.0,02013
2,14,417,417,100.0,02014
2,15,540,540,100.0,02015
2,16,607,607,100.0,02016
2,17,876,876,100.0,02017
2,18,555,555,100.0,02018
2,19,303,303,100.0,02019
2,20,352,352,100.0,02020
2,21,112,112,100.0,02021
2,22,457,457,100.0,02022
2,23,511,511,100.0,02023
2,24,382,382,100.0,02024
2,25,569,569,100.0,02025
3,1,574,574,100.0,03001
3,2,562,562,100.0,03002
3,3,388,388,100.0,03003
3,4,448,448,100.0,03004
3,5,111,111,100.0,03005
3,6,574,574,100.0,03006
3,7,285,285,100.0,03007
3,8,449,449,100.0,03008
3,9,359,359,100.0,03009
3,10,376,376,100.0,03010
3,11,616,616,100.0,03011
3,12,590,590,100.0,03012
3,13,677,677,100.0,03013
3,14,723,723,100.0,03014
3,15,482,482,100.0,03015
3,16,299,299,100.0,03016
3,17,164,164,100.0,03017
3,18,181,181,100.0,03018
3,19,745,745,100.0,03019
3,20,511,511,100.0,03020
3,21,514,514,100.0,03021
3,22,407,407,100.0,03022
3,23,253,253,100.0,03023
3,24,116,116,100.0,03024
3,25,722,722,100.0,03025
3,26,267,267,100.0,03026
3,27,632,632,100.0,03027
4,1,742,742,100.0,04001
4,2,279,279,100.0,04002
4,3,475,475,100.0,04003
4,4,591,591,100.0,04004
4,5,277,277,100.0,04005
4,6,411,411,100.0,04006
4,7,299,299,100.0,04007
4,8,420,420,100.0,04008
4,9,447,447,100.0,04009
4,10,422,422,100.0,04010
4,11,573,573,100.0,04011
4,12,370,370,100.0,04012
4,13,357,357,100.0,04013
4,14,348,348,100.0,04014
4,15,332,332,100.0,04015
4,16,453,453,100.0,04016
4,17,616,616,100.0,04017
4,18,175,175,100.0,04018
4,19,404,404,100.0,04019
4,20,575,575,100.0,04020
4,21,370,370,100.0,04021
4,22,194,194,100.0,04022
4,23,335,335,100.0,04023
4,24,657,657,100.0,04024
4,25,780,780,100.0,04025
4,26,653,653,100.0,04026
4,27,769,769,100.0,04027
4,28,786,786,100.0,04028
5,1,544,544,100.0,05001
5,2,640,640,100.0,05002
5,3,580,580,100.0,05003
5,4,465,465,100.0,05004
5,5,280,280,100.0,05005
5,6,248,248,100.0,05006
5,7,136,136,100.0,05007
5,8,181,181,100.0,05008
5,9,165,165,100.0,05009
5,10,287,287,100.0,05010
5,11,360,360,100.0,05011
5,12,618,618,100.0,05012
5,13,273,273,100.0,05013
5,14,303,303,100.0,05014
5,15,891,891,100.0,05015
5,16,551,551,100.0,05016
5,17,419,419,100.0,05017
5,18,814,814,100.0,05018
5,19,367,367,100.0,05019
5,20,611,611,100.0,05020
5,21,509,509,100.0,05021
5,22,581,581,100.0,05022
5,23,330,330,100.0,05023
5,24,374,374,100.0,05024
5,25,801,801,100.0,05025
6,1,175,175,100.0,06001
6,2,216,216,100.0,06002
6,3,67,67,100.0,06003
6,4,168,168,100.0,06004
6,5,285,285,100.0,06005
6,6,278,278,100.0,06006
6,7,336,336,100.0,06007
6,8,255,255,100.0,06008
6,9,536,536,100.0,06009
6,10,322,322,100.0,06010
6,11,163,163,100.0,06011
6,12,345,345,100.0,06012
6,13,462,462,100.0,06013
6,14,438,438,100.0,06014
