ward,precinct,total,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
6,1,301,301,100.0,06001
6,2,263,263,100.0,06002
6,3,245,245,100.0,06003
6,8,235,235,100.0,06008
6,9,243,243,100.0,06009
6,10,306,306,100.0,06010
6,13,192,192,100.0,06013
6,14,201,201,100.0,06014
6,16,250,250,100.0,06016
6,17,279,279,100.0,06017
6,19,205,205,100.0,06019
6,20,60,60,100.0,06020
6,21,237,237,100.0,06021
6,22,213,213,100.0,06022
6,23,165,165,100.0,06023
6,24,194,194,100.0,06024
6,25,210,210,100.0,06025
6,26,238,238,100.0,06026
6,27,300,300,100.0,06027
6,28,351,351,100.0,06028
6,29,291,291,100.0,06029
6,31,282,282,100.0,06031
6,34,208,208,100.0,06034
6,35,306,306,100.0,06035
6,37,278,278,100.0,06037
6,38,253,253,100.0,06038
6,41,254,254,100.0,06041
6,43,242,242,100.0,06043
6,44,228,228,100.0,06044
6,45,124,124,100.0,06045
6,46,214,214,100.0,06046
6,47,222,222,100.0,06047
6,50,238,238,100.0,06050
6,51,171,171,100.0,06051
6,52,183,183,100.0,06052
6,53,175,175,100.0,06053
6,54,187,187,100.0,06054
6,57,128,128,100.0,06057
6,58,273,273,100.0,06058
6,59,205,205,100.0,06059
6,60,150,150,100.0,06060
6,62,243,243,100.0,06062
6,63,189,189,100.0,06063
6,64,267,267,100.0,06064
7,1,314,314,100.0,07001
7,2,241,241,100.0,07002
7,3,170,170,100.0,07003
7,4,163,163,100.0,07004
7,5,130,130,100.0,07005
7,6,187,187,100.0,07006
7,7,164,164,100.0,07007
7,8,173,173,100.0,07008
7,10,275,275,100.0,07010
7,11,211,211,100.0,07011
7,12,241,241,100.0,07012
7,13,103,103,100.0,07013
7,14,217,217,100.0,07014
7,15,253,253,100.0,07015
7,16,193,193,100.0,07016
7,17,165,165,100.0,07017
7,18,191,191,100.0,07018
7,19,253,253,100.0,07019
7,20,59,59,100.0,07020
7,21,197,197,100.0,07021
7,23,86,86,100.0,07023
7,24,271,271,100.0,07024
7,25,197,197,100.0,07025
7,26,248,248,100.0,07026
7,27,235,235,100.0,07027
7,28,172,172,100.0,07028
7,29,121,121,100.0,07029
7,30,305,305,100.0,07030
7,31,278,278,100.0,07031
7,32,181,181,100.0,07032
7,33,241,241,100.0,07033
7,34,180,180,100.0,07034
7,36,338,338,100.0,07036
7,37,260,260,100.0,07037
7,38,273,273,100.0,07038
7,39,194,194,100.0,07039
7,41,269,269,100.0,07041
7,42,218,218,100.0,07042
7,43,230,230,100.0,07043
7,44,245,245,100.0,07044
7,45,303,303,100.0,07045
7,46,81,81,100.0,07046
8,1,266,266,100.0,08001
8,2,163,163,100.0,08002
8,3,355,355,100.0,08003
8,4,248,248,100.0,08004
8,5,303,303,100.0,08005
8,6,249,249,100.0,08006
8,7,179,179,100.0,08007
8,8,313,313,100.0,08008
8,9,306,306,100.0,08009
8,10,308,308,100.0,08010
8,11,195,195,100.0,08011
8,12,207,207,100.0,08012
8,13,193,193,100.0,08013
8,14,209,209,100.0,08014
8,15,201,201,100.0,08015
8,16,274,274,100.0,08016
8,17,205,205,100.0,08017
8,18,167,167,100.0,08018
8,19,285,285,100.0,08019
8,20,179,179,100.0,08020
8,21,187,187,100.0,08021
8,22,215,215,100.0,08022
8,23,211,211,100.0,08023
8,24,258,258,100.0,08024
8,25,237,237,100.0,08025
8,26,149,149,100.0,08026
8,27,267,267,100.0,08027
8,28,192,192,100.0,08028
8,29,247,247,100.0,08029
8,30,221,221,100.0,08030
8,31,193,193,100.0,08031
8,32,389,389,100.0,08032
8,33,223,223,100.0,08033
8,34,265,265,100.0,08034
8,35,281,281,100.0,08035
8,36,237,237,100.0,08036
8,37,202,202,100.0,08037
8,38,222,222,100.0,08038
8,39,266,266,100.0,08039
8,40,238,238,100.0,08040
8,41,224,224,100.0,08041
8,42,220,220,100.0,08042
8,43,200,200,100.0,08043
8,44,265,265,100.0,08044
8,45,201,201,100.0,08045
8,46,167,167,100.0,08046
8,47,246,246,100.0,08047
8,48,247,247,100.0,08048
8,49,258,258,100.0,08049
8,50,232,232,100.0,08050
8,51,217,217,100.0,08051
8,52,255,255,100.0,08052
8,53,270,270,100.0,08053
8,54,230,230,100.0,08054
8,55,193,193,100.0,08055
8,56,191,191,100.0,08056
8,57,250,250,100.0,08057
8,58,261,261,100.0,08058
8,59,220,220,100.0,08059
8,60,277,277,100.0,08060
8,61,195,195,100.0,08061
8,62,313,313,100.0,08062
8,63,273,273,100.0,08063
8,64,133,133,100.0,08064
8,65,244,244,100.0,08065
8,66,289,289,100.0,08066
9,8,152,152,100.0,09008
9,20,258,258,100.0,09020
9,21,160,160,100.0,09021
9,27,130,130,100.0,09027
9,36,111,111,100.0,09036
9,37,191,191,100.0,09037
9,49,71,71,100.0,09049
9,51,151,151,100.0,09051
10,1,111,111,100.0,10001
10,2,90,90,100.0,10002
10,3,94,94,100.0,10003
10,4,102,102,100.0,10004
10,5,91,91,100.0,10005
10,6,252,252,100.0,10006
10,7,33,33,100.0,10007
10,8,116,116,100.0,10008
10,9,121,121,100.0,10009
10,10,188,188,100.0,10010
10,11,118,118,100.0,10011
10,12,103,103,100.0,10012
10,13,160,160,100.0,10013
10,14,32,32,100.0,10014
10,15,60,60,100.0,10015
10,16,135,135,100.0,10016
10,17,86,86,100.0,10017
10,18,82,82,100.0,10018
10,19,183,183,100.0,10019
10,20,204,204,100.0,10020
10,21,83,83,100.0,10021
10,22,32,32,100.0,10022
10,23,102,102,100.0,10023
10,24,106,106,100.0,10024
10,25,147,147,100.0,10025
10,26,92,92,100.0,10026
10,27,168,168,100.0,10027
10,28,156,156,100.0,10028
10,29,183,183,100.0,10029
10,30,127,127,100.0,10030
10,31,114,114,100.0,10031
10,32,107,107,100.0,10032
10,33,119,119,100.0,10033
10,34,104,104,100.0,10034
10,35,102,102,100.0,10035
10,36,144,144,100.0,10036
10,37,108,108,100.0,10037
10,38,158,158,100.0,10038
10,39,111,111,100.0,10039
10,40,102,102,100.0,10040
10,41,227,227,100.0,10041
10,42,129,129,100.0,10042
10,43,110,110,100.0,10043
10,44,110,110,100.0,10044
10,45,132,132,100.0,10045
10,46,115,115,100.0,10046
18,6,114,114,100.0,18006
18,26,247,247,100.0,18026
18,27,202,202,100.0,18027
18,39,204,204,100.0,18039
18,41,179,179,100.0,18041
18,42,154,154,100.0,18042
18,43,143,143,100.0,18043
18,44,233,233,100.0,18044
18,46,183,183,100.0,18046
18,47,250,250,100.0,18047
18,48,118,118,100.0,18048
18,50,179,179,100.0,18050
18,53,204,204,100.0,18053
18,55,250,250,100.0,18055
18,56,197,197,100.0,18056
18,57,222,222,100.0,18057
18,58,146,146,100.0,18058
18,59,199,199,100.0,18059
18,63,82,82,100.0,18063
21,1,291,291,100.0,21001
21,2,70,70,100.0,21002
21,3,306,306,100.0,21003
21,4,283,283,100.0,21004
21,5,218,218,100.0,21005
21,6,187,187,100.0,21006
21,7,247,247,100.0,21007
21,8,212,212,100.0,21008
21,9,195,195,100.0,21009
21,10,142,142,100.0,21010
21,11,217,217,100.0,21011
21,12,219,219,100.0,21012
21,13,125,125,100.0,21013
21,14,206,206,100.0,21014
21,15,142,142,100.0,21015
21,16,93,93,100.0,21016
21,17,117,117,100.0,21017
21,18,229,229,100.0,21018
21,19,188,188,100.0,21019
21,20,57,57,100.0,21020
21,21,238,238,100.0,21021
21,22,230,230,100.0,21022
21,23,187,187,100.0,21023
21,24,237,237,100.0,21024
21,25,182,182,100.0,21025
21,26,159,159,100.0,21026
21,27,243,243,100.0,21027
21,28,186,186,100.0,21028
21,29,167,167,100.0,21029
21,30,110,110,100.0,21030
21,31,302,302,100.0,21031
21,32,115,115,100.0,21032
21,33,217,217,100.0,21033
21,34,252,252,100.0,21034
21,35,148,148,100.0,21035
21,36,256,256,100.0,21036
21,37,124,124,100.0,21037
21,38,203,203,100.0,21038
21,39,149,149,100.0,21039
21,40,215,215,100.0,21040
21,41,157,157,100.0,21041
21,42,232,232,100.0,21042
21,43,182,182,100.0,21043
21,44,194,194,100.0,21044
21,45,169,169,100.0,21045
21,46,152,152,100.0,21046
21,47,290,290,100.0,21047
21,48,262,262,100.0,21048
21,49,258,258,100.0,21049
21,50,206,206,100.0,21050
21,51,225,225,100.0,21051
21,52,216,216,100.0,21052
21,53,197,197,100.0,21053
21,54,214,214,100.0,21054
21,55,223,223,100.0,21055
21,56,123,123,100.0,21056
21,57,134,134,100.0,21057
21,58,147,147,100.0,21058
21,59,281,281,100.0,21059
21,60,94,94,100.0,21060
21,61,217,217,100.0,21061
21,62,173,173,100.0,21062
21,63,214,214,100.0,21063
21,64,137,137,100.0,21064
21,65,194,194,100.0,21065
21,66,185,185,100.0,21066
21,67,162,162,100.0,21067
21,68,106,106,100.0,21068
21,69,137,137,100.0,21069
21,70,141,141,100.0,21070
