ward,precinct,total,JOHN P. DALEY,JOHN P. DALEY Percent,precinct_id
3,10,51,51,100.0,03010
3,36,33,33,100.0,03036
3,49,0,0,0.0,03049
3,51,2,2,100.0,03051
11,1,191,191,100.0,11001
11,3,39,39,100.0,11003
11,4,286,286,100.0,11004
11,5,128,128,100.0,11005
11,7,201,201,100.0,11007
11,8,187,187,100.0,11008
11,9,228,228,100.0,11009
11,10,134,134,100.0,11010
11,11,225,225,100.0,11011
11,12,267,267,100.0,11012
11,13,229,229,100.0,11013
11,15,202,202,100.0,11015
11,16,230,230,100.0,11016
11,17,2,2,100.0,11017
11,18,146,146,100.0,11018
11,19,180,180,100.0,11019
11,20,306,306,100.0,11020
11,21,372,372,100.0,11021
11,24,319,319,100.0,11024
11,25,157,157,100.0,11025
11,26,288,288,100.0,11026
11,28,36,36,100.0,11028
11,29,272,272,100.0,11029
11,30,168,168,100.0,11030
11,32,205,205,100.0,11032
11,34,48,48,100.0,11034
11,35,296,296,100.0,11035
11,37,410,410,100.0,11037
11,38,327,327,100.0,11038
11,39,320,320,100.0,11039
11,40,233,233,100.0,11040
11,41,171,171,100.0,11041
11,42,133,133,100.0,11042
11,43,233,233,100.0,11043
11,44,184,184,100.0,11044
11,45,131,131,100.0,11045
11,47,221,221,100.0,11047
11,48,133,133,100.0,11048
11,49,155,155,100.0,11049
11,50,113,113,100.0,11050
11,51,214,214,100.0,11051
11,52,198,198,100.0,11052
11,53,221,221,100.0,11053
12,8,6,6,100.0,12008
13,1,166,166,100.0,13001
13,2,170,170,100.0,13002
13,3,196,196,100.0,13003
13,4,223,223,100.0,13004
13,5,120,120,100.0,13005
13,6,173,173,100.0,13006
13,7,178,178,100.0,13007
13,8,181,181,100.0,13008
13,9,224,224,100.0,13009
13,10,203,203,100.0,13010
13,12,202,202,100.0,13012
13,13,223,223,100.0,13013
13,14,143,143,100.0,13014
13,16,117,117,100.0,13016
13,17,123,123,100.0,13017
13,19,164,164,100.0,13019
13,21,11,11,100.0,13021
13,22,213,213,100.0,13022
13,23,171,171,100.0,13023
13,24,256,256,100.0,13024
13,25,155,155,100.0,13025
13,26,115,115,100.0,13026
13,27,190,190,100.0,13027
13,29,212,212,100.0,13029
13,32,161,161,100.0,13032
13,34,152,152,100.0,13034
13,35,154,154,100.0,13035
13,36,132,132,100.0,13036
13,37,138,138,100.0,13037
13,38,91,91,100.0,13038
13,39,162,162,100.0,13039
13,41,146,146,100.0,13041
13,42,222,222,100.0,13042
13,43,193,193,100.0,13043
13,45,178,178,100.0,13045
13,46,197,197,100.0,13046
13,47,161,161,100.0,13047
13,48,177,177,100.0,13048
13,49,122,122,100.0,13049
13,51,176,176,100.0,13051
13,52,227,227,100.0,13052
13,53,236,236,100.0,13053
13,54,90,90,100.0,13054
13,55,204,204,100.0,13055
13,56,264,264,100.0,13056
13,57,212,212,100.0,13057
13,58,241,241,100.0,13058
13,59,171,171,100.0,13059
13,60,166,166,100.0,13060
13,61,273,273,100.0,13061
13,62,214,214,100.0,13062
13,63,231,231,100.0,13063
14,2,119,119,100.0,14002
14,10,63,63,100.0,14010
14,20,74,74,100.0,14020
14,21,117,117,100.0,14021
14,28,92,92,100.0,14028
14,38,15,15,100.0,14038
14,43,149,149,100.0,14043
15,5,17,17,100.0,15005
15,6,110,110,100.0,15006
15,12,97,97,100.0,15012
15,22,97,97,100.0,15022
15,24,120,120,100.0,15024
15,29,78,78,100.0,15029
15,45,144,144,100.0,15045
15,50,108,108,100.0,15050
16,2,95,95,100.0,16002
16,6,5,5,100.0,16006
16,7,84,84,100.0,16007
16,8,114,114,100.0,16008
16,11,96,96,100.0,16011
16,12,74,74,100.0,16012
16,13,19,19,100.0,16013
16,16,0,0,0.0,16016
16,18,19,19,100.0,16018
16,19,81,81,100.0,16019
16,23,29,29,100.0,16023
16,24,75,75,100.0,16024
16,30,122,122,100.0,16030
16,38,144,144,100.0,16038
18,1,189,189,100.0,18001
18,2,178,178,100.0,18002
18,11,136,136,100.0,18011
18,17,216,216,100.0,18017
18,23,67,67,100.0,18023
18,29,129,129,100.0,18029
18,31,0,0,0.0,18031
18,36,67,67,100.0,18036
19,1,306,306,100.0,19001
19,2,216,216,100.0,19002
19,3,226,226,100.0,19003
19,4,238,238,100.0,19004
19,5,228,228,100.0,19005
19,6,243,243,100.0,19006
19,7,274,274,100.0,19007
19,8,189,189,100.0,19008
19,9,200,200,100.0,19009
19,10,322,322,100.0,19010
19,11,266,266,100.0,19011
19,12,216,216,100.0,19012
19,13,190,190,100.0,19013
19,14,160,160,100.0,19014
19,15,117,117,100.0,19015
19,16,318,318,100.0,19016
19,17,271,271,100.0,19017
19,18,296,296,100.0,19018
19,19,262,262,100.0,19019
19,20,203,203,100.0,19020
19,21,202,202,100.0,19021
19,22,285,285,100.0,19022
19,23,334,334,100.0,19023
19,24,221,221,100.0,19024
19,25,261,261,100.0,19025
19,26,253,253,100.0,19026
19,27,130,130,100.0,19027
19,28,292,292,100.0,19028
19,29,205,205,100.0,19029
19,30,220,220,100.0,19030
19,31,217,217,100.0,19031
19,32,314,314,100.0,19032
19,33,259,259,100.0,19033
19,34,251,251,100.0,19034
19,35,231,231,100.0,19035
19,36,186,186,100.0,19036
19,37,213,213,100.0,19037
19,38,267,267,100.0,19038
19,39,146,146,100.0,19039
19,40,262,262,100.0,19040
19,41,243,243,100.0,19041
19,42,170,170,100.0,19042
19,44,201,201,100.0,19044
19,45,315,315,100.0,19045
19,46,368,368,100.0,19046
19,47,178,178,100.0,19047
19,49,266,266,100.0,19049
19,51,230,230,100.0,19051
19,52,186,186,100.0,19052
19,53,259,259,100.0,19053
19,54,186,186,100.0,19054
19,55,211,211,100.0,19055
19,56,277,277,100.0,19056
19,57,264,264,100.0,19057
19,58,242,242,100.0,19058
19,59,290,290,100.0,19059
19,60,198,198,100.0,19060
19,61,356,356,100.0,19061
19,62,257,257,100.0,19062
19,63,157,157,100.0,19063
19,64,354,354,100.0,19064
19,65,206,206,100.0,19065
22,1,1,1,100.0,22001
22,15,97,97,100.0,22015
22,22,0,0,0.0,22022
23,1,210,210,100.0,23001
23,2,257,257,100.0,23002
23,3,196,196,100.0,23003
23,4,158,158,100.0,23004
23,5,160,160,100.0,23005
23,6,47,47,100.0,23006
23,8,167,167,100.0,23008
23,10,234,234,100.0,23010
23,11,241,241,100.0,23011
23,12,199,199,100.0,23012
23,13,248,248,100.0,23013
23,14,204,204,100.0,23014
23,15,218,218,100.0,23015
23,16,236,236,100.0,23016
23,17,256,256,100.0,23017
23,18,179,179,100.0,23018
23,19,202,202,100.0,23019
23,20,190,190,100.0,23020
23,21,156,156,100.0,23021
