ward,precinct,total,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent,precinct_id
3,36,41,41,100.0,03036
3,51,61,61,100.0,03051
11,1,170,170,100.0,11001
11,2,152,152,100.0,11002
11,4,240,240,100.0,11004
11,5,124,124,100.0,11005
11,6,235,235,100.0,11006
11,7,193,193,100.0,11007
11,8,167,167,100.0,11008
11,9,200,200,100.0,11009
11,11,207,207,100.0,11011
11,12,169,169,100.0,11012
11,13,206,206,100.0,11013
11,15,143,143,100.0,11015
11,16,198,198,100.0,11016
11,17,217,217,100.0,11017
11,18,93,93,100.0,11018
11,19,165,165,100.0,11019
11,20,275,275,100.0,11020
11,21,344,344,100.0,11021
11,24,315,315,100.0,11024
11,25,144,144,100.0,11025
11,26,256,256,100.0,11026
11,29,245,245,100.0,11029
11,30,155,155,100.0,11030
11,32,127,127,100.0,11032
11,34,28,28,100.0,11034
11,35,179,179,100.0,11035
11,37,330,330,100.0,11037
11,38,271,271,100.0,11038
11,39,258,258,100.0,11039
11,40,207,207,100.0,11040
11,41,136,136,100.0,11041
11,42,130,130,100.0,11042
11,43,176,176,100.0,11043
11,44,172,172,100.0,11044
11,45,101,101,100.0,11045
11,47,195,195,100.0,11047
11,48,98,98,100.0,11048
11,50,98,98,100.0,11050
11,51,141,141,100.0,11051
11,52,167,167,100.0,11052
11,53,164,164,100.0,11053
13,1,167,167,100.0,13001
13,2,173,173,100.0,13002
13,3,220,220,100.0,13003
13,4,233,233,100.0,13004
13,5,170,170,100.0,13005
13,6,183,183,100.0,13006
13,7,199,199,100.0,13007
13,8,178,178,100.0,13008
13,9,235,235,100.0,13009
13,10,201,201,100.0,13010
13,11,162,162,100.0,13011
13,12,198,198,100.0,13012
13,13,240,240,100.0,13013
13,14,165,165,100.0,13014
13,15,234,234,100.0,13015
13,16,194,194,100.0,13016
13,17,135,135,100.0,13017
13,18,188,188,100.0,13018
13,19,178,178,100.0,13019
13,20,207,207,100.0,13020
13,21,183,183,100.0,13021
13,22,225,225,100.0,13022
13,23,190,190,100.0,13023
13,24,261,261,100.0,13024
13,25,175,175,100.0,13025
13,26,165,165,100.0,13026
13,27,199,199,100.0,13027
13,28,177,177,100.0,13028
13,29,220,220,100.0,13029
13,30,205,205,100.0,13030
13,31,188,188,100.0,13031
