ward,precinct,total,HELEN OZMINA BARC,HELEN OZMINA BARC Percent,precinct_id
3,36,34,34,100.0,03036
3,51,57,57,100.0,03051
11,1,119,119,100.0,11001
11,2,117,117,100.0,11002
11,4,152,152,100.0,11004
11,5,84,84,100.0,11005
11,6,186,186,100.0,11006
11,7,115,115,100.0,11007
11,8,140,140,100.0,11008
11,9,103,103,100.0,11009
11,11,135,135,100.0,11011
11,12,149,149,100.0,11012
11,13,104,104,100.0,11013
11,15,119,119,100.0,11015
11,16,135,135,100.0,11016
11,17,189,189,100.0,11017
11,18,80,80,100.0,11018
11,19,121,121,100.0,11019
11,20,159,159,100.0,11020
11,21,185,185,100.0,11021
11,24,143,143,100.0,11024
11,25,91,91,100.0,11025
11,26,192,192,100.0,11026
11,29,172,172,100.0,11029
11,30,116,116,100.0,11030
11,32,117,117,100.0,11032
11,34,23,23,100.0,11034
11,35,161,161,100.0,11035
11,37,229,229,100.0,11037
11,38,193,193,100.0,11038
11,39,160,160,100.0,11039
11,40,113,113,100.0,11040
11,41,99,99,100.0,11041
11,42,64,64,100.0,11042
11,43,144,144,100.0,11043
11,44,120,120,100.0,11044
11,45,71,71,100.0,11045
11,47,127,127,100.0,11047
11,48,88,88,100.0,11048
11,50,86,86,100.0,11050
11,51,131,131,100.0,11051
11,52,134,134,100.0,11052
11,53,131,131,100.0,11053
13,1,152,152,100.0,13001
13,2,147,147,100.0,13002
13,3,176,176,100.0,13003
13,4,195,195,100.0,13004
13,5,149,149,100.0,13005
13,6,146,146,100.0,13006
13,7,170,170,100.0,13007
13,8,151,151,100.0,13008
13,9,215,215,100.0,13009
13,10,174,174,100.0,13010
13,11,151,151,100.0,13011
13,12,176,176,100.0,13012
13,13,212,212,100.0,13013
13,14,135,135,100.0,13014
13,15,206,206,100.0,13015
13,16,170,170,100.0,13016
13,17,118,118,100.0,13017
13,18,155,155,100.0,13018
13,19,148,148,100.0,13019
13,20,170,170,100.0,13020
13,21,157,157,100.0,13021
13,22,176,176,100.0,13022
13,23,164,164,100.0,13023
13,24,223,223,100.0,13024
13,25,146,146,100.0,13025
13,26,143,143,100.0,13026
13,27,190,190,100.0,13027
13,28,150,150,100.0,13028
13,29,191,191,100.0,13029
13,30,167,167,100.0,13030
13,31,163,163,100.0,13031
13,32,159,159,100.0,13032
13,33,149,149,100.0,13033
13,34,167,167,100.0,13034
13,35,197,197,100.0,13035
13,36,122,122,100.0,13036
13,37,120,120,100.0,13037
13,38,83,83,100.0,13038
13,39,177,177,100.0,13039
13,40,149,149,100.0,13040
13,41,145,145,100.0,13041
13,42,198,198,100.0,13042
13,43,176,176,100.0,13043
13,44,112,112,100.0,13044
13,45,170,170,100.0,13045
13,46,187,187,100.0,13046
13,47,155,155,100.0,13047
13,48,164,164,100.0,13048
13,49,112,112,100.0,13049
13,50,202,202,100.0,13050
13,51,171,171,100.0,13051
13,52,204,204,100.0,13052
13,53,205,205,100.0,13053
13,54,218,218,100.0,13054
13,55,190,190,100.0,13055
13,56,229,229,100.0,13056
13,57,182,182,100.0,13057
13,58,224,224,100.0,13058
13,59,157,157,100.0,13059
13,60,161,161,100.0,13060
13,61,247,247,100.0,13061
13,62,197,197,100.0,13062
13,63,212,212,100.0,13063
14,1,91,91,100.0,14001
14,2,108,108,100.0,14002
14,15,60,60,100.0,14015
14,17,92,92,100.0,14017
14,20,108,108,100.0,14020
14,21,136,136,100.0,14021
14,25,103,103,100.0,14025
14,27,141,141,100.0,14027
14,28,76,76,100.0,14028
14,32,16,16,100.0,14032
14,38,85,85,100.0,14038
14,43,125,125,100.0,14043
14,44,127,127,100.0,14044
14,45,117,117,100.0,14045
14,48,93,93,100.0,14048
15,12,84,84,100.0,15012
15,45,135,135,100.0,15045
16,2,9,9,100.0,16002
16,4,31,31,100.0,16004
16,6,5,5,100.0,16006
16,7,84,84,100.0,16007
16,11,95,95,100.0,16011
16,13,73,73,100.0,16013
16,23,97,97,100.0,16023
16,32,33,33,100.0,16032
16,41,12,12,100.0,16041
16,42,37,37,100.0,16042
19,1,266,266,100.0,19001
19,2,202,202,100.0,19002
19,3,214,214,100.0,19003
19,4,202,202,100.0,19004
19,5,215,215,100.0,19005
19,6,220,220,100.0,19006
19,7,239,239,100.0,19007
19,8,173,173,100.0,19008
19,9,190,190,100.0,19009
19,10,306,306,100.0,19010
19,11,235,235,100.0,19011
19,12,201,201,100.0,19012
19,13,176,176,100.0,19013
19,14,139,139,100.0,19014
19,15,120,120,100.0,19015
19,16,298,298,100.0,19016
19,17,230,230,100.0,19017
19,18,255,255,100.0,19018
19,19,237,237,100.0,19019
19,20,191,191,100.0,19020
19,21,181,181,100.0,19021
19,22,265,265,100.0,19022
19,23,291,291,100.0,19023
19,24,198,198,100.0,19024
19,25,249,249,100.0,19025
19,26,219,219,100.0,19026
19,27,128,128,100.0,19027
19,29,188,188,100.0,19029
19,30,202,202,100.0,19030
19,31,200,200,100.0,19031
19,32,279,279,100.0,19032
19,33,233,233,100.0,19033
19,34,221,221,100.0,19034
19,35,222,222,100.0,19035
19,36,185,185,100.0,19036
19,37,208,208,100.0,19037
19,38,257,257,100.0,19038
19,39,135,135,100.0,19039
19,40,252,252,100.0,19040
19,41,225,225,100.0,19041
19,42,164,164,100.0,19042
19,44,183,183,100.0,19044
19,45,299,299,100.0,19045
19,46,314,314,100.0,19046
19,47,164,164,100.0,19047
19,49,260,260,100.0,19049
19,51,210,210,100.0,19051
19,52,172,172,100.0,19052
19,53,234,234,100.0,19053
19,54,154,154,100.0,19054
19,55,190,190,100.0,19055
19,56,264,264,100.0,19056
19,57,245,245,100.0,19057
19,58,218,218,100.0,19058
19,59,260,260,100.0,19059
19,61,313,313,100.0,19061
19,62,230,230,100.0,19062
19,63,152,152,100.0,19063
19,64,336,336,100.0,19064
19,65,190,190,100.0,19065
22,1,67,67,100.0,22001
22,15,97,97,100.0,22015
22,22,38,38,100.0,22022
23,1,178,178,100.0,23001
23,2,193,193,100.0,23002
23,3,173,173,100.0,23003
23,4,137,137,100.0,23004
23,5,149,149,100.0,23005
23,6,164,164,100.0,23006
23,8,148,148,100.0,23008
23,10,178,178,100.0,23010
23,11,213,213,100.0,23011
23,12,165,165,100.0,23012
23,13,209,209,100.0,23013
23,14,175,175,100.0,23014
23,15,176,176,100.0,23015
23,16,200,200,100.0,23016
23,17,230,230,100.0,23017
23,18,135,135,100.0,23018
23,19,189,189,100.0,23019
23,20,172,172,100.0,23020
23,21,128,128,100.0,23021
23,23,133,133,100.0,23023
23,26,154,154,100.0,23026
23,27,141,141,100.0,23027
23,28,171,171,100.0,23028
23,30,187,187,100.0,23030
23,31,171,171,100.0,23031
23,32,213,213,100.0,23032
23,33,199,199,100.0,23033
23,34,135,135,100.0,23034
23,35,95,95,100.0,23035
23,36,194,194,100.0,23036
23,37,116,116,100.0,23037
23,38,120,120,100.0,23038
23,39,145,145,100.0,23039
23,40,154,154,100.0,23040
23,41,154,154,100.0,23041
23,42,142,142,100.0,23042
23,43,149,149,100.0,23043
23,44,159,159,100.0,23044
23,45,166,166,100.0,23045
23,46,160,160,100.0,23046
23,47,224,224,100.0,23047
23,48,144,144,100.0,23048
23,49,36,36,100.0,23049
23,50,124,124,100.0,23050
23,51,161,161,100.0,23051
23,52,220,220,100.0,23052
23,53,110,110,100.0,23053
23,54,187,187,100.0,23054
23,55,170,170,100.0,23055
23,56,138,138,100.0,23056
23,57,133,133,100.0,23057
23,58,267,267,100.0,23058
23,59,110,110,100.0,23059
23,60,210,210,100.0,23060
23,61,203,203,100.0,23061
23,62,193,193,100.0,23062
