ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
5,1,329,329,100.0,05001
5,4,182,182,100.0,05004
5,6,326,326,100.0,05006
5,7,295,295,100.0,05007
5,11,247,247,100.0,05011
5,14,343,343,100.0,05014
5,21,313,313,100.0,05021
5,24,219,219,100.0,05024
5,26,305,305,100.0,05026
5,28,281,281,100.0,05028
5,29,280,280,100.0,05029
5,31,248,248,100.0,05031
5,32,409,409,100.0,05032
5,34,334,334,100.0,05034
5,36,167,167,100.0,05036
5,37,222,222,100.0,05037
5,38,234,234,100.0,05038
5,40,267,267,100.0,05040
5,42,289,289,100.0,05042
5,43,294,294,100.0,05043
5,44,332,332,100.0,05044
5,46,272,272,100.0,05046
5,47,250,250,100.0,05047
5,49,61,61,100.0,05049
5,54,382,382,100.0,05054
6,21,266,266,100.0,06021
6,22,265,265,100.0,06022
6,64,314,314,100.0,06064
7,1,304,304,100.0,07001
7,2,297,297,100.0,07002
7,3,186,186,100.0,07003
7,4,198,198,100.0,07004
7,5,211,211,100.0,07005
7,6,231,231,100.0,07006
7,7,188,188,100.0,07007
7,8,86,86,100.0,07008
7,9,243,243,100.0,07009
7,10,188,188,100.0,07010
7,11,273,273,100.0,07011
7,12,188,188,100.0,07012
7,13,180,180,100.0,07013
7,14,293,293,100.0,07014
7,15,148,148,100.0,07015
7,16,179,179,100.0,07016
7,17,172,172,100.0,07017
7,18,159,159,100.0,07018
7,19,382,382,100.0,07019
7,20,133,133,100.0,07020
7,21,249,249,100.0,07021
7,22,191,191,100.0,07022
7,23,183,183,100.0,07023
7,24,244,244,100.0,07024
7,25,292,292,100.0,07025
7,26,307,307,100.0,07026
7,27,353,353,100.0,07027
7,28,259,259,100.0,07028
7,29,152,152,100.0,07029
7,30,282,282,100.0,07030
7,31,254,254,100.0,07031
7,32,196,196,100.0,07032
7,33,208,208,100.0,07033
7,34,234,234,100.0,07034
7,35,138,138,100.0,07035
7,36,285,285,100.0,07036
7,37,123,123,100.0,07037
7,38,182,182,100.0,07038
7,39,223,223,100.0,07039
7,40,274,274,100.0,07040
7,41,209,209,100.0,07041
7,42,368,368,100.0,07042
7,43,272,272,100.0,07043
7,44,344,344,100.0,07044
7,45,347,347,100.0,07045
7,46,112,112,100.0,07046
7,47,213,213,100.0,07047
7,48,107,107,100.0,07048
7,49,142,142,100.0,07049
7,50,170,170,100.0,07050
7,51,225,225,100.0,07051
7,52,194,194,100.0,07052
7,53,209,209,100.0,07053
7,54,96,96,100.0,07054
7,55,211,211,100.0,07055
7,56,216,216,100.0,07056
7,57,204,204,100.0,07057
7,58,296,296,100.0,07058
7,59,132,132,100.0,07059
7,60,149,149,100.0,07060
7,61,227,227,100.0,07061
7,62,219,219,100.0,07062
7,63,208,208,100.0,07063
7,64,223,223,100.0,07064
7,65,251,251,100.0,07065
8,3,253,253,100.0,08003
8,4,267,267,100.0,08004
8,5,315,315,100.0,08005
8,7,250,250,100.0,08007
8,8,293,293,100.0,08008
8,9,350,350,100.0,08009
8,15,226,226,100.0,08015
8,17,246,246,100.0,08017
8,19,355,355,100.0,08019
8,23,262,262,100.0,08023
8,24,304,304,100.0,08024
8,25,287,287,100.0,08025
8,26,210,210,100.0,08026
8,27,292,292,100.0,08027
8,28,246,246,100.0,08028
8,32,402,402,100.0,08032
8,34,341,341,100.0,08034
8,36,278,278,100.0,08036
8,39,318,318,100.0,08039
8,42,284,284,100.0,08042
8,44,211,211,100.0,08044
8,46,226,226,100.0,08046
8,47,286,286,100.0,08047
8,49,322,322,100.0,08049
8,50,282,282,100.0,08050
8,51,359,359,100.0,08051
8,57,245,245,100.0,08057
8,60,228,228,100.0,08060
8,62,230,230,100.0,08062
8,63,278,278,100.0,08063
8,65,166,166,100.0,08065
8,66,432,432,100.0,08066
8,70,358,358,100.0,08070
9,1,313,313,100.0,09001
9,2,311,311,100.0,09002
