ward,precinct,total,Jesse G. Reyes,Jesse G. Reyes Percent,Terry MacCarthy,Terry MacCarthy Percent,precinct_id
1,1,180,103,57.22,77,42.78,01001
1,2,158,99,62.66,59,37.34,01002
1,3,128,80,62.5,48,37.5,01003
1,4,154,89,57.79,65,42.21,01004
1,5,153,109,71.24,44,28.76,01005
1,6,173,85,49.13,88,50.87,01006
1,7,143,95,66.43,48,33.57,01007
1,8,163,107,65.64,56,34.36,01008
1,9,154,97,62.99,57,37.01,01009
1,10,164,103,62.8,61,37.2,01010
1,11,130,78,60.0,52,40.0,01011
1,12,180,118,65.56,62,34.44,01012
1,13,200,144,72.0,56,28.0,01013
1,14,173,110,63.58,63,36.42,01014
1,15,150,111,74.0,39,26.0,01015
1,16,86,65,75.58,21,24.42,01016
1,17,135,86,63.7,49,36.3,01017
1,18,132,94,71.21,38,28.79,01018
1,19,137,93,67.88,44,32.12,01019
1,20,151,111,73.51,40,26.49,01020
1,21,126,88,69.84,38,30.16,01021
1,22,165,117,70.91,48,29.09,01022
1,23,139,94,67.63,45,32.37,01023
1,24,273,188,68.86,85,31.14,01024
1,25,137,89,64.96,48,35.04,01025
1,26,129,81,62.79,48,37.21,01026
1,27,86,65,75.58,21,24.42,01027
1,28,105,62,59.05,43,40.95,01028
1,29,147,104,70.75,43,29.25,01029
1,30,259,187,72.2,72,27.8,01030
1,31,153,83,54.25,70,45.75,01031
1,32,155,117,75.48,38,24.52,01032
1,33,167,108,64.67,59,35.33,01033
1,34,104,70,67.31,34,32.69,01034
1,35,98,54,55.1,44,44.9,01035
1,36,155,92,59.35,63,40.65,01036
1,37,120,80,66.67,40,33.33,01037
1,38,117,84,71.79,33,28.21,01038
1,39,177,138,77.97,39,22.03,01039
1,40,86,56,65.12,30,34.88,01040
1,41,173,128,73.99,45,26.01,01041
1,42,127,93,73.23,34,26.77,01042
1,43,116,80,68.97,36,31.03,01043
1,44,126,76,60.32,50,39.68,01044
1,45,184,131,71.2,53,28.8,01045
1,46,169,100,59.17,69,40.83,01046
1,47,159,105,66.04,54,33.96,01047
1,48,94,63,67.02,31,32.98,01048
1,49,71,46,64.79,25,35.21,01049
1,50,120,68,56.67,52,43.33,01050
2,1,267,147,55.06,120,44.94,02001
2,2,54,31,57.41,23,42.59,02002
2,3,231,122,52.81,109,47.19,02003
2,4,144,88,61.11,56,38.89,02004
2,5,230,152,66.09,78,33.91,02005
2,6,246,109,44.31,137,55.69,02006
2,7,286,167,58.39,119,41.61,02007
2,8,269,147,54.65,122,45.35,02008
2,9,209,122,58.37,87,41.63,02009
2,10,183,101,55.19,82,44.81,02010
2,11,313,176,56.23,137,43.77,02011
2,12,215,118,54.88,97,45.12,02012
2,13,232,140,60.34,92,39.66,02013
2,14,309,169,54.69,140,45.31,02014
2,15,114,70,61.4,44,38.6,02015
2,16,222,114,51.35,108,48.65,02016
2,17,168,91,54.17,77,45.83,02017
2,18,206,107,51.94,99,48.06,02018
2,19,213,105,49.3,108,50.7,02019
2,20,255,138,54.12,117,45.88,02020
