ward,precinct,total,"Levander ''Van'' Smith, Jr.","Levander ''Van'' Smith, Jr. Percent",Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Megan Kathleen Mulay,Megan Kathleen Mulay Percent,precinct_id
1,1,257,107,41.63,92,35.8,58,22.57,01001
1,2,241,96,39.83,99,41.08,46,19.09,01002
1,3,271,117,43.17,100,36.9,54,19.93,01003
1,4,224,100,44.64,73,32.59,51,22.77,01004
1,5,228,104,45.61,90,39.47,34,14.91,01005
1,6,208,75,36.06,80,38.46,53,25.48,01006
1,7,186,59,31.72,78,41.94,49,26.34,01007
1,8,181,84,46.41,65,35.91,32,17.68,01008
1,9,176,75,42.61,62,35.23,39,22.16,01009
1,10,236,98,41.53,97,41.1,41,17.37,01010
1,11,251,95,37.85,93,37.05,63,25.1,01011
1,12,300,105,35.0,133,44.33,62,20.67,01012
1,13,121,58,47.93,39,32.23,24,19.83,01013
1,14,238,97,40.76,85,35.71,56,23.53,01014
1,15,186,63,33.87,75,40.32,48,25.81,01015
1,16,326,131,40.18,136,41.72,59,18.1,01016
1,17,237,112,47.26,82,34.6,43,18.14,01017
1,18,227,103,45.37,83,36.56,41,18.06,01018
1,19,255,105,41.18,99,38.82,51,20.0,01019
1,20,229,96,41.92,82,35.81,51,22.27,01020
1,21,281,93,33.1,118,41.99,70,24.91,01021
1,22,148,55,37.16,63,42.57,30,20.27,01022
1,23,399,171,42.86,161,40.35,67,16.79,01023
1,24,242,89,36.78,96,39.67,57,23.55,01024
1,25,228,76,33.33,105,46.05,47,20.61,01025
1,26,169,76,44.97,66,39.05,27,15.98,01026
1,27,261,121,46.36,69,26.44,71,27.2,01027
1,28,65,24,36.92,24,36.92,17,26.15,01028
1,29,284,120,42.25,107,37.68,57,20.07,01029
1,30,293,112,38.23,101,34.47,80,27.3,01030
1,31,170,61,35.88,67,39.41,42,24.71,01031
1,32,220,80,36.36,83,37.73,57,25.91,01032
1,33,256,84,32.81,95,37.11,77,30.08,01033
1,34,215,98,45.58,73,33.95,44,20.47,01034
1,35,268,88,32.84,102,38.06,78,29.1,01035
1,36,239,92,38.49,105,43.93,42,17.57,01036
1,37,198,89,44.95,61,30.81,48,24.24,01037
1,38,172,60,34.88,58,33.72,54,31.4,01038
1,39,162,54,33.33,65,40.12,43,26.54,01039
1,40,234,91,38.89,87,37.18,56,23.93,01040
1,41,151,66,43.71,56,37.09,29,19.21,01041
1,42,72,27,37.5,28,38.89,17,23.61,01042
1,43,148,65,43.92,46,31.08,37,25.0,01043
1,44,210,84,40.0,84,40.0,42,20.0,01044
2,1,236,107,45.34,93,39.41,36,15.25,02001
2,2,152,60,39.47,62,40.79,30,19.74,02002
2,3,243,121,49.79,81,33.33,41,16.87,02003
2,4,216,89,41.2,86,39.81,41,18.98,02004
