ward,precinct,total,Teresa Molina,Teresa Molina Percent,Michael O'Malley,Michael O'Malley Percent,precinct_id
1,1,257,217,84.44,40,15.56,01001
1,2,243,211,86.83,32,13.17,01002
1,3,274,246,89.78,28,10.22,01003
1,4,232,194,83.62,38,16.38,01004
1,5,232,203,87.5,29,12.5,01005
1,6,211,176,83.41,35,16.59,01006
1,7,195,168,86.15,27,13.85,01007
1,8,183,140,76.5,43,23.5,01008
1,9,177,152,85.88,25,14.12,01009
1,10,236,203,86.02,33,13.98,01010
1,11,247,210,85.02,37,14.98,01011
1,12,306,258,84.31,48,15.69,01012
1,13,119,107,89.92,12,10.08,01013
1,14,239,211,88.28,28,11.72,01014
1,15,191,160,83.77,31,16.23,01015
1,16,326,269,82.52,57,17.48,01016
1,17,241,211,87.55,30,12.45,01017
1,18,235,206,87.66,29,12.34,01018
1,19,257,229,89.11,28,10.89,01019
1,20,235,211,89.79,24,10.21,01020
1,21,290,248,85.52,42,14.48,01021
1,22,147,136,92.52,11,7.48,01022
1,23,401,367,91.52,34,8.48,01023
1,24,251,216,86.06,35,13.94,01024
1,25,230,201,87.39,29,12.61,01025
1,26,173,149,86.13,24,13.87,01026
1,27,267,232,86.89,35,13.11,01027
1,28,73,58,79.45,15,20.55,01028
1,29,280,243,86.79,37,13.21,01029
1,30,298,257,86.24,41,13.76,01030
1,31,166,145,87.35,21,12.65,01031
1,32,225,182,80.89,43,19.11,01032
1,33,259,209,80.69,50,19.31,01033
1,34,219,197,89.95,22,10.05,01034
1,35,270,225,83.33,45,16.67,01035
1,36,242,203,83.88,39,16.12,01036
1,37,197,161,81.73,36,18.27,01037
1,38,177,151,85.31,26,14.69,01038
1,39,173,151,87.28,22,12.72,01039
1,40,245,194,79.18,51,20.82,01040
1,41,155,133,85.81,22,14.19,01041
1,42,73,65,89.04,8,10.96,01042
1,43,149,132,88.59,17,11.41,01043
1,44,215,187,86.98,28,13.02,01044
2,1,236,202,85.59,34,14.41,02001
2,2,157,120,76.43,37,23.57,02002
2,3,250,208,83.2,42,16.8,02003
