ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
13,1,167,167,100.0,13001
13,2,158,158,100.0,13002
13,3,156,156,100.0,13003
13,4,183,183,100.0,13004
13,5,222,222,100.0,13005
13,6,210,210,100.0,13006
13,7,143,143,100.0,13007
13,8,145,145,100.0,13008
13,9,172,172,100.0,13009
13,10,163,163,100.0,13010
13,11,216,216,100.0,13011
13,12,165,165,100.0,13012
13,13,196,196,100.0,13013
13,14,169,169,100.0,13014
13,15,278,278,100.0,13015
13,16,128,128,100.0,13016
13,17,146,146,100.0,13017
13,18,136,136,100.0,13018
13,19,244,244,100.0,13019
13,20,133,133,100.0,13020
13,21,177,177,100.0,13021
13,22,174,174,100.0,13022
13,23,136,136,100.0,13023
13,24,168,168,100.0,13024
13,25,185,185,100.0,13025
13,26,158,158,100.0,13026
13,27,155,155,100.0,13027
13,28,160,160,100.0,13028
13,29,147,147,100.0,13029
13,30,163,163,100.0,13030
13,31,177,177,100.0,13031
13,32,154,154,100.0,13032
13,33,164,164,100.0,13033
13,34,232,232,100.0,13034
13,35,225,225,100.0,13035
13,36,133,133,100.0,13036
13,37,185,185,100.0,13037
13,38,170,170,100.0,13038
13,39,176,176,100.0,13039
13,40,165,165,100.0,13040
13,41,232,232,100.0,13041
13,42,183,183,100.0,13042
13,43,172,172,100.0,13043
13,44,191,191,100.0,13044
13,45,220,220,100.0,13045
13,46,213,213,100.0,13046
13,47,216,216,100.0,13047
13,48,164,164,100.0,13048
14,3,142,142,100.0,14003
14,6,18,18,100.0,14006
14,10,0,0,0.0,14010
14,11,105,105,100.0,14011
14,15,171,171,100.0,14015
14,18,28,28,100.0,14018
14,22,153,153,100.0,14022
14,23,21,21,100.0,14023
18,15,193,193,100.0,18015
18,43,121,121,100.0,18043
18,46,160,160,100.0,18046
23,1,86,86,100.0,23001
23,2,129,129,100.0,23002
23,4,172,172,100.0,23004
23,5,183,183,100.0,23005
23,6,57,57,100.0,23006
23,7,160,160,100.0,23007
23,8,186,186,100.0,23008
23,9,152,152,100.0,23009
23,10,190,190,100.0,23010
23,11,178,178,100.0,23011
23,13,133,133,100.0,23013
23,14,15,15,100.0,23014
23,15,67,67,100.0,23015
23,17,28,28,100.0,23017
23,18,118,118,100.0,23018
23,20,94,94,100.0,23020
23,22,52,52,100.0,23022
23,23,148,148,100.0,23023
23,24,44,44,100.0,23024
23,25,32,32,100.0,23025
23,26,88,88,100.0,23026
23,28,149,149,100.0,23028
23,29,137,137,100.0,23029
23,30,202,202,100.0,23030
23,32,145,145,100.0,23032
23,33,169,169,100.0,23033
23,34,178,178,100.0,23034
23,35,124,124,100.0,23035
23,38,126,126,100.0,23038
23,39,184,184,100.0,23039
