ward,precinct,total,Lynn Weaver Boyle,Lynn Weaver Boyle Percent,precinct_id
1,1,227,227,100.0,01001
1,2,223,223,100.0,01002
1,3,249,249,100.0,01003
1,4,203,203,100.0,01004
1,5,217,217,100.0,01005
1,6,191,191,100.0,01006
1,7,180,180,100.0,01007
1,8,170,170,100.0,01008
1,9,156,156,100.0,01009
1,10,227,227,100.0,01010
1,11,235,235,100.0,01011
1,12,284,284,100.0,01012
1,13,108,108,100.0,01013
1,14,212,212,100.0,01014
1,15,163,163,100.0,01015
1,16,295,295,100.0,01016
1,17,219,219,100.0,01017
1,18,210,210,100.0,01018
1,19,245,245,100.0,01019
1,20,212,212,100.0,01020
1,21,260,260,100.0,01021
1,22,136,136,100.0,01022
1,23,370,370,100.0,01023
1,24,212,212,100.0,01024
1,25,205,205,100.0,01025
1,26,146,146,100.0,01026
1,27,250,250,100.0,01027
1,28,56,56,100.0,01028
1,29,264,264,100.0,01029
1,30,267,267,100.0,01030
1,31,154,154,100.0,01031
1,32,209,209,100.0,01032
1,33,235,235,100.0,01033
1,34,201,201,100.0,01034
1,35,255,255,100.0,01035
1,36,230,230,100.0,01036
1,37,178,178,100.0,01037
1,38,165,165,100.0,01038
1,39,153,153,100.0,01039
1,40,211,211,100.0,01040
1,41,135,135,100.0,01041
1,42,62,62,100.0,01042
1,43,135,135,100.0,01043
1,44,202,202,100.0,01044
2,1,220,220,100.0,02001
2,2,140,140,100.0,02002
2,3,227,227,100.0,02003
2,4,207,207,100.0,02004
2,5,255,255,100.0,02005
2,6,216,216,100.0,02006
2,7,141,141,100.0,02007
2,8,218,218,100.0,02008
2,9,131,131,100.0,02009
2,10,120,120,100.0,02010
2,11,184,184,100.0,02011
2,12,199,199,100.0,02012
2,13,199,199,100.0,02013
2,14,270,270,100.0,02014
2,15,195,195,100.0,02015
2,16,201,201,100.0,02016
2,17,274,274,100.0,02017
2,18,193,193,100.0,02018
2,19,94,94,100.0,02019
2,20,193,193,100.0,02020
2,21,248,248,100.0,02021
2,22,208,208,100.0,02022
2,23,135,135,100.0,02023
2,24,146,146,100.0,02024
2,25,228,228,100.0,02025
2,26,161,161,100.0,02026
2,27,141,141,100.0,02027
2,28,181,181,100.0,02028
2,29,200,200,100.0,02029
2,30,162,162,100.0,02030
2,31,244,244,100.0,02031
2,32,126,126,100.0,02032
2,33,310,310,100.0,02033
2,34,177,177,100.0,02034
2,35,199,199,100.0,02035
2,36,175,175,100.0,02036
2,37,208,208,100.0,02037
2,38,149,149,100.0,02038
