ward,precinct,total,John G. Mulroe,John G. Mulroe Percent,precinct_id
30,3,83,83,100.0,30003
30,15,217,217,100.0,30015
30,20,38,38,100.0,30020
30,32,147,147,100.0,30032
32,19,153,153,100.0,32019
32,21,210,210,100.0,32021
32,25,137,137,100.0,32025
33,2,317,317,100.0,33002
33,7,276,276,100.0,33007
33,18,299,299,100.0,33018
35,9,175,175,100.0,35009
35,22,254,254,100.0,35022
35,23,93,93,100.0,35023
35,29,169,169,100.0,35029
35,30,178,178,100.0,35030
35,31,198,198,100.0,35031
38,1,149,149,100.0,38001
38,31,215,215,100.0,38031
38,32,156,156,100.0,38032
38,41,211,211,100.0,38041
39,1,192,192,100.0,39001
39,2,133,133,100.0,39002
39,3,250,250,100.0,39003
39,4,177,177,100.0,39004
39,5,191,191,100.0,39005
39,6,178,178,100.0,39006
39,7,155,155,100.0,39007
39,8,177,177,100.0,39008
39,9,141,141,100.0,39009
39,10,101,101,100.0,39010
39,11,162,162,100.0,39011
39,12,238,238,100.0,39012
39,13,136,136,100.0,39013
39,14,180,180,100.0,39014
39,15,181,181,100.0,39015
39,16,119,119,100.0,39016
39,17,196,196,100.0,39017
39,18,163,163,100.0,39018
39,19,204,204,100.0,39019
39,20,232,232,100.0,39020
39,21,169,169,100.0,39021
39,22,128,128,100.0,39022
39,23,211,211,100.0,39023
39,24,202,202,100.0,39024
39,25,136,136,100.0,39025
39,26,144,144,100.0,39026
39,27,27,27,100.0,39027
39,28,262,262,100.0,39028
39,29,121,121,100.0,39029
39,30,212,212,100.0,39030
39,31,182,182,100.0,39031
39,32,64,64,100.0,39032
39,33,170,170,100.0,39033
39,34,209,209,100.0,39034
39,35,177,177,100.0,39035
39,36,46,46,100.0,39036
39,37,166,166,100.0,39037
39,38,123,123,100.0,39038
39,39,149,149,100.0,39039
39,40,182,182,100.0,39040
39,41,219,219,100.0,39041
39,42,201,201,100.0,39042
39,43,170,170,100.0,39043
39,44,143,143,100.0,39044
39,45,178,178,100.0,39045
40,1,184,184,100.0,40001
40,2,177,177,100.0,40002
40,3,291,291,100.0,40003
40,4,90,90,100.0,40004
40,5,227,227,100.0,40005
40,6,320,320,100.0,40006
40,7,234,234,100.0,40007
40,10,134,134,100.0,40010
40,11,250,250,100.0,40011
40,12,197,197,100.0,40012
40,13,175,175,100.0,40013
40,14,163,163,100.0,40014
40,15,187,187,100.0,40015
40,16,339,339,100.0,40016
40,17,191,191,100.0,40017
40,18,42,42,100.0,40018
40,19,251,251,100.0,40019
40,20,176,176,100.0,40020
40,21,196,196,100.0,40021
40,24,168,168,100.0,40024
40,25,307,307,100.0,40025
40,29,219,219,100.0,40029
40,30,176,176,100.0,40030
40,34,177,177,100.0,40034
40,38,162,162,100.0,40038
40,39,55,55,100.0,40039
41,1,180,180,100.0,41001
41,2,187,187,100.0,41002
41,3,173,173,100.0,41003
41,4,222,222,100.0,41004
41,5,230,230,100.0,41005
41,6,129,129,100.0,41006
41,7,191,191,100.0,41007
41,8,197,197,100.0,41008
41,10,265,265,100.0,41010
41,11,203,203,100.0,41011
41,12,149,149,100.0,41012
41,13,177,177,100.0,41013
41,14,157,157,100.0,41014
41,15,239,239,100.0,41015
41,16,182,182,100.0,41016
41,17,179,179,100.0,41017
41,18,175,175,100.0,41018
41,20,132,132,100.0,41020
41,21,196,196,100.0,41021
41,22,240,240,100.0,41022
41,23,154,154,100.0,41023
41,24,147,147,100.0,41024
41,26,193,193,100.0,41026
41,30,157,157,100.0,41030
41,31,209,209,100.0,41031
41,32,168,168,100.0,41032
41,33,164,164,100.0,41033
41,34,179,179,100.0,41034
41,35,223,223,100.0,41035
41,36,176,176,100.0,41036
41,37,220,220,100.0,41037
41,38,167,167,100.0,41038
41,39,222,222,100.0,41039
41,40,195,195,100.0,41040
41,41,163,163,100.0,41041
41,42,189,189,100.0,41042
41,43,173,173,100.0,41043
41,44,198,198,100.0,41044
41,45,184,184,100.0,41045
41,46,230,230,100.0,41046
41,47,92,92,100.0,41047
45,1,188,188,100.0,45001
45,2,198,198,100.0,45002
45,3,205,205,100.0,45003
45,4,242,242,100.0,45004
45,5,49,49,100.0,45005
45,7,300,300,100.0,45007
45,8,180,180,100.0,45008
45,9,127,127,100.0,45009
45,10,114,114,100.0,45010
45,11,145,145,100.0,45011
45,12,159,159,100.0,45012
45,13,201,201,100.0,45013
