ward,precinct,total,Rod R. Blagojevich,Rod R. Blagojevich Percent,Edwin Eisendrath,Edwin Eisendrath Percent,precinct_id
1,1,96,68,70.83,28,29.17,01001
1,2,63,48,76.19,15,23.81,01002
1,3,56,39,69.64,17,30.36,01003
1,4,96,65,67.71,31,32.29,01004
1,5,79,55,69.62,24,30.38,01005
1,6,85,51,60.0,34,40.0,01006
1,7,85,60,70.59,25,29.41,01007
1,8,82,58,70.73,24,29.27,01008
1,9,118,88,74.58,30,25.42,01009
1,10,88,51,57.95,37,42.05,01010
1,11,70,44,62.86,26,37.14,01011
1,12,91,52,57.14,39,42.86,01012
1,13,129,103,79.84,26,20.16,01013
1,14,113,86,76.11,27,23.89,01014
1,15,89,67,75.28,22,24.72,01015
1,16,52,47,90.38,5,9.62,01016
1,17,67,45,67.16,22,32.84,01017
1,18,76,60,78.95,16,21.05,01018
1,19,102,69,67.65,33,32.35,01019
1,20,155,140,90.32,15,9.68,01020
1,21,78,55,70.51,23,29.49,01021
1,22,94,84,89.36,10,10.64,01022
1,23,61,51,83.61,10,16.39,01023
1,24,167,126,75.45,41,24.55,01024
1,25,74,47,63.51,27,36.49,01025
1,26,53,37,69.81,16,30.19,01026
1,27,62,47,75.81,15,24.19,01027
1,28,115,90,78.26,25,21.74,01028
1,29,94,70,74.47,24,25.53,01029
1,30,189,139,73.54,50,26.46,01030
1,31,67,45,67.16,22,32.84,01031
1,32,132,116,87.88,16,12.12,01032
1,33,92,65,70.65,27,29.35,01033
1,34,55,38,69.09,17,30.91,01034
1,35,37,29,78.38,8,21.62,01035
1,36,74,54,72.97,20,27.03,01036
1,37,69,53,76.81,16,23.19,01037
1,38,51,33,64.71,18,35.29,01038
1,39,103,84,81.55,19,18.45,01039
1,40,64,48,75.0,16,25.0,01040
1,41,119,86,72.27,33,27.73,01041
1,42,59,41,69.49,18,30.51,01042
1,43,72,60,83.33,12,16.67,01043
1,44,57,39,68.42,18,31.58,01044
1,45,86,65,75.58,21,24.42,01045
1,46,83,54,65.06,29,34.94,01046
1,47,55,35,63.64,20,36.36,01047
1,48,90,66,73.33,24,26.67,01048
1,49,34,25,73.53,9,26.47,01049
