ward,precinct,total,Gloria Chevere,Gloria Chevere Percent,precinct_id
1,1,63,63,100.0,01001
1,2,42,42,100.0,01002
1,3,35,35,100.0,01003
1,4,57,57,100.0,01004
1,5,53,53,100.0,01005
1,6,41,41,100.0,01006
1,7,69,69,100.0,01007
1,8,53,53,100.0,01008
1,9,89,89,100.0,01009
1,10,58,58,100.0,01010
1,11,33,33,100.0,01011
1,12,62,62,100.0,01012
1,13,93,93,100.0,01013
1,14,76,76,100.0,01014
1,15,73,73,100.0,01015
1,16,30,30,100.0,01016
1,17,42,42,100.0,01017
1,18,49,49,100.0,01018
1,19,80,80,100.0,01019
1,20,64,64,100.0,01020
1,21,59,59,100.0,01021
1,22,81,81,100.0,01022
1,23,43,43,100.0,01023
1,24,124,124,100.0,01024
1,25,53,53,100.0,01025
1,26,41,41,100.0,01026
1,27,46,46,100.0,01027
1,28,79,79,100.0,01028
1,29,62,62,100.0,01029
1,30,154,154,100.0,01030
1,31,45,45,100.0,01031
1,32,69,69,100.0,01032
1,33,58,58,100.0,01033
1,34,36,36,100.0,01034
1,35,28,28,100.0,01035
1,36,52,52,100.0,01036
1,37,47,47,100.0,01037
1,38,40,40,100.0,01038
1,39,80,80,100.0,01039
1,40,47,47,100.0,01040
1,41,82,82,100.0,01041
1,42,38,38,100.0,01042
1,43,48,48,100.0,01043
1,44,36,36,100.0,01044
1,45,59,59,100.0,01045
1,46,49,49,100.0,01046
1,47,29,29,100.0,01047
1,48,59,59,100.0,01048
1,49,20,20,100.0,01049
1,50,48,48,100.0,01050
26,1,37,37,100.0,26001
26,3,47,47,100.0,26003
26,4,50,50,100.0,26004
26,5,73,73,100.0,26005
26,6,64,64,100.0,26006
26,7,32,32,100.0,26007
26,8,48,48,100.0,26008
26,9,36,36,100.0,26009
26,10,37,37,100.0,26010
26,11,47,47,100.0,26011
26,12,38,38,100.0,26012
26,13,58,58,100.0,26013
26,14,49,49,100.0,26014
26,15,46,46,100.0,26015
26,16,49,49,100.0,26016
26,18,40,40,100.0,26018
26,19,86,86,100.0,26019
26,20,71,71,100.0,26020
26,21,54,54,100.0,26021
26,22,37,37,100.0,26022
26,23,52,52,100.0,26023
26,24,39,39,100.0,26024
26,25,31,31,100.0,26025
26,26,48,48,100.0,26026
26,27,57,57,100.0,26027
26,28,17,17,100.0,26028
26,29,48,48,100.0,26029
26,30,35,35,100.0,26030
26,31,68,68,100.0,26031
26,32,64,64,100.0,26032
26,34,50,50,100.0,26034
26,35,49,49,100.0,26035
26,36,51,51,100.0,26036
26,37,35,35,100.0,26037
26,38,31,31,100.0,26038
26,39,35,35,100.0,26039
26,40,23,23,100.0,26040
26,41,48,48,100.0,26041
26,42,34,34,100.0,26042
26,43,47,47,100.0,26043
26,44,32,32,100.0,26044
26,45,57,57,100.0,26045
26,46,39,39,100.0,26046
26,47,41,41,100.0,26047
26,48,62,62,100.0,26048
26,49,42,42,100.0,26049
26,50,26,26,100.0,26050
26,51,55,55,100.0,26051
26,52,16,16,100.0,26052
26,53,26,26,100.0,26053
26,54,56,56,100.0,26054
26,55,31,31,100.0,26055
26,56,54,54,100.0,26056
26,57,42,42,100.0,26057
26,58,38,38,100.0,26058
26,59,67,67,100.0,26059
26,60,45,45,100.0,26060
26,61,24,24,100.0,26061
26,62,61,61,100.0,26062
26,63,19,19,100.0,26063
27,4,67,67,100.0,27004
27,10,143,143,100.0,27010
27,11,87,87,100.0,27011
27,13,47,47,100.0,27013
27,15,4,4,100.0,27015
27,18,55,55,100.0,27018
27,27,2,2,100.0,27027
27,30,55,55,100.0,27030
27,32,70,70,100.0,27032
27,35,69,69,100.0,27035
27,38,40,40,100.0,27038
27,41,63,63,100.0,27041
27,53,44,44,100.0,27053
27,54,36,36,100.0,27054
27,56,47,47,100.0,27056
27,59,88,88,100.0,27059
29,7,9,9,100.0,29007
30,4,55,55,100.0,30004
30,5,41,41,100.0,30005
30,19,44,44,100.0,30019
30,20,60,60,100.0,30020
30,21,79,79,100.0,30021
30,22,79,79,100.0,30022
30,23,64,64,100.0,30023
30,24,76,76,100.0,30024
30,26,52,52,100.0,30026
30,27,97,97,100.0,30027
30,29,31,31,100.0,30029
30,31,53,53,100.0,30031
30,32,30,30,100.0,30032
30,33,70,70,100.0,30033
30,35,84,84,100.0,30035
30,40,64,64,100.0,30040
30,41,83,83,100.0,30041
31,1,49,49,100.0,31001
31,2,54,54,100.0,31002
31,4,57,57,100.0,31004
31,5,76,76,100.0,31005
31,6,72,72,100.0,31006
31,7,64,64,100.0,31007
31,9,11,11,100.0,31009
31,10,32,32,100.0,31010
31,11,36,36,100.0,31011
31,12,75,75,100.0,31012
31,13,46,46,100.0,31013
31,14,39,39,100.0,31014
31,17,65,65,100.0,31017
31,18,42,42,100.0,31018
31,19,67,67,100.0,31019
31,20,54,54,100.0,31020
31,21,80,80,100.0,31021
31,22,39,39,100.0,31022
31,23,37,37,100.0,31023
31,24,64,64,100.0,31024
31,25,77,77,100.0,31025
31,27,62,62,100.0,31027
31,28,54,54,100.0,31028
31,30,80,80,100.0,31030
31,31,79,79,100.0,31031
31,32,80,80,100.0,31032
31,33,58,58,100.0,31033
31,34,50,50,100.0,31034
31,35,57,57,100.0,31035
31,36,99,99,100.0,31036
31,37,66,66,100.0,31037
31,39,47,47,100.0,31039
31,40,49,49,100.0,31040
31,41,50,50,100.0,31041
31,42,82,82,100.0,31042
31,44,54,54,100.0,31044
31,46,67,67,100.0,31046
31,47,83,83,100.0,31047
31,48,59,59,100.0,31048
31,49,34,34,100.0,31049
31,50,60,60,100.0,31050
31,51,57,57,100.0,31051
32,1,71,71,100.0,32001
32,2,55,55,100.0,32002
32,3,50,50,100.0,32003
32,4,81,81,100.0,32004
32,5,54,54,100.0,32005
32,6,73,73,100.0,32006
32,9,59,59,100.0,32009
32,11,47,47,100.0,32011
32,12,57,57,100.0,32012
32,14,68,68,100.0,32014
