ward,precinct,total,Mike McHale,Mike McHale Percent,precinct_id
1,1,62,62,100.0,01001
1,2,41,41,100.0,01002
1,3,32,32,100.0,01003
1,4,60,60,100.0,01004
1,5,50,50,100.0,01005
1,6,53,53,100.0,01006
1,7,67,67,100.0,01007
1,8,51,51,100.0,01008
1,9,89,89,100.0,01009
1,10,55,55,100.0,01010
1,11,34,34,100.0,01011
1,12,65,65,100.0,01012
1,13,91,91,100.0,01013
1,14,78,78,100.0,01014
1,15,70,70,100.0,01015
1,16,28,28,100.0,01016
1,17,41,41,100.0,01017
1,18,46,46,100.0,01018
1,19,74,74,100.0,01019
1,20,57,57,100.0,01020
1,21,59,59,100.0,01021
1,22,66,66,100.0,01022
1,23,42,42,100.0,01023
1,24,110,110,100.0,01024
1,25,51,51,100.0,01025
1,26,38,38,100.0,01026
1,27,47,47,100.0,01027
1,28,68,68,100.0,01028
1,29,62,62,100.0,01029
1,30,145,145,100.0,01030
1,31,51,51,100.0,01031
1,32,61,61,100.0,01032
1,33,57,57,100.0,01033
1,34,34,34,100.0,01034
1,35,26,26,100.0,01035
1,36,51,51,100.0,01036
1,37,45,45,100.0,01037
1,38,44,44,100.0,01038
1,39,74,74,100.0,01039
1,40,46,46,100.0,01040
1,41,77,77,100.0,01041
1,42,42,42,100.0,01042
1,43,44,44,100.0,01043
1,44,39,39,100.0,01044
1,45,54,54,100.0,01045
1,46,52,52,100.0,01046
1,47,29,29,100.0,01047
1,48,52,52,100.0,01048
1,49,25,25,100.0,01049
1,50,45,45,100.0,01050
2,1,101,101,100.0,02001
2,2,2,2,100.0,02002
2,3,74,74,100.0,02003
2,4,74,74,100.0,02004
2,5,60,60,100.0,02005
2,6,56,56,100.0,02006
2,7,134,134,100.0,02007
2,8,117,117,100.0,02008
2,9,74,74,100.0,02009
2,10,19,19,100.0,02010
2,11,58,58,100.0,02011
2,12,60,60,100.0,02012
2,13,82,82,100.0,02013
2,14,162,162,100.0,02014
2,15,17,17,100.0,02015
2,16,63,63,100.0,02016
2,17,86,86,100.0,02017
2,18,94,94,100.0,02018
2,19,4,4,100.0,02019
2,20,141,141,100.0,02020
2,21,132,132,100.0,02021
2,22,172,172,100.0,02022
2,23,75,75,100.0,02023
2,24,48,48,100.0,02024
2,25,47,47,100.0,02025
2,26,118,118,100.0,02026
2,27,80,80,100.0,02027
2,28,29,29,100.0,02028
2,29,32,32,100.0,02029
2,30,46,46,100.0,02030
2,31,129,129,100.0,02031
2,32,44,44,100.0,02032
2,33,54,54,100.0,02033
2,34,111,111,100.0,02034
2,35,25,25,100.0,02035
2,36,50,50,100.0,02036
2,37,105,105,100.0,02037
2,38,112,112,100.0,02038
2,39,74,74,100.0,02039
2,40,133,133,100.0,02040
2,41,47,47,100.0,02041
2,42,21,21,100.0,02042
2,43,149,149,100.0,02043
2,44,101,101,100.0,02044
2,45,79,79,100.0,02045
2,46,162,162,100.0,02046
2,47,95,95,100.0,02047
2,48,73,73,100.0,02048
2,49,74,74,100.0,02049
2,50,60,60,100.0,02050
2,51,43,43,100.0,02051
2,52,104,104,100.0,02052
2,53,36,36,100.0,02053
2,54,84,84,100.0,02054
2,55,27,27,100.0,02055
2,56,95,95,100.0,02056
2,57,84,84,100.0,02057
2,58,44,44,100.0,02058
2,59,111,111,100.0,02059
2,60,123,123,100.0,02060
2,61,67,67,100.0,02061
3,1,111,111,100.0,03001
3,2,160,160,100.0,03002
3,3,74,74,100.0,03003
3,4,81,81,100.0,03004
3,5,110,110,100.0,03005
3,6,42,42,100.0,03006
3,7,119,119,100.0,03007
3,8,47,47,100.0,03008
3,9,93,93,100.0,03009
3,10,48,48,100.0,03010
3,11,103,103,100.0,03011
3,12,98,98,100.0,03012
3,13,72,72,100.0,03013
3,14,78,78,100.0,03014
3,15,95,95,100.0,03015
3,16,79,79,100.0,03016
3,17,66,66,100.0,03017
3,18,76,76,100.0,03018
3,19,5,5,100.0,03019
3,20,83,83,100.0,03020
3,21,40,40,100.0,03021
3,22,56,56,100.0,03022
3,23,23,23,100.0,03023
3,24,78,78,100.0,03024
3,25,73,73,100.0,03025
3,26,95,95,100.0,03026
3,27,98,98,100.0,03027
3,28,45,45,100.0,03028
3,29,83,83,100.0,03029
3,30,91,91,100.0,03030
3,31,129,129,100.0,03031
3,32,61,61,100.0,03032
3,33,123,123,100.0,03033
3,34,75,75,100.0,03034
3,35,73,73,100.0,03035
3,36,45,45,100.0,03036
3,37,36,36,100.0,03037
3,38,125,125,100.0,03038
3,39,154,154,100.0,03039
3,40,63,63,100.0,03040
3,41,91,91,100.0,03041
3,42,71,71,100.0,03042
3,43,35,35,100.0,03043
3,44,39,39,100.0,03044
3,45,62,62,100.0,03045
3,46,53,53,100.0,03046
3,47,74,74,100.0,03047
3,48,68,68,100.0,03048
3,49,28,28,100.0,03049
3,50,73,73,100.0,03050
3,51,45,45,100.0,03051
3,52,44,44,100.0,03052
3,53,78,78,100.0,03053
3,54,111,111,100.0,03054
4,1,102,102,100.0,04001
4,2,168,168,100.0,04002
4,3,153,153,100.0,04003
4,4,145,145,100.0,04004
4,5,129,129,100.0,04005
4,6,60,60,100.0,04006
4,7,114,114,100.0,04007
4,8,139,139,100.0,04008
4,9,253,253,100.0,04009
4,10,142,142,100.0,04010
4,11,127,127,100.0,04011
4,12,71,71,100.0,04012
4,13,90,90,100.0,04013
4,14,77,77,100.0,04014
4,15,85,85,100.0,04015
4,16,165,165,100.0,04016
4,17,109,109,100.0,04017
4,18,127,127,100.0,04018
4,19,145,145,100.0,04019
4,20,37,37,100.0,04020
4,21,140,140,100.0,04021
4,22,149,149,100.0,04022
4,23,92,92,100.0,04023
4,24,131,131,100.0,04024
4,25,151,151,100.0,04025
4,26,132,132,100.0,04026
4,27,133,133,100.0,04027
4,28,83,83,100.0,04028
4,29,107,107,100.0,04029
4,30,17,17,100.0,04030
4,31,74,74,100.0,04031
4,32,107,107,100.0,04032
4,33,72,72,100.0,04033
4,34,92,92,100.0,04034
4,35,76,76,100.0,04035
4,36,62,62,100.0,04036
4,37,43,43,100.0,04037
4,38,172,172,100.0,04038
4,39,63,63,100.0,04039
4,40,99,99,100.0,04040
4,41,58,58,100.0,04041
4,42,175,175,100.0,04042
4,43,84,84,100.0,04043
4,44,81,81,100.0,04044
4,45,235,235,100.0,04045
4,46,91,91,100.0,04046
4,47,139,139,100.0,04047
4,48,160,160,100.0,04048
4,49,109,109,100.0,04049
4,50,122,122,100.0,04050
4,51,161,161,100.0,04051
4,52,163,163,100.0,04052
4,53,133,133,100.0,04053
4,54,61,61,100.0,04054
4,55,57,57,100.0,04055
5,1,135,135,100.0,05001
5,2,118,118,100.0,05002
5,3,64,64,100.0,05003
5,4,106,106,100.0,05004
5,5,117,117,100.0,05005
5,6,156,156,100.0,05006
5,7,142,142,100.0,05007
5,8,117,117,100.0,05008
5,9,133,133,100.0,05009
5,10,119,119,100.0,05010
5,11,115,115,100.0,05011
5,12,90,90,100.0,05012
5,13,102,102,100.0,05013
5,14,140,140,100.0,05014
5,15,99,99,100.0,05015
5,16,95,95,100.0,05016
5,17,139,139,100.0,05017
5,18,115,115,100.0,05018
5,19,61,61,100.0,05019
5,20,56,56,100.0,05020
5,21,183,183,100.0,05021
5,22,138,138,100.0,05022
5,23,99,99,100.0,05023
5,24,127,127,100.0,05024
5,25,134,134,100.0,05025
