ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,Joanne Guillemette,Joanne Guillemette Percent,Paul M. McMahon,Paul M. McMahon Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,precinct_id
1,1,73,17,23.29,7,9.59,5,6.85,44,60.27,01001
1,2,47,10,21.28,6,12.77,1,2.13,30,63.83,01002
1,3,43,17,39.53,2,4.65,5,11.63,19,44.19,01003
1,4,67,16,23.88,13,19.4,6,8.96,32,47.76,01004
1,5,62,18,29.03,11,17.74,7,11.29,26,41.94,01005
1,6,68,12,17.65,12,17.65,10,14.71,34,50.0,01006
1,7,74,13,17.57,16,21.62,12,16.22,33,44.59,01007
1,8,67,23,34.33,13,19.4,7,10.45,24,35.82,01008
1,9,102,26,25.49,13,12.75,12,11.76,51,50.0,01009
1,10,69,28,40.58,6,8.7,6,8.7,29,42.03,01010
1,11,42,14,33.33,3,7.14,5,11.9,20,47.62,01011
1,12,71,18,25.35,8,11.27,9,12.68,36,50.7,01012
1,13,99,21,21.21,15,15.15,12,12.12,51,51.52,01013
1,14,91,27,29.67,10,10.99,13,14.29,41,45.05,01014
1,15,77,17,22.08,15,19.48,7,9.09,38,49.35,01015
1,16,32,6,18.75,7,21.88,7,21.88,12,37.5,01016
1,17,47,15,31.91,3,6.38,8,17.02,21,44.68,01017
1,18,51,14,27.45,9,17.65,6,11.76,22,43.14,01018
1,19,84,15,17.86,14,16.67,15,17.86,40,47.62,01019
1,20,66,18,27.27,13,19.7,6,9.09,29,43.94,01020
1,21,66,21,31.82,6,9.09,5,7.58,34,51.52,01021
1,22,78,21,26.92,10,12.82,8,10.26,39,50.0,01022
1,23,46,14,30.43,10,21.74,2,4.35,20,43.48,01023
1,24,130,31,23.85,30,23.08,16,12.31,53,40.77,01024
1,25,59,19,32.2,11,18.64,3,5.08,26,44.07,01025
1,26,46,10,21.74,7,15.22,7,15.22,22,47.83,01026
1,27,50,18,36.0,4,8.0,5,10.0,23,46.0,01027
1,28,85,18,21.18,10,11.76,23,27.06,34,40.0,01028
1,29,71,22,30.99,12,16.9,9,12.68,28,39.44,01029
1,30,165,43,26.06,26,15.76,20,12.12,76,46.06,01030
1,31,54,24,44.44,2,3.7,6,11.11,22,40.74,01031
1,32,69,21,30.43,10,14.49,7,10.14,31,44.93,01032
1,33,74,15,20.27,13,17.57,8,10.81,38,51.35,01033
1,34,38,12,31.58,6,15.79,9,23.68,11,28.95,01034
1,35,32,3,9.38,5,15.63,7,21.88,17,53.13,01035
1,36,57,18,31.58,8,14.04,4,7.02,27,47.37,01036
1,37,50,14,28.0,11,22.0,5,10.0,20,40.0,01037
1,38,47,17,36.17,5,10.64,7,14.89,18,38.3,01038
1,39,79,10,12.66,16,20.25,6,7.59,47,59.49,01039
1,40,53,11,20.75,9,16.98,7,13.21,26,49.06,01040
1,41,94,20,21.28,18,19.15,12,12.77,44,46.81,01041
1,42,42,14,33.33,3,7.14,9,21.43,16,38.1,01042
1,43,53,14,26.42,12,22.64,3,5.66,24,45.28,01043
1,44,46,3,6.52,7,15.22,9,19.57,27,58.7,01044
1,45,62,17,27.42,6,9.68,6,9.68,33,53.23,01045
1,46,62,17,27.42,11,17.74,7,11.29,27,43.55,01046
1,47,35,14,40.0,3,8.57,5,14.29,13,37.14,01047
1,48,67,23,34.33,16,23.88,9,13.43,19,28.36,01048
1,49,26,7,26.92,5,19.23,3,11.54,11,42.31,01049
1,50,51,14,27.45,5,9.8,6,11.76,26,50.98,01050
2,1,120,48,40.0,25,20.83,16,13.33,31,25.83,02001
2,2,4,1,,0,,0,,3,,02002
2,3,89,32,35.96,15,16.85,13,14.61,29,32.58,02003
2,4,98,33,33.67,38,38.78,13,13.27,14,14.29,02004
2,5,77,21,27.27,22,28.57,10,12.99,24,31.17,02005
2,6,63,28,44.44,10,15.87,7,11.11,18,28.57,02006
2,7,177,41,23.16,65,36.72,16,9.04,55,31.07,02007
2,8,143,59,41.26,28,19.58,12,8.39,44,30.77,02008
2,9,95,26,27.37,38,40.0,9,9.47,22,23.16,02009
2,10,22,6,27.27,5,22.73,4,18.18,7,31.82,02010
2,11,70,20,28.57,15,21.43,11,15.71,24,34.29,02011
2,12,84,41,48.81,6,7.14,8,9.52,29,34.52,02012
2,13,103,34,33.01,24,23.3,10,9.71,35,33.98,02013
2,14,202,43,21.29,64,31.68,18,8.91,77,38.12,02014
2,15,22,8,36.36,9,40.91,1,4.55,4,18.18,02015
