ward,precinct,total,Daniel W. Hynes,Daniel W. Hynes Percent,precinct_id
1,1,83,83,100.0,01001
1,2,49,49,100.0,01002
1,3,47,47,100.0,01003
1,4,79,79,100.0,01004
1,5,60,60,100.0,01005
1,6,67,67,100.0,01006
1,7,82,82,100.0,01007
1,8,66,66,100.0,01008
1,9,101,101,100.0,01009
1,10,74,74,100.0,01010
1,11,49,49,100.0,01011
1,12,79,79,100.0,01012
1,13,116,116,100.0,01013
1,14,96,96,100.0,01014
1,15,77,77,100.0,01015
1,16,31,31,100.0,01016
1,17,51,51,100.0,01017
1,18,61,61,100.0,01018
1,19,87,87,100.0,01019
1,20,112,112,100.0,01020
1,21,69,69,100.0,01021
1,22,78,78,100.0,01022
1,23,49,49,100.0,01023
1,24,143,143,100.0,01024
1,25,63,63,100.0,01025
1,26,46,46,100.0,01026
1,27,50,50,100.0,01027
1,28,97,97,100.0,01028
1,29,78,78,100.0,01029
1,30,168,168,100.0,01030
1,31,64,64,100.0,01031
1,32,89,89,100.0,01032
1,33,68,68,100.0,01033
1,34,45,45,100.0,01034
1,35,30,30,100.0,01035
1,36,66,66,100.0,01036
1,37,51,51,100.0,01037
1,38,45,45,100.0,01038
1,39,93,93,100.0,01039
1,40,51,51,100.0,01040
1,41,89,89,100.0,01041
1,42,52,52,100.0,01042
1,43,61,61,100.0,01043
1,44,48,48,100.0,01044
1,45,66,66,100.0,01045
1,46,64,64,100.0,01046
1,47,46,46,100.0,01047
1,48,62,62,100.0,01048
1,49,26,26,100.0,01049
1,50,53,53,100.0,01050
2,1,125,125,100.0,02001
2,2,4,4,100.0,02002
2,3,98,98,100.0,02003
2,4,104,104,100.0,02004
2,5,81,81,100.0,02005
2,6,67,67,100.0,02006
2,7,183,183,100.0,02007
2,8,147,147,100.0,02008
2,9,94,94,100.0,02009
2,10,23,23,100.0,02010
2,11,71,71,100.0,02011
2,12,86,86,100.0,02012
2,13,116,116,100.0,02013
2,14,215,215,100.0,02014
2,15,21,21,100.0,02015
2,16,82,82,100.0,02016
2,17,107,107,100.0,02017
2,18,138,138,100.0,02018
2,19,6,6,100.0,02019
2,20,191,191,100.0,02020
2,21,187,187,100.0,02021
2,22,229,229,100.0,02022
2,23,99,99,100.0,02023
2,24,71,71,100.0,02024
2,25,66,66,100.0,02025
2,26,164,164,100.0,02026
2,27,108,108,100.0,02027
2,28,38,38,100.0,02028
2,29,49,49,100.0,02029
2,30,57,57,100.0,02030
2,31,174,174,100.0,02031
2,32,52,52,100.0,02032
2,33,74,74,100.0,02033
2,34,162,162,100.0,02034
2,35,34,34,100.0,02035
2,36,70,70,100.0,02036
2,37,143,143,100.0,02037
2,38,173,173,100.0,02038
