ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,175,175,100.0,13003
13,18,131,131,100.0,13018
13,20,150,150,100.0,13020
13,31,171,171,100.0,13031
14,1,104,104,100.0,14001
14,2,133,133,100.0,14002
14,3,168,168,100.0,14003
14,4,116,116,100.0,14004
14,5,184,184,100.0,14005
14,6,126,126,100.0,14006
14,9,158,158,100.0,14009
14,11,110,110,100.0,14011
14,13,200,200,100.0,14013
14,15,154,154,100.0,14015
14,24,79,79,100.0,14024
14,25,149,149,100.0,14025
14,27,165,165,100.0,14027
14,28,147,147,100.0,14028
14,32,113,113,100.0,14032
14,34,127,127,100.0,14034
15,1,67,67,100.0,15001
15,10,78,78,100.0,15010
15,16,69,69,100.0,15016
16,17,101,101,100.0,16017
16,32,74,74,100.0,16032
16,39,76,76,100.0,16039
22,2,51,51,100.0,22002
22,3,115,115,100.0,22003
22,4,97,97,100.0,22004
22,5,96,96,100.0,22005
22,6,82,82,100.0,22006
22,10,80,80,100.0,22010
22,12,87,87,100.0,22012
22,13,110,110,100.0,22013
22,14,66,66,100.0,22014
22,16,108,108,100.0,22016
22,17,81,81,100.0,22017
22,18,97,97,100.0,22018
22,20,106,106,100.0,22020
22,23,83,83,100.0,22023
22,24,75,75,100.0,22024
22,25,67,67,100.0,22025
22,26,76,76,100.0,22026
22,27,96,96,100.0,22027
22,28,45,45,100.0,22028
23,5,163,163,100.0,23005
23,6,175,175,100.0,23006
23,7,22,22,100.0,23007
23,9,169,169,100.0,23009
23,10,183,183,100.0,23010
23,14,65,65,100.0,23014
23,24,110,110,100.0,23024
23,25,121,121,100.0,23025
23,29,143,143,100.0,23029
23,31,148,148,100.0,23031
23,32,209,209,100.0,23032
23,33,199,199,100.0,23033
23,37,7,7,100.0,23037
23,41,153,153,100.0,23041
23,50,113,113,100.0,23050
23,51,171,171,100.0,23051
23,53,114,114,100.0,23053
